1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 040000007D8F8741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  955
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  955
Total Device Samples:  7657
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.098
26/1/23 10:00:01 PM,C,22.972
27/1/23 12:00:01 AM,C,22.91
27/1/23 2:00:01 AM,C,23.035
27/1/23 4:00:01 AM,C,21.659
27/1/23 6:00:01 AM,C,20.908
27/1/23 8:00:01 AM,C,20.345
27/1/23 10:00:01 AM,C,23.597
27/1/23 12:00:01 PM,C,24.91
27/1/23 2:00:01 PM,C,26.535
27/1/23 4:00:01 PM,C,25.66
27/1/23 6:00:01 PM,C,24.91
27/1/23 8:00:01 PM,C,22.972
27/1/23 10:00:01 PM,C,23.097
28/1/23 12:00:01 AM,C,22.535
28/1/23 2:00:01 AM,C,22.097
28/1/23 4:00:01 AM,C,21.659
28/1/23 6:00:01 AM,C,20.971
28/1/23 8:00:01 AM,C,21.284
28/1/23 10:00:01 AM,C,24.66
28/1/23 12:00:01 PM,C,26.41
28/1/23 2:00:01 PM,C,26.972
28/1/23 4:00:01 PM,C,25.848
28/1/23 6:00:01 PM,C,23.973
28/1/23 8:00:01 PM,C,23.973
28/1/23 10:00:01 PM,C,23.848
29/1/23 12:00:01 AM,C,23.597
29/1/23 2:00:01 AM,C,23.347
29/1/23 4:00:01 AM,C,23.097
29/1/23 6:00:01 AM,C,22.785
29/1/23 8:00:01 AM,C,22.535
29/1/23 10:00:01 AM,C,22.597
29/1/23 12:00:01 PM,C,21.346
29/1/23 2:00:01 PM,C,23.285
29/1/23 4:00:01 PM,C,23.472
29/1/23 6:00:01 PM,C,21.346
