1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 780000007D819041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  956
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  956
Total Device Samples:  8804
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,%RH,67.899
26/1/23 10:01:01 PM,%RH,69.496
27/1/23 12:01:01 AM,%RH,71.224
27/1/23 2:01:01 AM,%RH,74.775
27/1/23 4:01:01 AM,%RH,70.506
27/1/23 6:01:01 AM,%RH,67.022
27/1/23 8:01:01 AM,%RH,74.493
27/1/23 10:01:01 AM,%RH,64.813
27/1/23 12:01:01 PM,%RH,50.108
27/1/23 2:01:01 PM,%RH,44.665
27/1/23 4:01:01 PM,%RH,49.315
27/1/23 6:01:01 PM,%RH,61.831
27/1/23 8:01:01 PM,%RH,67.607
27/1/23 10:01:01 PM,%RH,70.362
28/1/23 12:01:01 AM,%RH,71.654
28/1/23 2:01:01 AM,%RH,72.368
28/1/23 4:01:01 AM,%RH,72.653
28/1/23 6:01:01 AM,%RH,70.794
28/1/23 8:01:01 AM,%RH,71.94
28/1/23 10:01:01 AM,%RH,57.89
28/1/23 12:01:01 PM,%RH,33.238
28/1/23 2:01:01 PM,%RH,32.05
28/1/23 4:01:01 PM,%RH,32.22
28/1/23 6:01:01 PM,%RH,49.474
28/1/23 8:01:01 PM,%RH,57.737
28/1/23 10:01:01 PM,%RH,61.229
29/1/23 12:01:01 AM,%RH,65.7
29/1/23 2:01:01 AM,%RH,62.879
29/1/23 4:01:01 AM,%RH,61.831
29/1/23 6:01:01 AM,%RH,61.38
29/1/23 8:01:01 AM,%RH,61.53
29/1/23 10:01:01 AM,%RH,58.501
29/1/23 12:01:01 PM,%RH,44.34
29/1/23 2:01:01 PM,%RH,44.665
29/1/23 4:01:01 PM,%RH,55.274
29/1/23 6:01:01 PM,%RH,69.785
29/1/23 8:01:01 PM,%RH,88.571
29/1/23 10:01:01 PM,%RH,94.804
30/1/23 12:01:01 AM,%RH,95.425
30/1/23 2:01:01 AM,%RH,97.763
30/1/23 4:01:01 AM,%RH,97.397
30/1/23 6:01:01 AM,%RH,98.372
30/1/23 8:01:01 AM,%RH,99.099
30/1/23 10:01:01 AM,%RH,95.053
30/1/23 12:01:01 PM,%RH,78.397
30/1/23 2:01:01 PM,%RH,71.94
30/1/23 4:01:01 PM,%RH,76.456
30/1/23 6:01:01 PM,%RH,87.398
30/1/23 8:01:01 PM,%RH,94.679
30/1/23 10:01:01 PM,%RH,97.152
31/1/23 12:01:01 AM,%RH,98.615
31/1/23 2:01:01 AM,%RH,99.702
31/1/23 4:01:01 AM,%RH,98.857
31/1/23 6:01:01 AM,%RH,99.822
31/1/23 8:01:01 AM,%RH,101.257
31/1/23 10:01:01 AM,%RH,93.929
31/1/23 12:01:01 PM,%RH,78.121
31/1/23 2:01:01 PM,%RH,70.65
31/1/23 4:01:01 PM,%RH,67.168
31/1/23 6:01:01 PM,%RH,80.862
31/1/23 8:01:01 PM,%RH,89.606
31/1/23 10:01:01 PM,%RH,92.67
1/2/23 12:01:01 AM,%RH,90.25
1/2/23 2:01:01 AM,%RH,76.456
1/2/23 4:01:01 AM,%RH,83.293
1/2/23 6:01:01 AM,%RH,88.181
1/2/23 8:01:01 AM,%RH,87.137
1/2/23 10:01:01 AM,%RH,68.481
1/2/23 12:01:01 PM,%RH,47.081
1/2/23 2:01:01 PM,%RH,44.988
1/2/23 4:01:01 PM,%RH,50.425
1/2/23 6:01:01 PM,%RH,59.566
1/2/23 8:01:01 PM,%RH,77.844
1/2/23 10:01:01 PM,%RH,73.929
2/2/23 12:01:01 AM,%RH,74.634
2/2/23 2:01:01 AM,%RH,75.617
2/2/23 4:01:01 AM,%RH,81.27
2/2/23 6:01:01 AM,%RH,84.761
2/2/23 8:01:01 AM,%RH,82.352
2/2/23 10:01:01 AM,%RH,67.168
2/2/23 12:01:01 PM,%RH,40.418
2/2/23 2:01:01 PM,%RH,39.594
2/2/23 4:01:01 PM,%RH,46.439
2/2/23 6:01:01 PM,%RH,62.131
2/2/23 8:01:01 PM,%RH,82.89
2/2/23 10:01:01 PM,%RH,90.25
3/2/23 12:01:01 AM,%RH,76.037
3/2/23 2:01:01 AM,%RH,77.012
3/2/23 4:01:01 AM,%RH,74.211
3/2/23 6:01:01 AM,%RH,71.081
3/2/23 8:01:01 AM,%RH,78.121
3/2/23 10:01:01 AM,%RH,48.679
3/2/23 12:01:01 PM,%RH,38.766
3/2/23 2:01:01 PM,%RH,51.371
3/2/23 4:01:01 PM,%RH,67.168
3/2/23 6:01:01 PM,%RH,75.617
3/2/23 8:01:01 PM,%RH,88.701
3/2/23 10:01:01 PM,%RH,94.305
4/2/23 12:01:01 AM,%RH,96.414
4/2/23 2:01:01 AM,%RH,95.549
4/2/23 4:01:01 AM,%RH,76.873
4/2/23 6:01:01 AM,%RH,77.012
4/2/23 8:01:01 AM,%RH,81.27
4/2/23 10:01:01 AM,%RH,65.847
4/2/23 12:01:01 PM,%RH,57.124
4/2/23 2:01:01 PM,%RH,55.119
4/2/23 4:01:01 PM,%RH,56.663
4/2/23 6:01:01 PM,%RH,78.121
4/2/23 8:01:01 PM,%RH,92.291
4/2/23 10:01:01 PM,%RH,97.029
5/2/23 12:01:01 AM,%RH,99.702
5/2/23 2:01:01 AM,%RH,99.702
5/2/23 4:01:01 AM,%RH,98.857
5/2/23 6:01:01 AM,%RH,100.182
5/2/23 8:01:01 AM,%RH,100.302
5/2/23 10:01:01 AM,%RH,84.229
5/2/23 12:01:01 PM,%RH,62.431
5/2/23 2:01:01 PM,%RH,63.774
5/2/23 4:01:01 PM,%RH,73.221
