1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 780000007D819041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  956
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  956
Total Device Samples:  8804
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,C,24.152
26/1/23 10:01:01 PM,C,22.964
27/1/23 12:01:01 AM,C,22.777
27/1/23 2:01:01 AM,C,22.964
27/1/23 4:01:01 AM,C,21.276
27/1/23 6:01:01 AM,C,20.463
27/1/23 8:01:01 AM,C,19.962
27/1/23 10:01:01 AM,C,24.527
27/1/23 12:01:01 PM,C,26.465
27/1/23 2:01:01 PM,C,26.652
27/1/23 4:01:01 PM,C,26.027
27/1/23 6:01:01 PM,C,24.965
27/1/23 8:01:01 PM,C,22.839
27/1/23 10:01:01 PM,C,23.027
28/1/23 12:01:01 AM,C,22.276
28/1/23 2:01:01 AM,C,21.651
28/1/23 4:01:01 AM,C,21.088
28/1/23 6:01:01 AM,C,20.338
28/1/23 8:01:01 AM,C,20.963
28/1/23 10:01:01 AM,C,25.09
28/1/23 12:01:01 PM,C,26.715
28/1/23 2:01:01 PM,C,27.715
28/1/23 4:01:01 PM,C,26.402
28/1/23 6:01:01 PM,C,24.027
28/1/23 8:01:01 PM,C,23.965
28/1/23 10:01:01 PM,C,23.902
29/1/23 12:01:01 AM,C,23.652
29/1/23 2:01:01 AM,C,23.339
29/1/23 4:01:01 AM,C,23.089
29/1/23 6:01:01 AM,C,22.714
29/1/23 8:01:01 AM,C,22.402
29/1/23 10:01:01 AM,C,23.965
29/1/23 12:01:01 PM,C,23.527
29/1/23 2:01:01 PM,C,24.527
29/1/23 4:01:01 PM,C,24.715
29/1/23 6:01:01 PM,C,21.776
29/1/23 8:01:01 PM,C,18.023
29/1/23 10:01:01 PM,C,17.147
30/1/23 12:01:01 AM,C,16.646
30/1/23 2:01:01 AM,C,15.582
30/1/23 4:01:01 AM,C,15.018
30/1/23 6:01:01 AM,C,14.455
30/1/23 8:01:01 AM,C,14.893
30/1/23 10:01:01 AM,C,19.337
30/1/23 12:01:01 PM,C,22.589
30/1/23 2:01:01 PM,C,24.402
30/1/23 4:01:01 PM,C,23.715
30/1/23 6:01:01 PM,C,21.714
30/1/23 8:01:01 PM,C,19.399
30/1/23 10:01:01 PM,C,18.085
31/1/23 12:01:01 AM,C,17.397
31/1/23 2:01:01 AM,C,17.397
31/1/23 4:01:01 AM,C,17.084
31/1/23 6:01:01 AM,C,17.084
31/1/23 8:01:01 AM,C,17.96
31/1/23 10:01:01 AM,C,20.713
31/1/23 12:01:01 PM,C,22.964
31/1/23 2:01:01 PM,C,24.465
31/1/23 4:01:01 PM,C,24.215
31/1/23 6:01:01 PM,C,22.214
31/1/23 8:01:01 PM,C,19.587
31/1/23 10:01:01 PM,C,18.273
1/2/23 12:01:01 AM,C,18.336
1/2/23 2:01:01 AM,C,19.524
1/2/23 4:01:01 AM,C,18.148
1/2/23 6:01:01 AM,C,17.397
1/2/23 8:01:01 AM,C,17.835
1/2/23 10:01:01 AM,C,20.65
1/2/23 12:01:01 PM,C,24.215
1/2/23 2:01:01 PM,C,25.09
1/2/23 4:01:01 PM,C,24.277
1/2/23 6:01:01 PM,C,22.589
1/2/23 8:01:01 PM,C,19.024
1/2/23 10:01:01 PM,C,20.463
2/2/23 12:01:01 AM,C,20.15
2/2/23 2:01:01 AM,C,19.65
2/2/23 4:01:01 AM,C,19.212
2/2/23 6:01:01 AM,C,18.273
2/2/23 8:01:01 AM,C,18.523
2/2/23 10:01:01 AM,C,21.276
2/2/23 12:01:01 PM,C,24.402
2/2/23 2:01:01 PM,C,25.652
2/2/23 4:01:01 PM,C,25.402
2/2/23 6:01:01 PM,C,22.777
2/2/23 8:01:01 PM,C,18.023
2/2/23 10:01:01 PM,C,16.333
3/2/23 12:01:01 AM,C,19.024
3/2/23 2:01:01 AM,C,18.523
3/2/23 4:01:01 AM,C,18.398
3/2/23 6:01:01 AM,C,18.023
3/2/23 8:01:01 AM,C,17.334
3/2/23 10:01:01 AM,C,21.776
3/2/23 12:01:01 PM,C,23.902
3/2/23 2:01:01 PM,C,24.59
3/2/23 4:01:01 PM,C,23.339
3/2/23 6:01:01 PM,C,22.527
3/2/23 8:01:01 PM,C,20.963
3/2/23 10:01:01 PM,C,19.775
4/2/23 12:01:01 AM,C,18.899
4/2/23 2:01:01 AM,C,17.835
4/2/23 4:01:01 AM,C,19.274
4/2/23 6:01:01 AM,C,19.337
4/2/23 8:01:01 AM,C,19.149
4/2/23 10:01:01 AM,C,21.776
4/2/23 12:01:01 PM,C,24.965
4/2/23 2:01:01 PM,C,26.152
4/2/23 4:01:01 PM,C,25.59
4/2/23 6:01:01 PM,C,23.214
4/2/23 8:01:01 PM,C,20.525
4/2/23 10:01:01 PM,C,19.024
5/2/23 12:01:01 AM,C,18.711
5/2/23 2:01:01 AM,C,16.834
5/2/23 4:01:01 AM,C,16.02
5/2/23 6:01:01 AM,C,14.768
5/2/23 8:01:01 AM,C,14.956
5/2/23 10:01:01 AM,C,20.588
5/2/23 12:01:01 PM,C,24.652
5/2/23 2:01:01 PM,C,25.09
5/2/23 4:01:01 PM,C,24.84
5/2/23 6:01:01 PM,C,23.59
5/2/23 8:01:01 PM,C,21.276
5/2/23 10:01:01 PM,C,19.337
6/2/23 12:01:01 AM,C,18.023
6/2/23 2:01:01 AM,C,16.896
6/2/23 4:01:01 AM,C,16.646
6/2/23 6:01:01 AM,C,15.77
6/2/23 8:01:01 AM,C,16.208
6/2/23 10:01:01 AM,C,20.463
6/2/23 12:01:01 PM,C,22.214
6/2/23 2:01:01 PM,C,23.277
6/2/23 4:01:01 PM,C,23.652
6/2/23 6:01:01 PM,C,22.151
6/2/23 8:01:01 PM,C,20.775
6/2/23 10:01:01 PM,C,20.4
7/2/23 12:01:01 AM,C,19.462
7/2/23 2:01:01 AM,C,17.835
7/2/23 4:01:01 AM,C,16.521
7/2/23 6:01:01 AM,C,16.02
7/2/23 8:01:01 AM,C,15.832
7/2/23 10:01:01 AM,C,20.588
7/2/23 12:01:01 PM,C,22.589
7/2/23 2:01:01 PM,C,24.152
7/2/23 4:01:01 PM,C,23.152
7/2/23 6:01:01 PM,C,21.901
7/2/23 8:01:01 PM,C,20.838
7/2/23 10:01:01 PM,C,19.837
8/2/23 12:01:01 AM,C,19.149
8/2/23 2:01:01 AM,C,17.772
8/2/23 4:01:01 AM,C,16.521
8/2/23 6:01:01 AM,C,16.896
8/2/23 8:01:01 AM,C,18.961
8/2/23 10:01:01 AM,C,21.401
8/2/23 12:01:01 PM,C,23.902
8/2/23 2:01:01 PM,C,24.84
8/2/23 4:01:01 PM,C,24.715
8/2/23 6:01:01 PM,C,23.152
8/2/23 8:01:01 PM,C,20.15
8/2/23 10:01:01 PM,C,18.774
9/2/23 12:01:01 AM,C,17.272
9/2/23 2:01:01 AM,C,16.333
9/2/23 4:01:01 AM,C,15.331
9/2/23 6:01:01 AM,C,14.768
9/2/23 8:01:01 AM,C,15.081
9/2/23 10:01:01 AM,C,19.837
9/2/23 12:01:01 PM,C,23.339
9/2/23 2:01:01 PM,C,24.965
9/2/23 4:01:01 PM,C,23.652
9/2/23 6:01:01 PM,C,22.151
9/2/23 8:01:01 PM,C,20.901
9/2/23 10:01:01 PM,C,19.587
10/2/23 12:01:01 AM,C,18.398
10/2/23 2:01:01 AM,C,17.835
10/2/23 4:01:01 AM,C,16.959
10/2/23 6:01:01 AM,C,14.831
10/2/23 8:01:01 AM,C,14.58
10/2/23 10:01:01 AM,C,19.462
10/2/23 12:01:01 PM,C,24.09
10/2/23 2:01:01 PM,C,25.465
10/2/23 4:01:01 PM,C,25.902
10/2/23 6:01:01 PM,C,23.152
10/2/23 8:01:01 PM,C,18.273
10/2/23 10:01:01 PM,C,16.27
11/2/23 12:01:01 AM,C,14.768
11/2/23 2:01:01 AM,C,14.142
11/2/23 4:01:01 AM,C,13.766
11/2/23 6:01:01 AM,C,12.702
11/2/23 8:01:01 AM,C,13.265
11/2/23 10:01:01 AM,C,20.588
11/2/23 12:01:01 PM,C,25.402
11/2/23 2:01:01 PM,C,26.715
11/2/23 4:01:01 PM,C,26.465
11/2/23 6:01:01 PM,C,24.09
11/2/23 8:01:01 PM,C,19.274
11/2/23 10:01:01 PM,C,17.334
12/2/23 12:01:01 AM,C,14.58
12/2/23 2:01:01 AM,C,14.142
12/2/23 4:01:01 AM,C,14.267
12/2/23 6:01:01 AM,C,14.142
12/2/23 8:01:01 AM,C,15.331
12/2/23 10:01:01 AM,C,21.338
12/2/23 12:01:01 PM,C,25.965
12/2/23 2:01:01 PM,C,27.465
12/2/23 4:01:01 PM,C,26.777
12/2/23 6:01:01 PM,C,24.215
12/2/23 8:01:01 PM,C,21.213
12/2/23 10:01:01 PM,C,18.961
13/2/23 12:01:01 AM,C,16.333
13/2/23 2:01:01 AM,C,16.333
13/2/23 4:01:01 AM,C,16.646
13/2/23 6:01:01 AM,C,17.898
13/2/23 8:01:01 AM,C,18.398
13/2/23 10:01:01 AM,C,22.402
13/2/23 12:01:01 PM,C,26.09
13/2/23 2:01:01 PM,C,27.277
13/2/23 4:01:01 PM,C,27.152
13/2/23 6:01:01 PM,C,23.965
13/2/23 8:01:01 PM,C,18.586
13/2/23 10:01:01 PM,C,16.583
14/2/23 12:01:01 AM,C,14.768
14/2/23 2:01:01 AM,C,14.392
14/2/23 4:01:01 AM,C,13.265
14/2/23 6:01:01 AM,C,12.827
14/2/23 8:01:01 AM,C,13.077
14/2/23 10:01:01 AM,C,19.9
14/2/23 12:01:01 PM,C,24.027
14/2/23 2:01:01 PM,C,26.09
14/2/23 4:01:01 PM,C,24.59
14/2/23 6:01:01 PM,C,22.026
14/2/23 8:01:01 PM,C,20.463
14/2/23 10:01:01 PM,C,18.774
15/2/23 12:01:01 AM,C,16.959
15/2/23 2:01:01 AM,C,15.457
15/2/23 4:01:01 AM,C,13.766
15/2/23 6:01:01 AM,C,13.328
15/2/23 8:01:01 AM,C,13.328
15/2/23 10:01:01 AM,C,20.463
15/2/23 12:01:01 PM,C,25.715
15/2/23 2:01:01 PM,C,26.715
15/2/23 4:01:01 PM,C,26.777
15/2/23 6:01:01 PM,C,23.652
15/2/23 8:01:01 PM,C,17.647
15/2/23 10:01:01 PM,C,15.957
16/2/23 12:01:01 AM,C,14.205
16/2/23 2:01:01 AM,C,13.829
16/2/23 4:01:01 AM,C,14.455
16/2/23 6:01:01 AM,C,13.391
16/2/23 8:01:01 AM,C,14.205
16/2/23 10:01:01 AM,C,20.963
16/2/23 12:01:01 PM,C,25.965
16/2/23 2:01:01 PM,C,27.09
16/2/23 4:01:01 PM,C,27.402
16/2/23 6:01:01 PM,C,24.09
16/2/23 8:01:01 PM,C,18.398
16/2/23 10:01:01 PM,C,16.27
17/2/23 12:01:01 AM,C,14.392
17/2/23 2:01:01 AM,C,13.829
17/2/23 4:01:01 AM,C,12.89
17/2/23 6:01:01 AM,C,12.389
17/2/23 8:01:01 AM,C,14.142
17/2/23 10:01:01 AM,C,21.463
17/2/23 12:01:01 PM,C,25.84
