1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F60000007DABBC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  956
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  956
Total Device Samples:  8972
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,66.975
26/1/23 10:00:01 PM,%RH,68.885
27/1/23 12:00:01 AM,%RH,68.739
27/1/23 2:00:01 AM,%RH,72.518
27/1/23 4:00:01 AM,%RH,67.712
27/1/23 6:00:01 AM,%RH,64.308
27/1/23 8:00:01 AM,%RH,67.712
27/1/23 10:00:01 AM,%RH,66.237
27/1/23 12:00:01 PM,%RH,53.218
27/1/23 2:00:01 PM,%RH,47.114
27/1/23 4:00:01 PM,%RH,50.729
27/1/23 6:00:01 PM,%RH,61.915
27/1/23 8:00:01 PM,%RH,67.27
27/1/23 10:00:01 PM,%RH,69.324
28/1/23 12:00:01 AM,%RH,69.178
28/1/23 2:00:01 AM,%RH,69.762
28/1/23 4:00:01 AM,%RH,69.908
28/1/23 6:00:01 AM,%RH,67.417
28/1/23 8:00:01 AM,%RH,68.152
28/1/23 10:00:01 AM,%RH,61.615
28/1/23 12:00:01 PM,%RH,44.732
28/1/23 2:00:01 PM,%RH,35.021
28/1/23 4:00:01 PM,%RH,34.034
28/1/23 6:00:01 PM,%RH,49.005
28/1/23 8:00:01 PM,%RH,57.677
28/1/23 10:00:01 PM,%RH,61.314
29/1/23 12:00:01 AM,%RH,65.941
29/1/23 2:00:01 AM,%RH,62.366
29/1/23 4:00:01 AM,%RH,61.615
29/1/23 6:00:01 AM,%RH,61.163
29/1/23 8:00:01 AM,%RH,61.464
29/1/23 10:00:01 AM,%RH,63.861
29/1/23 12:00:01 PM,%RH,74.816
29/1/23 2:00:01 PM,%RH,44.254
29/1/23 4:00:01 PM,%RH,66.975
29/1/23 6:00:01 PM,%RH,53.528
29/1/23 8:00:01 PM,%RH,58.742
29/1/23 10:00:01 PM,%RH,62.516
30/1/23 12:00:01 AM,%RH,62.665
30/1/23 2:00:01 AM,%RH,63.264
30/1/23 4:00:01 AM,%RH,63.563
30/1/23 6:00:01 AM,%RH,64.308
30/1/23 8:00:01 AM,%RH,66.089
30/1/23 10:00:01 AM,%RH,64.755
30/1/23 12:00:01 PM,%RH,57.981
30/1/23 2:00:01 PM,%RH,53.837
30/1/23 4:00:01 PM,%RH,34.034
30/1/23 6:00:01 PM,%RH,84.76
30/1/23 8:00:01 PM,%RH,94.025
30/1/23 10:00:01 PM,%RH,97.932
31/1/23 12:00:01 AM,%RH,99.345
31/1/23 2:00:01 AM,%RH,99.857
31/1/23 4:00:01 AM,%RH,100.749
31/1/23 6:00:01 AM,%RH,100.876
31/1/23 8:00:01 AM,%RH,101.384
31/1/23 10:00:01 AM,%RH,97.673
31/1/23 12:00:01 PM,%RH,87.35
31/1/23 2:00:01 PM,%RH,75.245
31/1/23 4:00:01 PM,%RH,78.506
31/1/23 6:00:01 PM,%RH,83.109
31/1/23 8:00:01 PM,%RH,91.646
31/1/23 10:00:01 PM,%RH,94.025
1/2/23 12:00:01 AM,%RH,93.499
1/2/23 2:00:01 AM,%RH,88.297
1/2/23 4:00:01 AM,%RH,84.073
1/2/23 6:00:01 AM,%RH,88.702
1/2/23 8:00:01 AM,%RH,89.106
1/2/23 10:00:01 AM,%RH,73.813
1/2/23 12:00:01 PM,%RH,59.35
1/2/23 2:00:01 PM,%RH,55.994
1/2/23 4:00:01 PM,%RH,60.258
1/2/23 6:00:01 PM,%RH,60.56
1/2/23 8:00:01 PM,%RH,81.028
1/2/23 10:00:01 PM,%RH,84.073
2/2/23 12:00:01 AM,%RH,85.854
2/2/23 2:00:01 AM,%RH,78.224
2/2/23 4:00:01 AM,%RH,82.417
2/2/23 6:00:01 AM,%RH,85.445
2/2/23 8:00:01 AM,%RH,84.211
2/2/23 10:00:01 AM,%RH,74.816
2/2/23 12:00:01 PM,%RH,47.43
2/2/23 2:00:01 PM,%RH,49.476
2/2/23 4:00:01 PM,%RH,55.072
2/2/23 6:00:01 PM,%RH,61.163
2/2/23 8:00:01 PM,%RH,80.33
2/2/23 10:00:01 PM,%RH,83.523
3/2/23 12:00:01 AM,%RH,85.854
3/2/23 2:00:01 AM,%RH,78.928
3/2/23 4:00:01 AM,%RH,75.53
3/2/23 6:00:01 AM,%RH,74.53
3/2/23 8:00:01 AM,%RH,77.093
3/2/23 10:00:01 AM,%RH,61.314
