1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F60000007DABBC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  956
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  956
Total Device Samples:  8972
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.314
26/1/23 10:00:01 PM,C,23.064
27/1/23 12:00:01 AM,C,23.064
27/1/23 2:00:01 AM,C,23.189
27/1/23 4:00:01 AM,C,22.063
27/1/23 6:00:01 AM,C,21.375
27/1/23 8:00:01 AM,C,21.125
27/1/23 10:00:01 AM,C,23.877
27/1/23 12:00:01 PM,C,25.064
27/1/23 2:00:01 PM,C,25.814
27/1/23 4:00:01 PM,C,25.377
27/1/23 6:00:01 PM,C,24.689
27/1/23 8:00:01 PM,C,23.001
27/1/23 10:00:01 PM,C,23.126
28/1/23 12:00:01 AM,C,22.564
28/1/23 2:00:01 AM,C,22.126
28/1/23 4:00:01 AM,C,21.626
28/1/23 6:00:01 AM,C,21.125
28/1/23 8:00:01 AM,C,21.438
28/1/23 10:00:01 AM,C,24.502
28/1/23 12:00:01 PM,C,25.939
28/1/23 2:00:01 PM,C,26.627
28/1/23 4:00:01 PM,C,25.627
28/1/23 6:00:01 PM,C,23.877
28/1/23 8:00:01 PM,C,23.877
28/1/23 10:00:01 PM,C,23.814
29/1/23 12:00:01 AM,C,23.689
29/1/23 2:00:01 AM,C,23.439
29/1/23 4:00:01 AM,C,23.189
29/1/23 6:00:01 AM,C,22.939
29/1/23 8:00:01 AM,C,22.626
29/1/23 10:00:01 AM,C,22.376
29/1/23 12:00:01 PM,C,21.626
29/1/23 2:00:01 PM,C,25.064
29/1/23 4:00:01 PM,C,23.439
29/1/23 6:00:01 PM,C,27.877
29/1/23 8:00:01 PM,C,24.689
29/1/23 10:00:01 PM,C,24.627
30/1/23 12:00:01 AM,C,23.877
30/1/23 2:00:01 AM,C,23.502
30/1/23 4:00:01 AM,C,23.001
30/1/23 6:00:01 AM,C,22.564
30/1/23 8:00:01 AM,C,22.564
30/1/23 10:00:01 AM,C,24.939
30/1/23 12:00:01 PM,C,26.752
30/1/23 2:00:01 PM,C,27.127
