1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8B0000007DABB041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  956
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  956
Total Device Samples:  9840
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,%RH,67.719
26/1/23 10:01:01 PM,%RH,69.686
27/1/23 12:01:01 AM,%RH,71.039
27/1/23 2:01:01 AM,%RH,74.758
27/1/23 4:01:01 AM,%RH,68.932
27/1/23 6:01:01 AM,%RH,67.568
27/1/23 8:01:01 AM,%RH,74.315
27/1/23 10:01:01 AM,%RH,64.202
27/1/23 12:01:01 PM,%RH,49.331
27/1/23 2:01:01 PM,%RH,41.597
27/1/23 4:01:01 PM,%RH,47.375
27/1/23 6:01:01 PM,%RH,61.261
27/1/23 8:01:01 PM,%RH,69.837
27/1/23 10:01:01 PM,%RH,71.638
28/1/23 12:01:01 AM,%RH,70.589
28/1/23 2:01:01 AM,%RH,70.288
28/1/23 4:01:01 AM,%RH,71.787
28/1/23 6:01:01 AM,%RH,70.589
28/1/23 8:01:01 AM,%RH,68.932
28/1/23 10:01:01 AM,%RH,55.598
28/1/23 12:01:01 PM,%RH,28.495
28/1/23 2:01:01 PM,%RH,30.227
28/1/23 4:01:01 PM,%RH,29.881
28/1/23 6:01:01 PM,%RH,47.539
28/1/23 8:01:01 PM,%RH,54.643
28/1/23 10:01:01 PM,%RH,58.915
29/1/23 12:01:01 AM,%RH,60.637
29/1/23 2:01:01 AM,%RH,61.727
29/1/23 4:01:01 AM,%RH,62.348
29/1/23 6:01:01 AM,%RH,61.261
29/1/23 8:01:01 AM,%RH,61.572
29/1/23 10:01:01 AM,%RH,54.643
29/1/23 12:01:01 PM,%RH,46.064
29/1/23 2:01:01 PM,%RH,48.355
29/1/23 4:01:01 PM,%RH,58.915
29/1/23 6:01:01 PM,%RH,71.039
29/1/23 8:01:01 PM,%RH,87.96
29/1/23 10:01:01 PM,%RH,93.868
30/1/23 12:01:01 AM,%RH,95.89
30/1/23 2:01:01 AM,%RH,97.36
30/1/23 4:01:01 AM,%RH,98.157
30/1/23 6:01:01 AM,%RH,97.759
30/1/23 8:01:01 AM,%RH,98.819
30/1/23 10:01:01 AM,%RH,94.544
30/1/23 12:01:01 PM,%RH,80.592
30/1/23 2:01:01 PM,%RH,74.167
30/1/23 4:01:01 PM,%RH,79.147
30/1/23 6:01:01 PM,%RH,88.655
30/1/23 8:01:01 PM,%RH,95.084
30/1/23 10:01:01 PM,%RH,96.96
31/1/23 12:01:01 AM,%RH,98.951
31/1/23 2:01:01 AM,%RH,98.951
31/1/23 4:01:01 AM,%RH,99.083
31/1/23 6:01:01 AM,%RH,99.741
31/1/23 8:01:01 AM,%RH,100.267
31/1/23 10:01:01 AM,%RH,94.139
31/1/23 12:01:01 PM,%RH,79.292
31/1/23 2:01:01 PM,%RH,71.638
31/1/23 4:01:01 PM,%RH,67.719
31/1/23 6:01:01 PM,%RH,81.741
31/1/23 8:01:01 PM,%RH,88.794
31/1/23 10:01:01 PM,%RH,92.645
1/2/23 12:01:01 AM,%RH,91.689
1/2/23 2:01:01 AM,%RH,76.67
1/2/23 4:01:01 AM,%RH,84.306
1/2/23 6:01:01 AM,%RH,88.655
1/2/23 8:01:01 AM,%RH,87.402
1/2/23 10:01:01 AM,%RH,67.415
1/2/23 12:01:01 PM,%RH,46.721
1/2/23 2:01:01 PM,%RH,46.064
1/2/23 4:01:01 PM,%RH,50.951
1/2/23 6:01:01 PM,%RH,59.543
1/2/23 8:01:01 PM,%RH,78.712
1/2/23 10:01:01 PM,%RH,72.98
2/2/23 12:01:01 AM,%RH,75.201
2/2/23 2:01:01 AM,%RH,75.643
2/2/23 4:01:01 AM,%RH,80.448
2/2/23 6:01:01 AM,%RH,85.155
2/2/23 8:01:01 AM,%RH,82.742
2/2/23 10:01:01 AM,%RH,69.234
2/2/23 12:01:01 PM,%RH,40.595
2/2/23 2:01:01 PM,%RH,39.758
2/2/23 4:01:01 PM,%RH,46.064
2/2/23 6:01:01 PM,%RH,58.915
2/2/23 8:01:01 PM,%RH,76.23
2/2/23 10:01:01 PM,%RH,85.155
3/2/23 12:01:01 AM,%RH,72.086
3/2/23 2:01:01 AM,%RH,72.98
3/2/23 4:01:01 AM,%RH,71.488
3/2/23 6:01:01 AM,%RH,70.439
3/2/23 8:01:01 AM,%RH,74.611
3/2/23 10:01:01 AM,%RH,50.628
3/2/23 12:01:01 PM,%RH,40.26
3/2/23 2:01:01 PM,%RH,51.274
3/2/23 4:01:01 PM,%RH,66.196
3/2/23 6:01:01 PM,%RH,74.463
3/2/23 8:01:01 PM,%RH,85.719
3/2/23 10:01:01 PM,%RH,90.729
4/2/23 12:01:01 AM,%RH,93.733
4/2/23 2:01:01 AM,%RH,91.004
4/2/23 4:01:01 AM,%RH,76.23
4/2/23 6:01:01 AM,%RH,74.463
4/2/23 8:01:01 AM,%RH,79.437
4/2/23 10:01:01 AM,%RH,66.349
4/2/23 12:01:01 PM,%RH,56.866
4/2/23 2:01:01 PM,%RH,54.483
4/2/23 4:01:01 PM,%RH,56.708
4/2/23 6:01:01 PM,%RH,75.054
4/2/23 8:01:01 PM,%RH,88.238
4/2/23 10:01:01 PM,%RH,95.218
5/2/23 12:01:01 AM,%RH,96.96
5/2/23 2:01:01 AM,%RH,97.493
5/2/23 4:01:01 AM,%RH,96.559
5/2/23 6:01:01 AM,%RH,97.493
5/2/23 8:01:01 AM,%RH,98.951
5/2/23 10:01:01 AM,%RH,87.82
5/2/23 12:01:01 PM,%RH,65.584
5/2/23 2:01:01 PM,%RH,61.416
5/2/23 4:01:01 PM,%RH,70.589
5/2/23 6:01:01 PM,%RH,82.6
5/2/23 8:01:01 PM,%RH,88.238
5/2/23 10:01:01 PM,%RH,95.218
6/2/23 12:01:01 AM,%RH,96.693
6/2/23 2:01:01 AM,%RH,97.759
6/2/23 4:01:01 AM,%RH,89.072
6/2/23 6:01:01 AM,%RH,86.702
6/2/23 8:01:01 AM,%RH,90.866
