1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8B0000007DABB041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:01:01 IST 2023
Mission Sample Count:  956
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:01:01 IST 2023
Total Mission Samples:  956
Total Device Samples:  9840
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:01:01 PM,C,23.717
26/1/23 10:01:01 PM,C,22.592
27/1/23 12:01:01 AM,C,22.717
27/1/23 2:01:01 AM,C,22.842
27/1/23 4:01:01 AM,C,21.217
27/1/23 6:01:01 AM,C,20.154
27/1/23 8:01:01 AM,C,19.842
27/1/23 10:01:01 AM,C,24.342
27/1/23 12:01:01 PM,C,26.029
27/1/23 2:01:01 PM,C,27.342
27/1/23 4:01:01 PM,C,26.217
27/1/23 6:01:01 PM,C,25.092
27/1/23 8:01:01 PM,C,22.154
27/1/23 10:01:01 PM,C,22.467
28/1/23 12:01:01 AM,C,22.154
28/1/23 2:01:01 AM,C,21.529
28/1/23 4:01:01 AM,C,21.029
28/1/23 6:01:01 AM,C,20.342
28/1/23 8:01:01 AM,C,20.779
28/1/23 10:01:01 AM,C,25.217
28/1/23 12:01:01 PM,C,27.654
28/1/23 2:01:01 PM,C,28.092
28/1/23 4:01:01 PM,C,26.404
28/1/23 6:01:01 PM,C,24.154
28/1/23 8:01:01 PM,C,24.217
28/1/23 10:01:01 PM,C,24.029
29/1/23 12:01:01 AM,C,23.717
29/1/23 2:01:01 AM,C,23.342
29/1/23 4:01:01 AM,C,22.904
29/1/23 6:01:01 AM,C,22.467
29/1/23 8:01:01 AM,C,22.154
29/1/23 10:01:01 AM,C,24.592
29/1/23 12:01:01 PM,C,22.842
29/1/23 2:01:01 PM,C,24.029
29/1/23 4:01:01 PM,C,24.217
29/1/23 6:01:01 PM,C,21.717
29/1/23 8:01:01 PM,C,18.092
29/1/23 10:01:01 PM,C,17.155
30/1/23 12:01:01 AM,C,16.53
30/1/23 2:01:01 AM,C,15.53
30/1/23 4:01:01 AM,C,14.967
30/1/23 6:01:01 AM,C,14.467
30/1/23 8:01:01 AM,C,14.78
30/1/23 10:01:01 AM,C,19.092
30/1/23 12:01:01 PM,C,22.029
30/1/23 2:01:01 PM,C,23.904
30/1/23 4:01:01 PM,C,23.279
30/1/23 6:01:01 PM,C,21.592
30/1/23 8:01:01 PM,C,19.404
30/1/23 10:01:01 PM,C,18.092
31/1/23 12:01:01 AM,C,17.342
31/1/23 2:01:01 AM,C,17.28
31/1/23 4:01:01 AM,C,16.967
31/1/23 6:01:01 AM,C,17.092
31/1/23 8:01:01 AM,C,17.904
31/1/23 10:01:01 AM,C,20.467
31/1/23 12:01:01 PM,C,22.592
31/1/23 2:01:01 PM,C,24.217
31/1/23 4:01:01 PM,C,23.967
31/1/23 6:01:01 PM,C,22.154
31/1/23 8:01:01 PM,C,19.654
31/1/23 10:01:01 PM,C,18.279
1/2/23 12:01:01 AM,C,18.217
1/2/23 2:01:01 AM,C,19.342
1/2/23 4:01:01 AM,C,18.029
1/2/23 6:01:01 AM,C,17.217
1/2/23 8:01:01 AM,C,17.654
1/2/23 10:01:01 AM,C,20.404
1/2/23 12:01:01 PM,C,23.779
