1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F40000007D8FC041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  956
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  956
Total Device Samples:  8221
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,65.039
26/1/23 10:00:01 PM,%RH,70.013
27/1/23 12:00:01 AM,%RH,70.591
27/1/23 2:00:01 AM,%RH,74.027
27/1/23 4:00:01 AM,%RH,69.434
27/1/23 6:00:01 AM,%RH,66.219
27/1/23 8:00:01 AM,%RH,74.169
27/1/23 10:00:01 AM,%RH,62.36
27/1/23 12:00:01 PM,%RH,47.232
27/1/23 2:00:01 PM,%RH,45.796
27/1/23 4:00:01 PM,%RH,50.865
27/1/23 6:00:01 PM,%RH,61.01
27/1/23 8:00:01 PM,%RH,69.434
27/1/23 10:00:01 PM,%RH,70.88
28/1/23 12:00:01 AM,%RH,68.998
28/1/23 2:00:01 AM,%RH,70.591
28/1/23 4:00:01 AM,%RH,71.599
28/1/23 6:00:01 AM,%RH,67.832
28/1/23 8:00:01 AM,%RH,67.247
28/1/23 10:00:01 AM,%RH,59.499
28/1/23 12:00:01 PM,%RH,38.009
28/1/23 2:00:01 PM,%RH,33.865
28/1/23 4:00:01 PM,%RH,33.196
28/1/23 6:00:01 PM,%RH,49.134
28/1/23 8:00:01 PM,%RH,56.45
28/1/23 10:00:01 PM,%RH,60.256
29/1/23 12:00:01 AM,%RH,61.16
29/1/23 2:00:01 AM,%RH,61.31
29/1/23 4:00:01 AM,%RH,61.761
29/1/23 6:00:01 AM,%RH,61.911
29/1/23 8:00:01 AM,%RH,62.66
29/1/23 10:00:01 AM,%RH,51.648
29/1/23 12:00:01 PM,%RH,66.807
29/1/23 2:00:01 PM,%RH,57.827
29/1/23 4:00:01 PM,%RH,62.061
29/1/23 6:00:01 PM,%RH,74.31
29/1/23 8:00:01 PM,%RH,87.878
29/1/23 10:00:01 PM,%RH,94.882
30/1/23 12:00:01 AM,%RH,95.136
30/1/23 2:00:01 AM,%RH,95.263
30/1/23 4:00:01 AM,%RH,93.606
30/1/23 6:00:01 AM,%RH,95.516
