1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F40000007D8FC041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  956
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  956
Total Device Samples:  8221
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.631
26/1/23 10:00:01 PM,C,22.693
27/1/23 12:00:01 AM,C,22.755
27/1/23 2:00:01 AM,C,23.006
27/1/23 4:00:01 AM,C,21.38
27/1/23 6:00:01 AM,C,20.379
27/1/23 8:00:01 AM,C,19.941
27/1/23 10:00:01 AM,C,24.943
27/1/23 12:00:01 PM,C,26.943
27/1/23 2:00:01 PM,C,26.256
27/1/23 4:00:01 PM,C,25.318
27/1/23 6:00:01 PM,C,25.006
27/1/23 8:00:01 PM,C,22.255
27/1/23 10:00:01 PM,C,22.63
28/1/23 12:00:01 AM,C,22.38
28/1/23 2:00:01 AM,C,21.88
28/1/23 4:00:01 AM,C,21.317
28/1/23 6:00:01 AM,C,20.754
28/1/23 8:00:01 AM,C,21.067
28/1/23 10:00:01 AM,C,24.693
28/1/23 12:00:01 PM,C,26.568
28/1/23 2:00:01 PM,C,27.193
28/1/23 4:00:01 PM,C,26.068
28/1/23 6:00:01 PM,C,24.131
28/1/23 8:00:01 PM,C,24.131
28/1/23 10:00:01 PM,C,24.068
29/1/23 12:00:01 AM,C,23.818
29/1/23 2:00:01 AM,C,23.443
29/1/23 4:00:01 AM,C,22.943
29/1/23 6:00:01 AM,C,22.443
29/1/23 8:00:01 AM,C,22.068
29/1/23 10:00:01 AM,C,26.256
29/1/23 12:00:01 PM,C,21.13
29/1/23 2:00:01 PM,C,23.193
29/1/23 4:00:01 PM,C,23.881
29/1/23 6:00:01 PM,C,21.567
29/1/23 8:00:01 PM,C,18.377
29/1/23 10:00:01 PM,C,16.813
30/1/23 12:00:01 AM,C,17.126
30/1/23 2:00:01 AM,C,16.187
30/1/23 4:00:01 AM,C,15.749
30/1/23 6:00:01 AM,C,15.249
30/1/23 8:00:01 AM,C,14.936
30/1/23 10:00:01 AM,C,18.628
30/1/23 12:00:01 PM,C,21.692
30/1/23 2:00:01 PM,C,23.693
30/1/23 4:00:01 PM,C,23.256
30/1/23 6:00:01 PM,C,21.567
30/1/23 8:00:01 PM,C,19.629
30/1/23 10:00:01 PM,C,18.002
31/1/23 12:00:01 AM,C,17.189
31/1/23 2:00:01 AM,C,17.314
31/1/23 4:00:01 AM,C,16.813
31/1/23 6:00:01 AM,C,16.813
31/1/23 8:00:01 AM,C,17.376
31/1/23 10:00:01 AM,C,19.941
31/1/23 12:00:01 PM,C,21.818
31/1/23 2:00:01 PM,C,23.381
31/1/23 4:00:01 PM,C,22.818
31/1/23 6:00:01 PM,C,21.692
31/1/23 8:00:01 PM,C,19.253
31/1/23 10:00:01 PM,C,18.002
1/2/23 12:00:01 AM,C,17.251
1/2/23 2:00:01 AM,C,18.002
1/2/23 4:00:01 AM,C,17.814
1/2/23 6:00:01 AM,C,17.189
1/2/23 8:00:01 AM,C,17.627
1/2/23 10:00:01 AM,C,19.441
1/2/23 12:00:01 PM,C,22.443
1/2/23 2:00:01 PM,C,23.443
1/2/23 4:00:01 PM,C,23.506
1/2/23 6:00:01 PM,C,22.005
1/2/23 8:00:01 PM,C,18.628
1/2/23 10:00:01 PM,C,19.003
2/2/23 12:00:01 AM,C,18.753
2/2/23 2:00:01 AM,C,19.191
2/2/23 4:00:01 AM,C,19.128
2/2/23 6:00:01 AM,C,18.315
2/2/23 8:00:01 AM,C,18.065
2/2/23 10:00:01 AM,C,20.379
2/2/23 12:00:01 PM,C,23.006
2/2/23 2:00:01 PM,C,24.381
2/2/23 4:00:01 PM,C,24.068
2/2/23 6:00:01 PM,C,22.068
2/2/23 8:00:01 PM,C,18.127
2/2/23 10:00:01 PM,C,16.938
3/2/23 12:00:01 AM,C,17.752
3/2/23 2:00:01 AM,C,18.19
3/2/23 4:00:01 AM,C,18.002
3/2/23 6:00:01 AM,C,17.502
3/2/23 8:00:01 AM,C,17.251
3/2/23 10:00:01 AM,C,19.503
3/2/23 12:00:01 PM,C,22.005
3/2/23 2:00:01 PM,C,23.193
3/2/23 4:00:01 PM,C,22.63
3/2/23 6:00:01 PM,C,22.13
3/2/23 8:00:01 PM,C,21.067
3/2/23 10:00:01 PM,C,19.941
4/2/23 12:00:01 AM,C,19.003
4/2/23 2:00:01 AM,C,17.752
4/2/23 4:00:01 AM,C,18.002
4/2/23 6:00:01 AM,C,18.565
4/2/23 8:00:01 AM,C,18.565
4/2/23 10:00:01 AM,C,20.692
4/2/23 12:00:01 PM,C,23.693
4/2/23 2:00:01 PM,C,25.443
4/2/23 4:00:01 PM,C,24.943
4/2/23 6:00:01 PM,C,23.443
4/2/23 8:00:01 PM,C,21.442
4/2/23 10:00:01 PM,C,19.566
5/2/23 12:00:01 AM,C,18.878
5/2/23 2:00:01 AM,C,16.876
5/2/23 4:00:01 AM,C,15.875
5/2/23 6:00:01 AM,C,15.061
5/2/23 8:00:01 AM,C,15.124
5/2/23 10:00:01 AM,C,19.566
5/2/23 12:00:01 PM,C,23.068
5/2/23 2:00:01 PM,C,24.443
5/2/23 4:00:01 PM,C,25.131
5/2/23 6:00:01 PM,C,23.756
5/2/23 8:00:01 PM,C,21.755
5/2/23 10:00:01 PM,C,19.503
6/2/23 12:00:01 AM,C,17.877
6/2/23 2:00:01 AM,C,17.251
6/2/23 4:00:01 AM,C,16.626
6/2/23 6:00:01 AM,C,15.249
6/2/23 8:00:01 AM,C,15.186
6/2/23 10:00:01 AM,C,19.816
6/2/23 12:00:01 PM,C,21.818
6/2/23 2:00:01 PM,C,23.318
6/2/23 4:00:01 PM,C,23.568
6/2/23 6:00:01 PM,C,22.693
6/2/23 8:00:01 PM,C,21.38
6/2/23 10:00:01 PM,C,20.754
7/2/23 12:00:01 AM,C,19.879
7/2/23 2:00:01 AM,C,18.127
7/2/23 4:00:01 AM,C,16.751
7/2/23 6:00:01 AM,C,16.313
7/2/23 8:00:01 AM,C,16.125
7/2/23 10:00:01 AM,C,19.503
7/2/23 12:00:01 PM,C,22.318
7/2/23 2:00:01 PM,C,24.881
7/2/23 4:00:01 PM,C,24.318
7/2/23 6:00:01 PM,C,22.443
7/2/23 8:00:01 PM,C,21.317
7/2/23 10:00:01 PM,C,20.379
8/2/23 12:00:01 AM,C,19.566
8/2/23 2:00:01 AM,C,18.002
8/2/23 4:00:01 AM,C,17.064
8/2/23 6:00:01 AM,C,17.126
8/2/23 8:00:01 AM,C,17.627
8/2/23 10:00:01 AM,C,20.254
8/2/23 12:00:01 PM,C,23.193
8/2/23 2:00:01 PM,C,24.943
8/2/23 4:00:01 PM,C,25.318
8/2/23 6:00:01 PM,C,23.506
8/2/23 8:00:01 PM,C,21.005
8/2/23 10:00:01 PM,C,19.378
9/2/23 12:00:01 AM,C,17.502
9/2/23 2:00:01 AM,C,16.751
9/2/23 4:00:01 AM,C,15.687
9/2/23 6:00:01 AM,C,16.062
9/2/23 8:00:01 AM,C,16
9/2/23 10:00:01 AM,C,19.879
9/2/23 12:00:01 PM,C,22.693
9/2/23 2:00:01 PM,C,24.068
9/2/23 4:00:01 PM,C,24.443
