1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8A0000007DAB3541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  956
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  956
Total Device Samples:  9758
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,67.411
26/1/23 10:00:01 PM,%RH,67.995
27/1/23 12:00:01 AM,%RH,68.723
27/1/23 2:00:01 AM,%RH,73.755
27/1/23 4:00:01 AM,%RH,65.651
27/1/23 6:00:01 AM,%RH,62.688
27/1/23 8:00:01 AM,%RH,67.411
27/1/23 10:00:01 AM,%RH,67.119
27/1/23 12:00:01 PM,%RH,54.816
27/1/23 2:00:01 PM,%RH,49.224
27/1/23 4:00:01 PM,%RH,52.19
27/1/23 6:00:01 PM,%RH,62.091
27/1/23 8:00:01 PM,%RH,67.557
27/1/23 10:00:01 PM,%RH,69.738
28/1/23 12:00:01 AM,%RH,67.849
28/1/23 2:00:01 AM,%RH,68.577
28/1/23 4:00:01 AM,%RH,67.557
28/1/23 6:00:01 AM,%RH,65.061
28/1/23 8:00:01 AM,%RH,64.47
28/1/23 10:00:01 AM,%RH,59.538
28/1/23 12:00:01 PM,%RH,36.705
28/1/23 2:00:01 PM,%RH,36.705
28/1/23 4:00:01 PM,%RH,34.731
28/1/23 6:00:01 PM,%RH,48.909
28/1/23 8:00:01 PM,%RH,56.349
28/1/23 10:00:01 PM,%RH,59.387
29/1/23 12:00:01 AM,%RH,63.432
29/1/23 2:00:01 AM,%RH,61.343
29/1/23 4:00:01 AM,%RH,61.343
29/1/23 6:00:01 AM,%RH,62.241
29/1/23 8:00:01 AM,%RH,62.241
29/1/23 10:00:01 AM,%RH,54.662
29/1/23 12:00:01 PM,%RH,47.333
29/1/23 2:00:01 PM,%RH,49.38
29/1/23 4:00:01 PM,%RH,56.502
29/1/23 6:00:01 PM,%RH,70.605
29/1/23 8:00:01 PM,%RH,88.054
29/1/23 10:00:01 PM,%RH,93.553
