1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 8A0000007DAB3541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  956
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  956
Total Device Samples:  9758
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.029
26/1/23 10:00:01 PM,C,23.154
27/1/23 12:00:01 AM,C,23.092
27/1/23 2:00:01 AM,C,23.154
27/1/23 4:00:01 AM,C,22.279
27/1/23 6:00:01 AM,C,21.529
27/1/23 8:00:01 AM,C,21.279
27/1/23 10:00:01 AM,C,23.467
27/1/23 12:00:01 PM,C,24.592
27/1/23 2:00:01 PM,C,25.217
27/1/23 4:00:01 PM,C,24.842
27/1/23 6:00:01 PM,C,24.467
27/1/23 8:00:01 PM,C,22.654
27/1/23 10:00:01 PM,C,22.904
28/1/23 12:00:01 AM,C,22.842
28/1/23 2:00:01 AM,C,22.529
28/1/23 4:00:01 AM,C,22.217
28/1/23 6:00:01 AM,C,21.779
28/1/23 8:00:01 AM,C,21.842
28/1/23 10:00:01 AM,C,23.842
28/1/23 12:00:01 PM,C,24.967
28/1/23 2:00:01 PM,C,25.404
28/1/23 4:00:01 PM,C,24.842
28/1/23 6:00:01 PM,C,24.029
28/1/23 8:00:01 PM,C,24.029
28/1/23 10:00:01 PM,C,23.904
29/1/23 12:00:01 AM,C,23.717
29/1/23 2:00:01 AM,C,23.342
29/1/23 4:00:01 AM,C,22.967
29/1/23 6:00:01 AM,C,22.529
29/1/23 8:00:01 AM,C,22.092
29/1/23 10:00:01 AM,C,25.717
29/1/23 12:00:01 PM,C,22.967
29/1/23 2:00:01 PM,C,24.092
29/1/23 4:00:01 PM,C,24.279
29/1/23 6:00:01 PM,C,21.779
29/1/23 8:00:01 PM,C,17.904
29/1/23 10:00:01 PM,C,17.092
30/1/23 12:00:01 AM,C,16.592
30/1/23 2:00:01 AM,C,15.53
30/1/23 4:00:01 AM,C,15.03
30/1/23 6:00:01 AM,C,14.53
30/1/23 8:00:01 AM,C,14.842
30/1/23 10:00:01 AM,C,19.592
30/1/23 12:00:01 PM,C,22.342
30/1/23 2:00:01 PM,C,24.029
30/1/23 4:00:01 PM,C,23.092
30/1/23 6:00:01 PM,C,21.592
30/1/23 8:00:01 PM,C,19.279
30/1/23 10:00:01 PM,C,18.092
31/1/23 12:00:01 AM,C,17.342
31/1/23 2:00:01 AM,C,17.28
31/1/23 4:00:01 AM,C,16.905
31/1/23 6:00:01 AM,C,17.03
31/1/23 8:00:01 AM,C,18.279
31/1/23 10:00:01 AM,C,20.717
31/1/23 12:00:01 PM,C,22.842
31/1/23 2:00:01 PM,C,24.342
31/1/23 4:00:01 PM,C,24.342
31/1/23 6:00:01 PM,C,22.404
31/1/23 8:00:01 PM,C,19.654
31/1/23 10:00:01 PM,C,18.342
1/2/23 12:00:01 AM,C,18.592
1/2/23 2:00:01 AM,C,19.279
1/2/23 4:00:01 AM,C,18.092
1/2/23 6:00:01 AM,C,17.28
1/2/23 8:00:01 AM,C,17.717
1/2/23 10:00:01 AM,C,20.529
1/2/23 12:00:01 PM,C,23.842
1/2/23 2:00:01 PM,C,24.904
1/2/23 4:00:01 PM,C,24.654
1/2/23 6:00:01 PM,C,22.842
1/2/23 8:00:01 PM,C,19.029
1/2/23 10:00:01 PM,C,20.779
2/2/23 12:00:01 AM,C,20.029
2/2/23 2:00:01 AM,C,19.592
2/2/23 4:00:01 AM,C,19.092
2/2/23 6:00:01 AM,C,18.154
2/2/23 8:00:01 AM,C,18.342
2/2/23 10:00:01 AM,C,21.217
2/2/23 12:00:01 PM,C,24.154
2/2/23 2:00:01 PM,C,25.654
2/2/23 4:00:01 PM,C,25.467
2/2/23 6:00:01 PM,C,23.467
2/2/23 8:00:01 PM,C,18.779
2/2/23 10:00:01 PM,C,17.092
3/2/23 12:00:01 AM,C,19.529
3/2/23 2:00:01 AM,C,18.717
3/2/23 4:00:01 AM,C,18.154
3/2/23 6:00:01 AM,C,17.779
3/2/23 8:00:01 AM,C,17.467
3/2/23 10:00:01 AM,C,21.279
3/2/23 12:00:01 PM,C,23.717
3/2/23 2:00:01 PM,C,24.904
3/2/23 4:00:01 PM,C,23.717
3/2/23 6:00:01 PM,C,22.842
3/2/23 8:00:01 PM,C,21.279
3/2/23 10:00:01 PM,C,20.029
4/2/23 12:00:01 AM,C,19.217
4/2/23 2:00:01 AM,C,18.404
4/2/23 4:00:01 AM,C,19.342
4/2/23 6:00:01 AM,C,19.217
4/2/23 8:00:01 AM,C,18.967
4/2/23 10:00:01 AM,C,21.717
4/2/23 12:00:01 PM,C,25.154
4/2/23 2:00:01 PM,C,26.342
4/2/23 4:00:01 PM,C,25.842
4/2/23 6:00:01 PM,C,23.904
4/2/23 8:00:01 PM,C,21.154
4/2/23 10:00:01 PM,C,19.529
5/2/23 12:00:01 AM,C,18.779
5/2/23 2:00:01 AM,C,17.155
5/2/23 4:00:01 AM,C,16.405
5/2/23 6:00:01 AM,C,15.217
5/2/23 8:00:01 AM,C,15.53
5/2/23 10:00:01 AM,C,20.779
5/2/23 12:00:01 PM,C,24.592
5/2/23 2:00:01 PM,C,25.592
5/2/23 4:00:01 PM,C,25.717
5/2/23 6:00:01 PM,C,24.092
5/2/23 8:00:01 PM,C,21.654
5/2/23 10:00:01 PM,C,19.592
6/2/23 12:00:01 AM,C,18.092
6/2/23 2:00:01 AM,C,17.779
6/2/23 4:00:01 AM,C,17.717
6/2/23 6:00:01 AM,C,15.967
6/2/23 8:00:01 AM,C,15.842
6/2/23 10:00:01 AM,C,20.592
6/2/23 12:00:01 PM,C,22.842
6/2/23 2:00:01 PM,C,24.029
6/2/23 4:00:01 PM,C,24.342
6/2/23 6:00:01 PM,C,22.842
6/2/23 8:00:01 PM,C,21.279
6/2/23 10:00:01 PM,C,20.779
7/2/23 12:00:01 AM,C,19.717
7/2/23 2:00:01 AM,C,18.217
7/2/23 4:00:01 AM,C,17.092
7/2/23 6:00:01 AM,C,16.592
7/2/23 8:00:01 AM,C,16.28
7/2/23 10:00:01 AM,C,20.717
7/2/23 12:00:01 PM,C,23.592
7/2/23 2:00:01 PM,C,25.342
7/2/23 4:00:01 PM,C,24.154
7/2/23 6:00:01 PM,C,22.342
7/2/23 8:00:01 PM,C,21.217
7/2/23 10:00:01 PM,C,20.154
8/2/23 12:00:01 AM,C,19.404
8/2/23 2:00:01 AM,C,17.779
8/2/23 4:00:01 AM,C,17.03
8/2/23 6:00:01 AM,C,17.779
8/2/23 8:00:01 AM,C,19.092
8/2/23 10:00:01 AM,C,21.592
8/2/23 12:00:01 PM,C,24.654
8/2/23 2:00:01 PM,C,26.092
8/2/23 4:00:01 PM,C,25.717
8/2/23 6:00:01 PM,C,23.717
8/2/23 8:00:01 PM,C,20.654
8/2/23 10:00:01 PM,C,19.154
9/2/23 12:00:01 AM,C,17.779
9/2/23 2:00:01 AM,C,16.78
9/2/23 4:00:01 AM,C,15.842
9/2/23 6:00:01 AM,C,15.342
9/2/23 8:00:01 AM,C,15.467
9/2/23 10:00:01 AM,C,20.842
9/2/23 12:00:01 PM,C,24.279
9/2/23 2:00:01 PM,C,25.154
9/2/23 4:00:01 PM,C,24.467
9/2/23 6:00:01 PM,C,22.654
9/2/23 8:00:01 PM,C,21.217
9/2/23 10:00:01 PM,C,19.904
10/2/23 12:00:01 AM,C,18.654
10/2/23 2:00:01 AM,C,18.154
10/2/23 4:00:01 AM,C,17.03
10/2/23 6:00:01 AM,C,14.78
10/2/23 8:00:01 AM,C,14.905
10/2/23 10:00:01 AM,C,20.029
10/2/23 12:00:01 PM,C,24.342
10/2/23 2:00:01 PM,C,25.904
10/2/23 4:00:01 PM,C,25.904
10/2/23 6:00:01 PM,C,23.654
10/2/23 8:00:01 PM,C,19.217
10/2/23 10:00:01 PM,C,17.217
11/2/23 12:00:01 AM,C,15.967
11/2/23 2:00:01 AM,C,15.717
11/2/23 4:00:01 AM,C,15.467
11/2/23 6:00:01 AM,C,13.967
11/2/23 8:00:01 AM,C,14.155
11/2/23 10:00:01 AM,C,21.154
11/2/23 12:00:01 PM,C,25.529
11/2/23 2:00:01 PM,C,26.967
11/2/23 4:00:01 PM,C,26.654
11/2/23 6:00:01 PM,C,24.592
11/2/23 8:00:01 PM,C,20.217
11/2/23 10:00:01 PM,C,18.154
12/2/23 12:00:01 AM,C,15.842
12/2/23 2:00:01 AM,C,15.78
12/2/23 4:00:01 AM,C,16.28
12/2/23 6:00:01 AM,C,15.592
12/2/23 8:00:01 AM,C,16.905
12/2/23 10:00:01 AM,C,21.842
12/2/23 12:00:01 PM,C,26.342
12/2/23 2:00:01 PM,C,27.279
12/2/23 4:00:01 PM,C,27.529
12/2/23 6:00:01 PM,C,24.717
12/2/23 8:00:01 PM,C,21.842
12/2/23 10:00:01 PM,C,19.467
13/2/23 12:00:01 AM,C,16.967
13/2/23 2:00:01 AM,C,18.654
13/2/23 4:00:01 AM,C,18.279
13/2/23 6:00:01 AM,C,18.779
13/2/23 8:00:01 AM,C,18.842
13/2/23 10:00:01 AM,C,22.342
13/2/23 12:00:01 PM,C,26.217
13/2/23 2:00:01 PM,C,27.467
13/2/23 4:00:01 PM,C,27.342
13/2/23 6:00:01 PM,C,24.779
13/2/23 8:00:01 PM,C,19.842
13/2/23 10:00:01 PM,C,17.529
14/2/23 12:00:01 AM,C,15.592
14/2/23 2:00:01 AM,C,15.842
14/2/23 4:00:01 AM,C,14.967
14/2/23 6:00:01 AM,C,14.53
14/2/23 8:00:01 AM,C,14.405
14/2/23 10:00:01 AM,C,21.217
14/2/23 12:00:01 PM,C,24.779
14/2/23 2:00:01 PM,C,26.279
14/2/23 4:00:01 PM,C,25.279
14/2/23 6:00:01 PM,C,22.717
14/2/23 8:00:01 PM,C,21.092
14/2/23 10:00:01 PM,C,19.154
15/2/23 12:00:01 AM,C,17.467
15/2/23 2:00:01 AM,C,16.03
15/2/23 4:00:01 AM,C,14.592
15/2/23 6:00:01 AM,C,15.155
15/2/23 8:00:01 AM,C,15.092
15/2/23 10:00:01 AM,C,21.217
15/2/23 12:00:01 PM,C,25.717
15/2/23 2:00:01 PM,C,26.779
15/2/23 4:00:01 PM,C,26.967
15/2/23 6:00:01 PM,C,24.154
15/2/23 8:00:01 PM,C,18.592
15/2/23 10:00:01 PM,C,16.842
16/2/23 12:00:01 AM,C,15.092
16/2/23 2:00:01 AM,C,15.655
16/2/23 4:00:01 AM,C,17.28
16/2/23 6:00:01 AM,C,15.155
16/2/23 8:00:01 AM,C,16.842
