1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5C0000007D83AD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  955
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  955
Total Device Samples:  9844
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,64.974
26/1/23 10:00:01 PM,%RH,70.207
27/1/23 12:00:01 AM,%RH,70.781
27/1/23 2:00:01 AM,%RH,74.759
27/1/23 4:00:01 AM,%RH,69.198
27/1/23 6:00:01 AM,%RH,66.001
27/1/23 8:00:01 AM,%RH,72.495
27/1/23 10:00:01 AM,%RH,65.708
27/1/23 12:00:01 PM,%RH,50.45
27/1/23 2:00:01 PM,%RH,48.42
27/1/23 4:00:01 PM,%RH,52.157
27/1/23 6:00:01 PM,%RH,61.57
27/1/23 8:00:01 PM,%RH,66.439
27/1/23 10:00:01 PM,%RH,69.487
28/1/23 12:00:01 AM,%RH,67.75
28/1/23 2:00:01 AM,%RH,68.041
28/1/23 4:00:01 AM,%RH,68.331
28/1/23 6:00:01 AM,%RH,64.827
28/1/23 8:00:01 AM,%RH,65.854
28/1/23 10:00:01 AM,%RH,60.375
28/1/23 12:00:01 PM,%RH,38.363
28/1/23 2:00:01 PM,%RH,36.733
28/1/23 4:00:01 PM,%RH,34.602
28/1/23 6:00:01 PM,%RH,49.046
28/1/23 8:00:01 PM,%RH,56.603
28/1/23 10:00:01 PM,%RH,60.525
29/1/23 12:00:01 AM,%RH,64.827
29/1/23 2:00:01 AM,%RH,61.868
29/1/23 4:00:01 AM,%RH,61.719
29/1/23 6:00:01 AM,%RH,60.824
29/1/23 8:00:01 AM,%RH,62.314
29/1/23 10:00:01 AM,%RH,63.352
29/1/23 12:00:01 PM,%RH,74.054
29/1/23 2:00:01 PM,%RH,54.925
29/1/23 4:00:01 PM,%RH,63.943
29/1/23 6:00:01 PM,%RH,77.419
29/1/23 8:00:01 PM,%RH,89.575
29/1/23 10:00:01 PM,%RH,95.124
30/1/23 12:00:01 AM,%RH,96.643
30/1/23 2:00:01 AM,%RH,96.517
30/1/23 4:00:01 AM,%RH,95.886
30/1/23 6:00:01 AM,%RH,96.139
30/1/23 8:00:01 AM,%RH,97.774
30/1/23 10:00:01 AM,%RH,95.378
30/1/23 12:00:01 PM,%RH,81.279
30/1/23 2:00:01 PM,%RH,79.771
30/1/23 4:00:01 PM,%RH,83.588
30/1/23 6:00:01 PM,%RH,89.706
30/1/23 8:00:01 PM,%RH,94.488
30/1/23 10:00:01 PM,%RH,97.398
31/1/23 12:00:01 AM,%RH,98.898
31/1/23 2:00:01 AM,%RH,99.022
31/1/23 4:00:01 AM,%RH,99.395
31/1/23 6:00:01 AM,%RH,99.395
31/1/23 8:00:01 AM,%RH,99.519
31/1/23 10:00:01 AM,%RH,97.273
31/1/23 12:00:01 PM,%RH,88.392
31/1/23 2:00:01 PM,%RH,80.869
31/1/23 4:00:01 PM,%RH,83.588
31/1/23 6:00:01 PM,%RH,88.128
31/1/23 8:00:01 PM,%RH,92.435
31/1/23 10:00:01 PM,%RH,94.615
1/2/23 12:00:01 AM,%RH,93.079
1/2/23 2:00:01 AM,%RH,93.592
1/2/23 4:00:01 AM,%RH,92.047
1/2/23 6:00:01 AM,%RH,93.207
1/2/23 8:00:01 AM,%RH,92.047
1/2/23 10:00:01 AM,%RH,85.068
1/2/23 12:00:01 PM,%RH,62.314
1/2/23 2:00:01 PM,%RH,63.796
1/2/23 4:00:01 PM,%RH,65.268
1/2/23 6:00:01 PM,%RH,68.331
1/2/23 8:00:01 PM,%RH,81.961
1/2/23 10:00:01 PM,%RH,85.871
2/2/23 12:00:01 AM,%RH,85.871
2/2/23 2:00:01 AM,%RH,87.732
2/2/23 4:00:01 AM,%RH,88.392
2/2/23 6:00:01 AM,%RH,88.26
2/2/23 8:00:01 AM,%RH,89.181
2/2/23 10:00:01 AM,%RH,78.391
2/2/23 12:00:01 PM,%RH,55.689
2/2/23 2:00:01 PM,%RH,56.755
2/2/23 4:00:01 PM,%RH,60.525
2/2/23 6:00:01 PM,%RH,68.041
2/2/23 8:00:01 PM,%RH,81.415
2/2/23 10:00:01 PM,%RH,85.202
3/2/23 12:00:01 AM,%RH,87.996
3/2/23 2:00:01 AM,%RH,85.336
3/2/23 4:00:01 AM,%RH,83.453
3/2/23 6:00:01 AM,%RH,85.336
3/2/23 8:00:01 AM,%RH,85.604
3/2/23 10:00:01 AM,%RH,67.169
3/2/23 12:00:01 PM,%RH,61.868
3/2/23 2:00:01 PM,%RH,67.896
3/2/23 4:00:01 PM,%RH,75.322
3/2/23 6:00:01 PM,%RH,80.732
3/2/23 8:00:01 PM,%RH,89.836
3/2/23 10:00:01 PM,%RH,93.207
4/2/23 12:00:01 AM,%RH,94.997
4/2/23 2:00:01 AM,%RH,94.104
4/2/23 4:00:01 AM,%RH,91.4
4/2/23 6:00:01 AM,%RH,87.732
4/2/23 8:00:01 AM,%RH,88.655
4/2/23 10:00:01 AM,%RH,80.595
4/2/23 12:00:01 PM,%RH,70.207
4/2/23 2:00:01 PM,%RH,67.46
4/2/23 4:00:01 PM,%RH,68.62
4/2/23 6:00:01 PM,%RH,80.046
4/2/23 8:00:01 PM,%RH,89.967
4/2/23 10:00:01 PM,%RH,95.759
5/2/23 12:00:01 AM,%RH,98.524
5/2/23 2:00:01 AM,%RH,97.021
5/2/23 4:00:01 AM,%RH,98.524
5/2/23 6:00:01 AM,%RH,99.27
5/2/23 8:00:01 AM,%RH,99.519
5/2/23 10:00:01 AM,%RH,94.232
5/2/23 12:00:01 PM,%RH,74.336
5/2/23 2:00:01 PM,%RH,70.781
5/2/23 4:00:01 PM,%RH,75.462
5/2/23 6:00:01 PM,%RH,85.871
5/2/23 8:00:01 PM,%RH,91.01
5/2/23 10:00:01 PM,%RH,95.378
6/2/23 12:00:01 AM,%RH,98.149
6/2/23 2:00:01 AM,%RH,99.395
6/2/23 4:00:01 AM,%RH,91.529
6/2/23 6:00:01 AM,%RH,89.05
6/2/23 8:00:01 AM,%RH,95.378
6/2/23 10:00:01 AM,%RH,86.671
6/2/23 12:00:01 PM,%RH,72.637
6/2/23 2:00:01 PM,%RH,71.925
6/2/23 4:00:01 PM,%RH,67.46
6/2/23 6:00:01 PM,%RH,80.046
6/2/23 8:00:01 PM,%RH,91.659
6/2/23 10:00:01 PM,%RH,95.886
7/2/23 12:00:01 AM,%RH,97.273
7/2/23 2:00:01 AM,%RH,99.022
7/2/23 4:00:01 AM,%RH,99.643
7/2/23 6:00:01 AM,%RH,100.384
7/2/23 8:00:01 AM,%RH,99.643
7/2/23 10:00:01 AM,%RH,94.87
7/2/23 12:00:01 PM,%RH,76.443
7/2/23 2:00:01 PM,%RH,78.113
7/2/23 4:00:01 PM,%RH,80.046
7/2/23 6:00:01 PM,%RH,87.467
7/2/23 8:00:01 PM,%RH,94.488
7/2/23 10:00:01 PM,%RH,97.147
8/2/23 12:00:01 AM,%RH,98.649
8/2/23 2:00:01 AM,%RH,99.519
8/2/23 4:00:01 AM,%RH,101
8/2/23 6:00:01 AM,%RH,100.014
8/2/23 8:00:01 AM,%RH,101.491
8/2/23 10:00:01 AM,%RH,93.464
8/2/23 12:00:01 PM,%RH,75.322
8/2/23 2:00:01 PM,%RH,64.238
8/2/23 4:00:01 PM,%RH,78.667
8/2/23 6:00:01 PM,%RH,82.233
8/2/23 8:00:01 PM,%RH,92.306
8/2/23 10:00:01 PM,%RH,97.021
9/2/23 12:00:01 AM,%RH,98.399
9/2/23 2:00:01 AM,%RH,98.399
9/2/23 4:00:01 AM,%RH,99.395
9/2/23 6:00:01 AM,%RH,96.265
9/2/23 8:00:01 AM,%RH,97.774
9/2/23 10:00:01 AM,%RH,89.443
9/2/23 12:00:01 PM,%RH,76.303
9/2/23 2:00:01 PM,%RH,71.925
9/2/23 4:00:01 PM,%RH,79.082
9/2/23 6:00:01 PM,%RH,85.202
9/2/23 8:00:01 PM,%RH,93.977
9/2/23 10:00:01 PM,%RH,97.649
10/2/23 12:00:01 AM,%RH,98.773
10/2/23 2:00:01 AM,%RH,99.022
10/2/23 4:00:01 AM,%RH,100.631
10/2/23 6:00:01 AM,%RH,100.384
10/2/23 8:00:01 AM,%RH,101
10/2/23 10:00:01 AM,%RH,95.632
10/2/23 12:00:01 PM,%RH,75.041
10/2/23 2:00:01 PM,%RH,63.204
10/2/23 4:00:01 PM,%RH,64.386
10/2/23 6:00:01 PM,%RH,66.293
10/2/23 8:00:01 PM,%RH,76.583
10/2/23 10:00:01 PM,%RH,85.202
11/2/23 12:00:01 AM,%RH,81.688
11/2/23 2:00:01 AM,%RH,78.391
11/2/23 4:00:01 AM,%RH,79.082
11/2/23 6:00:01 AM,%RH,86.271
11/2/23 8:00:01 AM,%RH,93.079
11/2/23 10:00:01 AM,%RH,83.453
11/2/23 12:00:01 PM,%RH,65.854
11/2/23 2:00:01 PM,%RH,59.024
11/2/23 4:00:01 PM,%RH,49.983
11/2/23 6:00:01 PM,%RH,57.362
11/2/23 8:00:01 PM,%RH,79.358
11/2/23 10:00:01 PM,%RH,92.95
12/2/23 12:00:01 AM,%RH,85.068
12/2/23 2:00:01 AM,%RH,79.908
12/2/23 4:00:01 AM,%RH,77.697
12/2/23 6:00:01 AM,%RH,84.666
