1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5C0000007D83AD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  955
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  955
Total Device Samples:  9844
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.609
26/1/23 10:00:01 PM,C,22.796
27/1/23 12:00:01 AM,C,22.859
27/1/23 2:00:01 AM,C,22.984
27/1/23 4:00:01 AM,C,21.546
27/1/23 6:00:01 AM,C,20.608
27/1/23 8:00:01 AM,C,20.295
27/1/23 10:00:01 AM,C,24.047
27/1/23 12:00:01 PM,C,25.797
27/1/23 2:00:01 PM,C,25.359
27/1/23 4:00:01 PM,C,25.109
27/1/23 6:00:01 PM,C,24.547
27/1/23 8:00:01 PM,C,23.109
27/1/23 10:00:01 PM,C,23.172
28/1/23 12:00:01 AM,C,22.859
28/1/23 2:00:01 AM,C,22.484
28/1/23 4:00:01 AM,C,22.171
28/1/23 6:00:01 AM,C,21.671
28/1/23 8:00:01 AM,C,21.859
28/1/23 10:00:01 AM,C,23.734
28/1/23 12:00:01 PM,C,24.797
28/1/23 2:00:01 PM,C,25.422
28/1/23 4:00:01 PM,C,24.984
28/1/23 6:00:01 PM,C,24.047
28/1/23 8:00:01 PM,C,24.047
28/1/23 10:00:01 PM,C,23.922
29/1/23 12:00:01 AM,C,23.734
29/1/23 2:00:01 AM,C,23.422
29/1/23 4:00:01 AM,C,23.109
29/1/23 6:00:01 AM,C,22.734
29/1/23 8:00:01 AM,C,22.421
29/1/23 10:00:01 AM,C,22.421
29/1/23 12:00:01 PM,C,21.671
29/1/23 2:00:01 PM,C,23.609
29/1/23 4:00:01 PM,C,23.359
29/1/23 6:00:01 PM,C,21.296
29/1/23 8:00:01 PM,C,18.106
29/1/23 10:00:01 PM,C,16.854
30/1/23 12:00:01 AM,C,16.98
30/1/23 2:00:01 AM,C,16.041
30/1/23 4:00:01 AM,C,15.603
30/1/23 6:00:01 AM,C,15.04
30/1/23 8:00:01 AM,C,14.789
30/1/23 10:00:01 AM,C,19.294
30/1/23 12:00:01 PM,C,22.484
30/1/23 2:00:01 PM,C,23.609
30/1/23 4:00:01 PM,C,23.047
30/1/23 6:00:01 PM,C,21.483
30/1/23 8:00:01 PM,C,19.545
30/1/23 10:00:01 PM,C,18.043
31/1/23 12:00:01 AM,C,17.167
31/1/23 2:00:01 AM,C,17.23
31/1/23 4:00:01 AM,C,16.854
31/1/23 6:00:01 AM,C,16.792
31/1/23 8:00:01 AM,C,17.292
31/1/23 10:00:01 AM,C,20.42
31/1/23 12:00:01 PM,C,22.609
31/1/23 2:00:01 PM,C,23.797
31/1/23 4:00:01 PM,C,22.796
31/1/23 6:00:01 PM,C,21.546
31/1/23 8:00:01 PM,C,19.169
31/1/23 10:00:01 PM,C,17.793
1/2/23 12:00:01 AM,C,17.23
1/2/23 2:00:01 AM,C,17.292
1/2/23 4:00:01 AM,C,16.917
1/2/23 6:00:01 AM,C,16.604
1/2/23 8:00:01 AM,C,17.355
1/2/23 10:00:01 AM,C,19.357
1/2/23 12:00:01 PM,C,23.422
1/2/23 2:00:01 PM,C,23.672
1/2/23 4:00:01 PM,C,23.234
1/2/23 6:00:01 PM,C,21.671
1/2/23 8:00:01 PM,C,18.481
1/2/23 10:00:01 PM,C,18.982
2/2/23 12:00:01 AM,C,18.606
2/2/23 2:00:01 AM,C,18.481
2/2/23 4:00:01 AM,C,18.731
2/2/23 6:00:01 AM,C,18.043
2/2/23 8:00:01 AM,C,17.918
2/2/23 10:00:01 AM,C,20.608
2/2/23 12:00:01 PM,C,23.859
