1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DB0000007DAA6341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  971
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  971
Total Device Samples:  8188
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,80.274
25/1/23 8:00:01 PM,%RH,77.389
25/1/23 10:00:01 PM,%RH,78.114
26/1/23 12:00:01 AM,%RH,79.413
26/1/23 2:00:01 AM,%RH,77.098
26/1/23 4:00:01 AM,%RH,73.87
26/1/23 6:00:01 AM,%RH,70.441
26/1/23 8:00:01 AM,%RH,73.278
26/1/23 10:00:01 AM,%RH,75.637
26/1/23 12:00:01 PM,%RH,52.292
26/1/23 2:00:01 PM,%RH,32.02
26/1/23 4:00:01 PM,%RH,70.14
26/1/23 6:00:01 PM,%RH,79.557
26/1/23 8:00:01 PM,%RH,81.132
26/1/23 10:00:01 PM,%RH,96.046
27/1/23 12:00:01 AM,%RH,95.521
27/1/23 2:00:01 AM,%RH,100.059
27/1/23 4:00:01 AM,%RH,86.058
27/1/23 6:00:01 AM,%RH,90.313
27/1/23 8:00:01 AM,%RH,85.78
27/1/23 10:00:01 AM,%RH,77.243
27/1/23 12:00:01 PM,%RH,53.266
27/1/23 2:00:01 PM,%RH,50.988
27/1/23 4:00:01 PM,%RH,61.701
27/1/23 6:00:01 PM,%RH,74.755
27/1/23 8:00:01 PM,%RH,82.977
27/1/23 10:00:01 PM,%RH,97.741
28/1/23 12:00:01 AM,%RH,97.612
28/1/23 2:00:01 AM,%RH,98.518
28/1/23 4:00:01 AM,%RH,93.271
28/1/23 6:00:01 AM,%RH,81.559
28/1/23 8:00:01 AM,%RH,77.824
28/1/23 10:00:01 AM,%RH,65.423
28/1/23 12:00:01 PM,%RH,28.316
28/1/23 2:00:01 PM,%RH,30.791
28/1/23 4:00:01 PM,%RH,30.967
28/1/23 6:00:01 PM,%RH,56.164
28/1/23 8:00:01 PM,%RH,68.629
28/1/23 10:00:01 PM,%RH,92.87
29/1/23 12:00:01 AM,%RH,96.439
29/1/23 2:00:01 AM,%RH,86.751
29/1/23 4:00:01 AM,%RH,83.259
29/1/23 6:00:01 AM,%RH,83.4
29/1/23 8:00:01 AM,%RH,85.919
29/1/23 10:00:01 AM,%RH,70.591
29/1/23 12:00:01 PM,%RH,42.178
29/1/23 2:00:01 PM,%RH,45.537
29/1/23 4:00:01 PM,%RH,50.006
29/1/23 6:00:01 PM,%RH,63.879
29/1/23 8:00:01 PM,%RH,84.664
29/1/23 10:00:01 PM,%RH,95.126
30/1/23 12:00:01 AM,%RH,91.26
30/1/23 2:00:01 AM,%RH,86.889
30/1/23 4:00:01 AM,%RH,84.804
30/1/23 6:00:01 AM,%RH,87.442
30/1/23 8:00:01 AM,%RH,90.854
30/1/23 10:00:01 AM,%RH,86.613
30/1/23 12:00:01 PM,%RH,68.629
30/1/23 2:00:01 PM,%RH,73.574
30/1/23 4:00:01 PM,%RH,75.784
30/1/23 6:00:01 PM,%RH,82.411
30/1/23 8:00:01 PM,%RH,91.26
30/1/23 10:00:01 PM,%RH,96.7
31/1/23 12:00:01 AM,%RH,95.39
31/1/23 2:00:01 AM,%RH,96.831
31/1/23 4:00:01 AM,%RH,95.653
31/1/23 6:00:01 AM,%RH,95.653
31/1/23 8:00:01 AM,%RH,95.39
31/1/23 10:00:01 AM,%RH,90.041
31/1/23 12:00:01 PM,%RH,74.461
31/1/23 2:00:01 PM,%RH,63.879
31/1/23 4:00:01 PM,%RH,62.481
31/1/23 6:00:01 PM,%RH,73.426
31/1/23 8:00:01 PM,%RH,77.824
31/1/23 10:00:01 PM,%RH,80.418
1/2/23 12:00:01 AM,%RH,83.963
1/2/23 2:00:01 AM,%RH,82.977
1/2/23 4:00:01 AM,%RH,78.837
1/2/23 6:00:01 AM,%RH,86.751
1/2/23 8:00:01 AM,%RH,86.613
1/2/23 10:00:01 AM,%RH,61.701
1/2/23 12:00:01 PM,%RH,44.031
1/2/23 2:00:01 PM,%RH,37.403
1/2/23 4:00:01 PM,%RH,37.403
1/2/23 6:00:01 PM,%RH,46.869
1/2/23 8:00:01 PM,%RH,56.803
1/2/23 10:00:01 PM,%RH,68.629
2/2/23 12:00:01 AM,%RH,73.426
2/2/23 2:00:01 AM,%RH,75.784
2/2/23 4:00:01 AM,%RH,82.694
2/2/23 6:00:01 AM,%RH,88.815
2/2/23 8:00:01 AM,%RH,81.844
2/2/23 10:00:01 AM,%RH,64.034
2/2/23 12:00:01 PM,%RH,37.919
2/2/23 2:00:01 PM,%RH,38.776
2/2/23 4:00:01 PM,%RH,41.67
2/2/23 6:00:01 PM,%RH,46.371
2/2/23 8:00:01 PM,%RH,53.428
2/2/23 10:00:01 PM,%RH,63.259
3/2/23 12:00:01 AM,%RH,68.022
3/2/23 2:00:01 AM,%RH,71.49
3/2/23 4:00:01 AM,%RH,73.574
3/2/23 6:00:01 AM,%RH,72.683
3/2/23 8:00:01 AM,%RH,68.478
3/2/23 10:00:01 AM,%RH,58.711
3/2/23 12:00:01 PM,%RH,37.575
3/2/23 2:00:01 PM,%RH,46.204
3/2/23 4:00:01 PM,%RH,54.719
3/2/23 6:00:01 PM,%RH,61.388
3/2/23 8:00:01 PM,%RH,70.29
3/2/23 10:00:01 PM,%RH,77.679
4/2/23 12:00:01 AM,%RH,82.553
4/2/23 2:00:01 AM,%RH,78.114
4/2/23 4:00:01 AM,%RH,75.344
4/2/23 6:00:01 AM,%RH,73.278
4/2/23 8:00:01 AM,%RH,78.404
4/2/23 10:00:01 AM,%RH,58.869
4/2/23 12:00:01 PM,%RH,51.315
4/2/23 2:00:01 PM,%RH,49.184
4/2/23 4:00:01 PM,%RH,48.855
4/2/23 6:00:01 PM,%RH,62.325
4/2/23 8:00:01 PM,%RH,86.889
4/2/23 10:00:01 PM,%RH,94.466
5/2/23 12:00:01 AM,%RH,96.308
5/2/23 2:00:01 AM,%RH,93.67
5/2/23 4:00:01 AM,%RH,87.579
5/2/23 6:00:01 AM,%RH,88.129
5/2/23 8:00:01 AM,%RH,82.553
5/2/23 10:00:01 AM,%RH,72.981
5/2/23 12:00:01 PM,%RH,58.077
5/2/23 2:00:01 PM,%RH,51.967
5/2/23 4:00:01 PM,%RH,50.006
5/2/23 6:00:01 PM,%RH,76.369
5/2/23 8:00:01 PM,%RH,82.835
5/2/23 10:00:01 PM,%RH,93.404
6/2/23 12:00:01 AM,%RH,96.57
6/2/23 2:00:01 AM,%RH,87.442
6/2/23 4:00:01 AM,%RH,73.574
6/2/23 6:00:01 AM,%RH,71.49
6/2/23 8:00:01 AM,%RH,71.939
6/2/23 10:00:01 AM,%RH,62.793
6/2/23 12:00:01 PM,%RH,51.315
6/2/23 2:00:01 PM,%RH,51.152
6/2/23 4:00:01 PM,%RH,45.036
6/2/23 6:00:01 PM,%RH,63.569
6/2/23 8:00:01 PM,%RH,91.664
6/2/23 10:00:01 PM,%RH,95.784
7/2/23 12:00:01 AM,%RH,96.439
