1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DB0000007DAA6341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  971
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  971
Total Device Samples:  8188
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.656
25/1/23 8:00:01 PM,C,24.156
25/1/23 10:00:01 PM,C,23.531
26/1/23 12:00:01 AM,C,23.969
26/1/23 2:00:01 AM,C,23.781
26/1/23 4:00:01 AM,C,23.156
26/1/23 6:00:01 AM,C,22.468
26/1/23 8:00:01 AM,C,18.09
26/1/23 10:00:01 AM,C,18.841
26/1/23 12:00:01 PM,C,27.968
26/1/23 2:00:01 PM,C,26.594
26/1/23 4:00:01 PM,C,24.156
26/1/23 6:00:01 PM,C,22.093
26/1/23 8:00:01 PM,C,20.217
26/1/23 10:00:01 PM,C,19.466
27/1/23 12:00:01 AM,C,17.84
27/1/23 2:00:01 AM,C,17.151
27/1/23 4:00:01 AM,C,16.901
27/1/23 6:00:01 AM,C,15.336
27/1/23 8:00:01 AM,C,16.651
27/1/23 10:00:01 AM,C,19.967
27/1/23 12:00:01 PM,C,23.719
27/1/23 2:00:01 PM,C,24.281
27/1/23 4:00:01 PM,C,24.469
27/1/23 6:00:01 PM,C,22.156
27/1/23 8:00:01 PM,C,19.779
27/1/23 10:00:01 PM,C,19.591
28/1/23 12:00:01 AM,C,18.59
28/1/23 2:00:01 AM,C,17.339
28/1/23 4:00:01 AM,C,16.901
28/1/23 6:00:01 AM,C,16.275
28/1/23 8:00:01 AM,C,17.089
28/1/23 10:00:01 AM,C,20.342
28/1/23 12:00:01 PM,C,24.531
28/1/23 2:00:01 PM,C,25.094
28/1/23 4:00:01 PM,C,24.594
28/1/23 6:00:01 PM,C,22.718
28/1/23 8:00:01 PM,C,19.904
28/1/23 10:00:01 PM,C,18.778
29/1/23 12:00:01 AM,C,18.215
29/1/23 2:00:01 AM,C,17.026
29/1/23 4:00:01 AM,C,16.964
29/1/23 6:00:01 AM,C,16.4
29/1/23 8:00:01 AM,C,16.4
29/1/23 10:00:01 AM,C,20.53
29/1/23 12:00:01 PM,C,23.781
29/1/23 2:00:01 PM,C,24.906
29/1/23 4:00:01 PM,C,24.969
29/1/23 6:00:01 PM,C,22.718
29/1/23 8:00:01 PM,C,20.405
29/1/23 10:00:01 PM,C,18.653
30/1/23 12:00:01 AM,C,18.34
30/1/23 2:00:01 AM,C,17.714
30/1/23 4:00:01 AM,C,17.589
30/1/23 6:00:01 AM,C,16.901
30/1/23 8:00:01 AM,C,17.464
30/1/23 10:00:01 AM,C,20.467
30/1/23 12:00:01 PM,C,23.281
30/1/23 2:00:01 PM,C,23.406
30/1/23 4:00:01 PM,C,23.281
30/1/23 6:00:01 PM,C,21.843
30/1/23 8:00:01 PM,C,20.217
30/1/23 10:00:01 PM,C,19.279
31/1/23 12:00:01 AM,C,19.091
31/1/23 2:00:01 AM,C,19.154
31/1/23 4:00:01 AM,C,18.465
31/1/23 6:00:01 AM,C,18.59
31/1/23 8:00:01 AM,C,18.903
31/1/23 10:00:01 AM,C,20.53
31/1/23 12:00:01 PM,C,23.219
31/1/23 2:00:01 PM,C,24.719
31/1/23 4:00:01 PM,C,24.594
31/1/23 6:00:01 PM,C,22.843
31/1/23 8:00:01 PM,C,21.155
31/1/23 10:00:01 PM,C,19.717
1/2/23 12:00:01 AM,C,18.528
1/2/23 2:00:01 AM,C,18.403
1/2/23 4:00:01 AM,C,18.152
1/2/23 6:00:01 AM,C,17.214
1/2/23 8:00:01 AM,C,17.464
1/2/23 10:00:01 AM,C,20.842
1/2/23 12:00:01 PM,C,24.281
1/2/23 2:00:01 PM,C,25.531
1/2/23 4:00:01 PM,C,25.531
1/2/23 6:00:01 PM,C,23.781
1/2/23 8:00:01 PM,C,21.843
1/2/23 10:00:01 PM,C,20.842
2/2/23 12:00:01 AM,C,20.092
2/2/23 2:00:01 AM,C,19.216
2/2/23 4:00:01 AM,C,18.278
2/2/23 6:00:01 AM,C,17.589
2/2/23 8:00:01 AM,C,18.34
2/2/23 10:00:01 AM,C,21.28
2/2/23 12:00:01 PM,C,24.656
2/2/23 2:00:01 PM,C,25.906
2/2/23 4:00:01 PM,C,25.656
2/2/23 6:00:01 PM,C,23.531
2/2/23 8:00:01 PM,C,21.28
2/2/23 10:00:01 PM,C,19.654
3/2/23 12:00:01 AM,C,19.717
3/2/23 2:00:01 AM,C,18.528
3/2/23 4:00:01 AM,C,17.777
3/2/23 6:00:01 AM,C,17.026
3/2/23 8:00:01 AM,C,17.902
3/2/23 10:00:01 AM,C,20.467
3/2/23 12:00:01 PM,C,24.156
3/2/23 2:00:01 PM,C,24.719
3/2/23 4:00:01 PM,C,24.344
3/2/23 6:00:01 PM,C,23.719
3/2/23 8:00:01 PM,C,22.281
3/2/23 10:00:01 PM,C,21.28
4/2/23 12:00:01 AM,C,20.217
4/2/23 2:00:01 AM,C,19.341
4/2/23 4:00:01 AM,C,19.091
4/2/23 6:00:01 AM,C,19.091
4/2/23 8:00:01 AM,C,18.716
4/2/23 10:00:01 AM,C,22.343
4/2/23 12:00:01 PM,C,25.781
4/2/23 2:00:01 PM,C,26.781
4/2/23 4:00:01 PM,C,26.406
4/2/23 6:00:01 PM,C,24.531
4/2/23 8:00:01 PM,C,22.031
4/2/23 10:00:01 PM,C,20.78
5/2/23 12:00:01 AM,C,19.591
5/2/23 2:00:01 AM,C,18.152
5/2/23 4:00:01 AM,C,18.027
5/2/23 6:00:01 AM,C,17.589
5/2/23 8:00:01 AM,C,18.966
5/2/23 10:00:01 AM,C,22.281
5/2/23 12:00:01 PM,C,25.594
5/2/23 2:00:01 PM,C,26.719
5/2/23 4:00:01 PM,C,26.344
5/2/23 6:00:01 PM,C,24.656
5/2/23 8:00:01 PM,C,22.531
5/2/23 10:00:01 PM,C,20.78
6/2/23 12:00:01 AM,C,19.654
6/2/23 2:00:01 AM,C,19.967
6/2/23 4:00:01 AM,C,18.59
6/2/23 6:00:01 AM,C,17.777
6/2/23 8:00:01 AM,C,18.403
6/2/23 10:00:01 AM,C,21.968
6/2/23 12:00:01 PM,C,24.406
6/2/23 2:00:01 PM,C,24.781
6/2/23 4:00:01 PM,C,25.094
6/2/23 6:00:01 PM,C,23.719
6/2/23 8:00:01 PM,C,21.343
6/2/23 10:00:01 PM,C,20.342
7/2/23 12:00:01 AM,C,19.591
7/2/23 2:00:01 AM,C,19.154
7/2/23 4:00:01 AM,C,19.341
7/2/23 6:00:01 AM,C,18.716
7/2/23 8:00:01 AM,C,17.589
7/2/23 10:00:01 AM,C,21.593
7/2/23 12:00:01 PM,C,23.093
7/2/23 2:00:01 PM,C,25.031
7/2/23 4:00:01 PM,C,24.656
7/2/23 6:00:01 PM,C,23.156
7/2/23 8:00:01 PM,C,21.468
7/2/23 10:00:01 PM,C,20.467
8/2/23 12:00:01 AM,C,19.779
8/2/23 2:00:01 AM,C,19.779
8/2/23 4:00:01 AM,C,18.841
8/2/23 6:00:01 AM,C,18.528
8/2/23 8:00:01 AM,C,18.841
8/2/23 10:00:01 AM,C,22.343
