1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007DABF841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  971
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  971
Total Device Samples:  9100
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,80.938
25/1/23 8:00:01 PM,%RH,78.557
25/1/23 10:00:01 PM,%RH,78.417
26/1/23 12:00:01 AM,%RH,79.401
26/1/23 2:00:01 AM,%RH,77.711
26/1/23 4:00:01 AM,%RH,73.283
26/1/23 6:00:01 AM,%RH,69.939
26/1/23 8:00:01 AM,%RH,79.541
26/1/23 10:00:01 AM,%RH,78.839
26/1/23 12:00:01 PM,%RH,47.714
26/1/23 2:00:01 PM,%RH,34.102
26/1/23 4:00:01 PM,%RH,74.003
26/1/23 6:00:01 PM,%RH,80.938
26/1/23 8:00:01 PM,%RH,85.616
26/1/23 10:00:01 PM,%RH,96.838
27/1/23 12:00:01 AM,%RH,97.859
27/1/23 2:00:01 AM,%RH,102.627
27/1/23 4:00:01 AM,%RH,99.127
27/1/23 6:00:01 AM,%RH,96.325
27/1/23 8:00:01 AM,%RH,99.883
27/1/23 10:00:01 AM,%RH,101.51
27/1/23 12:00:01 PM,%RH,76.435
27/1/23 2:00:01 PM,%RH,65.354
27/1/23 4:00:01 PM,%RH,65.951
27/1/23 6:00:01 PM,%RH,75.151
27/1/23 8:00:01 PM,%RH,85.48
27/1/23 10:00:01 PM,%RH,99.883
28/1/23 12:00:01 AM,%RH,101.261
28/1/23 2:00:01 AM,%RH,102.255
28/1/23 4:00:01 AM,%RH,103.244
28/1/23 6:00:01 AM,%RH,100.385
28/1/23 8:00:01 AM,%RH,98.494
28/1/23 10:00:01 AM,%RH,95.939
28/1/23 12:00:01 PM,%RH,66.843
28/1/23 2:00:01 PM,%RH,52.946
28/1/23 4:00:01 PM,%RH,44.007
28/1/23 6:00:01 PM,%RH,57.922
28/1/23 8:00:01 PM,%RH,74.578
28/1/23 10:00:01 PM,%RH,97.093
29/1/23 12:00:01 AM,%RH,100.009
29/1/23 2:00:01 AM,%RH,96.068
29/1/23 4:00:01 AM,%RH,95.81
29/1/23 6:00:01 AM,%RH,97.093
29/1/23 8:00:01 AM,%RH,100.886
29/1/23 10:00:01 AM,%RH,96.068
29/1/23 12:00:01 PM,%RH,72.126
29/1/23 2:00:01 PM,%RH,59.151
29/1/23 4:00:01 PM,%RH,54.824
29/1/23 6:00:01 PM,%RH,65.951
29/1/23 8:00:01 PM,%RH,87.511
29/1/23 10:00:01 PM,%RH,97.604
30/1/23 12:00:01 AM,%RH,99.253
30/1/23 2:00:01 AM,%RH,96.966
30/1/23 4:00:01 AM,%RH,96.068
30/1/23 6:00:01 AM,%RH,97.477
30/1/23 8:00:01 AM,%RH,100.385
30/1/23 10:00:01 AM,%RH,98.747
30/1/23 12:00:01 PM,%RH,83.703
30/1/23 2:00:01 PM,%RH,81.494
30/1/23 4:00:01 PM,%RH,79.12
30/1/23 6:00:01 PM,%RH,84.662
30/1/23 8:00:01 PM,%RH,94.648
30/1/23 10:00:01 PM,%RH,98.621
31/1/23 12:00:01 AM,%RH,102.131
31/1/23 2:00:01 AM,%RH,101.883
31/1/23 4:00:01 AM,%RH,99.253
31/1/23 6:00:01 AM,%RH,100.26
31/1/23 8:00:01 AM,%RH,101.634
31/1/23 10:00:01 AM,%RH,100.886
31/1/23 12:00:01 PM,%RH,90.849
31/1/23 2:00:01 PM,%RH,79.681
31/1/23 4:00:01 PM,%RH,76.15
31/1/23 6:00:01 PM,%RH,79.821
31/1/23 8:00:01 PM,%RH,82.463
31/1/23 10:00:01 PM,%RH,82.877
1/2/23 12:00:01 AM,%RH,87.107
1/2/23 2:00:01 AM,%RH,88.452
1/2/23 4:00:01 AM,%RH,90.054
1/2/23 6:00:01 AM,%RH,90.849
1/2/23 8:00:01 AM,%RH,94.129
1/2/23 10:00:01 AM,%RH,89.121
1/2/23 12:00:01 PM,%RH,74.147
1/2/23 2:00:01 PM,%RH,63.555
1/2/23 4:00:01 PM,%RH,51.845
1/2/23 6:00:01 PM,%RH,57.922
1/2/23 8:00:01 PM,%RH,66.1
1/2/23 10:00:01 PM,%RH,77.993
2/2/23 12:00:01 AM,%RH,81.771
2/2/23 2:00:01 AM,%RH,85.616
2/2/23 4:00:01 AM,%RH,88.987
2/2/23 6:00:01 AM,%RH,92.431
2/2/23 8:00:01 AM,%RH,90.186
2/2/23 10:00:01 AM,%RH,81.355
2/2/23 12:00:01 PM,%RH,58.076
2/2/23 2:00:01 PM,%RH,57.768
2/2/23 4:00:01 PM,%RH,55.291
2/2/23 6:00:01 PM,%RH,58.691
2/2/23 8:00:01 PM,%RH,59.61
2/2/23 10:00:01 PM,%RH,72.271
3/2/23 12:00:01 AM,%RH,84.662
3/2/23 2:00:01 AM,%RH,82.877
3/2/23 4:00:01 AM,%RH,81.91
3/2/23 6:00:01 AM,%RH,87.242
3/2/23 8:00:01 AM,%RH,84.388
3/2/23 10:00:01 AM,%RH,71.254
3/2/23 12:00:01 PM,%RH,61.59
3/2/23 2:00:01 PM,%RH,67.584
3/2/23 4:00:01 PM,%RH,69.353
