1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5F0000007DABF841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  971
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  971
Total Device Samples:  9100
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.574
25/1/23 8:00:01 PM,C,24.262
25/1/23 10:00:01 PM,C,23.699
26/1/23 12:00:01 AM,C,24.199
26/1/23 2:00:01 AM,C,23.949
26/1/23 4:00:01 AM,C,23.386
26/1/23 6:00:01 AM,C,22.761
26/1/23 8:00:01 AM,C,18.381
26/1/23 10:00:01 AM,C,18.882
26/1/23 12:00:01 PM,C,27.949
26/1/23 2:00:01 PM,C,26.199
26/1/23 4:00:01 PM,C,23.886
26/1/23 6:00:01 PM,C,22.198
26/1/23 8:00:01 PM,C,20.008
26/1/23 10:00:01 PM,C,19.508
27/1/23 12:00:01 AM,C,18.319
27/1/23 2:00:01 AM,C,16.942
27/1/23 4:00:01 AM,C,15.188
27/1/23 6:00:01 AM,C,14.812
27/1/23 8:00:01 AM,C,14.436
27/1/23 10:00:01 AM,C,16.879
27/1/23 12:00:01 PM,C,20.572
27/1/23 2:00:01 PM,C,23.324
27/1/23 4:00:01 PM,C,24.262
27/1/23 6:00:01 PM,C,22.448
27/1/23 8:00:01 PM,C,19.946
27/1/23 10:00:01 PM,C,19.57
28/1/23 12:00:01 AM,C,18.882
28/1/23 2:00:01 AM,C,17.818
28/1/23 4:00:01 AM,C,16.002
28/1/23 6:00:01 AM,C,14.311
28/1/23 8:00:01 AM,C,13.998
28/1/23 10:00:01 AM,C,16.879
28/1/23 12:00:01 PM,C,19.758
28/1/23 2:00:01 PM,C,22.698
28/1/23 4:00:01 PM,C,23.511
28/1/23 6:00:01 PM,C,22.823
28/1/23 8:00:01 PM,C,19.57
28/1/23 10:00:01 PM,C,19.07
29/1/23 12:00:01 AM,C,18.507
29/1/23 2:00:01 AM,C,16.19
29/1/23 4:00:01 AM,C,15.752
29/1/23 6:00:01 AM,C,14.562
29/1/23 8:00:01 AM,C,14.562
29/1/23 10:00:01 AM,C,17.38
29/1/23 12:00:01 PM,C,20.259
29/1/23 2:00:01 PM,C,23.386
