1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F60000007DAAA541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  971
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  971
Total Device Samples:  8269
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,77.832
25/1/23 8:00:01 PM,%RH,76.083
25/1/23 10:00:01 PM,%RH,76.375
26/1/23 12:00:01 AM,%RH,78.847
26/1/23 2:00:01 AM,%RH,76.667
26/1/23 4:00:01 AM,%RH,73.136
26/1/23 6:00:01 AM,%RH,68.798
26/1/23 8:00:01 AM,%RH,66.522
26/1/23 10:00:01 AM,%RH,75.936
26/1/23 12:00:01 PM,%RH,49.352
26/1/23 2:00:01 PM,%RH,32.961
26/1/23 4:00:01 PM,%RH,67.738
26/1/23 6:00:01 PM,%RH,81.148
26/1/23 8:00:01 PM,%RH,82.005
26/1/23 10:00:01 PM,%RH,95.652
27/1/23 12:00:01 AM,%RH,96.317
27/1/23 2:00:01 AM,%RH,98.56
27/1/23 4:00:01 AM,%RH,85.538
27/1/23 6:00:01 AM,%RH,90.386
27/1/23 8:00:01 AM,%RH,84.132
27/1/23 10:00:01 AM,%RH,72.691
27/1/23 12:00:01 PM,%RH,46.409
27/1/23 2:00:01 PM,%RH,43.27
27/1/23 4:00:01 PM,%RH,63.764
27/1/23 6:00:01 PM,%RH,76.229
27/1/23 8:00:01 PM,%RH,83.284
27/1/23 10:00:01 PM,%RH,95.652
28/1/23 12:00:01 AM,%RH,97.903
28/1/23 2:00:01 AM,%RH,97.771
28/1/23 4:00:01 AM,%RH,94.584
28/1/23 6:00:01 AM,%RH,82.574
28/1/23 8:00:01 AM,%RH,77.687
28/1/23 10:00:01 AM,%RH,60.039
28/1/23 12:00:01 PM,%RH,25.835
28/1/23 2:00:01 PM,%RH,27.762
28/1/23 4:00:01 PM,%RH,28.286
28/1/23 6:00:01 PM,%RH,55.465
28/1/23 8:00:01 PM,%RH,69.401
28/1/23 10:00:01 PM,%RH,94.851
29/1/23 12:00:01 AM,%RH,95.919
29/1/23 2:00:01 AM,%RH,85.258
29/1/23 4:00:01 AM,%RH,81.577
29/1/23 6:00:01 AM,%RH,82.716
29/1/23 8:00:01 AM,%RH,83.567
29/1/23 10:00:01 AM,%RH,62.063
29/1/23 12:00:01 PM,%RH,37.059
29/1/23 2:00:01 PM,%RH,41.604
29/1/23 4:00:01 PM,%RH,47.558
29/1/23 6:00:01 PM,%RH,67.738
29/1/23 8:00:01 PM,%RH,85.678
29/1/23 10:00:01 PM,%RH,93.913
