1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F60000007DAAA541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  971
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  971
Total Device Samples:  8269
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.793
25/1/23 8:00:01 PM,C,24.418
25/1/23 10:00:01 PM,C,23.793
26/1/23 12:00:01 AM,C,24.168
26/1/23 2:00:01 AM,C,24.105
26/1/23 4:00:01 AM,C,23.418
26/1/23 6:00:01 AM,C,22.792
26/1/23 8:00:01 AM,C,19.04
26/1/23 10:00:01 AM,C,18.915
26/1/23 12:00:01 PM,C,29.042
26/1/23 2:00:01 PM,C,26.48
26/1/23 4:00:01 PM,C,24.793
26/1/23 6:00:01 PM,C,21.792
26/1/23 8:00:01 PM,C,20.104
26/1/23 10:00:01 PM,C,19.353
27/1/23 12:00:01 AM,C,17.789
27/1/23 2:00:01 AM,C,17.163
27/1/23 4:00:01 AM,C,16.663
27/1/23 6:00:01 AM,C,15.224
27/1/23 8:00:01 AM,C,17.476
27/1/23 10:00:01 AM,C,21.042
27/1/23 12:00:01 PM,C,25.168
27/1/23 2:00:01 PM,C,25.605
27/1/23 4:00:01 PM,C,24.918
27/1/23 6:00:01 PM,C,21.98
27/1/23 8:00:01 PM,C,19.728
27/1/23 10:00:01 PM,C,19.165
28/1/23 12:00:01 AM,C,18.352
28/1/23 2:00:01 AM,C,17.038
28/1/23 4:00:01 AM,C,16.475
28/1/23 6:00:01 AM,C,16.1
28/1/23 8:00:01 AM,C,17.852
28/1/23 10:00:01 AM,C,22.355
28/1/23 12:00:01 PM,C,25.605
28/1/23 2:00:01 PM,C,26.855
28/1/23 4:00:01 PM,C,25.918
28/1/23 6:00:01 PM,C,22.542
28/1/23 8:00:01 PM,C,19.541
28/1/23 10:00:01 PM,C,18.54
29/1/23 12:00:01 AM,C,18.039
29/1/23 2:00:01 AM,C,17.289
29/1/23 4:00:01 AM,C,17.351
29/1/23 6:00:01 AM,C,16.6
29/1/23 8:00:01 AM,C,17.226
29/1/23 10:00:01 AM,C,22.23
29/1/23 12:00:01 PM,C,25.23
29/1/23 2:00:01 PM,C,26.168
29/1/23 4:00:01 PM,C,25.293
29/1/23 6:00:01 PM,C,22.167
29/1/23 8:00:01 PM,C,20.354
29/1/23 10:00:01 PM,C,18.727
30/1/23 12:00:01 AM,C,18.602
30/1/23 2:00:01 AM,C,18.164
30/1/23 4:00:01 AM,C,17.852
30/1/23 6:00:01 AM,C,17.038
30/1/23 8:00:01 AM,C,18.102
30/1/23 10:00:01 AM,C,22.667
30/1/23 12:00:01 PM,C,24.793
30/1/23 2:00:01 PM,C,24.293
30/1/23 4:00:01 PM,C,23.355
30/1/23 6:00:01 PM,C,21.479
30/1/23 8:00:01 PM,C,19.978
30/1/23 10:00:01 PM,C,19.353
31/1/23 12:00:01 AM,C,18.79
31/1/23 2:00:01 AM,C,19.103
31/1/23 4:00:01 AM,C,18.227
31/1/23 6:00:01 AM,C,17.977
31/1/23 8:00:01 AM,C,19.103
31/1/23 10:00:01 AM,C,21.354
31/1/23 12:00:01 PM,C,24.105
31/1/23 2:00:01 PM,C,25.605
31/1/23 4:00:01 PM,C,24.668
31/1/23 6:00:01 PM,C,22.292
31/1/23 8:00:01 PM,C,20.604
31/1/23 10:00:01 PM,C,19.478
1/2/23 12:00:01 AM,C,18.853
1/2/23 2:00:01 AM,C,18.415
1/2/23 4:00:01 AM,C,18.039
1/2/23 6:00:01 AM,C,16.725
1/2/23 8:00:01 AM,C,17.789
1/2/23 10:00:01 AM,C,21.604
1/2/23 12:00:01 PM,C,25.855
1/2/23 2:00:01 PM,C,26.293
1/2/23 4:00:01 PM,C,26.105
1/2/23 6:00:01 PM,C,22.792
1/2/23 8:00:01 PM,C,21.042
1/2/23 10:00:01 PM,C,20.541
2/2/23 12:00:01 AM,C,19.978
2/2/23 2:00:01 AM,C,19.103
2/2/23 4:00:01 AM,C,18.29
2/2/23 6:00:01 AM,C,17.539
2/2/23 8:00:01 AM,C,18.79
2/2/23 10:00:01 AM,C,22.355
2/2/23 12:00:01 PM,C,25.918
2/2/23 2:00:01 PM,C,27.043
2/2/23 4:00:01 PM,C,26.418
2/2/23 6:00:01 PM,C,23.543
2/2/23 8:00:01 PM,C,20.666
2/2/23 10:00:01 PM,C,19.541
3/2/23 12:00:01 AM,C,19.478
3/2/23 2:00:01 AM,C,18.415
3/2/23 4:00:01 AM,C,17.601
3/2/23 6:00:01 AM,C,17.038
3/2/23 8:00:01 AM,C,18.415
3/2/23 10:00:01 AM,C,23.48
3/2/23 12:00:01 PM,C,24.918
3/2/23 2:00:01 PM,C,25.605
3/2/23 4:00:01 PM,C,24.918
3/2/23 6:00:01 PM,C,24.168
3/2/23 8:00:01 PM,C,22.292
3/2/23 10:00:01 PM,C,20.979
4/2/23 12:00:01 AM,C,20.041
4/2/23 2:00:01 AM,C,18.915
4/2/23 4:00:01 AM,C,18.665
4/2/23 6:00:01 AM,C,18.853
4/2/23 8:00:01 AM,C,19.478
4/2/23 10:00:01 AM,C,23.668
4/2/23 12:00:01 PM,C,27.543
4/2/23 2:00:01 PM,C,28.043
4/2/23 4:00:01 PM,C,26.668
4/2/23 6:00:01 PM,C,24.23
4/2/23 8:00:01 PM,C,21.604
4/2/23 10:00:01 PM,C,20.291
5/2/23 12:00:01 AM,C,19.416
5/2/23 2:00:01 AM,C,18.039
5/2/23 4:00:01 AM,C,18.164
5/2/23 6:00:01 AM,C,17.601
5/2/23 8:00:01 AM,C,19.728
5/2/23 10:00:01 AM,C,24.043
5/2/23 12:00:01 PM,C,27.168
5/2/23 2:00:01 PM,C,28.542
5/2/23 4:00:01 PM,C,26.98
5/2/23 6:00:01 PM,C,24.355
5/2/23 8:00:01 PM,C,21.98
5/2/23 10:00:01 PM,C,20.604
6/2/23 12:00:01 AM,C,19.603
6/2/23 2:00:01 AM,C,19.916
6/2/23 4:00:01 AM,C,18.102
6/2/23 6:00:01 AM,C,17.163
6/2/23 8:00:01 AM,C,18.665
6/2/23 10:00:01 AM,C,23.73
6/2/23 12:00:01 PM,C,25.73
6/2/23 2:00:01 PM,C,25.98
6/2/23 4:00:01 PM,C,25.543
6/2/23 6:00:01 PM,C,23.168
6/2/23 8:00:01 PM,C,21.104
6/2/23 10:00:01 PM,C,19.978
7/2/23 12:00:01 AM,C,19.416
7/2/23 2:00:01 AM,C,18.853
7/2/23 4:00:01 AM,C,18.602
7/2/23 6:00:01 AM,C,17.977
7/2/23 8:00:01 AM,C,18.227
7/2/23 10:00:01 AM,C,23.48
7/2/23 12:00:01 PM,C,24.168
7/2/23 2:00:01 PM,C,25.98
7/2/23 4:00:01 PM,C,24.73
7/2/23 6:00:01 PM,C,22.292
7/2/23 8:00:01 PM,C,21.042
7/2/23 10:00:01 PM,C,20.354
8/2/23 12:00:01 AM,C,19.353
8/2/23 2:00:01 AM,C,19.165
8/2/23 4:00:01 AM,C,17.852
8/2/23 6:00:01 AM,C,17.351
8/2/23 8:00:01 AM,C,19.228
8/2/23 10:00:01 AM,C,23.918
8/2/23 12:00:01 PM,C,26.98
8/2/23 2:00:01 PM,C,28.043
8/2/23 4:00:01 PM,C,26.168
8/2/23 6:00:01 PM,C,23.855
8/2/23 8:00:01 PM,C,21.479
8/2/23 10:00:01 PM,C,20.917
9/2/23 12:00:01 AM,C,19.29
9/2/23 2:00:01 AM,C,18.665
9/2/23 4:00:01 AM,C,17.914
9/2/23 6:00:01 AM,C,17.852
9/2/23 8:00:01 AM,C,19.29
9/2/23 10:00:01 AM,C,24.668
9/2/23 12:00:01 PM,C,25.73
9/2/23 2:00:01 PM,C,27.23
9/2/23 4:00:01 PM,C,25.418
9/2/23 6:00:01 PM,C,23.168
9/2/23 8:00:01 PM,C,20.917
9/2/23 10:00:01 PM,C,20.104
10/2/23 12:00:01 AM,C,19.541
10/2/23 2:00:01 AM,C,18.665
10/2/23 4:00:01 AM,C,16.413
10/2/23 6:00:01 AM,C,15.537
10/2/23 8:00:01 AM,C,18.102
10/2/23 10:00:01 AM,C,22.917
10/2/23 12:00:01 PM,C,25.668
10/2/23 2:00:01 PM,C,27.918
10/2/23 4:00:01 PM,C,25.605
10/2/23 6:00:01 PM,C,23.668
10/2/23 8:00:01 PM,C,21.479
10/2/23 10:00:01 PM,C,19.603
11/2/23 12:00:01 AM,C,19.103
11/2/23 2:00:01 AM,C,18.54
11/2/23 4:00:01 AM,C,18.915
11/2/23 6:00:01 AM,C,18.039
11/2/23 8:00:01 AM,C,18.227
11/2/23 10:00:01 AM,C,24.543
11/2/23 12:00:01 PM,C,28.043
11/2/23 2:00:01 PM,C,28.792
11/2/23 4:00:01 PM,C,27.105
11/2/23 6:00:01 PM,C,24.48
11/2/23 8:00:01 PM,C,21.729
11/2/23 10:00:01 PM,C,19.791
12/2/23 12:00:01 AM,C,18.602
12/2/23 2:00:01 AM,C,18.477
12/2/23 4:00:01 AM,C,18.29
12/2/23 6:00:01 AM,C,18.29
12/2/23 8:00:01 AM,C,20.041
12/2/23 10:00:01 AM,C,24.98
12/2/23 12:00:01 PM,C,28.418
12/2/23 2:00:01 PM,C,29.542
12/2/23 4:00:01 PM,C,28.355
12/2/23 6:00:01 PM,C,24.918
12/2/23 8:00:01 PM,C,21.542
12/2/23 10:00:01 PM,C,20.229
13/2/23 12:00:01 AM,C,16.538
13/2/23 2:00:01 AM,C,19.04
13/2/23 4:00:01 AM,C,19.29
13/2/23 6:00:01 AM,C,18.477
13/2/23 8:00:01 AM,C,19.353
13/2/23 10:00:01 AM,C,24.918
13/2/23 12:00:01 PM,C,26.793
13/2/23 2:00:01 PM,C,29.292
13/2/23 4:00:01 PM,C,28.605
13/2/23 6:00:01 PM,C,25.23
13/2/23 8:00:01 PM,C,21.98
13/2/23 10:00:01 PM,C,19.478
14/2/23 12:00:01 AM,C,19.29
14/2/23 2:00:01 AM,C,18.602
14/2/23 4:00:01 AM,C,17.476
14/2/23 6:00:01 AM,C,16.1
14/2/23 8:00:01 AM,C,19.29
14/2/23 10:00:01 AM,C,24.355
14/2/23 12:00:01 PM,C,27.355
14/2/23 2:00:01 PM,C,28.792
14/2/23 4:00:01 PM,C,26.48
14/2/23 6:00:01 PM,C,23.168
14/2/23 8:00:01 PM,C,20.416
14/2/23 10:00:01 PM,C,19.478
15/2/23 12:00:01 AM,C,18.039
15/2/23 2:00:01 AM,C,15.912
15/2/23 4:00:01 AM,C,15.036
15/2/23 6:00:01 AM,C,14.786
15/2/23 8:00:01 AM,C,16.538
15/2/23 10:00:01 AM,C,24.043
15/2/23 12:00:01 PM,C,26.98
15/2/23 2:00:01 PM,C,28.73
15/2/23 4:00:01 PM,C,27.918
15/2/23 6:00:01 PM,C,24.293
15/2/23 8:00:01 PM,C,21.98
15/2/23 10:00:01 PM,C,19.978
16/2/23 12:00:01 AM,C,18.352
16/2/23 2:00:01 AM,C,18.29
16/2/23 4:00:01 AM,C,18.415
16/2/23 6:00:01 AM,C,17.414
16/2/23 8:00:01 AM,C,19.29
16/2/23 10:00:01 AM,C,23.668
16/2/23 12:00:01 PM,C,28.168
16/2/23 2:00:01 PM,C,28.355
16/2/23 4:00:01 PM,C,27.605
16/2/23 6:00:01 PM,C,24.293
16/2/23 8:00:01 PM,C,21.479
16/2/23 10:00:01 PM,C,19.666
17/2/23 12:00:01 AM,C,17.852
17/2/23 2:00:01 AM,C,18.665
17/2/23 4:00:01 AM,C,17.414
17/2/23 6:00:01 AM,C,15.975
