1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 810000007D8F8041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:01:01 IST 2023
Mission Sample Count:  971
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:01:01 IST 2023
Total Mission Samples:  971
Total Device Samples:  9089
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:01:01 PM,%RH,75.373
25/1/23 8:01:01 PM,%RH,76.839
25/1/23 10:01:01 PM,%RH,77.714
26/1/23 12:01:01 AM,%RH,78.875
26/1/23 2:01:01 AM,%RH,76.254
26/1/23 4:01:01 AM,%RH,72.115
26/1/23 6:01:01 AM,%RH,68.658
26/1/23 8:01:01 AM,%RH,68.961
26/1/23 10:01:01 AM,%RH,81.034
26/1/23 12:01:01 PM,%RH,47.17
26/1/23 2:01:01 PM,%RH,35.41
26/1/23 4:01:01 PM,%RH,73.898
26/1/23 6:01:01 PM,%RH,85.148
26/1/23 8:01:01 PM,%RH,83.314
26/1/23 10:01:01 PM,%RH,96.073
27/1/23 12:01:01 AM,%RH,97.526
27/1/23 2:01:01 AM,%RH,98.314
27/1/23 4:01:01 AM,%RH,88.352
27/1/23 6:01:01 AM,%RH,92.59
27/1/23 8:01:01 AM,%RH,89.18
27/1/23 10:01:01 AM,%RH,77.714
27/1/23 12:01:01 PM,%RH,51.417
27/1/23 2:01:01 PM,%RH,49.791
27/1/23 4:01:01 PM,%RH,70.168
27/1/23 6:01:01 PM,%RH,78.875
27/1/23 8:01:01 PM,%RH,84.021
27/1/23 10:01:01 PM,%RH,96.47
28/1/23 12:01:01 AM,%RH,98.052
28/1/23 2:01:01 AM,%RH,97.921
28/1/23 4:01:01 AM,%RH,97.131
28/1/23 6:01:01 AM,%RH,88.629
28/1/23 8:01:01 AM,%RH,85.709
28/1/23 10:01:01 AM,%RH,71.518
28/1/23 12:01:01 PM,%RH,28.652
28/1/23 2:01:01 PM,%RH,31.79
28/1/23 4:01:01 PM,%RH,31.442
28/1/23 6:01:01 PM,%RH,57.98
28/1/23 8:01:01 PM,%RH,71.069
28/1/23 10:01:01 PM,%RH,94.741
29/1/23 12:01:01 AM,%RH,95.807
29/1/23 2:01:01 AM,%RH,88.491
29/1/23 4:01:01 AM,%RH,88.076
29/1/23 6:01:01 AM,%RH,87.244
29/1/23 8:01:01 AM,%RH,86.826
29/1/23 10:01:01 AM,%RH,69.565
29/1/23 12:01:01 PM,%RH,41.013
29/1/23 2:01:01 PM,%RH,47.828
29/1/23 4:01:01 PM,%RH,53.998
29/1/23 6:01:01 PM,%RH,69.263
29/1/23 8:01:01 PM,%RH,85.709
29/1/23 10:01:01 PM,%RH,94.206
30/1/23 12:01:01 AM,%RH,92.861
30/1/23 2:01:01 AM,%RH,89.455
30/1/23 4:01:01 AM,%RH,86.547
30/1/23 6:01:01 AM,%RH,89.18
30/1/23 8:01:01 AM,%RH,93.534
30/1/23 10:01:01 AM,%RH,83.597
30/1/23 12:01:01 PM,%RH,67.748
30/1/23 2:01:01 PM,%RH,74.932
30/1/23 4:01:01 PM,%RH,81.464
30/1/23 6:01:01 PM,%RH,86.268
30/1/23 8:01:01 PM,%RH,92.725
30/1/23 10:01:01 PM,%RH,96.735
31/1/23 12:01:01 AM,%RH,96.603
31/1/23 2:01:01 AM,%RH,97.658
31/1/23 4:01:01 AM,%RH,97.395
31/1/23 6:01:01 AM,%RH,97.526
31/1/23 8:01:01 AM,%RH,95.408
31/1/23 10:01:01 AM,%RH,90.278
31/1/23 12:01:01 PM,%RH,76.985
31/1/23 2:01:01 PM,%RH,66.835
31/1/23 4:01:01 PM,%RH,66.682
31/1/23 6:01:01 PM,%RH,80.029
31/1/23 8:01:01 PM,%RH,82.32
31/1/23 10:01:01 PM,%RH,83.172
1/2/23 12:01:01 AM,%RH,86.687
1/2/23 2:01:01 AM,%RH,77.714
1/2/23 4:01:01 AM,%RH,80.173
1/2/23 6:01:01 AM,%RH,83.739
1/2/23 8:01:01 AM,%RH,86.965
1/2/23 10:01:01 AM,%RH,64.073
1/2/23 12:01:01 PM,%RH,44.025
1/2/23 2:01:01 PM,%RH,39.665
1/2/23 4:01:01 PM,%RH,43.358
1/2/23 6:01:01 PM,%RH,56.235
1/2/23 8:01:01 PM,%RH,63.609
1/2/23 10:01:01 PM,%RH,68.355
2/2/23 12:01:01 AM,%RH,70.769
2/2/23 2:01:01 AM,%RH,75.52
2/2/23 4:01:01 AM,%RH,83.314
2/2/23 6:01:01 AM,%RH,88.076
2/2/23 8:01:01 AM,%RH,82.888
2/2/23 10:01:01 AM,%RH,65.15
2/2/23 12:01:01 PM,%RH,38.988
2/2/23 2:01:01 PM,%RH,38.649
2/2/23 4:01:01 PM,%RH,42.188
2/2/23 6:01:01 PM,%RH,49.302
2/2/23 8:01:01 PM,%RH,58.927
2/2/23 10:01:01 PM,%RH,66.376
3/2/23 12:01:01 AM,%RH,68.052
3/2/23 2:01:01 AM,%RH,71.817
3/2/23 4:01:01 AM,%RH,74.194
3/2/23 6:01:01 AM,%RH,74.49
3/2/23 8:01:01 AM,%RH,70.619
3/2/23 10:01:01 AM,%RH,51.741
3/2/23 12:01:01 PM,%RH,38.988
3/2/23 2:01:01 PM,%RH,46.511
3/2/23 4:01:01 PM,%RH,54.158
3/2/23 6:01:01 PM,%RH,61.591
3/2/23 8:01:01 PM,%RH,73.305
3/2/23 10:01:01 PM,%RH,78.875
4/2/23 12:01:01 AM,%RH,83.597
4/2/23 2:01:01 AM,%RH,80.748
4/2/23 4:01:01 AM,%RH,75.079
4/2/23 6:01:01 AM,%RH,74.932
4/2/23 8:01:01 AM,%RH,79.019
4/2/23 10:01:01 AM,%RH,62.369
4/2/23 12:01:01 PM,%RH,52.064
4/2/23 2:01:01 PM,%RH,49.791
4/2/23 4:01:01 PM,%RH,54.799
4/2/23 6:01:01 PM,%RH,66.376
4/2/23 8:01:01 PM,%RH,88.214
4/2/23 10:01:01 PM,%RH,95.674
5/2/23 12:01:01 AM,%RH,97.131
5/2/23 2:01:01 AM,%RH,96.603
5/2/23 4:01:01 AM,%RH,87.66
5/2/23 6:01:01 AM,%RH,88.767
5/2/23 8:01:01 AM,%RH,83.172
5/2/23 10:01:01 AM,%RH,72.86
5/2/23 12:01:01 PM,%RH,56.395
5/2/23 2:01:01 PM,%RH,49.954
5/2/23 4:01:01 PM,%RH,56.076
5/2/23 6:01:01 PM,%RH,80.748
5/2/23 8:01:01 PM,%RH,85.989
5/2/23 10:01:01 PM,%RH,94.474
6/2/23 12:01:01 AM,%RH,95.94
6/2/23 2:01:01 AM,%RH,91.37
6/2/23 4:01:01 AM,%RH,79.453
6/2/23 6:01:01 AM,%RH,78.44
6/2/23 8:01:01 AM,%RH,76.985
6/2/23 10:01:01 AM,%RH,64.843
6/2/23 12:01:01 PM,%RH,47.992
6/2/23 2:01:01 PM,%RH,47.499
6/2/23 4:01:01 PM,%RH,51.903
6/2/23 6:01:01 PM,%RH,69.716
6/2/23 8:01:01 PM,%RH,91.642
6/2/23 10:01:01 PM,%RH,96.205
7/2/23 12:01:01 AM,%RH,97.921
7/2/23 2:01:01 AM,%RH,98.576
7/2/23 4:01:01 AM,%RH,87.521
7/2/23 6:01:01 AM,%RH,87.66
7/2/23 8:01:01 AM,%RH,95.674
7/2/23 10:01:01 AM,%RH,80.891
7/2/23 12:01:01 PM,%RH,69.867
7/2/23 2:01:01 PM,%RH,66.529
7/2/23 4:01:01 PM,%RH,75.814
7/2/23 6:01:01 PM,%RH,83.456
7/2/23 8:01:01 PM,%RH,94.741
7/2/23 10:01:01 PM,%RH,97.921
8/2/23 12:01:01 AM,%RH,97.395
8/2/23 2:01:01 AM,%RH,97.921
8/2/23 4:01:01 AM,%RH,95.807
8/2/23 6:01:01 AM,%RH,96.073
8/2/23 8:01:01 AM,%RH,92.995
8/2/23 10:01:01 AM,%RH,75.52
8/2/23 12:01:01 PM,%RH,54.959
8/2/23 2:01:01 PM,%RH,52.549
8/2/23 4:01:01 PM,%RH,57.03
8/2/23 6:01:01 PM,%RH,75.961
8/2/23 8:01:01 PM,%RH,89.867
8/2/23 10:01:01 PM,%RH,94.875
9/2/23 12:01:01 AM,%RH,94.607
9/2/23 2:01:01 AM,%RH,89.867
9/2/23 4:01:01 AM,%RH,85.429
9/2/23 6:01:01 AM,%RH,85.148
9/2/23 8:01:01 AM,%RH,89.18
9/2/23 10:01:01 AM,%RH,63.145
9/2/23 12:01:01 PM,%RH,65.304
9/2/23 2:01:01 PM,%RH,56.235
9/2/23 4:01:01 PM,%RH,69.716
9/2/23 6:01:01 PM,%RH,81.464
9/2/23 8:01:01 PM,%RH,93.937
9/2/23 10:01:01 PM,%RH,97.395
10/2/23 12:01:01 AM,%RH,97.131
10/2/23 2:01:01 AM,%RH,97.526
10/2/23 4:01:01 AM,%RH,98.445
10/2/23 6:01:01 AM,%RH,96.073
10/2/23 8:01:01 AM,%RH,95.142
10/2/23 10:01:01 AM,%RH,73.454
10/2/23 12:01:01 PM,%RH,53.676
10/2/23 2:01:01 PM,%RH,37.63
10/2/23 4:01:01 PM,%RH,41.517
10/2/23 6:01:01 PM,%RH,54.799
10/2/23 8:01:01 PM,%RH,56.871
10/2/23 10:01:01 PM,%RH,63.3
11/2/23 12:01:01 AM,%RH,60.184
11/2/23 2:01:01 AM,%RH,60.967
11/2/23 4:01:01 AM,%RH,58.139
11/2/23 6:01:01 AM,%RH,66.835
11/2/23 8:01:01 AM,%RH,75.667
11/2/23 10:01:01 AM,%RH,54.799
11/2/23 12:01:01 PM,%RH,37.46
11/2/23 2:01:01 PM,%RH,33.519
11/2/23 4:01:01 PM,%RH,41.685
11/2/23 6:01:01 PM,%RH,45.188
11/2/23 8:01:01 PM,%RH,83.172
11/2/23 10:01:01 PM,%RH,88.629
12/2/23 12:01:01 AM,%RH,58.612
12/2/23 2:01:01 AM,%RH,55.279
12/2/23 4:01:01 AM,%RH,53.676
12/2/23 6:01:01 AM,%RH,60.341
12/2/23 8:01:01 AM,%RH,61.435
12/2/23 10:01:01 AM,%RH,51.903
