1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 810000007D8F8041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:01:01 IST 2023
Mission Sample Count:  971
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:01:01 IST 2023
Total Mission Samples:  971
Total Device Samples:  9089
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:01:01 PM,C,25.553
25/1/23 8:01:01 PM,C,24.303
25/1/23 10:01:01 PM,C,23.74
26/1/23 12:01:01 AM,C,24.303
26/1/23 2:01:01 AM,C,24.115
26/1/23 4:01:01 AM,C,23.552
26/1/23 6:01:01 AM,C,22.927
26/1/23 8:01:01 AM,C,18.862
26/1/23 10:01:01 AM,C,18.925
26/1/23 12:01:01 PM,C,28.24
26/1/23 2:01:01 PM,C,26.24
26/1/23 4:01:01 PM,C,23.427
26/1/23 6:01:01 PM,C,21.427
26/1/23 8:01:01 PM,C,19.988
26/1/23 10:01:01 PM,C,19.3
27/1/23 12:01:01 AM,C,17.548
27/1/23 2:01:01 AM,C,17.298
27/1/23 4:01:01 AM,C,16.484
27/1/23 6:01:01 AM,C,15.045
27/1/23 8:01:01 AM,C,16.61
27/1/23 10:01:01 AM,C,20.113
27/1/23 12:01:01 PM,C,24.053
27/1/23 2:01:01 PM,C,24.053
27/1/23 4:01:01 PM,C,23.552
27/1/23 6:01:01 PM,C,21.677
27/1/23 8:01:01 PM,C,19.738
27/1/23 10:01:01 PM,C,19.112
28/1/23 12:01:01 AM,C,18.362
28/1/23 2:01:01 AM,C,17.11
28/1/23 4:01:01 AM,C,16.109
28/1/23 6:01:01 AM,C,15.358
28/1/23 8:01:01 AM,C,16.484
28/1/23 10:01:01 AM,C,20.301
28/1/23 12:01:01 PM,C,24.865
28/1/23 2:01:01 PM,C,25.365
28/1/23 4:01:01 PM,C,24.49
28/1/23 6:01:01 PM,C,22.114
28/1/23 8:01:01 PM,C,19.488
28/1/23 10:01:01 PM,C,18.549
29/1/23 12:01:01 AM,C,18.049
29/1/23 2:01:01 AM,C,16.922
29/1/23 4:01:01 AM,C,16.61
29/1/23 6:01:01 AM,C,15.733
29/1/23 8:01:01 AM,C,16.547
29/1/23 10:01:01 AM,C,20.676
29/1/23 12:01:01 PM,C,24.115
29/1/23 2:01:01 PM,C,24.803
29/1/23 4:01:01 PM,C,24.053
29/1/23 6:01:01 PM,C,21.864
29/1/23 8:01:01 PM,C,20.301
29/1/23 10:01:01 PM,C,18.612
30/1/23 12:01:01 AM,C,18.174
30/1/23 2:01:01 AM,C,17.298
30/1/23 4:01:01 AM,C,17.486
30/1/23 6:01:01 AM,C,16.797
30/1/23 8:01:01 AM,C,16.86
30/1/23 10:01:01 AM,C,20.926
30/1/23 12:01:01 PM,C,23.615
30/1/23 2:01:01 PM,C,23.427
30/1/23 4:01:01 PM,C,22.802
30/1/23 6:01:01 PM,C,21.301
30/1/23 8:01:01 PM,C,19.988
30/1/23 10:01:01 PM,C,19.3
31/1/23 12:01:01 AM,C,18.799
31/1/23 2:01:01 AM,C,19.05
31/1/23 4:01:01 AM,C,18.299
31/1/23 6:01:01 AM,C,18.299
31/1/23 8:01:01 AM,C,18.862
31/1/23 10:01:01 AM,C,20.739
31/1/23 12:01:01 PM,C,23.49
31/1/23 2:01:01 PM,C,24.615
31/1/23 4:01:01 PM,C,24.115
31/1/23 6:01:01 PM,C,22.114
31/1/23 8:01:01 PM,C,20.426
31/1/23 10:01:01 PM,C,19.362
1/2/23 12:01:01 AM,C,18.111
1/2/23 2:01:01 AM,C,18.925
1/2/23 4:01:01 AM,C,18.111
1/2/23 6:01:01 AM,C,17.548
1/2/23 8:01:01 AM,C,17.486
1/2/23 10:01:01 AM,C,20.864
1/2/23 12:01:01 PM,C,24.615
1/2/23 2:01:01 PM,C,25.365
1/2/23 4:01:01 PM,C,24.803
1/2/23 6:01:01 PM,C,22.49
1/2/23 8:01:01 PM,C,20.739
1/2/23 10:01:01 PM,C,20.926
2/2/23 12:01:01 AM,C,20.238
2/2/23 2:01:01 AM,C,19.237
2/2/23 4:01:01 AM,C,18.424
2/2/23 6:01:01 AM,C,17.673
2/2/23 8:01:01 AM,C,18.362
2/2/23 10:01:01 AM,C,21.427
2/2/23 12:01:01 PM,C,24.99
2/2/23 2:01:01 PM,C,25.99
2/2/23 4:01:01 PM,C,25.365
2/2/23 6:01:01 PM,C,23.115
2/2/23 8:01:01 PM,C,20.551
2/2/23 10:01:01 PM,C,19.3
3/2/23 12:01:01 AM,C,19.613
3/2/23 2:01:01 AM,C,18.549
3/2/23 4:01:01 AM,C,17.736
3/2/23 6:01:01 AM,C,17.11
3/2/23 8:01:01 AM,C,17.861
3/2/23 10:01:01 AM,C,21.301
3/2/23 12:01:01 PM,C,24.303
3/2/23 2:01:01 PM,C,24.99
3/2/23 4:01:01 PM,C,24.49
3/2/23 6:01:01 PM,C,23.803
3/2/23 8:01:01 PM,C,21.989
3/2/23 10:01:01 PM,C,20.989
4/2/23 12:01:01 AM,C,20.051
4/2/23 2:01:01 AM,C,19.05
4/2/23 4:01:01 AM,C,19.112
4/2/23 6:01:01 AM,C,19.05
4/2/23 8:01:01 AM,C,18.862
4/2/23 10:01:01 AM,C,22.427
4/2/23 12:01:01 PM,C,26.178
4/2/23 2:01:01 PM,C,26.865
4/2/23 4:01:01 PM,C,25.74
4/2/23 6:01:01 PM,C,23.803
4/2/23 8:01:01 PM,C,21.489
4/2/23 10:01:01 PM,C,20.301
5/2/23 12:01:01 AM,C,19.362
5/2/23 2:01:01 AM,C,17.924
5/2/23 4:01:01 AM,C,17.924
5/2/23 6:01:01 AM,C,17.611
5/2/23 8:01:01 AM,C,18.737
5/2/23 10:01:01 AM,C,22.552
5/2/23 12:01:01 PM,C,26.178
5/2/23 2:01:01 PM,C,26.865
5/2/23 4:01:01 PM,C,25.49
5/2/23 6:01:01 PM,C,24.115
5/2/23 8:01:01 PM,C,21.927
5/2/23 10:01:01 PM,C,20.739
6/2/23 12:01:01 AM,C,19.55
6/2/23 2:01:01 AM,C,19.488
6/2/23 4:01:01 AM,C,18.049
6/2/23 6:01:01 AM,C,17.36
6/2/23 8:01:01 AM,C,18.049
6/2/23 10:01:01 AM,C,22.49
6/2/23 12:01:01 PM,C,24.928
6/2/23 2:01:01 PM,C,25.24
6/2/23 4:01:01 PM,C,24.365
6/2/23 6:01:01 PM,C,22.865
6/2/23 8:01:01 PM,C,21.114
6/2/23 10:01:01 PM,C,19.925
7/2/23 12:01:01 AM,C,19.362
7/2/23 2:01:01 AM,C,18.925
7/2/23 4:01:01 AM,C,18.737
7/2/23 6:01:01 AM,C,18.111
7/2/23 8:01:01 AM,C,17.486
7/2/23 10:01:01 AM,C,21.864
7/2/23 12:01:01 PM,C,23.365
7/2/23 2:01:01 PM,C,24.74
7/2/23 4:01:01 PM,C,23.865
7/2/23 6:01:01 PM,C,22.177
7/2/23 8:01:01 PM,C,20.989
7/2/23 10:01:01 PM,C,20.363
8/2/23 12:01:01 AM,C,19.362
8/2/23 2:01:01 AM,C,19.175
8/2/23 4:01:01 AM,C,17.861
8/2/23 6:01:01 AM,C,17.486
8/2/23 8:01:01 AM,C,18.799
8/2/23 10:01:01 AM,C,22.427
8/2/23 12:01:01 PM,C,25.99
8/2/23 2:01:01 PM,C,26.615
8/2/23 4:01:01 PM,C,25.553
8/2/23 6:01:01 PM,C,23.615
8/2/23 8:01:01 PM,C,21.489
8/2/23 10:01:01 PM,C,20.926
9/2/23 12:01:01 AM,C,19.362
9/2/23 2:01:01 AM,C,18.799
9/2/23 4:01:01 AM,C,17.548
9/2/23 6:01:01 AM,C,17.36
9/2/23 8:01:01 AM,C,17.423
9/2/23 10:01:01 AM,C,23.177
9/2/23 12:01:01 PM,C,24.553
9/2/23 2:01:01 PM,C,25.865
9/2/23 4:01:01 PM,C,24.74
9/2/23 6:01:01 PM,C,22.927
9/2/23 8:01:01 PM,C,20.926
9/2/23 10:01:01 PM,C,20.176
10/2/23 12:01:01 AM,C,19.55
10/2/23 2:01:01 AM,C,18.737
10/2/23 4:01:01 AM,C,16.484
10/2/23 6:01:01 AM,C,15.295
10/2/23 8:01:01 AM,C,16.86
10/2/23 10:01:01 AM,C,21.677
10/2/23 12:01:01 PM,C,24.678
10/2/23 2:01:01 PM,C,26.115
10/2/23 4:01:01 PM,C,25.053
10/2/23 6:01:01 PM,C,23.115
10/2/23 8:01:01 PM,C,21.176
10/2/23 10:01:01 PM,C,19.488
11/2/23 12:01:01 AM,C,18.862
11/2/23 2:01:01 AM,C,18.299
11/2/23 4:01:01 AM,C,18.299
11/2/23 6:01:01 AM,C,17.235
11/2/23 8:01:01 AM,C,17.11
11/2/23 10:01:01 AM,C,23.052
