1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CC0000007D839141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  9877
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,75.132
25/1/23 8:00:01 PM,%RH,77.229
25/1/23 10:00:01 PM,%RH,77.229
26/1/23 12:00:01 AM,%RH,78.477
26/1/23 2:00:01 AM,%RH,75.553
26/1/23 4:00:01 AM,%RH,71.158
26/1/23 6:00:01 AM,%RH,67.543
26/1/23 8:00:01 AM,%RH,68.996
26/1/23 10:00:01 AM,%RH,77.507
26/1/23 12:00:01 PM,%RH,44.06
26/1/23 2:00:01 PM,%RH,42.282
26/1/23 4:00:01 PM,%RH,73.438
26/1/23 6:00:01 PM,%RH,81.083
26/1/23 8:00:01 PM,%RH,81.083
26/1/23 10:00:01 PM,%RH,95.342
27/1/23 12:00:01 AM,%RH,95.967
27/1/23 2:00:01 AM,%RH,99.668
27/1/23 4:00:01 AM,%RH,85.259
27/1/23 6:00:01 AM,%RH,89.859
27/1/23 8:00:01 AM,%RH,86.321
27/1/23 10:00:01 AM,%RH,81.492
27/1/23 12:00:01 PM,%RH,57.242
27/1/23 2:00:01 PM,%RH,49.165
27/1/23 4:00:01 PM,%RH,66.959
27/1/23 6:00:01 PM,%RH,78.338
27/1/23 8:00:01 PM,%RH,83.385
27/1/23 10:00:01 PM,%RH,97.335
28/1/23 12:00:01 AM,%RH,97.087
28/1/23 2:00:01 AM,%RH,98.567
28/1/23 4:00:01 AM,%RH,93.323
28/1/23 6:00:01 AM,%RH,84.325
28/1/23 8:00:01 AM,%RH,84.592
28/1/23 10:00:01 AM,%RH,72.444
28/1/23 12:00:01 PM,%RH,33.041
28/1/23 2:00:01 PM,%RH,34.714
28/1/23 4:00:01 PM,%RH,32.705
28/1/23 6:00:01 PM,%RH,58.157
28/1/23 8:00:01 PM,%RH,69.864
28/1/23 10:00:01 PM,%RH,92.559
29/1/23 12:00:01 AM,%RH,96.963
29/1/23 2:00:01 AM,%RH,83.52
29/1/23 4:00:01 AM,%RH,83.923
29/1/23 6:00:01 AM,%RH,83.923
29/1/23 8:00:01 AM,%RH,88.426
29/1/23 10:00:01 AM,%RH,72.016
29/1/23 12:00:01 PM,%RH,46.146
29/1/23 2:00:01 PM,%RH,41.957
29/1/23 4:00:01 PM,%RH,47.739
29/1/23 6:00:01 PM,%RH,68.125
29/1/23 8:00:01 PM,%RH,83.923
29/1/23 10:00:01 PM,%RH,93.069
30/1/23 12:00:01 AM,%RH,88.165
30/1/23 2:00:01 AM,%RH,83.251
30/1/23 4:00:01 AM,%RH,82.035
30/1/23 6:00:01 AM,%RH,86.189
30/1/23 8:00:01 AM,%RH,89.988
30/1/23 10:00:01 AM,%RH,86.321
30/1/23 12:00:01 PM,%RH,71.73
30/1/23 2:00:01 PM,%RH,69.575
30/1/23 4:00:01 PM,%RH,80.538
30/1/23 6:00:01 PM,%RH,84.459
30/1/23 8:00:01 PM,%RH,91.407
30/1/23 10:00:01 PM,%RH,96.839
31/1/23 12:00:01 AM,%RH,96.715
31/1/23 2:00:01 AM,%RH,98.322
31/1/23 4:00:01 AM,%RH,95.842
31/1/23 6:00:01 AM,%RH,94.965
31/1/23 8:00:01 AM,%RH,95.091
31/1/23 10:00:01 AM,%RH,90.376
31/1/23 12:00:01 PM,%RH,78.338
31/1/23 2:00:01 PM,%RH,66.226
31/1/23 4:00:01 PM,%RH,65.933
31/1/23 6:00:01 PM,%RH,71.014
31/1/23 8:00:01 PM,%RH,70.584
31/1/23 10:00:01 PM,%RH,77.507
1/2/23 12:00:01 AM,%RH,74.287
1/2/23 2:00:01 AM,%RH,74.992
1/2/23 4:00:01 AM,%RH,79.716
1/2/23 6:00:01 AM,%RH,81.899
1/2/23 8:00:01 AM,%RH,86.586
1/2/23 10:00:01 AM,%RH,69.141
1/2/23 12:00:01 PM,%RH,47.581
1/2/23 2:00:01 PM,%RH,43.576
1/2/23 4:00:01 PM,%RH,40.654
1/2/23 6:00:01 PM,%RH,43.899
1/2/23 8:00:01 PM,%RH,51.835
1/2/23 10:00:01 PM,%RH,65.344
2/2/23 12:00:01 AM,%RH,69.43
2/2/23 2:00:01 AM,%RH,75.834
2/2/23 4:00:01 AM,%RH,82.576
2/2/23 6:00:01 AM,%RH,88.949
2/2/23 8:00:01 AM,%RH,82.441
2/2/23 10:00:01 AM,%RH,68.416
2/2/23 12:00:01 PM,%RH,43.092
2/2/23 2:00:01 PM,%RH,40.818
2/2/23 4:00:01 PM,%RH,41.632
2/2/23 6:00:01 PM,%RH,48.532
2/2/23 8:00:01 PM,%RH,50.111
2/2/23 10:00:01 PM,%RH,61.029
3/2/23 12:00:01 AM,%RH,68.125
3/2/23 2:00:01 AM,%RH,71.873
3/2/23 4:00:01 AM,%RH,74.287
3/2/23 6:00:01 AM,%RH,74.851
3/2/23 8:00:01 AM,%RH,70.296
3/2/23 10:00:01 AM,%RH,51.053
3/2/23 12:00:01 PM,%RH,41.632
3/2/23 2:00:01 PM,%RH,48.216
3/2/23 4:00:01 PM,%RH,54.167
3/2/23 6:00:01 PM,%RH,62.825
3/2/23 8:00:01 PM,%RH,71.014
3/2/23 10:00:01 PM,%RH,75.834
4/2/23 12:00:01 AM,%RH,79.166
4/2/23 2:00:01 AM,%RH,73.297
4/2/23 4:00:01 AM,%RH,73.155
4/2/23 6:00:01 AM,%RH,73.297
4/2/23 8:00:01 AM,%RH,79.853
4/2/23 10:00:01 AM,%RH,65.049
4/2/23 12:00:01 PM,%RH,53.858
4/2/23 2:00:01 PM,%RH,53.082
4/2/23 4:00:01 PM,%RH,51.209
4/2/23 6:00:01 PM,%RH,63.271
4/2/23 8:00:01 PM,%RH,85.924
4/2/23 10:00:01 PM,%RH,94.588
5/2/23 12:00:01 AM,%RH,95.467
5/2/23 2:00:01 AM,%RH,82.981
5/2/23 4:00:01 AM,%RH,80.264
5/2/23 6:00:01 AM,%RH,84.191
5/2/23 8:00:01 AM,%RH,81.763
