1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: CC0000007D839141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  9877
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,25.422
25/1/23 8:00:01 PM,C,24.234
25/1/23 10:00:01 PM,C,23.547
26/1/23 12:00:01 AM,C,24.297
26/1/23 2:00:01 AM,C,24.234
26/1/23 4:00:01 AM,C,23.609
26/1/23 6:00:01 AM,C,22.921
26/1/23 8:00:01 AM,C,18.544
26/1/23 10:00:01 AM,C,18.856
26/1/23 12:00:01 PM,C,28.734
26/1/23 2:00:01 PM,C,23.859
26/1/23 4:00:01 PM,C,23.609
26/1/23 6:00:01 PM,C,21.421
26/1/23 8:00:01 PM,C,20.107
26/1/23 10:00:01 PM,C,19.357
27/1/23 12:00:01 AM,C,17.981
27/1/23 2:00:01 AM,C,17.23
27/1/23 4:00:01 AM,C,16.667
27/1/23 6:00:01 AM,C,15.54
27/1/23 8:00:01 AM,C,16.416
27/1/23 10:00:01 AM,C,19.232
27/1/23 12:00:01 PM,C,22.671
27/1/23 2:00:01 PM,C,23.922
27/1/23 4:00:01 PM,C,23.922
27/1/23 6:00:01 PM,C,21.546
27/1/23 8:00:01 PM,C,19.67
27/1/23 10:00:01 PM,C,19.545
28/1/23 12:00:01 AM,C,18.606
28/1/23 2:00:01 AM,C,17.418
28/1/23 4:00:01 AM,C,16.917
28/1/23 6:00:01 AM,C,16.041
28/1/23 8:00:01 AM,C,16.229
28/1/23 10:00:01 AM,C,19.482
28/1/23 12:00:01 PM,C,22.984
28/1/23 2:00:01 PM,C,24.172
28/1/23 4:00:01 PM,C,23.984
28/1/23 6:00:01 PM,C,22.109
28/1/23 8:00:01 PM,C,19.607
28/1/23 10:00:01 PM,C,18.544
29/1/23 12:00:01 AM,C,18.231
29/1/23 2:00:01 AM,C,17.73
29/1/23 4:00:01 AM,C,17.105
29/1/23 6:00:01 AM,C,16.354
29/1/23 8:00:01 AM,C,16.229
29/1/23 10:00:01 AM,C,19.857
29/1/23 12:00:01 PM,C,22.921
29/1/23 2:00:01 PM,C,24.297
29/1/23 4:00:01 PM,C,24.672
29/1/23 6:00:01 PM,C,21.796
29/1/23 8:00:01 PM,C,20.107
29/1/23 10:00:01 PM,C,18.919
30/1/23 12:00:01 AM,C,18.794
30/1/23 2:00:01 AM,C,18.231
30/1/23 4:00:01 AM,C,17.981
30/1/23 6:00:01 AM,C,16.98
30/1/23 8:00:01 AM,C,17.418
30/1/23 10:00:01 AM,C,20.107
30/1/23 12:00:01 PM,C,22.734
30/1/23 2:00:01 PM,C,23.859
30/1/23 4:00:01 PM,C,22.796
30/1/23 6:00:01 PM,C,21.296
30/1/23 8:00:01 PM,C,20.045
30/1/23 10:00:01 PM,C,19.169
31/1/23 12:00:01 AM,C,18.982
31/1/23 2:00:01 AM,C,19.169
31/1/23 4:00:01 AM,C,18.419
31/1/23 6:00:01 AM,C,18.606
31/1/23 8:00:01 AM,C,18.794
31/1/23 10:00:01 AM,C,20.483
31/1/23 12:00:01 PM,C,22.984
31/1/23 2:00:01 PM,C,24.234
31/1/23 4:00:01 PM,C,24.172
