1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B40000007D8DA041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8291
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,78.156
25/1/23 8:00:01 PM,%RH,77.168
25/1/23 10:00:01 PM,%RH,78.156
26/1/23 12:00:01 AM,%RH,78.578
26/1/23 2:00:01 AM,%RH,77.027
26/1/23 4:00:01 AM,%RH,72.595
26/1/23 6:00:01 AM,%RH,69.102
26/1/23 8:00:01 AM,%RH,70.71
26/1/23 10:00:01 AM,%RH,78.296
26/1/23 12:00:01 PM,%RH,40.663
26/1/23 2:00:01 PM,%RH,63.458
26/1/23 4:00:01 PM,%RH,76.46
26/1/23 6:00:01 PM,%RH,81.367
26/1/23 8:00:01 PM,%RH,86.967
26/1/23 10:00:01 PM,%RH,97.434
27/1/23 12:00:01 AM,%RH,95.903
27/1/23 2:00:01 AM,%RH,99.956
27/1/23 4:00:01 AM,%RH,97.434
27/1/23 6:00:01 AM,%RH,95.903
27/1/23 8:00:01 AM,%RH,98.7
27/1/23 10:00:01 AM,%RH,96.67
27/1/23 12:00:01 PM,%RH,73.028
27/1/23 2:00:01 PM,%RH,57.832
27/1/23 4:00:01 PM,%RH,71.437
27/1/23 6:00:01 PM,%RH,78.578
27/1/23 8:00:01 PM,%RH,86.428
27/1/23 10:00:01 PM,%RH,96.798
28/1/23 12:00:01 AM,%RH,98.068
28/1/23 2:00:01 AM,%RH,99.956
28/1/23 4:00:01 AM,%RH,98.952
28/1/23 6:00:01 AM,%RH,97.815
28/1/23 8:00:01 AM,%RH,97.941
28/1/23 10:00:01 AM,%RH,85.073
28/1/23 12:00:01 PM,%RH,66
28/1/23 2:00:01 PM,%RH,46.027
28/1/23 4:00:01 PM,%RH,46.348
28/1/23 6:00:01 PM,%RH,60.281
28/1/23 8:00:01 PM,%RH,73.172
28/1/23 10:00:01 PM,%RH,96.159
29/1/23 12:00:01 AM,%RH,97.561
29/1/23 2:00:01 AM,%RH,95.646
29/1/23 4:00:01 AM,%RH,95.261
29/1/23 6:00:01 AM,%RH,96.798
29/1/23 8:00:01 AM,%RH,96.798
29/1/23 10:00:01 AM,%RH,87.371
29/1/23 12:00:01 PM,%RH,66.297
29/1/23 2:00:01 PM,%RH,55.979
29/1/23 4:00:01 PM,%RH,51.444
29/1/23 6:00:01 PM,%RH,68.661
29/1/23 8:00:01 PM,%RH,84.937
29/1/23 10:00:01 PM,%RH,96.543
30/1/23 12:00:01 AM,%RH,97.053
30/1/23 2:00:01 AM,%RH,95.775
30/1/23 4:00:01 AM,%RH,95.003
30/1/23 6:00:01 AM,%RH,96.925
30/1/23 8:00:01 AM,%RH,98.7
30/1/23 10:00:01 AM,%RH,95.003
30/1/23 12:00:01 PM,%RH,80.951
30/1/23 2:00:01 PM,%RH,72.884
30/1/23 4:00:01 PM,%RH,79.279
30/1/23 6:00:01 PM,%RH,83.16
30/1/23 8:00:01 PM,%RH,93.19
30/1/23 10:00:01 PM,%RH,97.18
31/1/23 12:00:01 AM,%RH,98.447
31/1/23 2:00:01 AM,%RH,98.447
31/1/23 4:00:01 AM,%RH,96.798
31/1/23 6:00:01 AM,%RH,96.031
