1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B40000007D8DA041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8291
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.803
25/1/23 8:00:01 PM,C,24.24
25/1/23 10:00:01 PM,C,23.677
26/1/23 12:00:01 AM,C,24.115
26/1/23 2:00:01 AM,C,24.178
26/1/23 4:00:01 AM,C,23.49
26/1/23 6:00:01 AM,C,22.74
26/1/23 8:00:01 AM,C,18.362
26/1/23 10:00:01 AM,C,18.925
26/1/23 12:00:01 PM,C,30.801
26/1/23 2:00:01 PM,C,22.365
26/1/23 4:00:01 PM,C,23.115
26/1/23 6:00:01 PM,C,21.677
26/1/23 8:00:01 PM,C,19.362
26/1/23 10:00:01 PM,C,19.05
27/1/23 12:00:01 AM,C,18.049
27/1/23 2:00:01 AM,C,17.173
27/1/23 4:00:01 AM,C,15.045
27/1/23 6:00:01 AM,C,14.419
27/1/23 8:00:01 AM,C,14.607
27/1/23 10:00:01 AM,C,17.423
27/1/23 12:00:01 PM,C,20.989
27/1/23 2:00:01 PM,C,23.052
27/1/23 4:00:01 PM,C,23.49
27/1/23 6:00:01 PM,C,21.927
27/1/23 8:00:01 PM,C,19.237
27/1/23 10:00:01 PM,C,19.488
28/1/23 12:00:01 AM,C,18.487
28/1/23 2:00:01 AM,C,17.173
28/1/23 4:00:01 AM,C,16.171
28/1/23 6:00:01 AM,C,14.356
28/1/23 8:00:01 AM,C,14.168
28/1/23 10:00:01 AM,C,17.736
28/1/23 12:00:01 PM,C,20.051
28/1/23 2:00:01 PM,C,22.99
28/1/23 4:00:01 PM,C,23.052
28/1/23 6:00:01 PM,C,22.239
28/1/23 8:00:01 PM,C,18.925
28/1/23 10:00:01 PM,C,18.674
29/1/23 12:00:01 AM,C,18.049
29/1/23 2:00:01 AM,C,15.796
29/1/23 4:00:01 AM,C,15.358
29/1/23 6:00:01 AM,C,14.544
29/1/23 8:00:01 AM,C,15.17
29/1/23 10:00:01 AM,C,17.986
29/1/23 12:00:01 PM,C,21.114
29/1/23 2:00:01 PM,C,23.49
29/1/23 4:00:01 PM,C,23.74
29/1/23 6:00:01 PM,C,22.239
29/1/23 8:00:01 PM,C,19.488
29/1/23 10:00:01 PM,C,18.549
30/1/23 12:00:01 AM,C,17.548
30/1/23 2:00:01 AM,C,16.61
30/1/23 4:00:01 AM,C,15.921
30/1/23 6:00:01 AM,C,15.233
30/1/23 8:00:01 AM,C,15.984
30/1/23 10:00:01 AM,C,18.925
30/1/23 12:00:01 PM,C,21.802
30/1/23 2:00:01 PM,C,23.365
30/1/23 4:00:01 PM,C,23.052
30/1/23 6:00:01 PM,C,21.739
30/1/23 8:00:01 PM,C,19.8
30/1/23 10:00:01 PM,C,18.987
31/1/23 12:00:01 AM,C,18.987
31/1/23 2:00:01 AM,C,18.925
31/1/23 4:00:01 AM,C,18.424
31/1/23 6:00:01 AM,C,18.737
31/1/23 8:00:01 AM,C,18.487
31/1/23 10:00:01 AM,C,20.238
31/1/23 12:00:01 PM,C,22.302
31/1/23 2:00:01 PM,C,23.928
31/1/23 4:00:01 PM,C,23.865
31/1/23 6:00:01 PM,C,22.802
31/1/23 8:00:01 PM,C,20.551
31/1/23 10:00:01 PM,C,19.738
1/2/23 12:00:01 AM,C,18.612
1/2/23 2:00:01 AM,C,18.362
1/2/23 4:00:01 AM,C,17.673
1/2/23 6:00:01 AM,C,17.235
1/2/23 8:00:01 AM,C,17.173
1/2/23 10:00:01 AM,C,19.112
1/2/23 12:00:01 PM,C,22.427
1/2/23 2:00:01 PM,C,23.865
1/2/23 4:00:01 PM,C,24.365
1/2/23 6:00:01 PM,C,23.177
1/2/23 8:00:01 PM,C,21.239
1/2/23 10:00:01 PM,C,20.864
2/2/23 12:00:01 AM,C,19.55
2/2/23 2:00:01 AM,C,18.799
2/2/23 4:00:01 AM,C,18.299
2/2/23 6:00:01 AM,C,17.673
2/2/23 8:00:01 AM,C,17.736
2/2/23 10:00:01 AM,C,19.988
2/2/23 12:00:01 PM,C,23.365
2/2/23 2:00:01 PM,C,24.865
2/2/23 4:00:01 PM,C,24.49
2/2/23 6:00:01 PM,C,22.427
2/2/23 8:00:01 PM,C,20.676
2/2/23 10:00:01 PM,C,18.799
3/2/23 12:00:01 AM,C,18.799
3/2/23 2:00:01 AM,C,18.236
3/2/23 4:00:01 AM,C,17.548
3/2/23 6:00:01 AM,C,16.672
3/2/23 8:00:01 AM,C,16.86
3/2/23 10:00:01 AM,C,19.613
3/2/23 12:00:01 PM,C,22.177
3/2/23 2:00:01 PM,C,23.052
3/2/23 4:00:01 PM,C,22.49
3/2/23 6:00:01 PM,C,22.177
3/2/23 8:00:01 PM,C,21.614
3/2/23 10:00:01 PM,C,20.801
4/2/23 12:00:01 AM,C,19.925
4/2/23 2:00:01 AM,C,19.3
4/2/23 4:00:01 AM,C,18.549
4/2/23 6:00:01 AM,C,18.549
4/2/23 8:00:01 AM,C,18.236
4/2/23 10:00:01 AM,C,20.301
4/2/23 12:00:01 PM,C,23.803
4/2/23 2:00:01 PM,C,25.49
4/2/23 4:00:01 PM,C,25.428
4/2/23 6:00:01 PM,C,23.803
4/2/23 8:00:01 PM,C,21.927
4/2/23 10:00:01 PM,C,20.801
5/2/23 12:00:01 AM,C,19.613
5/2/23 2:00:01 AM,C,18.424
5/2/23 4:00:01 AM,C,17.736
5/2/23 6:00:01 AM,C,16.797
5/2/23 8:00:01 AM,C,16.86
5/2/23 10:00:01 AM,C,19.988
5/2/23 12:00:01 PM,C,23.177
5/2/23 2:00:01 PM,C,25.553
5/2/23 4:00:01 PM,C,25.115
5/2/23 6:00:01 PM,C,24.428
5/2/23 8:00:01 PM,C,22.114
5/2/23 10:00:01 PM,C,20.551
6/2/23 12:00:01 AM,C,19.362
