1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C10000007D8CF941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8975
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,78.426
25/1/23 8:00:01 PM,%RH,76.986
25/1/23 10:00:01 PM,%RH,77.419
26/1/23 12:00:01 AM,%RH,77.419
26/1/23 2:00:01 AM,%RH,75.391
26/1/23 4:00:01 AM,%RH,71.277
26/1/23 6:00:01 AM,%RH,66.179
26/1/23 8:00:01 AM,%RH,74.662
26/1/23 10:00:01 AM,%RH,84.087
26/1/23 12:00:01 PM,%RH,48.096
26/1/23 2:00:01 PM,%RH,33.725
26/1/23 4:00:01 PM,%RH,75.1
26/1/23 6:00:01 PM,%RH,81.559
26/1/23 8:00:01 PM,%RH,84.226
26/1/23 10:00:01 PM,%RH,96.119
27/1/23 12:00:01 AM,%RH,98.071
27/1/23 2:00:01 AM,%RH,101.275
27/1/23 4:00:01 AM,%RH,83.527
27/1/23 6:00:01 AM,%RH,83.947
27/1/23 8:00:01 AM,%RH,81.559
27/1/23 10:00:01 AM,%RH,69.79
27/1/23 12:00:01 PM,%RH,46.953
27/1/23 2:00:01 PM,%RH,43.496
27/1/23 4:00:01 PM,%RH,67.087
27/1/23 6:00:01 PM,%RH,77.995
27/1/23 8:00:01 PM,%RH,85.477
27/1/23 10:00:01 PM,%RH,96.772
28/1/23 12:00:01 AM,%RH,99.231
28/1/23 2:00:01 AM,%RH,99.488
28/1/23 4:00:01 AM,%RH,96.25
28/1/23 6:00:01 AM,%RH,86.031
28/1/23 8:00:01 AM,%RH,77.419
28/1/23 10:00:01 AM,%RH,59.413
28/1/23 12:00:01 PM,%RH,24.332
28/1/23 2:00:01 PM,%RH,26.619
28/1/23 4:00:01 PM,%RH,29.759
28/1/23 6:00:01 PM,%RH,58.319
28/1/23 8:00:01 PM,%RH,70.981
28/1/23 10:00:01 PM,%RH,94.674
29/1/23 12:00:01 AM,%RH,98.974
29/1/23 2:00:01 AM,%RH,85.893
29/1/23 4:00:01 AM,%RH,84.922
29/1/23 6:00:01 AM,%RH,85.061
29/1/23 8:00:01 AM,%RH,83.387
29/1/23 10:00:01 AM,%RH,62.204
29/1/23 12:00:01 PM,%RH,37.808
29/1/23 2:00:01 PM,%RH,35.604
29/1/23 4:00:01 PM,%RH,42.833
29/1/23 6:00:01 PM,%RH,69.939
29/1/23 8:00:01 PM,%RH,87.408
29/1/23 10:00:01 PM,%RH,97.553
30/1/23 12:00:01 AM,%RH,89.319
30/1/23 2:00:01 AM,%RH,88.366
30/1/23 4:00:01 AM,%RH,82.545
30/1/23 6:00:01 AM,%RH,86.583
30/1/23 8:00:01 AM,%RH,91.077
30/1/23 10:00:01 AM,%RH,74.662
30/1/23 12:00:01 PM,%RH,62.358
30/1/23 2:00:01 PM,%RH,60.968
30/1/23 4:00:01 PM,%RH,79.57
30/1/23 6:00:01 PM,%RH,84.365
30/1/23 8:00:01 PM,%RH,92.818
30/1/23 10:00:01 PM,%RH,97.293
31/1/23 12:00:01 AM,%RH,98.974
31/1/23 2:00:01 AM,%RH,100.128
31/1/23 4:00:01 AM,%RH,98.459
31/1/23 6:00:01 AM,%RH,96.381
31/1/23 8:00:01 AM,%RH,95.07
31/1/23 10:00:01 AM,%RH,89.997
31/1/23 12:00:01 PM,%RH,74.954
31/1/23 2:00:01 PM,%RH,61.123
31/1/23 4:00:01 PM,%RH,60.347
31/1/23 6:00:01 PM,%RH,66.179
31/1/23 8:00:01 PM,%RH,76.117
31/1/23 10:00:01 PM,%RH,81.134
1/2/23 12:00:01 AM,%RH,72.608
1/2/23 2:00:01 AM,%RH,73.344
1/2/23 4:00:01 AM,%RH,78.426
1/2/23 6:00:01 AM,%RH,80.992
1/2/23 8:00:01 AM,%RH,85.754
1/2/23 10:00:01 AM,%RH,60.036
1/2/23 12:00:01 PM,%RH,38.484
1/2/23 2:00:01 PM,%RH,37.808
1/2/23 4:00:01 PM,%RH,34.41
1/2/23 6:00:01 PM,%RH,42.667
1/2/23 8:00:01 PM,%RH,50.689
1/2/23 10:00:01 PM,%RH,62.666
2/2/23 12:00:01 AM,%RH,67.238
2/2/23 2:00:01 AM,%RH,74.223
2/2/23 4:00:01 AM,%RH,81.841
2/2/23 6:00:01 AM,%RH,87.956
2/2/23 8:00:01 AM,%RH,80.992
2/2/23 10:00:01 AM,%RH,60.192
2/2/23 12:00:01 PM,%RH,35.604
2/2/23 2:00:01 PM,%RH,34.751
2/2/23 4:00:01 PM,%RH,36.793
2/2/23 6:00:01 PM,%RH,42.667
2/2/23 8:00:01 PM,%RH,62.974
2/2/23 10:00:01 PM,%RH,62.974
3/2/23 12:00:01 AM,%RH,67.991
3/2/23 2:00:01 AM,%RH,70.981
3/2/23 4:00:01 AM,%RH,74.223
3/2/23 6:00:01 AM,%RH,72.903
3/2/23 8:00:01 AM,%RH,67.238
3/2/23 10:00:01 AM,%RH,44.818
3/2/23 12:00:01 PM,%RH,35.944
3/2/23 2:00:01 PM,%RH,43.165
3/2/23 4:00:01 PM,%RH,49.558
3/2/23 6:00:01 PM,%RH,60.036
3/2/23 8:00:01 PM,%RH,72.165
3/2/23 10:00:01 PM,%RH,79.856
4/2/23 12:00:01 AM,%RH,85.061
4/2/23 2:00:01 AM,%RH,71.426
4/2/23 4:00:01 AM,%RH,72.608
4/2/23 6:00:01 AM,%RH,72.313
4/2/23 8:00:01 AM,%RH,74.077
4/2/23 10:00:01 AM,%RH,55.168
4/2/23 12:00:01 PM,%RH,47.606
4/2/23 2:00:01 PM,%RH,46.789
4/2/23 4:00:01 PM,%RH,47.116
4/2/23 6:00:01 PM,%RH,64.658
4/2/23 8:00:01 PM,%RH,86.72
4/2/23 10:00:01 PM,%RH,95.464
5/2/23 12:00:01 AM,%RH,97.293
5/2/23 2:00:01 AM,%RH,92.284
5/2/23 4:00:01 AM,%RH,80.425
5/2/23 6:00:01 AM,%RH,83.247
5/2/23 8:00:01 AM,%RH,77.563
5/2/23 10:00:01 AM,%RH,62.204
5/2/23 12:00:01 PM,%RH,52.458
5/2/23 2:00:01 PM,%RH,45.641
5/2/23 4:00:01 PM,%RH,44.323
5/2/23 6:00:01 PM,%RH,79.428
5/2/23 8:00:01 PM,%RH,86.169
5/2/23 10:00:01 PM,%RH,94.013
6/2/23 12:00:01 AM,%RH,97.553
6/2/23 2:00:01 AM,%RH,91.211
6/2/23 4:00:01 AM,%RH,73.637
6/2/23 6:00:01 AM,%RH,72.608
6/2/23 8:00:01 AM,%RH,71.129
6/2/23 10:00:01 AM,%RH,57.063
6/2/23 12:00:01 PM,%RH,45.312
6/2/23 2:00:01 PM,%RH,45.806
6/2/23 4:00:01 PM,%RH,45.477
6/2/23 6:00:01 PM,%RH,67.991
6/2/23 8:00:01 PM,%RH,90.942
6/2/23 10:00:01 PM,%RH,94.938
7/2/23 12:00:01 AM,%RH,97.553
7/2/23 2:00:01 AM,%RH,99.231
7/2/23 4:00:01 AM,%RH,93.881
7/2/23 6:00:01 AM,%RH,90.673
7/2/23 8:00:01 AM,%RH,90.807
7/2/23 10:00:01 AM,%RH,71.277
7/2/23 12:00:01 PM,%RH,57.378
7/2/23 2:00:01 PM,%RH,64.2
7/2/23 4:00:01 PM,%RH,75.391
7/2/23 6:00:01 PM,%RH,81.559
7/2/23 8:00:01 PM,%RH,94.278
7/2/23 10:00:01 PM,%RH,98.2
8/2/23 12:00:01 AM,%RH,100.001
8/2/23 2:00:01 AM,%RH,100.766
8/2/23 4:00:01 AM,%RH,97.423
8/2/23 6:00:01 AM,%RH,91.882
8/2/23 8:00:01 AM,%RH,87.819
8/2/23 10:00:01 AM,%RH,66.179
8/2/23 12:00:01 PM,%RH,52.297
8/2/23 2:00:01 PM,%RH,47.116
8/2/23 4:00:01 PM,%RH,58.319
8/2/23 6:00:01 PM,%RH,76.407
8/2/23 8:00:01 PM,%RH,87.819
8/2/23 10:00:01 PM,%RH,95.595
9/2/23 12:00:01 AM,%RH,95.595
9/2/23 2:00:01 AM,%RH,77.707
9/2/23 4:00:01 AM,%RH,71.129
9/2/23 6:00:01 AM,%RH,80.851
9/2/23 8:00:01 AM,%RH,83.807
9/2/23 10:00:01 AM,%RH,56.591
9/2/23 12:00:01 PM,%RH,53.258
9/2/23 2:00:01 PM,%RH,51.334
9/2/23 4:00:01 PM,%RH,70.386
9/2/23 6:00:01 PM,%RH,80.851
9/2/23 8:00:01 PM,%RH,93.217
9/2/23 10:00:01 PM,%RH,97.812
10/2/23 12:00:01 AM,%RH,98.2
10/2/23 2:00:01 AM,%RH,101.021
10/2/23 4:00:01 AM,%RH,100.639
10/2/23 6:00:01 AM,%RH,98.459
10/2/23 8:00:01 AM,%RH,81.276
10/2/23 10:00:01 AM,%RH,63.588
10/2/23 12:00:01 PM,%RH,46.626
10/2/23 2:00:01 PM,%RH,31.317
10/2/23 4:00:01 PM,%RH,35.263
10/2/23 6:00:01 PM,%RH,36.284
10/2/23 8:00:01 PM,%RH,47.28
10/2/23 10:00:01 PM,%RH,81.134
11/2/23 12:00:01 AM,%RH,61.432
11/2/23 2:00:01 AM,%RH,43.331
11/2/23 4:00:01 AM,%RH,54.85
11/2/23 6:00:01 AM,%RH,63.741
11/2/23 8:00:01 AM,%RH,64.658
11/2/23 10:00:01 AM,%RH,47.28
11/2/23 12:00:01 PM,%RH,32.524
11/2/23 2:00:01 PM,%RH,28.193
11/2/23 4:00:01 PM,%RH,25.213
11/2/23 6:00:01 PM,%RH,30.626
11/2/23 8:00:01 PM,%RH,81.7
11/2/23 10:00:01 PM,%RH,92.417
12/2/23 12:00:01 AM,%RH,66.179
12/2/23 2:00:01 AM,%RH,36.454
12/2/23 4:00:01 AM,%RH,47.77
12/2/23 6:00:01 AM,%RH,58.163
12/2/23 8:00:01 AM,%RH,52.618
12/2/23 10:00:01 AM,%RH,43.331
12/2/23 12:00:01 PM,%RH,21.494
12/2/23 2:00:01 PM,%RH,20.423
12/2/23 4:00:01 PM,%RH,21.672
12/2/23 6:00:01 PM,%RH,60.658
12/2/23 8:00:01 PM,%RH,90.807
12/2/23 10:00:01 PM,%RH,97.812
13/2/23 12:00:01 AM,%RH,75.391
13/2/23 2:00:01 AM,%RH,48.746
13/2/23 4:00:01 AM,%RH,48.584
13/2/23 6:00:01 AM,%RH,54.214
13/2/23 8:00:01 AM,%RH,52.458
13/2/23 10:00:01 AM,%RH,38.989
13/2/23 12:00:01 PM,%RH,29.412
13/2/23 2:00:01 PM,%RH,23.978
13/2/23 4:00:01 PM,%RH,22.383
13/2/23 6:00:01 PM,%RH,32.524
13/2/23 8:00:01 PM,%RH,77.851
13/2/23 10:00:01 PM,%RH,87.682
14/2/23 12:00:01 AM,%RH,72.165
14/2/23 2:00:01 AM,%RH,45.641
14/2/23 4:00:01 AM,%RH,51.494
14/2/23 6:00:01 AM,%RH,58.632
14/2/23 8:00:01 AM,%RH,62.05
14/2/23 10:00:01 AM,%RH,41.835
14/2/23 12:00:01 PM,%RH,36.114
14/2/23 2:00:01 PM,%RH,23.447
14/2/23 4:00:01 PM,%RH,54.691
14/2/23 6:00:01 PM,%RH,63.894
14/2/23 8:00:01 PM,%RH,90.942
14/2/23 10:00:01 PM,%RH,96.381
15/2/23 12:00:01 AM,%RH,99.231
15/2/23 2:00:01 AM,%RH,95.07
15/2/23 4:00:01 AM,%RH,62.358
15/2/23 6:00:01 AM,%RH,55.484
15/2/23 8:00:01 AM,%RH,47.443
15/2/23 10:00:01 AM,%RH,40.164
15/2/23 12:00:01 PM,%RH,23.093
15/2/23 2:00:01 PM,%RH,22.916
15/2/23 4:00:01 PM,%RH,22.383
15/2/23 6:00:01 PM,%RH,21.494
15/2/23 8:00:01 PM,%RH,49.558
15/2/23 10:00:01 PM,%RH,88.775
16/2/23 12:00:01 AM,%RH,77.707
16/2/23 2:00:01 AM,%RH,42.833
16/2/23 4:00:01 AM,%RH,45.477
16/2/23 6:00:01 AM,%RH,59.101
16/2/23 8:00:01 AM,%RH,58.632
16/2/23 10:00:01 AM,%RH,42.999
16/2/23 12:00:01 PM,%RH,23.801
16/2/23 2:00:01 PM,%RH,21.137
16/2/23 4:00:01 PM,%RH,21.85
16/2/23 6:00:01 PM,%RH,24.685
16/2/23 8:00:01 PM,%RH,73.637
16/2/23 10:00:01 PM,%RH,77.707
17/2/23 12:00:01 AM,%RH,91.48
17/2/23 2:00:01 AM,%RH,50.528
17/2/23 4:00:01 AM,%RH,64.353
17/2/23 6:00:01 AM,%RH,74.954
17/2/23 8:00:01 AM,%RH,66.785
17/2/23 10:00:01 AM,%RH,50.366
17/2/23 12:00:01 PM,%RH,27.495
17/2/23 2:00:01 PM,%RH,21.85
17/2/23 4:00:01 PM,%RH,22.205
17/2/23 6:00:01 PM,%RH,26.619
17/2/23 8:00:01 PM,%RH,84.505
17/2/23 10:00:01 PM,%RH,94.278
18/2/23 12:00:01 AM,%RH,97.423
18/2/23 2:00:01 AM,%RH,89.183
18/2/23 4:00:01 AM,%RH,76.841
18/2/23 6:00:01 AM,%RH,75.245
18/2/23 8:00:01 AM,%RH,65.268
18/2/23 10:00:01 AM,%RH,46.134
18/2/23 12:00:01 PM,%RH,42.002
18/2/23 2:00:01 PM,%RH,39.997
18/2/23 4:00:01 PM,%RH,62.666
18/2/23 6:00:01 PM,%RH,77.563
18/2/23 8:00:01 PM,%RH,92.551
18/2/23 10:00:01 PM,%RH,95.201
19/2/23 12:00:01 AM,%RH,97.553
19/2/23 2:00:01 AM,%RH,97.682
19/2/23 4:00:01 AM,%RH,100.639
19/2/23 6:00:01 AM,%RH,99.873
19/2/23 8:00:01 AM,%RH,83.947
