1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C10000007D8CF941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8975
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.693
25/1/23 8:00:01 PM,C,24.381
25/1/23 10:00:01 PM,C,23.568
26/1/23 12:00:01 AM,C,24.381
26/1/23 2:00:01 AM,C,24.381
26/1/23 4:00:01 AM,C,23.943
26/1/23 6:00:01 AM,C,23.193
26/1/23 8:00:01 AM,C,18.189
26/1/23 10:00:01 AM,C,18.815
26/1/23 12:00:01 PM,C,29.255
26/1/23 2:00:01 PM,C,25.631
26/1/23 4:00:01 PM,C,23.255
26/1/23 6:00:01 PM,C,21.38
26/1/23 8:00:01 PM,C,19.566
26/1/23 10:00:01 PM,C,18.878
27/1/23 12:00:01 AM,C,17.251
27/1/23 2:00:01 AM,C,17.126
27/1/23 4:00:01 AM,C,16.875
27/1/23 6:00:01 AM,C,16.062
27/1/23 8:00:01 AM,C,17.626
27/1/23 10:00:01 AM,C,21.442
27/1/23 12:00:01 PM,C,24.506
27/1/23 2:00:01 PM,C,24.693
27/1/23 4:00:01 PM,C,23.631
27/1/23 6:00:01 PM,C,21.442
27/1/23 8:00:01 PM,C,19.253
27/1/23 10:00:01 PM,C,19.128
28/1/23 12:00:01 AM,C,17.751
28/1/23 2:00:01 AM,C,16.563
28/1/23 4:00:01 AM,C,16.437
28/1/23 6:00:01 AM,C,15.499
28/1/23 8:00:01 AM,C,17.877
28/1/23 10:00:01 AM,C,22.818
28/1/23 12:00:01 PM,C,24.693
28/1/23 2:00:01 PM,C,25.506
28/1/23 4:00:01 PM,C,24.943
28/1/23 6:00:01 PM,C,22.005
28/1/23 8:00:01 PM,C,19.003
28/1/23 10:00:01 PM,C,18.44
29/1/23 12:00:01 AM,C,17.751
29/1/23 2:00:01 AM,C,17.376
29/1/23 4:00:01 AM,C,16.938
29/1/23 6:00:01 AM,C,15.999
29/1/23 8:00:01 AM,C,17.501
29/1/23 10:00:01 AM,C,21.942
29/1/23 12:00:01 PM,C,24.256
29/1/23 2:00:01 PM,C,25.443
29/1/23 4:00:01 PM,C,24.818
29/1/23 6:00:01 PM,C,21.692
29/1/23 8:00:01 PM,C,19.566
29/1/23 10:00:01 PM,C,18.565
30/1/23 12:00:01 AM,C,18.69
30/1/23 2:00:01 AM,C,17.376
30/1/23 4:00:01 AM,C,17.939
30/1/23 6:00:01 AM,C,17.063
30/1/23 8:00:01 AM,C,17.439
30/1/23 10:00:01 AM,C,22.818
30/1/23 12:00:01 PM,C,24.256
30/1/23 2:00:01 PM,C,24.756
30/1/23 4:00:01 PM,C,23.255
30/1/23 6:00:01 PM,C,21.692
30/1/23 8:00:01 PM,C,19.816
30/1/23 10:00:01 PM,C,19.065
31/1/23 12:00:01 AM,C,18.252
31/1/23 2:00:01 AM,C,18.753
31/1/23 4:00:01 AM,C,18.127
31/1/23 6:00:01 AM,C,18.69
31/1/23 8:00:01 AM,C,19.128
31/1/23 10:00:01 AM,C,21.067
31/1/23 12:00:01 PM,C,23.631
31/1/23 2:00:01 PM,C,25.006
31/1/23 4:00:01 PM,C,24.818
31/1/23 6:00:01 PM,C,23.693
31/1/23 8:00:01 PM,C,21.505
31/1/23 10:00:01 PM,C,19.753
1/2/23 12:00:01 AM,C,20.129
1/2/23 2:00:01 AM,C,19.253
1/2/23 4:00:01 AM,C,18.064
1/2/23 6:00:01 AM,C,17.814
1/2/23 8:00:01 AM,C,17.626
1/2/23 10:00:01 AM,C,21.942
1/2/23 12:00:01 PM,C,24.943
1/2/23 2:00:01 PM,C,25.693
1/2/23 4:00:01 PM,C,26.131
1/2/23 6:00:01 PM,C,24.381
1/2/23 8:00:01 PM,C,22.818
1/2/23 10:00:01 PM,C,21.567
2/2/23 12:00:01 AM,C,20.441
2/2/23 2:00:01 AM,C,19.19
2/2/23 4:00:01 AM,C,18.315
2/2/23 6:00:01 AM,C,17.501
2/2/23 8:00:01 AM,C,18.627
2/2/23 10:00:01 AM,C,22.255
2/2/23 12:00:01 PM,C,25.131
2/2/23 2:00:01 PM,C,26.256
2/2/23 4:00:01 PM,C,26.193
2/2/23 6:00:01 PM,C,24.068
2/2/23 8:00:01 PM,C,20.004
2/2/23 10:00:01 PM,C,19.628
3/2/23 12:00:01 AM,C,19.691
3/2/23 2:00:01 AM,C,18.44
3/2/23 4:00:01 AM,C,17.689
3/2/23 6:00:01 AM,C,17.001
3/2/23 8:00:01 AM,C,18.189
3/2/23 10:00:01 AM,C,22.818
3/2/23 12:00:01 PM,C,24.568
3/2/23 2:00:01 PM,C,25.318
3/2/23 4:00:01 PM,C,25.193
3/2/23 6:00:01 PM,C,24.131
3/2/23 8:00:01 PM,C,22.005
3/2/23 10:00:01 PM,C,20.629
4/2/23 12:00:01 AM,C,19.816
4/2/23 2:00:01 AM,C,19.941
4/2/23 4:00:01 AM,C,19.316
4/2/23 6:00:01 AM,C,19.19
4/2/23 8:00:01 AM,C,19.816
4/2/23 10:00:01 AM,C,24.318
4/2/23 12:00:01 PM,C,26.256
4/2/23 2:00:01 PM,C,26.881
4/2/23 4:00:01 PM,C,26.506
4/2/23 6:00:01 PM,C,23.943
4/2/23 8:00:01 PM,C,21.692
4/2/23 10:00:01 PM,C,20.316
5/2/23 12:00:01 AM,C,19.003
5/2/23 2:00:01 AM,C,18.377
5/2/23 4:00:01 AM,C,18.69
5/2/23 6:00:01 AM,C,18.189
5/2/23 8:00:01 AM,C,19.566
5/2/23 10:00:01 AM,C,24.193
5/2/23 12:00:01 PM,C,26.193
5/2/23 2:00:01 PM,C,27.006
5/2/23 4:00:01 PM,C,26.818
5/2/23 6:00:01 PM,C,24.256
5/2/23 8:00:01 PM,C,21.88
5/2/23 10:00:01 PM,C,20.379
6/2/23 12:00:01 AM,C,19.441
6/2/23 2:00:01 AM,C,19.503
6/2/23 4:00:01 AM,C,18.44
6/2/23 6:00:01 AM,C,17.626
6/2/23 8:00:01 AM,C,18.94
6/2/23 10:00:01 AM,C,23.693
6/2/23 12:00:01 PM,C,24.881
6/2/23 2:00:01 PM,C,25.318
6/2/23 4:00:01 PM,C,25.193
6/2/23 6:00:01 PM,C,23.068
6/2/23 8:00:01 PM,C,21.255
6/2/23 10:00:01 PM,C,20.316
7/2/23 12:00:01 AM,C,19.378
7/2/23 2:00:01 AM,C,18.315
7/2/23 4:00:01 AM,C,17.689
7/2/23 6:00:01 AM,C,17.626
7/2/23 8:00:01 AM,C,18.064
7/2/23 10:00:01 AM,C,23.443
7/2/23 12:00:01 PM,C,25.131
7/2/23 2:00:01 PM,C,25.131
7/2/23 4:00:01 PM,C,24.256
7/2/23 6:00:01 PM,C,22.505
7/2/23 8:00:01 PM,C,21.192
7/2/23 10:00:01 PM,C,20.254
8/2/23 12:00:01 AM,C,18.94
8/2/23 2:00:01 AM,C,18.753
8/2/23 4:00:01 AM,C,17.439
8/2/23 6:00:01 AM,C,18.315
8/2/23 8:00:01 AM,C,19.503
8/2/23 10:00:01 AM,C,24.006
8/2/23 12:00:01 PM,C,26.443
8/2/23 2:00:01 PM,C,26.631
8/2/23 4:00:01 PM,C,26.193
8/2/23 6:00:01 PM,C,23.506
8/2/23 8:00:01 PM,C,21.567
8/2/23 10:00:01 PM,C,20.629
9/2/23 12:00:01 AM,C,19.065
9/2/23 2:00:01 AM,C,19.879
9/2/23 4:00:01 AM,C,19.628
9/2/23 6:00:01 AM,C,17.689
9/2/23 8:00:01 AM,C,18.44
9/2/23 10:00:01 AM,C,25.006
9/2/23 12:00:01 PM,C,25.568
9/2/23 2:00:01 PM,C,26.193
9/2/23 4:00:01 PM,C,25.006
9/2/23 6:00:01 PM,C,23.193
9/2/23 8:00:01 PM,C,21.129
9/2/23 10:00:01 PM,C,20.191
10/2/23 12:00:01 AM,C,19.503
10/2/23 2:00:01 AM,C,18.502
10/2/23 4:00:01 AM,C,16.563
10/2/23 6:00:01 AM,C,15.06
10/2/23 8:00:01 AM,C,18.627
10/2/23 10:00:01 AM,C,23.193
10/2/23 12:00:01 PM,C,24.943
10/2/23 2:00:01 PM,C,27.193
10/2/23 4:00:01 PM,C,26.693
10/2/23 6:00:01 PM,C,25.881
10/2/23 8:00:01 PM,C,22.193
10/2/23 10:00:01 PM,C,18.815
11/2/23 12:00:01 AM,C,17.939
11/2/23 2:00:01 AM,C,20.817
11/2/23 4:00:01 AM,C,18.753
11/2/23 6:00:01 AM,C,17.376
11/2/23 8:00:01 AM,C,18.69
11/2/23 10:00:01 AM,C,24.631
11/2/23 12:00:01 PM,C,27.381
11/2/23 2:00:01 PM,C,27.693
11/2/23 4:00:01 PM,C,27.693
11/2/23 6:00:01 PM,C,26.193
11/2/23 8:00:01 PM,C,21.88
11/2/23 10:00:01 PM,C,19.441
12/2/23 12:00:01 AM,C,17.001
12/2/23 2:00:01 AM,C,21.192
12/2/23 4:00:01 AM,C,19.253
12/2/23 6:00:01 AM,C,17.439
12/2/23 8:00:01 AM,C,20.129
12/2/23 10:00:01 AM,C,25.193
12/2/23 12:00:01 PM,C,27.631
12/2/23 2:00:01 PM,C,28.38
12/2/23 4:00:01 PM,C,28.88
12/2/23 6:00:01 PM,C,25.131
12/2/23 8:00:01 PM,C,21.692
12/2/23 10:00:01 PM,C,20.191
13/2/23 12:00:01 AM,C,17.689
13/2/23 2:00:01 AM,C,20.254
13/2/23 4:00:01 AM,C,19.441
13/2/23 6:00:01 AM,C,18.377
13/2/23 8:00:01 AM,C,19.128
13/2/23 10:00:01 AM,C,25.068
13/2/23 12:00:01 PM,C,26.506
13/2/23 2:00:01 PM,C,28.255
13/2/23 4:00:01 PM,C,28.568
13/2/23 6:00:01 PM,C,25.881
13/2/23 8:00:01 PM,C,22.005
13/2/23 10:00:01 PM,C,19.065
14/2/23 12:00:01 AM,C,19.441
14/2/23 2:00:01 AM,C,20.504
14/2/23 4:00:01 AM,C,18.815
14/2/23 6:00:01 AM,C,17.376
14/2/23 8:00:01 AM,C,18.815
14/2/23 10:00:01 AM,C,25.256
14/2/23 12:00:01 PM,C,26.006
14/2/23 2:00:01 PM,C,27.568
14/2/23 4:00:01 PM,C,25.693
14/2/23 6:00:01 PM,C,23.193
14/2/23 8:00:01 PM,C,20.817
14/2/23 10:00:01 PM,C,19.503
15/2/23 12:00:01 AM,C,17.939
15/2/23 2:00:01 AM,C,16.375
15/2/23 4:00:01 AM,C,17.689
15/2/23 6:00:01 AM,C,17.376
15/2/23 8:00:01 AM,C,20.004
15/2/23 10:00:01 AM,C,25.068
15/2/23 12:00:01 PM,C,26.693
15/2/23 2:00:01 PM,C,27.756
15/2/23 4:00:01 PM,C,28.068
15/2/23 6:00:01 PM,C,26.568
15/2/23 8:00:01 PM,C,21.755
15/2/23 10:00:01 PM,C,19.816
16/2/23 12:00:01 AM,C,16.124
16/2/23 2:00:01 AM,C,19.879
16/2/23 4:00:01 AM,C,19.19
16/2/23 6:00:01 AM,C,17.439
16/2/23 8:00:01 AM,C,19.128
16/2/23 10:00:01 AM,C,24.131
16/2/23 12:00:01 PM,C,27.256
16/2/23 2:00:01 PM,C,27.881
16/2/23 4:00:01 PM,C,28.005
16/2/23 6:00:01 PM,C,26.631
16/2/23 8:00:01 PM,C,21.505
16/2/23 10:00:01 PM,C,18.627
17/2/23 12:00:01 AM,C,17.063
17/2/23 2:00:01 AM,C,19.566
17/2/23 4:00:01 AM,C,17.001
17/2/23 6:00:01 AM,C,15.811
17/2/23 8:00:01 AM,C,18.377
17/2/23 10:00:01 AM,C,23.631
17/2/23 12:00:01 PM,C,26.756
17/2/23 2:00:01 PM,C,27.818
17/2/23 4:00:01 PM,C,28.005
17/2/23 6:00:01 PM,C,25.881
17/2/23 8:00:01 PM,C,21.192
17/2/23 10:00:01 PM,C,19.378
18/2/23 12:00:01 AM,C,17.626
18/2/23 2:00:01 AM,C,15.436
18/2/23 4:00:01 AM,C,15.811
18/2/23 6:00:01 AM,C,15.999
18/2/23 8:00:01 AM,C,18.878
18/2/23 10:00:01 AM,C,25.256
18/2/23 12:00:01 PM,C,25.818
18/2/23 2:00:01 PM,C,26.631
18/2/23 4:00:01 PM,C,24.693
18/2/23 6:00:01 PM,C,23.506
18/2/23 8:00:01 PM,C,21.505
18/2/23 10:00:01 PM,C,20.254
19/2/23 12:00:01 AM,C,19.441
19/2/23 2:00:01 AM,C,18.69
19/2/23 4:00:01 AM,C,16.813
19/2/23 6:00:01 AM,C,15.436
19/2/23 8:00:01 AM,C,17.564
19/2/23 10:00:01 AM,C,25.568
19/2/23 12:00:01 PM,C,26.068
19/2/23 2:00:01 PM,C,27.068
19/2/23 4:00:01 PM,C,25.381
19/2/23 6:00:01 PM,C,23.068
19/2/23 8:00:01 PM,C,21.442
19/2/23 10:00:01 PM,C,20.316
20/2/23 12:00:01 AM,C,19.691
20/2/23 2:00:01 AM,C,18.94
20/2/23 4:00:01 AM,C,16.875
20/2/23 6:00:01 AM,C,17.001
20/2/23 8:00:01 AM,C,19.316
20/2/23 10:00:01 AM,C,24.568
20/2/23 12:00:01 PM,C,26.318
20/2/23 2:00:01 PM,C,24.068
20/2/23 4:00:01 PM,C,24.006
20/2/23 6:00:01 PM,C,22.63
20/2/23 8:00:01 PM,C,21.129
20/2/23 10:00:01 PM,C,20.504
21/2/23 12:00:01 AM,C,19.378
21/2/23 2:00:01 AM,C,18.377
21/2/23 4:00:01 AM,C,15.686
21/2/23 6:00:01 AM,C,18.753
21/2/23 8:00:01 AM,C,20.129
21/2/23 10:00:01 AM,C,23.943
21/2/23 12:00:01 PM,C,26.256
21/2/23 2:00:01 PM,C,27.131
21/2/23 4:00:01 PM,C,25.818
21/2/23 6:00:01 PM,C,23.568
21/2/23 8:00:01 PM,C,21.567
21/2/23 10:00:01 PM,C,20.504
22/2/23 12:00:01 AM,C,18.878
22/2/23 2:00:01 AM,C,17.251
22/2/23 4:00:01 AM,C,17.877
22/2/23 6:00:01 AM,C,18.627
22/2/23 8:00:01 AM,C,19.628
22/2/23 10:00:01 AM,C,24.943
22/2/23 12:00:01 PM,C,26.131
22/2/23 2:00:01 PM,C,27.631
22/2/23 4:00:01 PM,C,28.13
22/2/23 6:00:01 PM,C,25.881
22/2/23 8:00:01 PM,C,22.193
22/2/23 10:00:01 PM,C,20.567
23/2/23 12:00:01 AM,C,17.251
23/2/23 2:00:01 AM,C,20.191
23/2/23 4:00:01 AM,C,18.502
23/2/23 6:00:01 AM,C,16.813
