1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DA0000007D8DA241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  9602
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,78.366
25/1/23 8:00:01 PM,%RH,77.552
25/1/23 10:00:01 PM,%RH,77.416
26/1/23 12:00:01 AM,%RH,77.96
26/1/23 2:00:01 AM,%RH,75.638
26/1/23 4:00:01 AM,%RH,71.747
26/1/23 6:00:01 AM,%RH,68.202
26/1/23 8:00:01 AM,%RH,73.006
26/1/23 10:00:01 AM,%RH,79.177
26/1/23 12:00:01 PM,%RH,51.359
26/1/23 2:00:01 PM,%RH,36.649
26/1/23 4:00:01 PM,%RH,74.673
26/1/23 6:00:01 PM,%RH,80.519
26/1/23 8:00:01 PM,%RH,82.908
26/1/23 10:00:01 PM,%RH,94.462
27/1/23 12:00:01 AM,%RH,96.042
27/1/23 2:00:01 AM,%RH,97.603
27/1/23 4:00:01 AM,%RH,82.644
27/1/23 6:00:01 AM,%RH,81.85
27/1/23 8:00:01 AM,%RH,83.697
27/1/23 10:00:01 AM,%RH,75.638
27/1/23 12:00:01 PM,%RH,53.211
27/1/23 2:00:01 PM,%RH,46.185
27/1/23 4:00:01 PM,%RH,66.622
27/1/23 6:00:01 PM,%RH,77.552
27/1/23 8:00:01 PM,%RH,84.22
27/1/23 10:00:01 PM,%RH,94.95
28/1/23 12:00:01 AM,%RH,96.524
28/1/23 2:00:01 AM,%RH,96.162
28/1/23 4:00:01 AM,%RH,92.742
28/1/23 6:00:01 AM,%RH,84.351
28/1/23 8:00:01 AM,%RH,81.053
28/1/23 10:00:01 AM,%RH,67.342
28/1/23 12:00:01 PM,%RH,27.598
28/1/23 2:00:01 PM,%RH,30.649
28/1/23 4:00:01 PM,%RH,29.805
28/1/23 6:00:01 PM,%RH,56.871
28/1/23 8:00:01 PM,%RH,70.478
28/1/23 10:00:01 PM,%RH,93.359
29/1/23 12:00:01 AM,%RH,95.921
29/1/23 2:00:01 AM,%RH,83.566
29/1/23 4:00:01 AM,%RH,82.115
29/1/23 6:00:01 AM,%RH,84.09
29/1/23 8:00:01 AM,%RH,84.22
29/1/23 10:00:01 AM,%RH,67.198
29/1/23 12:00:01 PM,%RH,41.382
29/1/23 2:00:01 PM,%RH,36.649
29/1/23 4:00:01 PM,%RH,46.976
29/1/23 6:00:01 PM,%RH,68.917
29/1/23 8:00:01 PM,%RH,84.873
