1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DA0000007D8DA241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  9602
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.631
25/1/23 8:00:01 PM,C,24.131
25/1/23 10:00:01 PM,C,23.568
26/1/23 12:00:01 AM,C,24.193
26/1/23 2:00:01 AM,C,24.006
26/1/23 4:00:01 AM,C,23.443
26/1/23 6:00:01 AM,C,22.88
26/1/23 8:00:01 AM,C,18.753
26/1/23 10:00:01 AM,C,18.815
26/1/23 12:00:01 PM,C,27.506
26/1/23 2:00:01 PM,C,24.881
26/1/23 4:00:01 PM,C,23.318
26/1/23 6:00:01 PM,C,21.317
26/1/23 8:00:01 PM,C,19.754
26/1/23 10:00:01 PM,C,19.128
27/1/23 12:00:01 AM,C,17.314
27/1/23 2:00:01 AM,C,17.189
27/1/23 4:00:01 AM,C,16.938
27/1/23 6:00:01 AM,C,16.188
27/1/23 8:00:01 AM,C,16.938
27/1/23 10:00:01 AM,C,20.066
27/1/23 12:00:01 PM,C,23.506
27/1/23 2:00:01 PM,C,24.318
27/1/23 4:00:01 PM,C,23.756
27/1/23 6:00:01 PM,C,21.442
27/1/23 8:00:01 PM,C,19.316
27/1/23 10:00:01 PM,C,19.066
28/1/23 12:00:01 AM,C,18.065
28/1/23 2:00:01 AM,C,16.813
28/1/23 4:00:01 AM,C,16.938
28/1/23 6:00:01 AM,C,15.875
28/1/23 8:00:01 AM,C,16.751
28/1/23 10:00:01 AM,C,20.379
28/1/23 12:00:01 PM,C,23.881
28/1/23 2:00:01 PM,C,25.006
28/1/23 4:00:01 PM,C,24.256
28/1/23 6:00:01 PM,C,22.068
28/1/23 8:00:01 PM,C,19.066
28/1/23 10:00:01 PM,C,18.378
29/1/23 12:00:01 AM,C,17.877
29/1/23 2:00:01 AM,C,17.689
29/1/23 4:00:01 AM,C,17.126
29/1/23 6:00:01 AM,C,16.188
29/1/23 8:00:01 AM,C,16.563
29/1/23 10:00:01 AM,C,20.567
29/1/23 12:00:01 PM,C,23.693
29/1/23 2:00:01 PM,C,25.068
29/1/23 4:00:01 PM,C,24.818
29/1/23 6:00:01 PM,C,21.692
29/1/23 8:00:01 PM,C,19.566
29/1/23 10:00:01 PM,C,18.503
30/1/23 12:00:01 AM,C,18.753
30/1/23 2:00:01 AM,C,17.94
30/1/23 4:00:01 AM,C,18.065
30/1/23 6:00:01 AM,C,17.001
30/1/23 8:00:01 AM,C,17.627
30/1/23 10:00:01 AM,C,20.88
30/1/23 12:00:01 PM,C,23.318
30/1/23 2:00:01 PM,C,24.506
30/1/23 4:00:01 PM,C,23.068
30/1/23 6:00:01 PM,C,21.567
30/1/23 8:00:01 PM,C,19.754
30/1/23 10:00:01 PM,C,18.941
31/1/23 12:00:01 AM,C,18.315
31/1/23 2:00:01 AM,C,19.003
31/1/23 4:00:01 AM,C,18.44
31/1/23 6:00:01 AM,C,18.69
31/1/23 8:00:01 AM,C,19.003
31/1/23 10:00:01 AM,C,20.629
31/1/23 12:00:01 PM,C,23.381
31/1/23 2:00:01 PM,C,24.881
31/1/23 4:00:01 PM,C,24.756
31/1/23 6:00:01 PM,C,23.756
31/1/23 8:00:01 PM,C,22.318
31/1/23 10:00:01 PM,C,20.192
1/2/23 12:00:01 AM,C,20.192
1/2/23 2:00:01 AM,C,19.316
