1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5A0000007D839841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8823
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,78.605
25/1/23 8:00:01 PM,%RH,76.149
25/1/23 10:00:01 PM,%RH,77.308
26/1/23 12:00:01 AM,%RH,77.885
26/1/23 2:00:01 AM,%RH,76.874
26/1/23 4:00:01 AM,%RH,71.748
26/1/23 6:00:01 AM,%RH,67.564
26/1/23 8:00:01 AM,%RH,71.452
26/1/23 10:00:01 AM,%RH,82.308
26/1/23 12:00:01 PM,%RH,60.682
26/1/23 2:00:01 PM,%RH,33.12
26/1/23 4:00:01 PM,%RH,70.411
26/1/23 6:00:01 PM,%RH,77.885
26/1/23 8:00:01 PM,%RH,81.884
26/1/23 10:00:01 PM,%RH,93.564
27/1/23 12:00:01 AM,%RH,97
27/1/23 2:00:01 AM,%RH,98.694
27/1/23 4:00:01 AM,%RH,90.607
27/1/23 6:00:01 AM,%RH,88.427
27/1/23 8:00:01 AM,%RH,83.855
27/1/23 10:00:01 AM,%RH,71.304
27/1/23 12:00:01 PM,%RH,46.669
27/1/23 2:00:01 PM,%RH,44.042
27/1/23 4:00:01 PM,%RH,63.151
27/1/23 6:00:01 PM,%RH,74.984
27/1/23 8:00:01 PM,%RH,82.59
27/1/23 10:00:01 PM,%RH,95.026
28/1/23 12:00:01 AM,%RH,95.95
28/1/23 2:00:01 AM,%RH,97.784
28/1/23 4:00:01 AM,%RH,98.304
28/1/23 6:00:01 AM,%RH,91.283
28/1/23 8:00:01 AM,%RH,82.731
28/1/23 10:00:01 AM,%RH,61.457
28/1/23 12:00:01 PM,%RH,24.797
28/1/23 2:00:01 PM,%RH,28.118
28/1/23 4:00:01 PM,%RH,30.715
28/1/23 6:00:01 PM,%RH,54.563
28/1/23 8:00:01 PM,%RH,68.016
28/1/23 10:00:01 PM,%RH,92.36
29/1/23 12:00:01 AM,%RH,96.607
29/1/23 2:00:01 AM,%RH,84.554
29/1/23 4:00:01 AM,%RH,87.328
29/1/23 6:00:01 AM,%RH,87.328
29/1/23 8:00:01 AM,%RH,85.807
29/1/23 10:00:01 AM,%RH,62.998
29/1/23 12:00:01 PM,%RH,37.706
29/1/23 2:00:01 PM,%RH,33.975
29/1/23 4:00:01 PM,%RH,41.225
29/1/23 6:00:01 PM,%RH,65.899
29/1/23 8:00:01 PM,%RH,84.414
29/1/23 10:00:01 PM,%RH,95.422
30/1/23 12:00:01 AM,%RH,89.52
30/1/23 2:00:01 AM,%RH,88.427
30/1/23 4:00:01 AM,%RH,82.731
