1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5A0000007D839841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8823
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.955
25/1/23 8:00:01 PM,C,24.455
25/1/23 10:00:01 PM,C,23.705
26/1/23 12:00:01 AM,C,24.392
26/1/23 2:00:01 AM,C,24.33
26/1/23 4:00:01 AM,C,23.955
26/1/23 6:00:01 AM,C,23.455
26/1/23 8:00:01 AM,C,18.638
26/1/23 10:00:01 AM,C,18.889
26/1/23 12:00:01 PM,C,28.454
26/1/23 2:00:01 PM,C,26.393
26/1/23 4:00:01 PM,C,24.142
26/1/23 6:00:01 PM,C,22.016
26/1/23 8:00:01 PM,C,20.39
26/1/23 10:00:01 PM,C,19.139
27/1/23 12:00:01 AM,C,17.512
27/1/23 2:00:01 AM,C,17.449
27/1/23 4:00:01 AM,C,16.26
27/1/23 6:00:01 AM,C,15.947
27/1/23 8:00:01 AM,C,17.324
27/1/23 10:00:01 AM,C,21.328
27/1/23 12:00:01 PM,C,25.268
27/1/23 2:00:01 PM,C,25.83
27/1/23 4:00:01 PM,C,24.392
27/1/23 6:00:01 PM,C,22.204
27/1/23 8:00:01 PM,C,19.952
27/1/23 10:00:01 PM,C,19.452
28/1/23 12:00:01 AM,C,18.138
28/1/23 2:00:01 AM,C,16.761
28/1/23 4:00:01 AM,C,15.947
28/1/23 6:00:01 AM,C,14.882
28/1/23 8:00:01 AM,C,16.948
28/1/23 10:00:01 AM,C,22.454
28/1/23 12:00:01 PM,C,25.08
28/1/23 2:00:01 PM,C,26.08
28/1/23 4:00:01 PM,C,25.08
28/1/23 6:00:01 PM,C,22.767
28/1/23 8:00:01 PM,C,19.765
28/1/23 10:00:01 PM,C,18.889
29/1/23 12:00:01 AM,C,18.075
29/1/23 2:00:01 AM,C,17.574
29/1/23 4:00:01 AM,C,16.761
29/1/23 6:00:01 AM,C,15.696
29/1/23 8:00:01 AM,C,16.761
29/1/23 10:00:01 AM,C,21.829
29/1/23 12:00:01 PM,C,25.143
29/1/23 2:00:01 PM,C,26.518
29/1/23 4:00:01 PM,C,24.893
29/1/23 6:00:01 PM,C,22.392
29/1/23 8:00:01 PM,C,20.015
29/1/23 10:00:01 PM,C,18.826
30/1/23 12:00:01 AM,C,18.701
30/1/23 2:00:01 AM,C,17.512
30/1/23 4:00:01 AM,C,18.2
30/1/23 6:00:01 AM,C,17.074
30/1/23 8:00:01 AM,C,17.136
30/1/23 10:00:01 AM,C,22.892
30/1/23 12:00:01 PM,C,25.518
30/1/23 2:00:01 PM,C,25.643
30/1/23 4:00:01 PM,C,23.767
30/1/23 6:00:01 PM,C,22.016
30/1/23 8:00:01 PM,C,20.39
30/1/23 10:00:01 PM,C,19.389
31/1/23 12:00:01 AM,C,18.513
31/1/23 2:00:01 AM,C,18.951
31/1/23 4:00:01 AM,C,18.388
31/1/23 6:00:01 AM,C,18.826
31/1/23 8:00:01 AM,C,19.327
31/1/23 10:00:01 AM,C,21.454
31/1/23 12:00:01 PM,C,24.83
31/1/23 2:00:01 PM,C,25.83
31/1/23 4:00:01 PM,C,24.893
31/1/23 6:00:01 PM,C,23.58
31/1/23 8:00:01 PM,C,20.828
31/1/23 10:00:01 PM,C,20.015
1/2/23 12:00:01 AM,C,20.015
1/2/23 2:00:01 AM,C,19.327
1/2/23 4:00:01 AM,C,18.325
1/2/23 6:00:01 AM,C,18.012
1/2/23 8:00:01 AM,C,17.887
1/2/23 10:00:01 AM,C,22.517
1/2/23 12:00:01 PM,C,25.518
1/2/23 2:00:01 PM,C,26.268
1/2/23 4:00:01 PM,C,25.83
1/2/23 6:00:01 PM,C,24.392
1/2/23 8:00:01 PM,C,22.642
1/2/23 10:00:01 PM,C,21.641
2/2/23 12:00:01 AM,C,20.578
2/2/23 2:00:01 AM,C,19.452
2/2/23 4:00:01 AM,C,18.638
2/2/23 6:00:01 AM,C,17.825
2/2/23 8:00:01 AM,C,18.826
2/2/23 10:00:01 AM,C,22.892
2/2/23 12:00:01 PM,C,26.018
2/2/23 2:00:01 PM,C,26.767
2/2/23 4:00:01 PM,C,26.455
2/2/23 6:00:01 PM,C,24.017
2/2/23 8:00:01 PM,C,19.952
2/2/23 10:00:01 PM,C,19.765
3/2/23 12:00:01 AM,C,19.89
3/2/23 2:00:01 AM,C,18.763
3/2/23 4:00:01 AM,C,17.95
3/2/23 6:00:01 AM,C,17.199
3/2/23 8:00:01 AM,C,18.388
3/2/23 10:00:01 AM,C,22.329
3/2/23 12:00:01 PM,C,25.393
3/2/23 2:00:01 PM,C,25.518
3/2/23 4:00:01 PM,C,25.33
3/2/23 6:00:01 PM,C,24.017
3/2/23 8:00:01 PM,C,22.517
3/2/23 10:00:01 PM,C,21.203
4/2/23 12:00:01 AM,C,20.015
4/2/23 2:00:01 AM,C,20.015
4/2/23 4:00:01 AM,C,19.452
4/2/23 6:00:01 AM,C,19.264
4/2/23 8:00:01 AM,C,19.514
4/2/23 10:00:01 AM,C,24.267
4/2/23 12:00:01 PM,C,27.08
4/2/23 2:00:01 PM,C,27.955
