1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 500000007DAB0441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  9156
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,79.492
25/1/23 8:00:01 PM,%RH,77.465
25/1/23 10:00:01 PM,%RH,77.319
26/1/23 12:00:01 AM,%RH,79.204
26/1/23 2:00:01 AM,%RH,75.713
26/1/23 4:00:01 AM,%RH,71.726
26/1/23 6:00:01 AM,%RH,68.43
26/1/23 8:00:01 AM,%RH,81.503
26/1/23 10:00:01 AM,%RH,81.217
26/1/23 12:00:01 PM,%RH,59.227
26/1/23 2:00:01 PM,%RH,39.544
26/1/23 4:00:01 PM,%RH,73.21
26/1/23 6:00:01 PM,%RH,79.781
26/1/23 8:00:01 PM,%RH,81.789
26/1/23 10:00:01 PM,%RH,96.438
27/1/23 12:00:01 AM,%RH,98.167
27/1/23 2:00:01 AM,%RH,104.423
27/1/23 4:00:01 AM,%RH,85.613
27/1/23 6:00:01 AM,%RH,88.266
27/1/23 8:00:01 AM,%RH,87.571
27/1/23 10:00:01 AM,%RH,77.174
27/1/23 12:00:01 PM,%RH,53.076
27/1/23 2:00:01 PM,%RH,48.092
27/1/23 4:00:01 PM,%RH,65.092
27/1/23 6:00:01 PM,%RH,77.319
27/1/23 8:00:01 PM,%RH,83.213
27/1/23 10:00:01 PM,%RH,97.371
28/1/23 12:00:01 AM,%RH,98.299
28/1/23 2:00:01 AM,%RH,99.223
28/1/23 4:00:01 AM,%RH,93.884
28/1/23 6:00:01 AM,%RH,86.174
28/1/23 8:00:01 AM,%RH,85.754
28/1/23 10:00:01 AM,%RH,69.483
28/1/23 12:00:01 PM,%RH,29.043
28/1/23 2:00:01 PM,%RH,31.614
28/1/23 4:00:01 PM,%RH,32.978
28/1/23 6:00:01 PM,%RH,56.72
28/1/23 8:00:01 PM,%RH,68.581
28/1/23 10:00:01 PM,%RH,96.705
29/1/23 12:00:01 AM,%RH,96.037
29/1/23 2:00:01 AM,%RH,81.789
29/1/23 4:00:01 AM,%RH,84.487
29/1/23 6:00:01 AM,%RH,85.051
29/1/23 8:00:01 AM,%RH,88.405
29/1/23 10:00:01 AM,%RH,68.732
29/1/23 12:00:01 PM,%RH,41.869
29/1/23 2:00:01 PM,%RH,40.21
29/1/23 4:00:01 PM,%RH,47.281
29/1/23 6:00:01 PM,%RH,67.978
29/1/23 8:00:01 PM,%RH,83.921
29/1/23 10:00:01 PM,%RH,95.232
30/1/23 12:00:01 AM,%RH,89.374
30/1/23 2:00:01 AM,%RH,85.191
30/1/23 4:00:01 AM,%RH,82.502
30/1/23 6:00:01 AM,%RH,87.85
30/1/23 8:00:01 AM,%RH,90.064
30/1/23 10:00:01 AM,%RH,84.063
30/1/23 12:00:01 PM,%RH,67.826
30/1/23 2:00:01 PM,%RH,68.129
30/1/23 4:00:01 PM,%RH,81.074
30/1/23 6:00:01 PM,%RH,86.174
30/1/23 8:00:01 PM,%RH,91.846
30/1/23 10:00:01 PM,%RH,97.769
31/1/23 12:00:01 AM,%RH,97.503
31/1/23 2:00:01 AM,%RH,99.881
31/1/23 4:00:01 AM,%RH,97.769
31/1/23 6:00:01 AM,%RH,96.971
31/1/23 8:00:01 AM,%RH,97.104
31/1/23 10:00:01 AM,%RH,91.982
31/1/23 12:00:01 PM,%RH,78.046
31/1/23 2:00:01 PM,%RH,65.397
31/1/23 4:00:01 PM,%RH,64.634
31/1/23 6:00:01 PM,%RH,70.083
31/1/23 8:00:01 PM,%RH,71.726
31/1/23 10:00:01 PM,%RH,77.901
1/2/23 12:00:01 AM,%RH,73.21
1/2/23 2:00:01 AM,%RH,74.833
1/2/23 4:00:01 AM,%RH,78.915
1/2/23 6:00:01 AM,%RH,81.789
1/2/23 8:00:01 AM,%RH,86.174
1/2/23 10:00:01 AM,%RH,66.615
1/2/23 12:00:01 PM,%RH,43.519
1/2/23 2:00:01 PM,%RH,40.376
1/2/23 4:00:01 PM,%RH,38.71
1/2/23 6:00:01 PM,%RH,43.848
1/2/23 8:00:01 PM,%RH,51.317
1/2/23 10:00:01 PM,%RH,64.174
2/2/23 12:00:01 AM,%RH,68.882
2/2/23 2:00:01 AM,%RH,75.42
2/2/23 4:00:01 AM,%RH,82.359
2/2/23 6:00:01 AM,%RH,87.71
2/2/23 8:00:01 AM,%RH,82.217
2/2/23 10:00:01 AM,%RH,66.918
2/2/23 12:00:01 PM,%RH,39.711
2/2/23 2:00:01 PM,%RH,37.705
2/2/23 4:00:01 PM,%RH,40.874
2/2/23 6:00:01 PM,%RH,47.93
2/2/23 8:00:01 PM,%RH,50.353
2/2/23 10:00:01 PM,%RH,59.539
3/2/23 12:00:01 AM,%RH,67.978
3/2/23 2:00:01 AM,%RH,71.726
3/2/23 4:00:01 AM,%RH,74.244
3/2/23 6:00:01 AM,%RH,74.096
3/2/23 8:00:01 AM,%RH,69.934
3/2/23 10:00:01 AM,%RH,49.548
3/2/23 12:00:01 PM,%RH,41.04
3/2/23 2:00:01 PM,%RH,46.141
3/2/23 4:00:01 PM,%RH,54.19
3/2/23 6:00:01 PM,%RH,60.472
3/2/23 8:00:01 PM,%RH,70.682
3/2/23 10:00:01 PM,%RH,76.591
4/2/23 12:00:01 AM,%RH,80.356
4/2/23 2:00:01 AM,%RH,74.391
4/2/23 4:00:01 AM,%RH,73.21
4/2/23 6:00:01 AM,%RH,73.062
4/2/23 8:00:01 AM,%RH,79.348
4/2/23 10:00:01 AM,%RH,60.472
4/2/23 12:00:01 PM,%RH,51.157
4/2/23 2:00:01 PM,%RH,50.996
4/2/23 4:00:01 PM,%RH,50.996
4/2/23 6:00:01 PM,%RH,61.866
4/2/23 8:00:01 PM,%RH,87.432
4/2/23 10:00:01 PM,%RH,97.769
5/2/23 12:00:01 AM,%RH,98.299
5/2/23 2:00:01 AM,%RH,83.071
5/2/23 4:00:01 AM,%RH,79.925
5/2/23 6:00:01 AM,%RH,83.496
5/2/23 8:00:01 AM,%RH,80.93
5/2/23 10:00:01 AM,%RH,71.428
5/2/23 12:00:01 PM,%RH,56.562
5/2/23 2:00:01 PM,%RH,54.031
5/2/23 4:00:01 PM,%RH,47.118
5/2/23 6:00:01 PM,%RH,79.059
5/2/23 8:00:01 PM,%RH,86.454
5/2/23 10:00:01 PM,%RH,94.694
6/2/23 12:00:01 AM,%RH,97.503
6/2/23 2:00:01 AM,%RH,91.846
6/2/23 4:00:01 AM,%RH,77.028
6/2/23 6:00:01 AM,%RH,73.506
6/2/23 8:00:01 AM,%RH,76.298
6/2/23 10:00:01 AM,%RH,64.021
6/2/23 12:00:01 PM,%RH,50.836
6/2/23 2:00:01 PM,%RH,51.638
6/2/23 4:00:01 PM,%RH,48.092
6/2/23 6:00:01 PM,%RH,66.766
6/2/23 8:00:01 PM,%RH,91.162
6/2/23 10:00:01 PM,%RH,95.366
7/2/23 12:00:01 AM,%RH,98.431
7/2/23 2:00:01 AM,%RH,100.406
7/2/23 4:00:01 AM,%RH,90.614
7/2/23 6:00:01 AM,%RH,84.063
7/2/23 8:00:01 AM,%RH,90.476
7/2/23 10:00:01 AM,%RH,80.643
7/2/23 12:00:01 PM,%RH,62.792
7/2/23 2:00:01 PM,%RH,65.245
7/2/23 4:00:01 PM,%RH,75.273
7/2/23 6:00:01 PM,%RH,81.932
7/2/23 8:00:01 PM,%RH,94.424
7/2/23 10:00:01 PM,%RH,99.355
8/2/23 12:00:01 AM,%RH,99.75
8/2/23 2:00:01 AM,%RH,100.275
8/2/23 4:00:01 AM,%RH,86.174
8/2/23 6:00:01 AM,%RH,88.682
8/2/23 8:00:01 AM,%RH,90.064
8/2/23 10:00:01 AM,%RH,73.358
8/2/23 12:00:01 PM,%RH,57.505
8/2/23 2:00:01 PM,%RH,49.063
8/2/23 4:00:01 PM,%RH,60.783
8/2/23 6:00:01 PM,%RH,75.713
8/2/23 8:00:01 PM,%RH,88.544
8/2/23 10:00:01 PM,%RH,97.238
9/2/23 12:00:01 AM,%RH,90.064
9/2/23 2:00:01 AM,%RH,80.643
9/2/23 4:00:01 AM,%RH,71.577
9/2/23 6:00:01 AM,%RH,79.348
9/2/23 8:00:01 AM,%RH,82.359
9/2/23 10:00:01 AM,%RH,65.702
9/2/23 12:00:01 PM,%RH,58.758
9/2/23 2:00:01 PM,%RH,54.824
9/2/23 4:00:01 PM,%RH,72.469
9/2/23 6:00:01 PM,%RH,80.069
9/2/23 8:00:01 PM,%RH,94.289
9/2/23 10:00:01 PM,%RH,99.092
10/2/23 12:00:01 AM,%RH,100.667
10/2/23 2:00:01 AM,%RH,101.19
10/2/23 4:00:01 AM,%RH,99.092
10/2/23 6:00:01 AM,%RH,91.982
10/2/23 8:00:01 AM,%RH,75.86
10/2/23 10:00:01 AM,%RH,71.726
10/2/23 12:00:01 PM,%RH,52.757
10/2/23 2:00:01 PM,%RH,36.866
10/2/23 4:00:01 PM,%RH,42.365
10/2/23 6:00:01 PM,%RH,39.711
10/2/23 8:00:01 PM,%RH,42.365
10/2/23 10:00:01 PM,%RH,58.915
11/2/23 12:00:01 AM,%RH,44.012
11/2/23 2:00:01 AM,%RH,44.34
11/2/23 4:00:01 AM,%RH,54.824
11/2/23 6:00:01 AM,%RH,62.484
11/2/23 8:00:01 AM,%RH,62.484
11/2/23 10:00:01 AM,%RH,52.917
11/2/23 12:00:01 PM,%RH,38.208
11/2/23 2:00:01 PM,%RH,33.318
11/2/23 4:00:01 PM,%RH,31.956
11/2/23 6:00:01 PM,%RH,34.505
11/2/23 8:00:01 PM,%RH,81.503
11/2/23 10:00:01 PM,%RH,86.734
12/2/23 12:00:01 AM,%RH,41.869
12/2/23 2:00:01 AM,%RH,38.04
12/2/23 4:00:01 AM,%RH,46.304
12/2/23 6:00:01 AM,%RH,55.457
12/2/23 8:00:01 AM,%RH,60.317
12/2/23 10:00:01 AM,%RH,49.87
12/2/23 12:00:01 PM,%RH,25.41
12/2/23 2:00:01 PM,%RH,24.016
12/2/23 4:00:01 PM,%RH,23.317
12/2/23 6:00:01 PM,%RH,62.638
12/2/23 8:00:01 PM,%RH,93.207
12/2/23 10:00:01 PM,%RH,97.636
13/2/23 12:00:01 AM,%RH,67.978
13/2/23 2:00:01 AM,%RH,51.958
13/2/23 4:00:01 AM,%RH,51.958
13/2/23 6:00:01 AM,%RH,56.877
13/2/23 8:00:01 AM,%RH,56.405
13/2/23 10:00:01 AM,%RH,45.814
13/2/23 12:00:01 PM,%RH,31.614
13/2/23 2:00:01 PM,%RH,27.491
13/2/23 4:00:01 PM,%RH,26.626
13/2/23 6:00:01 PM,%RH,32.808
13/2/23 8:00:01 PM,%RH,74.391
13/2/23 10:00:01 PM,%RH,86.734
14/2/23 12:00:01 AM,%RH,69.634
14/2/23 2:00:01 AM,%RH,48.902
14/2/23 4:00:01 AM,%RH,52.438
14/2/23 6:00:01 AM,%RH,57.348
14/2/23 8:00:01 AM,%RH,65.245
14/2/23 10:00:01 AM,%RH,50.193
14/2/23 12:00:01 PM,%RH,39.711
14/2/23 2:00:01 PM,%RH,26.626
14/2/23 4:00:01 PM,%RH,55.616
14/2/23 6:00:01 PM,%RH,65.245
14/2/23 8:00:01 PM,%RH,89.65
14/2/23 10:00:01 PM,%RH,97.238
15/2/23 12:00:01 AM,%RH,98.696
15/2/23 2:00:01 AM,%RH,92.935
15/2/23 4:00:01 AM,%RH,64.634
15/2/23 6:00:01 AM,%RH,56.089
15/2/23 8:00:01 AM,%RH,52.438
15/2/23 10:00:01 AM,%RH,48.254
15/2/23 12:00:01 PM,%RH,26.799
15/2/23 2:00:01 PM,%RH,28.182
15/2/23 4:00:01 PM,%RH,25.236
15/2/23 6:00:01 PM,%RH,23.667
15/2/23 8:00:01 PM,%RH,49.386
15/2/23 10:00:01 PM,%RH,88.405
16/2/23 12:00:01 AM,%RH,51.958
16/2/23 2:00:01 AM,%RH,43.848
16/2/23 4:00:01 AM,%RH,47.606
16/2/23 6:00:01 AM,%RH,58.446
16/2/23 8:00:01 AM,%RH,61.248
16/2/23 10:00:01 AM,%RH,50.031
16/2/23 12:00:01 PM,%RH,26.972
16/2/23 2:00:01 PM,%RH,24.54
16/2/23 4:00:01 PM,%RH,24.365
16/2/23 6:00:01 PM,%RH,28.182
16/2/23 8:00:01 PM,%RH,70.383
16/2/23 10:00:01 PM,%RH,82.786
17/2/23 12:00:01 AM,%RH,85.613
17/2/23 2:00:01 AM,%RH,51.638
17/2/23 4:00:01 AM,%RH,64.328
17/2/23 6:00:01 AM,%RH,69.183
17/2/23 8:00:01 AM,%RH,69.483
17/2/23 10:00:01 AM,%RH,57.191
17/2/23 12:00:01 PM,%RH,31.273
17/2/23 2:00:01 PM,%RH,25.062
17/2/23 4:00:01 PM,%RH,25.062
17/2/23 6:00:01 PM,%RH,27.837
17/2/23 8:00:01 PM,%RH,84.769
17/2/23 10:00:01 PM,%RH,94.694
18/2/23 12:00:01 AM,%RH,94.424
18/2/23 2:00:01 AM,%RH,64.328
18/2/23 4:00:01 AM,%RH,54.507
18/2/23 6:00:01 AM,%RH,67.524
18/2/23 8:00:01 AM,%RH,70.981
18/2/23 10:00:01 AM,%RH,55.931
18/2/23 12:00:01 PM,%RH,45.16
18/2/23 2:00:01 PM,%RH,42.53
18/2/23 4:00:01 PM,%RH,63.714
18/2/23 6:00:01 PM,%RH,76.445
18/2/23 8:00:01 PM,%RH,92.391
18/2/23 10:00:01 PM,%RH,95.098
19/2/23 12:00:01 AM,%RH,97.769
19/2/23 2:00:01 AM,%RH,100.406
19/2/23 4:00:01 AM,%RH,99.487
19/2/23 6:00:01 AM,%RH,96.438
19/2/23 8:00:01 AM,%RH,82.786
19/2/23 10:00:01 AM,%RH,69.934
19/2/23 12:00:01 PM,%RH,46.467
19/2/23 2:00:01 PM,%RH,43.025
19/2/23 4:00:01 PM,%RH,72.024
19/2/23 6:00:01 PM,%RH,76.882
19/2/23 8:00:01 PM,%RH,91.025
19/2/23 10:00:01 PM,%RH,96.971
20/2/23 12:00:01 AM,%RH,99.092
20/2/23 2:00:01 AM,%RH,100.929
20/2/23 4:00:01 AM,%RH,94.694
20/2/23 6:00:01 AM,%RH,79.925
20/2/23 8:00:01 AM,%RH,82.644
20/2/23 10:00:01 AM,%RH,74.538
20/2/23 12:00:01 PM,%RH,59.227
20/2/23 2:00:01 PM,%RH,75.567
20/2/23 4:00:01 PM,%RH,73.654
20/2/23 6:00:01 PM,%RH,77.319
20/2/23 8:00:01 PM,%RH,88.682
20/2/23 10:00:01 PM,%RH,98.167
21/2/23 12:00:01 AM,%RH,100.143
21/2/23 2:00:01 AM,%RH,102.23
21/2/23 4:00:01 AM,%RH,74.833
21/2/23 6:00:01 AM,%RH,66.311
21/2/23 8:00:01 AM,%RH,69.033
21/2/23 10:00:01 AM,%RH,71.875
21/2/23 12:00:01 PM,%RH,56.089
21/2/23 2:00:01 PM,%RH,48.416
21/2/23 4:00:01 PM,%RH,66.766
21/2/23 6:00:01 PM,%RH,72.618
21/2/23 8:00:01 PM,%RH,86.315
21/2/23 10:00:01 PM,%RH,94.963
22/2/23 12:00:01 AM,%RH,100.143
22/2/23 2:00:01 AM,%RH,98.034
22/2/23 4:00:01 AM,%RH,63.868
22/2/23 6:00:01 AM,%RH,63.407
22/2/23 8:00:01 AM,%RH,72.766
22/2/23 10:00:01 AM,%RH,63.714
22/2/23 12:00:01 PM,%RH,47.768
22/2/23 2:00:01 PM,%RH,31.444
22/2/23 4:00:01 PM,%RH,30.074
22/2/23 6:00:01 PM,%RH,36.025
22/2/23 8:00:01 PM,%RH,59.071
22/2/23 10:00:01 PM,%RH,91.846
23/2/23 12:00:01 AM,%RH,71.428
23/2/23 2:00:01 AM,%RH,49.386
23/2/23 4:00:01 AM,%RH,60.472
23/2/23 6:00:01 AM,%RH,68.882
23/2/23 8:00:01 AM,%RH,70.083
23/2/23 10:00:01 AM,%RH,54.349
23/2/23 12:00:01 PM,%RH,24.365
23/2/23 2:00:01 PM,%RH,17.318
23/2/23 4:00:01 PM,%RH,19.801
23/2/23 6:00:01 PM,%RH,26.626
23/2/23 8:00:01 PM,%RH,85.473
23/2/23 10:00:01 PM,%RH,94.963
24/2/23 12:00:01 AM,%RH,100.406
24/2/23 2:00:01 AM,%RH,86.174
24/2/23 4:00:01 AM,%RH,66.007
24/2/23 6:00:01 AM,%RH,69.934
24/2/23 8:00:01 AM,%RH,69.934
24/2/23 10:00:01 AM,%RH,49.063
24/2/23 12:00:01 PM,%RH,21.739
24/2/23 2:00:01 PM,%RH,19.624
24/2/23 4:00:01 PM,%RH,16.427
24/2/23 6:00:01 PM,%RH,48.092
24/2/23 8:00:01 PM,%RH,79.204
24/2/23 10:00:01 PM,%RH,93.749
25/2/23 12:00:01 AM,%RH,98.696
25/2/23 2:00:01 AM,%RH,91.982
25/2/23 4:00:01 AM,%RH,62.021
25/2/23 6:00:01 AM,%RH,60.317
25/2/23 8:00:01 AM,%RH,64.939
25/2/23 10:00:01 AM,%RH,49.386
25/2/23 12:00:01 PM,%RH,27.318
25/2/23 2:00:01 PM,%RH,23.317
25/2/23 4:00:01 PM,%RH,19.977
25/2/23 6:00:01 PM,%RH,21.563
25/2/23 8:00:01 PM,%RH,61.402
25/2/23 10:00:01 PM,%RH,86.874
26/2/23 12:00:01 AM,%RH,93.614
26/2/23 2:00:01 AM,%RH,65.092
26/2/23 4:00:01 AM,%RH,61.248
26/2/23 6:00:01 AM,%RH,57.034
26/2/23 8:00:01 AM,%RH,59.383
26/2/23 10:00:01 AM,%RH,50.514
26/2/23 12:00:01 PM,%RH,31.785
26/2/23 2:00:01 PM,%RH,24.888
26/2/23 4:00:01 PM,%RH,21.739
26/2/23 6:00:01 PM,%RH,27.145
26/2/23 8:00:01 PM,%RH,29.043
26/2/23 10:00:01 PM,%RH,33.318
27/2/23 12:00:01 AM,%RH,40.542
27/2/23 2:00:01 AM,%RH,50.836
27/2/23 4:00:01 AM,%RH,59.539
27/2/23 6:00:01 AM,%RH,66.766
27/2/23 8:00:01 AM,%RH,66.463
27/2/23 10:00:01 AM,%RH,40.542
27/2/23 12:00:01 PM,%RH,27.491
27/2/23 2:00:01 PM,%RH,22.617
27/2/23 4:00:01 PM,%RH,23.142
27/2/23 6:00:01 PM,%RH,29.559
27/2/23 8:00:01 PM,%RH,34.674
27/2/23 10:00:01 PM,%RH,78.626
28/2/23 12:00:01 AM,%RH,72.172
28/2/23 2:00:01 AM,%RH,47.118
28/2/23 4:00:01 AM,%RH,47.443
28/2/23 6:00:01 AM,%RH,53.076
28/2/23 8:00:01 AM,%RH,50.675
28/2/23 10:00:01 AM,%RH,44.34
28/2/23 12:00:01 PM,%RH,20.859
28/2/23 2:00:01 PM,%RH,31.956
28/2/23 4:00:01 PM,%RH,37.705
28/2/23 6:00:01 PM,%RH,41.04
28/2/23 8:00:01 PM,%RH,62.946
28/2/23 10:00:01 PM,%RH,70.083
1/3/23 12:00:01 AM,%RH,66.615
1/3/23 2:00:01 AM,%RH,69.784
1/3/23 4:00:01 AM,%RH,78.626
1/3/23 6:00:01 AM,%RH,82.359
1/3/23 8:00:01 AM,%RH,81.217
1/3/23 10:00:01 AM,%RH,76.006
1/3/23 12:00:01 PM,%RH,61.712
1/3/23 2:00:01 PM,%RH,61.866
1/3/23 4:00:01 PM,%RH,54.983
1/3/23 6:00:01 PM,%RH,62.638
1/3/23 8:00:01 PM,%RH,62.33
1/3/23 10:00:01 PM,%RH,71.577
2/3/23 12:00:01 AM,%RH,75.567
2/3/23 2:00:01 AM,%RH,72.024
2/3/23 4:00:01 AM,%RH,77.174
2/3/23 6:00:01 AM,%RH,81.789
2/3/23 8:00:01 AM,%RH,78.336
2/3/23 10:00:01 AM,%RH,44.996
2/3/23 12:00:01 PM,%RH,25.584
2/3/23 2:00:01 PM,%RH,23.492
2/3/23 4:00:01 PM,%RH,20.33
2/3/23 6:00:01 PM,%RH,29.215
2/3/23 8:00:01 PM,%RH,29.559
2/3/23 10:00:01 PM,%RH,42.86
3/3/23 12:00:01 AM,%RH,44.996
3/3/23 2:00:01 AM,%RH,48.254
3/3/23 4:00:01 AM,%RH,51.958
3/3/23 6:00:01 AM,%RH,41.372
3/3/23 8:00:01 AM,%RH,34.843
3/3/23 10:00:01 AM,%RH,32.126
3/3/23 12:00:01 PM,%RH,22.441
3/3/23 2:00:01 PM,%RH,22.967
3/3/23 4:00:01 PM,%RH,21.739
3/3/23 6:00:01 PM,%RH,27.145
3/3/23 8:00:01 PM,%RH,31.273
3/3/23 10:00:01 PM,%RH,35.35
4/3/23 12:00:01 AM,%RH,42.53
4/3/23 2:00:01 AM,%RH,46.141
4/3/23 4:00:01 AM,%RH,50.675
4/3/23 6:00:01 AM,%RH,38.375
4/3/23 8:00:01 AM,%RH,31.444
4/3/23 10:00:01 AM,%RH,28.182
4/3/23 12:00:01 PM,%RH,18.384
4/3/23 2:00:01 PM,%RH,14.281
4/3/23 4:00:01 PM,%RH,17.674
4/3/23 6:00:01 PM,%RH,19.27
4/3/23 8:00:01 PM,%RH,45.324
4/3/23 10:00:01 PM,%RH,47.768
5/3/23 12:00:01 AM,%RH,41.04
5/3/23 2:00:01 AM,%RH,47.768
5/3/23 4:00:01 AM,%RH,51.798
5/3/23 6:00:01 AM,%RH,53.554
5/3/23 8:00:01 AM,%RH,48.74
5/3/23 10:00:01 AM,%RH,30.931
5/3/23 12:00:01 PM,%RH,17.674
5/3/23 2:00:01 PM,%RH,17.674
5/3/23 4:00:01 PM,%RH,20.154
5/3/23 6:00:01 PM,%RH,26.105
5/3/23 8:00:01 PM,%RH,58.758
