1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 500000007DAB0441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  9156
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.672
25/1/23 8:00:01 PM,C,24.234
25/1/23 10:00:01 PM,C,23.609
26/1/23 12:00:01 AM,C,24.297
26/1/23 2:00:01 AM,C,24.109
26/1/23 4:00:01 AM,C,23.734
26/1/23 6:00:01 AM,C,23.172
26/1/23 8:00:01 AM,C,17.918
26/1/23 10:00:01 AM,C,18.794
26/1/23 12:00:01 PM,C,27.484
26/1/23 2:00:01 PM,C,24.547
26/1/23 4:00:01 PM,C,23.672
26/1/23 6:00:01 PM,C,21.608
26/1/23 8:00:01 PM,C,20.295
26/1/23 10:00:01 PM,C,19.482
27/1/23 12:00:01 AM,C,17.793
27/1/23 2:00:01 AM,C,17.105
27/1/23 4:00:01 AM,C,16.854
27/1/23 6:00:01 AM,C,15.791
27/1/23 8:00:01 AM,C,16.542
27/1/23 10:00:01 AM,C,20.107
27/1/23 12:00:01 PM,C,23.547
27/1/23 2:00:01 PM,C,24.234
27/1/23 4:00:01 PM,C,24.047
27/1/23 6:00:01 PM,C,21.671
27/1/23 8:00:01 PM,C,19.795
27/1/23 10:00:01 PM,C,19.169
28/1/23 12:00:01 AM,C,18.544
28/1/23 2:00:01 AM,C,17.418
28/1/23 4:00:01 AM,C,16.792
28/1/23 6:00:01 AM,C,15.665
28/1/23 8:00:01 AM,C,16.291
28/1/23 10:00:01 AM,C,20.545
28/1/23 12:00:01 PM,C,23.922
28/1/23 2:00:01 PM,C,24.797
28/1/23 4:00:01 PM,C,24.234
28/1/23 6:00:01 PM,C,22.234
28/1/23 8:00:01 PM,C,19.795
28/1/23 10:00:01 PM,C,18.606
29/1/23 12:00:01 AM,C,18.293
29/1/23 2:00:01 AM,C,17.668
29/1/23 4:00:01 AM,C,17.105
29/1/23 6:00:01 AM,C,16.041
29/1/23 8:00:01 AM,C,16.229
29/1/23 10:00:01 AM,C,20.608
29/1/23 12:00:01 PM,C,23.672
29/1/23 2:00:01 PM,C,24.672
29/1/23 4:00:01 PM,C,24.734
29/1/23 6:00:01 PM,C,21.796
29/1/23 8:00:01 PM,C,19.982
29/1/23 10:00:01 PM,C,18.794
30/1/23 12:00:01 AM,C,18.731
30/1/23 2:00:01 AM,C,18.043
30/1/23 4:00:01 AM,C,18.106
30/1/23 6:00:01 AM,C,17.042
30/1/23 8:00:01 AM,C,17.543
30/1/23 10:00:01 AM,C,20.795
30/1/23 12:00:01 PM,C,23.422
30/1/23 2:00:01 PM,C,23.984
30/1/23 4:00:01 PM,C,22.859
30/1/23 6:00:01 PM,C,21.358
30/1/23 8:00:01 PM,C,20.045
30/1/23 10:00:01 PM,C,19.232
31/1/23 12:00:01 AM,C,18.919
31/1/23 2:00:01 AM,C,19.169
31/1/23 4:00:01 AM,C,18.481
31/1/23 6:00:01 AM,C,18.669
31/1/23 8:00:01 AM,C,18.856
31/1/23 10:00:01 AM,C,20.483
31/1/23 12:00:01 PM,C,23.234
31/1/23 2:00:01 PM,C,24.484
31/1/23 4:00:01 PM,C,24.172
31/1/23 6:00:01 PM,C,22.984
31/1/23 8:00:01 PM,C,21.984
31/1/23 10:00:01 PM,C,20.107
1/2/23 12:00:01 AM,C,19.982
1/2/23 2:00:01 AM,C,19.169
1/2/23 4:00:01 AM,C,18.043
1/2/23 6:00:01 AM,C,17.73
1/2/23 8:00:01 AM,C,17.418
1/2/23 10:00:01 AM,C,20.858
1/2/23 12:00:01 PM,C,24.297
1/2/23 2:00:01 PM,C,25.047
1/2/23 4:00:01 PM,C,25.234
1/2/23 6:00:01 PM,C,23.922
1/2/23 8:00:01 PM,C,22.671
1/2/23 10:00:01 PM,C,21.358
2/2/23 12:00:01 AM,C,20.295
2/2/23 2:00:01 AM,C,19.107
2/2/23 4:00:01 AM,C,18.293
2/2/23 6:00:01 AM,C,17.605
2/2/23 8:00:01 AM,C,18.231
2/2/23 10:00:01 AM,C,21.171
2/2/23 12:00:01 PM,C,24.547
2/2/23 2:00:01 PM,C,25.609
2/2/23 4:00:01 PM,C,25.422
2/2/23 6:00:01 PM,C,23.609
2/2/23 8:00:01 PM,C,21.984
2/2/23 10:00:01 PM,C,20.17
3/2/23 12:00:01 AM,C,19.607
3/2/23 2:00:01 AM,C,18.419
3/2/23 4:00:01 AM,C,17.73
3/2/23 6:00:01 AM,C,16.98
3/2/23 8:00:01 AM,C,17.73
3/2/23 10:00:01 AM,C,21.171
3/2/23 12:00:01 PM,C,24.047
3/2/23 2:00:01 PM,C,24.484
3/2/23 4:00:01 PM,C,24.359
3/2/23 6:00:01 PM,C,23.547
3/2/23 8:00:01 PM,C,22.109
3/2/23 10:00:01 PM,C,21.233
4/2/23 12:00:01 AM,C,20.545
4/2/23 2:00:01 AM,C,19.795
4/2/23 4:00:01 AM,C,19.232
4/2/23 6:00:01 AM,C,19.107
4/2/23 8:00:01 AM,C,18.794
4/2/23 10:00:01 AM,C,22.671
4/2/23 12:00:01 PM,C,25.797
4/2/23 2:00:01 PM,C,26.422
4/2/23 4:00:01 PM,C,25.859
4/2/23 6:00:01 PM,C,24.359
4/2/23 8:00:01 PM,C,21.671
4/2/23 10:00:01 PM,C,20.295
5/2/23 12:00:01 AM,C,19.482
5/2/23 2:00:01 AM,C,19.732
5/2/23 4:00:01 AM,C,18.731
5/2/23 6:00:01 AM,C,18.106
5/2/23 8:00:01 AM,C,18.919
5/2/23 10:00:01 AM,C,22.484
5/2/23 12:00:01 PM,C,25.672
5/2/23 2:00:01 PM,C,26.359
5/2/23 4:00:01 PM,C,26.297
5/2/23 6:00:01 PM,C,24.109
5/2/23 8:00:01 PM,C,21.859
5/2/23 10:00:01 PM,C,20.67
6/2/23 12:00:01 AM,C,19.795
6/2/23 2:00:01 AM,C,19.482
6/2/23 4:00:01 AM,C,18.231
6/2/23 6:00:01 AM,C,17.543
6/2/23 8:00:01 AM,C,18.168
6/2/23 10:00:01 AM,C,22.296
6/2/23 12:00:01 PM,C,24.047
6/2/23 2:00:01 PM,C,24.484
6/2/23 4:00:01 PM,C,24.797
6/2/23 6:00:01 PM,C,23.047
6/2/23 8:00:01 PM,C,21.296
6/2/23 10:00:01 PM,C,20.295
7/2/23 12:00:01 AM,C,19.482
7/2/23 2:00:01 AM,C,18.982
7/2/23 4:00:01 AM,C,18.481
7/2/23 6:00:01 AM,C,18.606
7/2/23 8:00:01 AM,C,17.855
7/2/23 10:00:01 AM,C,21.859
7/2/23 12:00:01 PM,C,23.672
7/2/23 2:00:01 PM,C,24.922
7/2/23 4:00:01 PM,C,24.109
7/2/23 6:00:01 PM,C,22.421
7/2/23 8:00:01 PM,C,21.233
7/2/23 10:00:01 PM,C,20.42
8/2/23 12:00:01 AM,C,19.607
8/2/23 2:00:01 AM,C,19.482
8/2/23 4:00:01 AM,C,19.419
8/2/23 6:00:01 AM,C,18.856
8/2/23 8:00:01 AM,C,19.044
8/2/23 10:00:01 AM,C,22.484
8/2/23 12:00:01 PM,C,25.172
8/2/23 2:00:01 PM,C,26.109
8/2/23 4:00:01 PM,C,26.047
8/2/23 6:00:01 PM,C,23.609
8/2/23 8:00:01 PM,C,21.421
8/2/23 10:00:01 PM,C,20.921
9/2/23 12:00:01 AM,C,19.857
9/2/23 2:00:01 AM,C,19.857
9/2/23 4:00:01 AM,C,19.545
9/2/23 6:00:01 AM,C,18.168
9/2/23 8:00:01 AM,C,18.293
9/2/23 10:00:01 AM,C,22.984
9/2/23 12:00:01 PM,C,24.672
9/2/23 2:00:01 PM,C,25.547
9/2/23 4:00:01 PM,C,24.672
9/2/23 6:00:01 PM,C,22.796
9/2/23 8:00:01 PM,C,20.983
9/2/23 10:00:01 PM,C,20.17
10/2/23 12:00:01 AM,C,19.482
10/2/23 2:00:01 AM,C,18.794
10/2/23 4:00:01 AM,C,16.917
10/2/23 6:00:01 AM,C,16.229
10/2/23 8:00:01 AM,C,18.481
10/2/23 10:00:01 AM,C,21.546
10/2/23 12:00:01 PM,C,24.484
10/2/23 2:00:01 PM,C,26.172
10/2/23 4:00:01 PM,C,25.484
10/2/23 6:00:01 PM,C,25.234
10/2/23 8:00:01 PM,C,23.422
10/2/23 10:00:01 PM,C,20.233
11/2/23 12:00:01 AM,C,21.171
11/2/23 2:00:01 AM,C,20.921
11/2/23 4:00:01 AM,C,18.919
11/2/23 6:00:01 AM,C,17.918
11/2/23 8:00:01 AM,C,18.606
11/2/23 10:00:01 AM,C,22.921
11/2/23 12:00:01 PM,C,26.547
11/2/23 2:00:01 PM,C,27.047
11/2/23 4:00:01 PM,C,26.672
11/2/23 6:00:01 PM,C,25.734
11/2/23 8:00:01 PM,C,21.984
11/2/23 10:00:01 PM,C,19.795
12/2/23 12:00:01 AM,C,20.921
12/2/23 2:00:01 AM,C,21.171
12/2/23 4:00:01 AM,C,19.545
12/2/23 6:00:01 AM,C,17.668
12/2/23 8:00:01 AM,C,18.606
12/2/23 10:00:01 AM,C,23.297
12/2/23 12:00:01 PM,C,26.922
12/2/23 2:00:01 PM,C,27.921
12/2/23 4:00:01 PM,C,27.921
12/2/23 6:00:01 PM,C,24.922
12/2/23 8:00:01 PM,C,21.608
12/2/23 10:00:01 PM,C,20.358
13/2/23 12:00:01 AM,C,18.794
13/2/23 2:00:01 AM,C,20.045
13/2/23 4:00:01 AM,C,19.232
13/2/23 6:00:01 AM,C,18.168
13/2/23 8:00:01 AM,C,18.481
13/2/23 10:00:01 AM,C,23.047
13/2/23 12:00:01 PM,C,26.047
13/2/23 2:00:01 PM,C,27.609
13/2/23 4:00:01 PM,C,27.484
13/2/23 6:00:01 PM,C,25.609
13/2/23 8:00:01 PM,C,22.609
13/2/23 10:00:01 PM,C,19.795
14/2/23 12:00:01 AM,C,19.982
14/2/23 2:00:01 AM,C,20.295
14/2/23 4:00:01 AM,C,18.982
14/2/23 6:00:01 AM,C,17.981
14/2/23 8:00:01 AM,C,17.855
14/2/23 10:00:01 AM,C,22.859
14/2/23 12:00:01 PM,C,25.734
14/2/23 2:00:01 PM,C,26.922
14/2/23 4:00:01 PM,C,25.422
14/2/23 6:00:01 PM,C,23.047
14/2/23 8:00:01 PM,C,20.921
14/2/23 10:00:01 PM,C,19.607
15/2/23 12:00:01 AM,C,18.356
15/2/23 2:00:01 AM,C,16.854
15/2/23 4:00:01 AM,C,17.605
15/2/23 6:00:01 AM,C,17.48
15/2/23 8:00:01 AM,C,18.794
15/2/23 10:00:01 AM,C,22.421
15/2/23 12:00:01 PM,C,26.297
15/2/23 2:00:01 PM,C,27.109
15/2/23 4:00:01 PM,C,27.234
15/2/23 6:00:01 PM,C,25.859
15/2/23 8:00:01 PM,C,22.359
15/2/23 10:00:01 PM,C,20.233
16/2/23 12:00:01 AM,C,19.857
16/2/23 2:00:01 AM,C,19.795
16/2/23 4:00:01 AM,C,19.107
16/2/23 6:00:01 AM,C,17.981
16/2/23 8:00:01 AM,C,18.419
16/2/23 10:00:01 AM,C,22.546
16/2/23 12:00:01 PM,C,26.609
16/2/23 2:00:01 PM,C,27.297
16/2/23 4:00:01 PM,C,27.359
16/2/23 6:00:01 PM,C,25.797
16/2/23 8:00:01 PM,C,22.171
16/2/23 10:00:01 PM,C,20.17
17/2/23 12:00:01 AM,C,18.481
17/2/23 2:00:01 AM,C,19.482
17/2/23 4:00:01 AM,C,17.918
17/2/23 6:00:01 AM,C,17.292
17/2/23 8:00:01 AM,C,17.73
17/2/23 10:00:01 AM,C,21.984
17/2/23 12:00:01 PM,C,26.109
17/2/23 2:00:01 PM,C,27.234
17/2/23 4:00:01 PM,C,26.922
17/2/23 6:00:01 PM,C,25.609
17/2/23 8:00:01 PM,C,20.921
17/2/23 10:00:01 PM,C,19.419
18/2/23 12:00:01 AM,C,18.356
18/2/23 2:00:01 AM,C,18.982
18/2/23 4:00:01 AM,C,19.419
18/2/23 6:00:01 AM,C,17.292
18/2/23 8:00:01 AM,C,17.73
18/2/23 10:00:01 AM,C,22.671
18/2/23 12:00:01 PM,C,25.297
18/2/23 2:00:01 PM,C,26.234
18/2/23 4:00:01 PM,C,24.172
18/2/23 6:00:01 PM,C,22.921
18/2/23 8:00:01 PM,C,21.483
18/2/23 10:00:01 PM,C,20.295
19/2/23 12:00:01 AM,C,19.607
19/2/23 2:00:01 AM,C,18.919
19/2/23 4:00:01 AM,C,17.981
19/2/23 6:00:01 AM,C,16.792
