1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 580000007D8D1541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8442
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,76.889
25/1/23 8:00:01 PM,%RH,77.469
25/1/23 10:00:01 PM,%RH,77.179
26/1/23 12:00:01 AM,%RH,78.048
26/1/23 2:00:01 AM,%RH,76.452
26/1/23 4:00:01 AM,%RH,72.041
26/1/23 6:00:01 AM,%RH,67.243
26/1/23 8:00:01 AM,%RH,76.889
26/1/23 10:00:01 AM,%RH,85.719
26/1/23 12:00:01 PM,%RH,51.305
26/1/23 2:00:01 PM,%RH,51.144
26/1/23 4:00:01 PM,%RH,74.845
26/1/23 6:00:01 PM,%RH,79.92
26/1/23 8:00:01 PM,%RH,83.192
26/1/23 10:00:01 PM,%RH,97.63
27/1/23 12:00:01 AM,%RH,96.577
27/1/23 2:00:01 AM,%RH,99.458
27/1/23 4:00:01 AM,%RH,91.901
27/1/23 6:00:01 AM,%RH,91.223
27/1/23 8:00:01 AM,%RH,96.445
27/1/23 10:00:01 AM,%RH,93.383
27/1/23 12:00:01 PM,%RH,70.403
27/1/23 2:00:01 PM,%RH,54.189
27/1/23 4:00:01 PM,%RH,69.654
27/1/23 6:00:01 PM,%RH,77.469
27/1/23 8:00:01 PM,%RH,84.459
27/1/23 10:00:01 PM,%RH,98.154
28/1/23 12:00:01 AM,%RH,98.807
28/1/23 2:00:01 AM,%RH,99.588
28/1/23 4:00:01 AM,%RH,99.847
28/1/23 6:00:01 AM,%RH,91.495
28/1/23 8:00:01 AM,%RH,91.63
28/1/23 10:00:01 AM,%RH,85.02
28/1/23 12:00:01 PM,%RH,51.949
28/1/23 2:00:01 PM,%RH,45.447
28/1/23 4:00:01 PM,%RH,45.775
28/1/23 6:00:01 PM,%RH,59.397
28/1/23 8:00:01 PM,%RH,71.149
28/1/23 10:00:01 PM,%RH,96.313
29/1/23 12:00:01 AM,%RH,99.068
29/1/23 2:00:01 AM,%RH,89.998
29/1/23 4:00:01 AM,%RH,89.314
29/1/23 6:00:01 AM,%RH,90.68
29/1/23 8:00:01 AM,%RH,92.171
29/1/23 10:00:01 AM,%RH,88.076
29/1/23 12:00:01 PM,%RH,63.735
29/1/23 2:00:01 PM,%RH,49.528
29/1/23 4:00:01 PM,%RH,49.69
29/1/23 6:00:01 PM,%RH,66.181
29/1/23 8:00:01 PM,%RH,84.74
29/1/23 10:00:01 PM,%RH,94.854
30/1/23 12:00:01 AM,%RH,94.587
30/1/23 2:00:01 AM,%RH,89.039
30/1/23 4:00:01 AM,%RH,88.627
30/1/23 6:00:01 AM,%RH,90.68
30/1/23 8:00:01 AM,%RH,95.916
30/1/23 10:00:01 AM,%RH,93.517
30/1/23 12:00:01 PM,%RH,81.349
30/1/23 2:00:01 PM,%RH,70.403
30/1/23 4:00:01 PM,%RH,79.633
30/1/23 6:00:01 PM,%RH,82.627
30/1/23 8:00:01 PM,%RH,93.114
30/1/23 10:00:01 PM,%RH,96.841
31/1/23 12:00:01 AM,%RH,99.847
31/1/23 2:00:01 AM,%RH,99.458
31/1/23 4:00:01 AM,%RH,96.181
31/1/23 6:00:01 AM,%RH,95.784
31/1/23 8:00:01 AM,%RH,96.577
31/1/23 10:00:01 AM,%RH,95.519
31/1/23 12:00:01 PM,%RH,82.485
31/1/23 2:00:01 PM,%RH,72.93
31/1/23 4:00:01 PM,%RH,72.93
31/1/23 6:00:01 PM,%RH,71.893
31/1/23 8:00:01 PM,%RH,74.404
31/1/23 10:00:01 PM,%RH,79.92
1/2/23 12:00:01 AM,%RH,80.35
1/2/23 2:00:01 AM,%RH,79.777
1/2/23 4:00:01 AM,%RH,84.74
1/2/23 6:00:01 AM,%RH,85.16
1/2/23 8:00:01 AM,%RH,90.134
1/2/23 10:00:01 AM,%RH,76.161
1/2/23 12:00:01 PM,%RH,63.735
1/2/23 2:00:01 PM,%RH,52.591
1/2/23 4:00:01 PM,%RH,50.822
1/2/23 6:00:01 PM,%RH,45.611
1/2/23 8:00:01 PM,%RH,54.508
1/2/23 10:00:01 PM,%RH,67.546
2/2/23 12:00:01 AM,%RH,73.669
2/2/23 2:00:01 AM,%RH,80.35
2/2/23 4:00:01 AM,%RH,84.6
2/2/23 6:00:01 AM,%RH,88.902
2/2/23 8:00:01 AM,%RH,85.02
2/2/23 10:00:01 AM,%RH,71.149
2/2/23 12:00:01 PM,%RH,49.041
2/2/23 2:00:01 PM,%RH,48.554
2/2/23 4:00:01 PM,%RH,48.717
2/2/23 6:00:01 PM,%RH,52.27
2/2/23 8:00:01 PM,%RH,50.176
2/2/23 10:00:01 PM,%RH,65.571
3/2/23 12:00:01 AM,%RH,73.669
3/2/23 2:00:01 AM,%RH,76.452
3/2/23 4:00:01 AM,%RH,77.179
3/2/23 6:00:01 AM,%RH,79.346
3/2/23 8:00:01 AM,%RH,74.257
3/2/23 10:00:01 AM,%RH,57.987
3/2/23 12:00:01 PM,%RH,46.595
3/2/23 2:00:01 PM,%RH,58.614
3/2/23 4:00:01 PM,%RH,67.999
3/2/23 6:00:01 PM,%RH,70.253
3/2/23 8:00:01 PM,%RH,75.284
3/2/23 10:00:01 PM,%RH,79.489
4/2/23 12:00:01 AM,%RH,83.475
4/2/23 2:00:01 AM,%RH,76.161
4/2/23 4:00:01 AM,%RH,76.307
4/2/23 6:00:01 AM,%RH,75.869
4/2/23 8:00:01 AM,%RH,83.333
4/2/23 10:00:01 AM,%RH,73.816
4/2/23 12:00:01 PM,%RH,62.966
4/2/23 2:00:01 PM,%RH,57.357
4/2/23 4:00:01 PM,%RH,59.865
4/2/23 6:00:01 PM,%RH,64.349
4/2/23 8:00:01 PM,%RH,87.109
4/2/23 10:00:01 PM,%RH,96.841
5/2/23 12:00:01 AM,%RH,97.499
5/2/23 2:00:01 AM,%RH,91.359
5/2/23 4:00:01 AM,%RH,86.554
5/2/23 6:00:01 AM,%RH,89.998
5/2/23 8:00:01 AM,%RH,88.902
5/2/23 10:00:01 AM,%RH,86.693
5/2/23 12:00:01 PM,%RH,72.634
5/2/23 2:00:01 PM,%RH,62.657
5/2/23 4:00:01 PM,%RH,58.927
5/2/23 6:00:01 PM,%RH,77.469
5/2/23 8:00:01 PM,%RH,84.459
5/2/23 10:00:01 PM,%RH,95.12
6/2/23 12:00:01 AM,%RH,96.973
6/2/23 2:00:01 AM,%RH,95.784
6/2/23 4:00:01 AM,%RH,84.74
6/2/23 6:00:01 AM,%RH,85.439
6/2/23 8:00:01 AM,%RH,86.137
6/2/23 10:00:01 AM,%RH,82.343
6/2/23 12:00:01 PM,%RH,67.243
6/2/23 2:00:01 PM,%RH,62.503
6/2/23 4:00:01 PM,%RH,54.03
6/2/23 6:00:01 PM,%RH,67.546
6/2/23 8:00:01 PM,%RH,92.171
6/2/23 10:00:01 PM,%RH,96.709
7/2/23 12:00:01 AM,%RH,97.63
7/2/23 2:00:01 AM,%RH,99.588
7/2/23 4:00:01 AM,%RH,80.778
7/2/23 6:00:01 AM,%RH,79.633
7/2/23 8:00:01 AM,%RH,86.832
7/2/23 10:00:01 AM,%RH,90.271
7/2/23 12:00:01 PM,%RH,69.204
7/2/23 2:00:01 PM,%RH,67.697
7/2/23 4:00:01 PM,%RH,75.869
7/2/23 6:00:01 PM,%RH,80.636
7/2/23 8:00:01 PM,%RH,94.187
7/2/23 10:00:01 PM,%RH,98.285
8/2/23 12:00:01 AM,%RH,100.623
8/2/23 2:00:01 AM,%RH,93.651
8/2/23 4:00:01 AM,%RH,78.337
8/2/23 6:00:01 AM,%RH,85.997
8/2/23 8:00:01 AM,%RH,90.816
8/2/23 10:00:01 AM,%RH,87.386
8/2/23 12:00:01 PM,%RH,72.19
8/2/23 2:00:01 PM,%RH,59.084
8/2/23 4:00:01 PM,%RH,62.811
8/2/23 6:00:01 PM,%RH,74.11
8/2/23 8:00:01 PM,%RH,89.039
8/2/23 10:00:01 PM,%RH,96.841
9/2/23 12:00:01 AM,%RH,91.63
9/2/23 2:00:01 AM,%RH,86.693
9/2/23 4:00:01 AM,%RH,78.337
9/2/23 6:00:01 AM,%RH,84.88
9/2/23 8:00:01 AM,%RH,86.693
9/2/23 10:00:01 AM,%RH,81.064
9/2/23 12:00:01 PM,%RH,69.804
9/2/23 2:00:01 PM,%RH,57.672
9/2/23 4:00:01 PM,%RH,71
