1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 580000007D8D1541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8442
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.74
25/1/23 8:00:01 PM,C,24.24
25/1/23 10:00:01 PM,C,23.678
26/1/23 12:00:01 AM,C,24.24
26/1/23 2:00:01 AM,C,24.178
26/1/23 4:00:01 AM,C,23.803
26/1/23 6:00:01 AM,C,23.24
26/1/23 8:00:01 AM,C,18.177
26/1/23 10:00:01 AM,C,18.802
26/1/23 12:00:01 PM,C,27.053
26/1/23 2:00:01 PM,C,23.428
26/1/23 4:00:01 PM,C,23.24
26/1/23 6:00:01 PM,C,21.427
26/1/23 8:00:01 PM,C,19.865
26/1/23 10:00:01 PM,C,19.302
27/1/23 12:00:01 AM,C,18.239
27/1/23 2:00:01 AM,C,17.426
27/1/23 4:00:01 AM,C,15.801
27/1/23 6:00:01 AM,C,15.488
27/1/23 8:00:01 AM,C,15.426
27/1/23 10:00:01 AM,C,18.177
27/1/23 12:00:01 PM,C,21.052
27/1/23 2:00:01 PM,C,23.928
27/1/23 4:00:01 PM,C,23.428
27/1/23 6:00:01 PM,C,21.74
27/1/23 8:00:01 PM,C,19.552
27/1/23 10:00:01 PM,C,19.552
28/1/23 12:00:01 AM,C,18.552
28/1/23 2:00:01 AM,C,17.426
28/1/23 4:00:01 AM,C,16.239
28/1/23 6:00:01 AM,C,15.488
28/1/23 8:00:01 AM,C,15.363
28/1/23 10:00:01 AM,C,18.239
28/1/23 12:00:01 PM,C,21.677
28/1/23 2:00:01 PM,C,24.115
