1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F10000007D83CF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8254
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,80.687
25/1/23 8:00:01 PM,%RH,76.741
25/1/23 10:00:01 PM,%RH,76.457
26/1/23 12:00:01 AM,%RH,77.168
26/1/23 2:00:01 AM,%RH,76.741
26/1/23 4:00:01 AM,%RH,74.167
26/1/23 6:00:01 AM,%RH,70.543
26/1/23 8:00:01 AM,%RH,73.879
26/1/23 10:00:01 AM,%RH,81.801
26/1/23 12:00:01 PM,%RH,65.97
26/1/23 2:00:01 PM,%RH,34.862
26/1/23 4:00:01 PM,%RH,71.273
26/1/23 6:00:01 PM,%RH,77.168
26/1/23 8:00:01 PM,%RH,80.966
26/1/23 10:00:01 PM,%RH,92.621
27/1/23 12:00:01 AM,%RH,97.429
27/1/23 2:00:01 AM,%RH,100.101
27/1/23 4:00:01 AM,%RH,86.335
27/1/23 6:00:01 AM,%RH,85.791
27/1/23 8:00:01 AM,%RH,84.972
27/1/23 10:00:01 AM,%RH,73.303
27/1/23 12:00:01 PM,%RH,47.921
27/1/23 2:00:01 PM,%RH,46.481
27/1/23 4:00:01 PM,%RH,64.326
27/1/23 6:00:01 PM,%RH,74.885
27/1/23 8:00:01 PM,%RH,82.356
27/1/23 10:00:01 PM,%RH,95.235
28/1/23 12:00:01 AM,%RH,97.043
28/1/23 2:00:01 AM,%RH,97.813
28/1/23 4:00:01 AM,%RH,94.455
28/1/23 6:00:01 AM,%RH,86.199
28/1/23 8:00:01 AM,%RH,84.835
28/1/23 10:00:01 AM,%RH,65.672
28/1/23 12:00:01 PM,%RH,25.201
28/1/23 2:00:01 PM,%RH,27.772
28/1/23 4:00:01 PM,%RH,29.475
28/1/23 6:00:01 PM,%RH,55.787
