1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F10000007D83CF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8254
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.533
25/1/23 8:00:01 PM,C,24.221
25/1/23 10:00:01 PM,C,23.658
26/1/23 12:00:01 AM,C,24.033
26/1/23 2:00:01 AM,C,23.908
26/1/23 4:00:01 AM,C,23.533
26/1/23 6:00:01 AM,C,22.97
26/1/23 8:00:01 AM,C,17.967
26/1/23 10:00:01 AM,C,18.656
26/1/23 12:00:01 PM,C,26.845
26/1/23 2:00:01 PM,C,25.408
26/1/23 4:00:01 PM,C,23.783
26/1/23 6:00:01 PM,C,21.783
26/1/23 8:00:01 PM,C,20.219
26/1/23 10:00:01 PM,C,19.156
27/1/23 12:00:01 AM,C,17.217
27/1/23 2:00:01 AM,C,17.092
27/1/23 4:00:01 AM,C,16.841
27/1/23 6:00:01 AM,C,15.84
27/1/23 8:00:01 AM,C,16.716
27/1/23 10:00:01 AM,C,20.532
27/1/23 12:00:01 PM,C,24.096
27/1/23 2:00:01 PM,C,24.783
27/1/23 4:00:01 PM,C,24.158
27/1/23 6:00:01 PM,C,21.845
27/1/23 8:00:01 PM,C,19.781
27/1/23 10:00:01 PM,C,19.156
28/1/23 12:00:01 AM,C,18.093
28/1/23 2:00:01 AM,C,16.591
28/1/23 4:00:01 AM,C,16.278
28/1/23 6:00:01 AM,C,15.402
28/1/23 8:00:01 AM,C,16.216
28/1/23 10:00:01 AM,C,20.97
28/1/23 12:00:01 PM,C,24.283
28/1/23 2:00:01 PM,C,25.471
28/1/23 4:00:01 PM,C,24.721
28/1/23 6:00:01 PM,C,22.408
28/1/23 8:00:01 PM,C,19.531
28/1/23 10:00:01 PM,C,18.656
29/1/23 12:00:01 AM,C,17.842
29/1/23 2:00:01 AM,C,17.592
29/1/23 4:00:01 AM,C,16.904
29/1/23 6:00:01 AM,C,15.84
29/1/23 8:00:01 AM,C,16.278
