1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F10000007D8D5141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8804
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,76.074
25/1/23 8:00:01 PM,%RH,75.792
25/1/23 10:00:01 PM,%RH,77.479
26/1/23 12:00:01 AM,%RH,78.178
26/1/23 2:00:01 AM,%RH,78.317
26/1/23 4:00:01 AM,%RH,74.943
26/1/23 6:00:01 AM,%RH,71.656
26/1/23 8:00:01 AM,%RH,75.933
26/1/23 10:00:01 AM,%RH,77.339
26/1/23 12:00:01 PM,%RH,53.19
26/1/23 2:00:01 PM,%RH,32.215
26/1/23 4:00:01 PM,%RH,37.738
26/1/23 6:00:01 PM,%RH,47.502
26/1/23 8:00:01 PM,%RH,65.667
26/1/23 10:00:01 PM,%RH,67.29
27/1/23 12:00:01 AM,%RH,69.047
27/1/23 2:00:01 AM,%RH,73.806
27/1/23 4:00:01 AM,%RH,66.554
27/1/23 6:00:01 AM,%RH,62.535
27/1/23 8:00:01 AM,%RH,70.211
27/1/23 10:00:01 AM,%RH,64.777
27/1/23 12:00:01 PM,%RH,49.095
27/1/23 2:00:01 PM,%RH,47.023
27/1/23 4:00:01 PM,%RH,51.466
27/1/23 6:00:01 PM,%RH,62.235
27/1/23 8:00:01 PM,%RH,69.921
27/1/23 10:00:01 PM,%RH,71.079
28/1/23 12:00:01 AM,%RH,68.902
28/1/23 2:00:01 AM,%RH,69.193
28/1/23 4:00:01 AM,%RH,69.047
28/1/23 6:00:01 AM,%RH,66.849
28/1/23 8:00:01 AM,%RH,66.406
28/1/23 10:00:01 AM,%RH,57.372
28/1/23 12:00:01 PM,%RH,29.84
28/1/23 2:00:01 PM,%RH,32.384
28/1/23 4:00:01 PM,%RH,32.553
28/1/23 6:00:01 PM,%RH,48.3
28/1/23 8:00:01 PM,%RH,56.14
28/1/23 10:00:01 PM,%RH,59.664
29/1/23 12:00:01 AM,%RH,61.331
29/1/23 2:00:01 AM,%RH,60.423
29/1/23 4:00:01 AM,%RH,61.632
29/1/23 6:00:01 AM,%RH,61.632
29/1/23 8:00:01 AM,%RH,63.135
29/1/23 10:00:01 AM,%RH,66.111
29/1/23 12:00:01 PM,%RH,57.372
29/1/23 2:00:01 PM,%RH,54.903
29/1/23 4:00:01 PM,%RH,49.412
29/1/23 6:00:01 PM,%RH,57.985
29/1/23 8:00:01 PM,%RH,61.934
29/1/23 10:00:01 PM,%RH,64.777
30/1/23 12:00:01 AM,%RH,64.925
30/1/23 2:00:01 AM,%RH,65.074
