1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F10000007D8D5141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8804
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,25.506
25/1/23 8:00:01 PM,C,24.693
25/1/23 10:00:01 PM,C,23.568
26/1/23 12:00:01 AM,C,23.943
26/1/23 2:00:01 AM,C,23.755
26/1/23 4:00:01 AM,C,23.193
26/1/23 6:00:01 AM,C,22.505
26/1/23 8:00:01 AM,C,17.999
26/1/23 10:00:01 AM,C,18.75
26/1/23 12:00:01 PM,C,27.256
26/1/23 2:00:01 PM,C,31.377
26/1/23 4:00:01 PM,C,32.625
26/1/23 6:00:01 PM,C,28.38
26/1/23 8:00:01 PM,C,24.318
26/1/23 10:00:01 PM,C,23.38
27/1/23 12:00:01 AM,C,23.13
27/1/23 2:00:01 AM,C,23.193
27/1/23 4:00:01 AM,C,22.004
27/1/23 6:00:01 AM,C,21.191
27/1/23 8:00:01 AM,C,20.753
27/1/23 10:00:01 AM,C,24.381
27/1/23 12:00:01 PM,C,26.193
27/1/23 2:00:01 PM,C,26.006
27/1/23 4:00:01 PM,C,25.131
27/1/23 6:00:01 PM,C,24.881
27/1/23 8:00:01 PM,C,22.317
27/1/23 10:00:01 PM,C,22.692
28/1/23 12:00:01 AM,C,22.692
28/1/23 2:00:01 AM,C,22.255
28/1/23 4:00:01 AM,C,21.754
28/1/23 6:00:01 AM,C,21.128
28/1/23 8:00:01 AM,C,21.504
28/1/23 10:00:01 AM,C,24.443
28/1/23 12:00:01 PM,C,26.631
28/1/23 2:00:01 PM,C,26.881
28/1/23 4:00:01 PM,C,25.693
28/1/23 6:00:01 PM,C,24.381
28/1/23 8:00:01 PM,C,24.318
28/1/23 10:00:01 PM,C,24.193
29/1/23 12:00:01 AM,C,23.943
29/1/23 2:00:01 AM,C,23.443
29/1/23 4:00:01 AM,C,22.943
29/1/23 6:00:01 AM,C,22.38
29/1/23 8:00:01 AM,C,21.942
29/1/23 10:00:01 AM,C,21.879
29/1/23 12:00:01 PM,C,22.317
29/1/23 2:00:01 PM,C,22.817
29/1/23 4:00:01 PM,C,23.505
29/1/23 6:00:01 PM,C,24.381
29/1/23 8:00:01 PM,C,24.318
29/1/23 10:00:01 PM,C,24.193
30/1/23 12:00:01 AM,C,24.006
30/1/23 2:00:01 AM,C,23.693
30/1/23 4:00:01 AM,C,23.255
30/1/23 6:00:01 AM,C,22.817
30/1/23 8:00:01 AM,C,22.442
30/1/23 10:00:01 AM,C,22.442
30/1/23 12:00:01 PM,C,22.755
30/1/23 2:00:01 PM,C,24.193
30/1/23 4:00:01 PM,C,22.88
30/1/23 6:00:01 PM,C,21.629
30/1/23 8:00:01 PM,C,19.439
30/1/23 10:00:01 PM,C,18.374
31/1/23 12:00:01 AM,C,17.811
31/1/23 2:00:01 AM,C,17.936
31/1/23 4:00:01 AM,C,17.623
31/1/23 6:00:01 AM,C,18.312
31/1/23 8:00:01 AM,C,19
31/1/23 10:00:01 AM,C,20.69
31/1/23 12:00:01 PM,C,23.193
31/1/23 2:00:01 PM,C,24.881
31/1/23 4:00:01 PM,C,24.443
31/1/23 6:00:01 PM,C,22.317
31/1/23 8:00:01 PM,C,19.501
31/1/23 10:00:01 PM,C,17.999
1/2/23 12:00:01 AM,C,17.31
1/2/23 2:00:01 AM,C,19.063
1/2/23 4:00:01 AM,C,18.687
1/2/23 6:00:01 AM,C,18.124
1/2/23 8:00:01 AM,C,18.312
1/2/23 10:00:01 AM,C,20.378
1/2/23 12:00:01 PM,C,24.006
1/2/23 2:00:01 PM,C,25.568
1/2/23 4:00:01 PM,C,25.381
1/2/23 6:00:01 PM,C,22.192
1/2/23 8:00:01 PM,C,18.938
1/2/23 10:00:01 PM,C,22.067
2/2/23 12:00:01 AM,C,20.941
2/2/23 2:00:01 AM,C,19.877
2/2/23 4:00:01 AM,C,19.188
2/2/23 6:00:01 AM,C,18.5
2/2/23 8:00:01 AM,C,18.938
2/2/23 10:00:01 AM,C,21.066
2/2/23 12:00:01 PM,C,24.693
2/2/23 2:00:01 PM,C,26.193
2/2/23 4:00:01 PM,C,25.756
2/2/23 6:00:01 PM,C,22.63
2/2/23 8:00:01 PM,C,18.625
2/2/23 10:00:01 PM,C,17.122
3/2/23 12:00:01 AM,C,18.249
3/2/23 2:00:01 AM,C,18.687
3/2/23 4:00:01 AM,C,18.124
3/2/23 6:00:01 AM,C,17.56
3/2/23 8:00:01 AM,C,17.936
3/2/23 10:00:01 AM,C,21.504
3/2/23 12:00:01 PM,C,23.505
3/2/23 2:00:01 PM,C,24.693
3/2/23 4:00:01 PM,C,24.756
3/2/23 6:00:01 PM,C,22.067
3/2/23 8:00:01 PM,C,20.941
3/2/23 10:00:01 PM,C,19.877
4/2/23 12:00:01 AM,C,19
4/2/23 2:00:01 AM,C,18.687
4/2/23 4:00:01 AM,C,19.251
4/2/23 6:00:01 AM,C,19.439
4/2/23 8:00:01 AM,C,19.063
4/2/23 10:00:01 AM,C,21.379
4/2/23 12:00:01 PM,C,25.693
4/2/23 2:00:01 PM,C,27.006
4/2/23 4:00:01 PM,C,26.818
4/2/23 6:00:01 PM,C,22.88
4/2/23 8:00:01 PM,C,21.066
4/2/23 10:00:01 PM,C,20.19
5/2/23 12:00:01 AM,C,18.938
5/2/23 2:00:01 AM,C,17.623
5/2/23 4:00:01 AM,C,16.621
5/2/23 6:00:01 AM,C,15.807
5/2/23 8:00:01 AM,C,16.12
5/2/23 10:00:01 AM,C,21.191
5/2/23 12:00:01 PM,C,25.006
5/2/23 2:00:01 PM,C,27.068
5/2/23 4:00:01 PM,C,25.506
5/2/23 6:00:01 PM,C,23.693
5/2/23 8:00:01 PM,C,21.504
5/2/23 10:00:01 PM,C,19.814
6/2/23 12:00:01 AM,C,18.437
6/2/23 2:00:01 AM,C,18.437
6/2/23 4:00:01 AM,C,18.562
6/2/23 6:00:01 AM,C,16.182
6/2/23 8:00:01 AM,C,16.12
6/2/23 10:00:01 AM,C,20.378
6/2/23 12:00:01 PM,C,23.318
6/2/23 2:00:01 PM,C,24.506
6/2/23 4:00:01 PM,C,24.256
6/2/23 6:00:01 PM,C,22.567
6/2/23 8:00:01 PM,C,21.441
6/2/23 10:00:01 PM,C,20.503
7/2/23 12:00:01 AM,C,19.752
7/2/23 2:00:01 AM,C,18.187
7/2/23 4:00:01 AM,C,16.997
7/2/23 6:00:01 AM,C,16.37
7/2/23 8:00:01 AM,C,16.37
7/2/23 10:00:01 AM,C,20.378
7/2/23 12:00:01 PM,C,22.88
7/2/23 2:00:01 PM,C,24.506
7/2/23 4:00:01 PM,C,23.818
