1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A20000007DAB5041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8975
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,79.638
25/1/23 8:00:01 PM,%RH,76.433
25/1/23 10:00:01 PM,%RH,77.134
26/1/23 12:00:01 AM,%RH,79.223
26/1/23 2:00:01 AM,%RH,76.854
26/1/23 4:00:01 AM,%RH,73.891
26/1/23 6:00:01 AM,%RH,69.876
26/1/23 8:00:01 AM,%RH,70.742
26/1/23 10:00:01 AM,%RH,75.307
26/1/23 12:00:01 PM,%RH,59.065
26/1/23 2:00:01 PM,%RH,29.951
26/1/23 4:00:01 PM,%RH,35.459
26/1/23 6:00:01 PM,%RH,50.121
26/1/23 8:00:01 PM,%RH,64.754
26/1/23 10:00:01 PM,%RH,68.715
27/1/23 12:00:01 AM,%RH,69.441
27/1/23 2:00:01 AM,%RH,73.891
27/1/23 4:00:01 AM,%RH,66.67
27/1/23 6:00:01 AM,%RH,62.823
27/1/23 8:00:01 AM,%RH,70.454
27/1/23 10:00:01 AM,%RH,65.05
27/1/23 12:00:01 PM,%RH,50.905
27/1/23 2:00:01 PM,%RH,46.17
27/1/23 4:00:01 PM,%RH,49.807
27/1/23 6:00:01 PM,%RH,61.926
27/1/23 8:00:01 PM,%RH,66.816
27/1/23 10:00:01 PM,%RH,69.296
28/1/23 12:00:01 AM,%RH,69.731
28/1/23 2:00:01 AM,%RH,70.598
28/1/23 4:00:01 AM,%RH,72.465
28/1/23 6:00:01 AM,%RH,70.02
28/1/23 8:00:01 AM,%RH,70.165
28/1/23 10:00:01 AM,%RH,58.002
28/1/23 12:00:01 PM,%RH,29.614
28/1/23 2:00:01 PM,%RH,32.3
28/1/23 4:00:01 PM,%RH,32.634
28/1/23 6:00:01 PM,%RH,48.863
28/1/23 8:00:01 PM,%RH,57.392
28/1/23 10:00:01 PM,%RH,59.972
29/1/23 12:00:01 AM,%RH,61.626
29/1/23 2:00:01 AM,%RH,61.176
29/1/23 4:00:01 AM,%RH,61.026
29/1/23 6:00:01 AM,%RH,61.026
29/1/23 8:00:01 AM,%RH,62.674
29/1/23 10:00:01 AM,%RH,65.64
29/1/23 12:00:01 PM,%RH,58.306
29/1/23 2:00:01 PM,%RH,54.94
29/1/23 4:00:01 PM,%RH,51.997
29/1/23 6:00:01 PM,%RH,59.065
