1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A20000007DAB5041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8975
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.59
25/1/23 8:00:01 PM,C,24.465
25/1/23 10:00:01 PM,C,23.652
26/1/23 12:00:01 AM,C,23.965
26/1/23 2:00:01 AM,C,23.777
26/1/23 4:00:01 AM,C,23.089
26/1/23 6:00:01 AM,C,22.464
26/1/23 8:00:01 AM,C,18.148
26/1/23 10:00:01 AM,C,18.711
26/1/23 12:00:01 PM,C,28.402
26/1/23 2:00:01 PM,C,31.462
26/1/23 4:00:01 PM,C,32.773
26/1/23 6:00:01 PM,C,28.527
26/1/23 8:00:01 PM,C,24.59
26/1/23 10:00:01 PM,C,22.777
27/1/23 12:00:01 AM,C,23.027
27/1/23 2:00:01 AM,C,23.152
27/1/23 4:00:01 AM,C,21.901
27/1/23 6:00:01 AM,C,21.088
27/1/23 8:00:01 AM,C,20.713
27/1/23 10:00:01 AM,C,24.152
27/1/23 12:00:01 PM,C,25.652
27/1/23 2:00:01 PM,C,26.027
27/1/23 4:00:01 PM,C,25.465
27/1/23 6:00:01 PM,C,24.84
27/1/23 8:00:01 PM,C,22.964
27/1/23 10:00:01 PM,C,23.152
28/1/23 12:00:01 AM,C,22.402
28/1/23 2:00:01 AM,C,21.776
28/1/23 4:00:01 AM,C,21.151
28/1/23 6:00:01 AM,C,20.463
28/1/23 8:00:01 AM,C,21.088
28/1/23 10:00:01 AM,C,24.34
28/1/23 12:00:01 PM,C,26.59
28/1/23 2:00:01 PM,C,26.965
28/1/23 4:00:01 PM,C,25.84
28/1/23 6:00:01 PM,C,24.09
28/1/23 8:00:01 PM,C,24.09
28/1/23 10:00:01 PM,C,24.027
29/1/23 12:00:01 AM,C,23.84
29/1/23 2:00:01 AM,C,23.465
29/1/23 4:00:01 AM,C,23.027
29/1/23 6:00:01 AM,C,22.527
29/1/23 8:00:01 AM,C,22.089
29/1/23 10:00:01 AM,C,21.901
29/1/23 12:00:01 PM,C,22.277
29/1/23 2:00:01 PM,C,22.714
29/1/23 4:00:01 PM,C,23.339
29/1/23 6:00:01 PM,C,24.152
29/1/23 8:00:01 PM,C,24.152
29/1/23 10:00:01 PM,C,24.09
30/1/23 12:00:01 AM,C,23.965
30/1/23 2:00:01 AM,C,23.652
30/1/23 4:00:01 AM,C,23.339
30/1/23 6:00:01 AM,C,22.902
30/1/23 8:00:01 AM,C,22.527
30/1/23 10:00:01 AM,C,22.527
30/1/23 12:00:01 PM,C,22.777
30/1/23 2:00:01 PM,C,24.152
30/1/23 4:00:01 PM,C,22.839
30/1/23 6:00:01 PM,C,21.651
30/1/23 8:00:01 PM,C,19.337
30/1/23 10:00:01 PM,C,18.273
31/1/23 12:00:01 AM,C,17.585
31/1/23 2:00:01 AM,C,17.773
31/1/23 4:00:01 AM,C,17.522
31/1/23 6:00:01 AM,C,18.336
31/1/23 8:00:01 AM,C,18.899
31/1/23 10:00:01 AM,C,20.338
31/1/23 12:00:01 PM,C,22.339
31/1/23 2:00:01 PM,C,23.902
31/1/23 4:00:01 PM,C,23.089
31/1/23 6:00:01 PM,C,21.651
31/1/23 8:00:01 PM,C,19.212
31/1/23 10:00:01 PM,C,17.71
1/2/23 12:00:01 AM,C,17.147
1/2/23 2:00:01 AM,C,17.96
1/2/23 4:00:01 AM,C,18.085
1/2/23 6:00:01 AM,C,17.522
1/2/23 8:00:01 AM,C,17.96
1/2/23 10:00:01 AM,C,19.587
1/2/23 12:00:01 PM,C,22.527
1/2/23 2:00:01 PM,C,24.277
1/2/23 4:00:01 PM,C,23.59
1/2/23 6:00:01 PM,C,21.714
1/2/23 8:00:01 PM,C,18.711
1/2/23 10:00:01 PM,C,20.025
2/2/23 12:00:01 AM,C,19.525
2/2/23 2:00:01 AM,C,19.087
2/2/23 4:00:01 AM,C,18.836
2/2/23 6:00:01 AM,C,18.336
2/2/23 8:00:01 AM,C,18.523
2/2/23 10:00:01 AM,C,20.525
2/2/23 12:00:01 PM,C,23.59
2/2/23 2:00:01 PM,C,25.09
2/2/23 4:00:01 PM,C,24.09
2/2/23 6:00:01 PM,C,22.026
2/2/23 8:00:01 PM,C,18.336
2/2/23 10:00:01 PM,C,16.771
3/2/23 12:00:01 AM,C,17.397
3/2/23 2:00:01 AM,C,17.898
3/2/23 4:00:01 AM,C,17.647
3/2/23 6:00:01 AM,C,17.084
3/2/23 8:00:01 AM,C,17.084
3/2/23 10:00:01 AM,C,19.712
3/2/23 12:00:01 PM,C,22.277
3/2/23 2:00:01 PM,C,23.465
3/2/23 4:00:01 PM,C,22.589
3/2/23 6:00:01 PM,C,21.714
3/2/23 8:00:01 PM,C,20.776
3/2/23 10:00:01 PM,C,19.712
4/2/23 12:00:01 AM,C,18.836
4/2/23 2:00:01 AM,C,18.148
4/2/23 4:00:01 AM,C,18.398
4/2/23 6:00:01 AM,C,18.961
4/2/23 8:00:01 AM,C,18.649
4/2/23 10:00:01 AM,C,20.588
4/2/23 12:00:01 PM,C,24.465
4/2/23 2:00:01 PM,C,25.84
4/2/23 4:00:01 PM,C,24.465
4/2/23 6:00:01 PM,C,22.589
4/2/23 8:00:01 PM,C,20.963
4/2/23 10:00:01 PM,C,20.025
5/2/23 12:00:01 AM,C,18.649
5/2/23 2:00:01 AM,C,17.522
5/2/23 4:00:01 AM,C,16.333
5/2/23 6:00:01 AM,C,15.394
5/2/23 8:00:01 AM,C,15.895
5/2/23 10:00:01 AM,C,19.149
5/2/23 12:00:01 PM,C,22.964
5/2/23 2:00:01 PM,C,25.402
5/2/23 4:00:01 PM,C,24.652
5/2/23 6:00:01 PM,C,23.402
5/2/23 8:00:01 PM,C,21.338
5/2/23 10:00:01 PM,C,19.525
6/2/23 12:00:01 AM,C,18.211
6/2/23 2:00:01 AM,C,18.398
6/2/23 4:00:01 AM,C,17.773
6/2/23 6:00:01 AM,C,15.832
6/2/23 8:00:01 AM,C,16.083
6/2/23 10:00:01 AM,C,19.462
6/2/23 12:00:01 PM,C,21.526
6/2/23 2:00:01 PM,C,23.152
6/2/23 4:00:01 PM,C,23.277
6/2/23 6:00:01 PM,C,22.277
6/2/23 8:00:01 PM,C,21.526
6/2/23 10:00:01 PM,C,20.525
7/2/23 12:00:01 AM,C,19.587
7/2/23 2:00:01 AM,C,17.835
7/2/23 4:00:01 AM,C,16.834
7/2/23 6:00:01 AM,C,16.208
7/2/23 8:00:01 AM,C,16.271
7/2/23 10:00:01 AM,C,19.274
7/2/23 12:00:01 PM,C,21.839
7/2/23 2:00:01 PM,C,24.527
7/2/23 4:00:01 PM,C,23.652
7/2/23 6:00:01 PM,C,22.527
7/2/23 8:00:01 PM,C,20.963
7/2/23 10:00:01 PM,C,19.837
8/2/23 12:00:01 AM,C,18.899
8/2/23 2:00:01 AM,C,17.585
8/2/23 4:00:01 AM,C,17.647
8/2/23 6:00:01 AM,C,18.148
8/2/23 8:00:01 AM,C,19.024
8/2/23 10:00:01 AM,C,20.213
8/2/23 12:00:01 PM,C,23.715
8/2/23 2:00:01 PM,C,25.652
8/2/23 4:00:01 PM,C,24.715
8/2/23 6:00:01 PM,C,23.214
8/2/23 8:00:01 PM,C,20.713
8/2/23 10:00:01 PM,C,19.712
9/2/23 12:00:01 AM,C,18.148
9/2/23 2:00:01 AM,C,17.084
9/2/23 4:00:01 AM,C,16.458
9/2/23 6:00:01 AM,C,15.519
9/2/23 8:00:01 AM,C,15.77
9/2/23 10:00:01 AM,C,19.149
9/2/23 12:00:01 PM,C,22.527
9/2/23 2:00:01 PM,C,24.527
9/2/23 4:00:01 PM,C,24.527
9/2/23 6:00:01 PM,C,23.089
9/2/23 8:00:01 PM,C,21.088
9/2/23 10:00:01 PM,C,20.463
10/2/23 12:00:01 AM,C,19.274
10/2/23 2:00:01 AM,C,18.774
10/2/23 4:00:01 AM,C,16.271
10/2/23 6:00:01 AM,C,15.081
10/2/23 8:00:01 AM,C,15.457
10/2/23 10:00:01 AM,C,18.711
10/2/23 12:00:01 PM,C,22.527
10/2/23 2:00:01 PM,C,24.465
10/2/23 4:00:01 PM,C,23.965
10/2/23 6:00:01 PM,C,22.026
10/2/23 8:00:01 PM,C,18.586
10/2/23 10:00:01 PM,C,16.959
11/2/23 12:00:01 AM,C,16.208
11/2/23 2:00:01 AM,C,15.519
11/2/23 4:00:01 AM,C,15.394
11/2/23 6:00:01 AM,C,14.017
11/2/23 8:00:01 AM,C,14.393
11/2/23 10:00:01 AM,C,19.024
11/2/23 12:00:01 PM,C,22.652
11/2/23 2:00:01 PM,C,24.965
11/2/23 4:00:01 PM,C,24.527
11/2/23 6:00:01 PM,C,22.839
11/2/23 8:00:01 PM,C,20.463
11/2/23 10:00:01 PM,C,18.461
12/2/23 12:00:01 AM,C,16.02
12/2/23 2:00:01 AM,C,15.707
12/2/23 4:00:01 AM,C,16.271
12/2/23 6:00:01 AM,C,15.081
12/2/23 8:00:01 AM,C,15.081
12/2/23 10:00:01 AM,C,18.148
12/2/23 12:00:01 PM,C,23.277
12/2/23 2:00:01 PM,C,26.09
12/2/23 4:00:01 PM,C,25.215
12/2/23 6:00:01 PM,C,23.527
12/2/23 8:00:01 PM,C,21.589
12/2/23 10:00:01 PM,C,19.525
13/2/23 12:00:01 AM,C,16.521
13/2/23 2:00:01 AM,C,15.582
13/2/23 4:00:01 AM,C,16.333
13/2/23 6:00:01 AM,C,18.273
13/2/23 8:00:01 AM,C,18.085
13/2/23 10:00:01 AM,C,20.776
13/2/23 12:00:01 PM,C,24.652
13/2/23 2:00:01 PM,C,26.902
13/2/23 4:00:01 PM,C,26.152
13/2/23 6:00:01 PM,C,23.152
13/2/23 8:00:01 PM,C,19.525
13/2/23 10:00:01 PM,C,18.023
14/2/23 12:00:01 AM,C,16.145
14/2/23 2:00:01 AM,C,14.893
14/2/23 4:00:01 AM,C,15.019
14/2/23 6:00:01 AM,C,14.58
14/2/23 8:00:01 AM,C,14.33
14/2/23 10:00:01 AM,C,19.587
14/2/23 12:00:01 PM,C,22.527
14/2/23 2:00:01 PM,C,25.465
14/2/23 4:00:01 PM,C,25.527
14/2/23 6:00:01 PM,C,23.715
14/2/23 8:00:01 PM,C,21.151
14/2/23 10:00:01 PM,C,19.462
15/2/23 12:00:01 AM,C,17.71
15/2/23 2:00:01 AM,C,14.956
15/2/23 4:00:01 AM,C,14.518
15/2/23 6:00:01 AM,C,14.393
15/2/23 8:00:01 AM,C,14.893
15/2/23 10:00:01 AM,C,18.085
15/2/23 12:00:01 PM,C,23.402
15/2/23 2:00:01 PM,C,25.527
15/2/23 4:00:01 PM,C,24.465
15/2/23 6:00:01 PM,C,22.214
15/2/23 8:00:01 PM,C,18.461
15/2/23 10:00:01 PM,C,18.398
16/2/23 12:00:01 AM,C,15.206
16/2/23 2:00:01 AM,C,14.768
16/2/23 4:00:01 AM,C,15.332
16/2/23 6:00:01 AM,C,14.706
16/2/23 8:00:01 AM,C,14.643
16/2/23 10:00:01 AM,C,18.273
16/2/23 12:00:01 PM,C,23.277
16/2/23 2:00:01 PM,C,26.277
16/2/23 4:00:01 PM,C,25.027
16/2/23 6:00:01 PM,C,22.527
16/2/23 8:00:01 PM,C,19.149
16/2/23 10:00:01 PM,C,17.835
17/2/23 12:00:01 AM,C,15.77
17/2/23 2:00:01 AM,C,15.081
17/2/23 4:00:01 AM,C,14.08
17/2/23 6:00:01 AM,C,13.391
17/2/23 8:00:01 AM,C,14.706
