1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D20000007DABB341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  9235
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,75.615
25/1/23 8:00:01 PM,%RH,75.615
25/1/23 10:00:01 PM,%RH,76.735
26/1/23 12:00:01 AM,%RH,77.293
26/1/23 2:00:01 AM,%RH,76.036
26/1/23 4:00:01 AM,%RH,71.936
26/1/23 6:00:01 AM,%RH,68.483
26/1/23 8:00:01 AM,%RH,66.298
26/1/23 10:00:01 AM,%RH,76.875
26/1/23 12:00:01 PM,%RH,62.907
26/1/23 2:00:01 PM,%RH,28.487
26/1/23 4:00:01 PM,%RH,35.656
26/1/23 6:00:01 PM,%RH,48.22
26/1/23 8:00:01 PM,%RH,65.124
26/1/23 10:00:01 PM,%RH,67.174
27/1/23 12:00:01 AM,%RH,68.628
27/1/23 2:00:01 AM,%RH,72.933
27/1/23 4:00:01 AM,%RH,66.298
27/1/23 6:00:01 AM,%RH,63.203
27/1/23 8:00:01 AM,%RH,69.351
27/1/23 10:00:01 AM,%RH,63.944
27/1/23 12:00:01 PM,%RH,49.946
27/1/23 2:00:01 PM,%RH,44.414
27/1/23 4:00:01 PM,%RH,48.692
27/1/23 6:00:01 PM,%RH,60.368
27/1/23 8:00:01 PM,%RH,65.712
27/1/23 10:00:01 PM,%RH,68.483
28/1/23 12:00:01 AM,%RH,68.917
28/1/23 2:00:01 AM,%RH,68.917
28/1/23 4:00:01 AM,%RH,70.216
28/1/23 6:00:01 AM,%RH,68.193
28/1/23 8:00:01 AM,%RH,68.917
28/1/23 10:00:01 AM,%RH,56.891
28/1/23 12:00:01 PM,%RH,30.17
28/1/23 2:00:01 PM,%RH,32.01
28/1/23 4:00:01 PM,%RH,32.343
28/1/23 6:00:01 PM,%RH,45.848
28/1/23 8:00:01 PM,%RH,54.29
28/1/23 10:00:01 PM,%RH,58.258
29/1/23 12:00:01 AM,%RH,60.518
29/1/23 2:00:01 AM,%RH,61.118
