1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: D20000007DABB341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  9235
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,25.279
25/1/23 8:00:01 PM,C,24.717
25/1/23 10:00:01 PM,C,23.717
26/1/23 12:00:01 AM,C,24.154
26/1/23 2:00:01 AM,C,24.029
26/1/23 4:00:01 AM,C,23.529
26/1/23 6:00:01 AM,C,23.029
26/1/23 8:00:01 AM,C,18.965
26/1/23 10:00:01 AM,C,18.715
26/1/23 12:00:01 PM,C,28.529
26/1/23 2:00:01 PM,C,31.59
26/1/23 4:00:01 PM,C,32.527
26/1/23 6:00:01 PM,C,28.529
26/1/23 8:00:01 PM,C,24.217
26/1/23 10:00:01 PM,C,23.154
27/1/23 12:00:01 AM,C,23.029
27/1/23 2:00:01 AM,C,23.092
27/1/23 4:00:01 AM,C,21.904
27/1/23 6:00:01 AM,C,21.091
27/1/23 8:00:01 AM,C,20.716
27/1/23 10:00:01 AM,C,24.217
27/1/23 12:00:01 PM,C,25.904
27/1/23 2:00:01 PM,C,26.779
27/1/23 4:00:01 PM,C,26.029
27/1/23 6:00:01 PM,C,24.967
27/1/23 8:00:01 PM,C,23.029
27/1/23 10:00:01 PM,C,23.154
28/1/23 12:00:01 AM,C,22.529
28/1/23 2:00:01 AM,C,21.904
28/1/23 4:00:01 AM,C,21.341
28/1/23 6:00:01 AM,C,20.591
28/1/23 8:00:01 AM,C,21.216
28/1/23 10:00:01 AM,C,24.529
28/1/23 12:00:01 PM,C,26.654
28/1/23 2:00:01 PM,C,27.342
28/1/23 4:00:01 PM,C,26.217
28/1/23 6:00:01 PM,C,24.467
28/1/23 8:00:01 PM,C,24.342
28/1/23 10:00:01 PM,C,24.154
29/1/23 12:00:01 AM,C,23.842
29/1/23 2:00:01 AM,C,23.342
29/1/23 4:00:01 AM,C,22.779
29/1/23 6:00:01 AM,C,22.216
29/1/23 8:00:01 AM,C,21.779
29/1/23 10:00:01 AM,C,21.654
29/1/23 12:00:01 PM,C,22.154
29/1/23 2:00:01 PM,C,22.716
29/1/23 4:00:01 PM,C,23.467
29/1/23 6:00:01 PM,C,24.342
29/1/23 8:00:01 PM,C,24.279
29/1/23 10:00:01 PM,C,24.217
30/1/23 12:00:01 AM,C,23.967
30/1/23 2:00:01 AM,C,23.529
30/1/23 4:00:01 AM,C,23.092
30/1/23 6:00:01 AM,C,22.591
30/1/23 8:00:01 AM,C,22.216
30/1/23 10:00:01 AM,C,22.279
30/1/23 12:00:01 PM,C,22.591
30/1/23 2:00:01 PM,C,24.029
30/1/23 4:00:01 PM,C,23.029
30/1/23 6:00:01 PM,C,21.779
30/1/23 8:00:01 PM,C,19.34
30/1/23 10:00:01 PM,C,18.339
31/1/23 12:00:01 AM,C,17.776
31/1/23 2:00:01 AM,C,17.902
31/1/23 4:00:01 AM,C,17.651
31/1/23 6:00:01 AM,C,18.402
31/1/23 8:00:01 AM,C,18.84
31/1/23 10:00:01 AM,C,20.153
31/1/23 12:00:01 PM,C,22.029
31/1/23 2:00:01 PM,C,23.467
31/1/23 4:00:01 PM,C,23.092
31/1/23 6:00:01 PM,C,21.716
31/1/23 8:00:01 PM,C,19.34
31/1/23 10:00:01 PM,C,17.964
1/2/23 12:00:01 AM,C,17.276
1/2/23 2:00:01 AM,C,17.964
1/2/23 4:00:01 AM,C,17.964
1/2/23 6:00:01 AM,C,17.214
