1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FB0000007D8D0E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  9119
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,80.297
25/1/23 8:00:01 PM,%RH,77.104
25/1/23 10:00:01 PM,%RH,76.964
26/1/23 12:00:01 AM,%RH,77.803
26/1/23 2:00:01 AM,%RH,76.824
26/1/23 4:00:01 AM,%RH,73.43
26/1/23 6:00:01 AM,%RH,69.54
26/1/23 8:00:01 AM,%RH,73.43
26/1/23 10:00:01 AM,%RH,77.524
26/1/23 12:00:01 PM,%RH,68.519
26/1/23 2:00:01 PM,%RH,43.818
26/1/23 4:00:01 PM,%RH,40.71
26/1/23 6:00:01 PM,%RH,48.011
26/1/23 8:00:01 PM,%RH,65.279
26/1/23 10:00:01 PM,%RH,67.2
27/1/23 12:00:01 AM,%RH,69.976
27/1/23 2:00:01 AM,%RH,73.144
27/1/23 4:00:01 AM,%RH,67.053
27/1/23 6:00:01 AM,%RH,63.79
27/1/23 8:00:01 AM,%RH,69.249
27/1/23 10:00:01 AM,%RH,65.576
27/1/23 12:00:01 PM,%RH,50.24
27/1/23 2:00:01 PM,%RH,44.954
27/1/23 4:00:01 PM,%RH,48.809
27/1/23 6:00:01 PM,%RH,61.989
27/1/23 8:00:01 PM,%RH,66.168
27/1/23 10:00:01 PM,%RH,69.249
28/1/23 12:00:01 AM,%RH,70.121
28/1/23 2:00:01 AM,%RH,71.278
28/1/23 4:00:01 AM,%RH,71.998
28/1/23 6:00:01 AM,%RH,69.395
28/1/23 8:00:01 AM,%RH,69.685
