1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: FB0000007D8D0E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  9119
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.387
25/1/23 8:00:01 PM,C,24.574
25/1/23 10:00:01 PM,C,23.699
26/1/23 12:00:01 AM,C,24.074
26/1/23 2:00:01 AM,C,23.886
26/1/23 4:00:01 AM,C,23.449
26/1/23 6:00:01 AM,C,22.949
26/1/23 8:00:01 AM,C,18.068
26/1/23 10:00:01 AM,C,18.694
26/1/23 12:00:01 PM,C,26.949
26/1/23 2:00:01 PM,C,30.884
26/1/23 4:00:01 PM,C,31.758
26/1/23 6:00:01 PM,C,28.448
26/1/23 8:00:01 PM,C,24.449
26/1/23 10:00:01 PM,C,23.324
27/1/23 12:00:01 AM,C,23.074
27/1/23 2:00:01 AM,C,23.074
27/1/23 4:00:01 AM,C,21.948
27/1/23 6:00:01 AM,C,21.197
27/1/23 8:00:01 AM,C,21.01
27/1/23 10:00:01 AM,C,24.199
27/1/23 12:00:01 PM,C,26.137
27/1/23 2:00:01 PM,C,26.824
27/1/23 4:00:01 PM,C,26.074
27/1/23 6:00:01 PM,C,25.012
27/1/23 8:00:01 PM,C,23.199
27/1/23 10:00:01 PM,C,23.199
28/1/23 12:00:01 AM,C,22.386
28/1/23 2:00:01 AM,C,21.76
28/1/23 4:00:01 AM,C,21.197
28/1/23 6:00:01 AM,C,20.447
28/1/23 8:00:01 AM,C,21.135
28/1/23 10:00:01 AM,C,24.512
28/1/23 12:00:01 PM,C,26.762
28/1/23 2:00:01 PM,C,27.386
28/1/23 4:00:01 PM,C,26.012
28/1/23 6:00:01 PM,C,24.449
28/1/23 8:00:01 PM,C,24.324
28/1/23 10:00:01 PM,C,24.199
29/1/23 12:00:01 AM,C,23.886
29/1/23 2:00:01 AM,C,23.386
29/1/23 4:00:01 AM,C,22.886
29/1/23 6:00:01 AM,C,22.323
29/1/23 8:00:01 AM,C,21.885
29/1/23 10:00:01 AM,C,21.76
29/1/23 12:00:01 PM,C,22.261
29/1/23 2:00:01 PM,C,22.698
29/1/23 4:00:01 PM,C,23.449
29/1/23 6:00:01 PM,C,24.324
29/1/23 8:00:01 PM,C,24.262
29/1/23 10:00:01 PM,C,24.199
30/1/23 12:00:01 AM,C,24.011
30/1/23 2:00:01 AM,C,23.636
30/1/23 4:00:01 AM,C,23.199
30/1/23 6:00:01 AM,C,22.761
30/1/23 8:00:01 AM,C,22.323
30/1/23 10:00:01 AM,C,22.323
30/1/23 12:00:01 PM,C,22.636
30/1/23 2:00:01 PM,C,24.199
30/1/23 4:00:01 PM,C,22.886
30/1/23 6:00:01 PM,C,21.698
30/1/23 8:00:01 PM,C,19.383
30/1/23 10:00:01 PM,C,18.319
31/1/23 12:00:01 AM,C,17.755
31/1/23 2:00:01 AM,C,17.881
31/1/23 4:00:01 AM,C,17.63
31/1/23 6:00:01 AM,C,18.319
31/1/23 8:00:01 AM,C,18.945
31/1/23 10:00:01 AM,C,20.822
31/1/23 12:00:01 PM,C,23.574
31/1/23 2:00:01 PM,C,25.012
31/1/23 4:00:01 PM,C,25.324
31/1/23 6:00:01 PM,C,22.761
31/1/23 8:00:01 PM,C,19.508
31/1/23 10:00:01 PM,C,18.006
1/2/23 12:00:01 AM,C,17.568
1/2/23 2:00:01 AM,C,19.383
1/2/23 4:00:01 AM,C,18.694
1/2/23 6:00:01 AM,C,18.256
1/2/23 8:00:01 AM,C,18.319
1/2/23 10:00:01 AM,C,20.509
1/2/23 12:00:01 PM,C,24.199
1/2/23 2:00:01 PM,C,25.387
1/2/23 4:00:01 PM,C,25.762
1/2/23 6:00:01 PM,C,22.448
1/2/23 8:00:01 PM,C,19.007
1/2/23 10:00:01 PM,C,22.386
2/2/23 12:00:01 AM,C,21.197
2/2/23 2:00:01 AM,C,20.196
2/2/23 4:00:01 AM,C,19.258
2/2/23 6:00:01 AM,C,18.507
2/2/23 8:00:01 AM,C,19.07
2/2/23 10:00:01 AM,C,21.26
2/2/23 12:00:01 PM,C,24.699
2/2/23 2:00:01 PM,C,26.012
