1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C80000007D82AE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:01:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:01:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  8305
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:01:01 PM,%RH,77.451
25/1/23 8:01:01 PM,%RH,76.744
25/1/23 10:01:01 PM,%RH,77.027
26/1/23 12:01:01 AM,%RH,78.015
26/1/23 2:01:01 AM,%RH,75.607
26/1/23 4:01:01 AM,%RH,71.582
26/1/23 6:01:01 AM,%RH,66.149
26/1/23 8:01:01 AM,%RH,69.834
26/1/23 10:01:01 AM,%RH,81.367
26/1/23 12:01:01 PM,%RH,60.433
26/1/23 2:01:01 PM,%RH,25.337
26/1/23 4:01:01 PM,%RH,33.519
26/1/23 6:01:01 PM,%RH,52.075
26/1/23 8:01:01 PM,%RH,66.446
26/1/23 10:01:01 PM,%RH,66.742
27/1/23 12:01:01 AM,%RH,69.249
27/1/23 2:01:01 AM,%RH,73.604
27/1/23 4:01:01 AM,%RH,66.446
27/1/23 6:01:01 AM,%RH,62.404
27/1/23 8:01:01 AM,%RH,68.073
27/1/23 10:01:01 AM,%RH,65.404
27/1/23 12:01:01 PM,%RH,50.813
27/1/23 2:01:01 PM,%RH,45.221
27/1/23 4:01:01 PM,%RH,49.545
27/1/23 6:01:01 PM,%RH,59.823
27/1/23 8:01:01 PM,%RH,65.106
27/1/23 10:01:01 PM,%RH,67.482
28/1/23 12:01:01 AM,%RH,69.834
28/1/23 2:01:01 AM,%RH,68.514
28/1/23 4:01:01 AM,%RH,69.249
28/1/23 6:01:01 AM,%RH,66.891
28/1/23 8:01:01 AM,%RH,68.22
28/1/23 10:01:01 AM,%RH,59.059
28/1/23 12:01:01 PM,%RH,33.014
28/1/23 2:01:01 PM,%RH,33.351
28/1/23 4:01:01 PM,%RH,33.182
28/1/23 6:01:01 PM,%RH,47.151
28/1/23 8:01:01 PM,%RH,56.288
28/1/23 10:01:01 PM,%RH,59.671
29/1/23 12:01:01 AM,%RH,62.856
29/1/23 2:01:01 AM,%RH,61.193
29/1/23 4:01:01 AM,%RH,61.496
29/1/23 6:01:01 AM,%RH,61.345
29/1/23 8:01:01 AM,%RH,62.706
29/1/23 10:01:01 AM,%RH,66.297
29/1/23 12:01:01 PM,%RH,58.6
29/1/23 2:01:01 PM,%RH,54.736
29/1/23 4:01:01 PM,%RH,50.655
29/1/23 6:01:01 PM,%RH,57.215
29/1/23 8:01:01 PM,%RH,61.496
29/1/23 10:01:01 PM,%RH,63.458
30/1/23 12:01:01 AM,%RH,65.851
30/1/23 2:01:01 AM,%RH,64.957
30/1/23 4:01:01 AM,%RH,63.909
30/1/23 6:01:01 AM,%RH,63.759
30/1/23 8:01:01 AM,%RH,63.308
30/1/23 10:01:01 AM,%RH,65.554
30/1/23 12:01:01 PM,%RH,66.297
30/1/23 2:01:01 PM,%RH,64.658
30/1/23 4:01:01 PM,%RH,34.359
30/1/23 6:01:01 PM,%RH,66.297
30/1/23 8:01:01 PM,%RH,69.688
30/1/23 10:01:01 PM,%RH,77.027
31/1/23 12:01:01 AM,%RH,83.16
31/1/23 2:01:01 AM,%RH,85.209
31/1/23 4:01:01 AM,%RH,86.698
31/1/23 6:01:01 AM,%RH,87.773
31/1/23 8:01:01 AM,%RH,88.443
31/1/23 10:01:01 AM,%RH,73.891
31/1/23 12:01:01 PM,%RH,43.601
31/1/23 2:01:01 PM,%RH,13.907
31/1/23 4:01:01 PM,%RH,15.692
31/1/23 6:01:01 PM,%RH,34.526
31/1/23 8:01:01 PM,%RH,58.906
31/1/23 10:01:01 PM,%RH,69.395
1/2/23 12:01:01 AM,%RH,76.034
1/2/23 2:01:01 AM,%RH,76.46
1/2/23 4:01:01 AM,%RH,77.874
1/2/23 6:01:01 AM,%RH,81.644
1/2/23 8:01:01 AM,%RH,85.073
1/2/23 10:01:01 AM,%RH,64.957
1/2/23 12:01:01 PM,%RH,44.25
1/2/23 2:01:01 PM,%RH,46.509
1/2/23 4:01:01 PM,%RH,44.898
1/2/23 6:01:01 PM,%RH,49.386
1/2/23 8:01:01 PM,%RH,59.518
1/2/23 10:01:01 PM,%RH,66.446
2/2/23 12:01:01 AM,%RH,68.955
2/2/23 2:01:01 AM,%RH,72.884
2/2/23 4:01:01 AM,%RH,79.279
2/2/23 6:01:01 AM,%RH,82.885
2/2/23 8:01:01 AM,%RH,79.838
2/2/23 10:01:01 AM,%RH,69.688
2/2/23 12:01:01 PM,%RH,46.348
2/2/23 2:01:01 PM,%RH,48.271
2/2/23 4:01:01 PM,%RH,43.764
2/2/23 6:01:01 PM,%RH,52.703
2/2/23 8:01:01 PM,%RH,56.288
2/2/23 10:01:01 PM,%RH,67.925
3/2/23 12:01:01 AM,%RH,65.851
3/2/23 2:01:01 AM,%RH,67.925
3/2/23 4:01:01 AM,%RH,69.542
3/2/23 6:01:01 AM,%RH,75.465
3/2/23 8:01:01 AM,%RH,65.702
3/2/23 10:01:01 AM,%RH,46.348
3/2/23 12:01:01 PM,%RH,48.909
3/2/23 2:01:01 PM,%RH,55.358
3/2/23 4:01:01 PM,%RH,63.308
3/2/23 6:01:01 PM,%RH,67.187
3/2/23 8:01:01 PM,%RH,73.172
3/2/23 10:01:01 PM,%RH,80.256
4/2/23 12:01:01 AM,%RH,83.297
4/2/23 2:01:01 AM,%RH,72.595
4/2/23 4:01:01 AM,%RH,70.856
4/2/23 6:01:01 AM,%RH,73.604
4/2/23 8:01:01 AM,%RH,82.059
4/2/23 10:01:01 AM,%RH,73.748
4/2/23 12:01:01 PM,%RH,60.737
4/2/23 2:01:01 PM,%RH,57.524
4/2/23 4:01:01 PM,%RH,52.86
4/2/23 6:01:01 PM,%RH,65.106
4/2/23 8:01:01 PM,%RH,85.616
4/2/23 10:01:01 PM,%RH,93.45
5/2/23 12:01:01 AM,%RH,92.146
5/2/23 2:01:01 AM,%RH,87.371
5/2/23 4:01:01 AM,%RH,86.833
5/2/23 6:01:01 AM,%RH,90.7
5/2/23 8:01:01 AM,%RH,92.799
5/2/23 10:01:01 AM,%RH,84.801
5/2/23 12:01:01 PM,%RH,69.249
5/2/23 2:01:01 PM,%RH,50.971
5/2/23 4:01:01 PM,%RH,64.658
5/2/23 6:01:01 PM,%RH,77.733
5/2/23 8:01:01 PM,%RH,85.345
5/2/23 10:01:01 PM,%RH,91.227
6/2/23 12:01:01 AM,%RH,94.358
6/2/23 2:01:01 AM,%RH,95.389
6/2/23 4:01:01 AM,%RH,90.171
6/2/23 6:01:01 AM,%RH,88.443
6/2/23 8:01:01 AM,%RH,86.158
6/2/23 10:01:01 AM,%RH,76.885
6/2/23 12:01:01 PM,%RH,64.807
6/2/23 2:01:01 PM,%RH,60.585
6/2/23 4:01:01 PM,%RH,45.543
6/2/23 6:01:01 PM,%RH,66
6/2/23 8:01:01 PM,%RH,90.303
6/2/23 10:01:01 PM,%RH,95.261
7/2/23 12:01:01 AM,%RH,98.321
7/2/23 2:01:01 AM,%RH,96.543
7/2/23 4:01:01 AM,%RH,84.119
7/2/23 6:01:01 AM,%RH,82.059
7/2/23 8:01:01 AM,%RH,72.884
7/2/23 10:01:01 AM,%RH,73.316
7/2/23 12:01:01 PM,%RH,63.007
7/2/23 2:01:01 PM,%RH,69.102
7/2/23 4:01:01 PM,%RH,71.001
7/2/23 6:01:01 PM,%RH,78.296
7/2/23 8:01:01 PM,%RH,94.487
7/2/23 10:01:01 PM,%RH,95.775
8/2/23 12:01:01 AM,%RH,98.195
8/2/23 2:01:01 AM,%RH,94.874
8/2/23 4:01:01 AM,%RH,81.229
8/2/23 6:01:01 AM,%RH,83.709
8/2/23 8:01:01 AM,%RH,85.752
8/2/23 10:01:01 AM,%RH,83.709
8/2/23 12:01:01 PM,%RH,68.661
8/2/23 2:01:01 PM,%RH,59.059
8/2/23 4:01:01 PM,%RH,65.106
8/2/23 6:01:01 PM,%RH,73.028
8/2/23 8:01:01 PM,%RH,89.109
8/2/23 10:01:01 PM,%RH,94.358
9/2/23 12:01:01 AM,%RH,91.095
9/2/23 2:01:01 AM,%RH,89.641
9/2/23 4:01:01 AM,%RH,79.838
9/2/23 6:01:01 AM,%RH,87.907
9/2/23 8:01:01 AM,%RH,88.843
9/2/23 10:01:01 AM,%RH,79.139
9/2/23 12:01:01 PM,%RH,66
9/2/23 2:01:01 PM,%RH,51.76
9/2/23 4:01:01 PM,%RH,71.292
9/2/23 6:01:01 PM,%RH,81.09
9/2/23 8:01:01 PM,%RH,92.799
9/2/23 10:01:01 PM,%RH,96.159
10/2/23 12:01:01 AM,%RH,96.798
10/2/23 2:01:01 AM,%RH,95.903
10/2/23 4:01:01 AM,%RH,92.407
10/2/23 6:01:01 AM,%RH,90.171
10/2/23 8:01:01 AM,%RH,84.528
10/2/23 10:01:01 AM,%RH,81.229
10/2/23 12:01:01 PM,%RH,60.433
10/2/23 2:01:01 PM,%RH,37.362
10/2/23 4:01:01 PM,%RH,35.029
10/2/23 6:01:01 PM,%RH,46.188
10/2/23 8:01:01 PM,%RH,49.386
10/2/23 10:01:01 PM,%RH,52.075
11/2/23 12:01:01 AM,%RH,44.574
11/2/23 2:01:01 AM,%RH,48.111
11/2/23 4:01:01 AM,%RH,69.834
11/2/23 6:01:01 AM,%RH,74.035
11/2/23 8:01:01 AM,%RH,78.156
11/2/23 10:01:01 AM,%RH,69.834
11/2/23 12:01:01 PM,%RH,46.67
