1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C80000007D82AE41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:01:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:01:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  8305
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:01:01 PM,C,25.365
25/1/23 8:01:01 PM,C,24.49
25/1/23 10:01:01 PM,C,23.74
26/1/23 12:01:01 AM,C,24.428
26/1/23 2:01:01 AM,C,24.428
26/1/23 4:01:01 AM,C,24.115
26/1/23 6:01:01 AM,C,23.74
26/1/23 8:01:01 AM,C,18.296
26/1/23 10:01:01 AM,C,18.735
26/1/23 12:01:01 PM,C,30.362
26/1/23 2:01:01 PM,C,31.735
26/1/23 4:01:01 PM,C,33.108
26/1/23 6:01:01 PM,C,28.114
26/1/23 8:01:01 PM,C,24.178
26/1/23 10:01:01 PM,C,23.427
27/1/23 12:01:01 AM,C,23.177
27/1/23 2:01:01 AM,C,23.177
27/1/23 4:01:01 AM,C,22.114
27/1/23 6:01:01 AM,C,21.426
27/1/23 8:01:01 AM,C,21.238
27/1/23 10:01:01 AM,C,24.303
27/1/23 12:01:01 PM,C,26.115
27/1/23 2:01:01 PM,C,26.49
27/1/23 4:01:01 PM,C,25.803
27/1/23 6:01:01 PM,C,24.928
27/1/23 8:01:01 PM,C,23.49
27/1/23 10:01:01 PM,C,23.427
28/1/23 12:01:01 AM,C,22.739
28/1/23 2:01:01 AM,C,22.176
28/1/23 4:01:01 AM,C,21.676
28/1/23 6:01:01 AM,C,21.05
28/1/23 8:01:01 AM,C,21.488
28/1/23 10:01:01 AM,C,24.365
28/1/23 12:01:01 PM,C,26.053
28/1/23 2:01:01 PM,C,26.615
28/1/23 4:01:01 PM,C,25.678
28/1/23 6:01:01 PM,C,24.303
28/1/23 8:01:01 PM,C,24.303
28/1/23 10:01:01 PM,C,24.115
29/1/23 12:01:01 AM,C,23.865
29/1/23 2:01:01 AM,C,23.427
29/1/23 4:01:01 AM,C,22.989
29/1/23 6:01:01 AM,C,22.489
29/1/23 8:01:01 AM,C,22.114
29/1/23 10:01:01 AM,C,21.926
29/1/23 12:01:01 PM,C,22.301
29/1/23 2:01:01 PM,C,22.802
29/1/23 4:01:01 PM,C,23.49
29/1/23 6:01:01 PM,C,24.428
29/1/23 8:01:01 PM,C,24.303
29/1/23 10:01:01 PM,C,24.24
30/1/23 12:01:01 AM,C,23.99
30/1/23 2:01:01 AM,C,23.615
30/1/23 4:01:01 AM,C,23.24
30/1/23 6:01:01 AM,C,22.739
30/1/23 8:01:01 AM,C,22.427
30/1/23 10:01:01 AM,C,22.489
30/1/23 12:01:01 PM,C,22.739
30/1/23 2:01:01 PM,C,24.303
30/1/23 4:01:01 PM,C,37.472
30/1/23 6:01:01 PM,C,25.365
30/1/23 8:01:01 PM,C,23.677
30/1/23 10:01:01 PM,C,20.675
31/1/23 12:01:01 AM,C,19.361
31/1/23 2:01:01 AM,C,18.86
31/1/23 4:01:01 AM,C,18.296
31/1/23 6:01:01 AM,C,17.42
31/1/23 8:01:01 AM,C,18.359
31/1/23 10:01:01 AM,C,26.553
31/1/23 12:01:01 PM,C,35.977
31/1/23 2:01:01 PM,C,52.959
31/1/23 4:01:01 PM,C,49.73
31/1/23 6:01:01 PM,C,33.67
31/1/23 8:01:01 PM,C,23.427
31/1/23 10:01:01 PM,C,19.611
1/2/23 12:01:01 AM,C,17.607
1/2/23 2:01:01 AM,C,16.793
1/2/23 4:01:01 AM,C,15.979
1/2/23 6:01:01 AM,C,15.29
1/2/23 8:01:01 AM,C,16.042
1/2/23 10:01:01 AM,C,25.678
1/2/23 12:01:01 PM,C,24.052
1/2/23 2:01:01 PM,C,25.24
1/2/23 4:01:01 PM,C,25.74
1/2/23 6:01:01 PM,C,23.615
1/2/23 8:01:01 PM,C,21.113
1/2/23 10:01:01 PM,C,20.675
2/2/23 12:01:01 AM,C,20.112
2/2/23 2:01:01 AM,C,19.611
2/2/23 4:01:01 AM,C,18.922
2/2/23 6:01:01 AM,C,18.171
2/2/23 8:01:01 AM,C,18.359
2/2/23 10:01:01 AM,C,21.363
2/2/23 12:01:01 PM,C,24.74
2/2/23 2:01:01 PM,C,24.803
2/2/23 4:01:01 PM,C,25.49
2/2/23 6:01:01 PM,C,22.927
2/2/23 8:01:01 PM,C,20.612
2/2/23 10:01:01 PM,C,18.672
3/2/23 12:01:01 AM,C,19.799
3/2/23 2:01:01 AM,C,18.922
3/2/23 4:01:01 AM,C,18.171
3/2/23 6:01:01 AM,C,17.169
3/2/23 8:01:01 AM,C,17.858
3/2/23 10:01:01 AM,C,22.489
3/2/23 12:01:01 PM,C,22.927
3/2/23 2:01:01 PM,C,23.802
3/2/23 4:01:01 PM,C,23.365
3/2/23 6:01:01 PM,C,22.989
3/2/23 8:01:01 PM,C,21.926
3/2/23 10:01:01 PM,C,20.925
4/2/23 12:01:01 AM,C,20.299
4/2/23 2:01:01 AM,C,19.673
4/2/23 4:01:01 AM,C,19.548
4/2/23 6:01:01 AM,C,19.11
4/2/23 8:01:01 AM,C,18.421
4/2/23 10:01:01 AM,C,20.362
4/2/23 12:01:01 PM,C,24.24
4/2/23 2:01:01 PM,C,26.115
4/2/23 4:01:01 PM,C,26.365
4/2/23 6:01:01 PM,C,24.24
4/2/23 8:01:01 PM,C,21.738
4/2/23 10:01:01 PM,C,19.986
5/2/23 12:01:01 AM,C,18.985
5/2/23 2:01:01 AM,C,18.359
5/2/23 4:01:01 AM,C,17.106
5/2/23 6:01:01 AM,C,16.23
5/2/23 8:01:01 AM,C,16.731
5/2/23 10:01:01 AM,C,20.299
5/2/23 12:01:01 PM,C,23.99
5/2/23 2:01:01 PM,C,26.303
5/2/23 4:01:01 PM,C,26.49
5/2/23 6:01:01 PM,C,24.303
5/2/23 8:01:01 PM,C,21.801
5/2/23 10:01:01 PM,C,20.237
6/2/23 12:01:01 AM,C,20.237
6/2/23 2:01:01 AM,C,17.858
6/2/23 4:01:01 AM,C,15.415
6/2/23 6:01:01 AM,C,14.788
6/2/23 8:01:01 AM,C,16.605
6/2/23 10:01:01 AM,C,19.924
6/2/23 12:01:01 PM,C,22.427
6/2/23 2:01:01 PM,C,23.865
6/2/23 4:01:01 PM,C,25.49
6/2/23 6:01:01 PM,C,23.24
6/2/23 8:01:01 PM,C,21.551
6/2/23 10:01:01 PM,C,20.737
7/2/23 12:01:01 AM,C,19.361
7/2/23 2:01:01 AM,C,18.171
7/2/23 4:01:01 AM,C,19.173
7/2/23 6:01:01 AM,C,18.922
7/2/23 8:01:01 AM,C,19.548
7/2/23 10:01:01 AM,C,22.552
7/2/23 12:01:01 PM,C,24.052
7/2/23 2:01:01 PM,C,24.865
7/2/23 4:01:01 PM,C,24.24
7/2/23 6:01:01 PM,C,22.927
7/2/23 8:01:01 PM,C,21.801
7/2/23 10:01:01 PM,C,20.174
8/2/23 12:01:01 AM,C,19.423
8/2/23 2:01:01 AM,C,19.486
8/2/23 4:01:01 AM,C,19.673
8/2/23 6:01:01 AM,C,19.736
8/2/23 8:01:01 AM,C,19.548
8/2/23 10:01:01 AM,C,20.675
8/2/23 12:01:01 PM,C,24.052
8/2/23 2:01:01 PM,C,25.865
8/2/23 4:01:01 PM,C,26.24
8/2/23 6:01:01 PM,C,23.927
8/2/23 8:01:01 PM,C,21.488
8/2/23 10:01:01 PM,C,20.112
9/2/23 12:01:01 AM,C,18.985
9/2/23 2:01:01 AM,C,17.795
9/2/23 4:01:01 AM,C,18.108
9/2/23 6:01:01 AM,C,16.292
9/2/23 8:01:01 AM,C,16.919
9/2/23 10:01:01 AM,C,21.738
9/2/23 12:01:01 PM,C,23.49
9/2/23 2:01:01 PM,C,25.928
9/2/23 4:01:01 PM,C,24.553
9/2/23 6:01:01 PM,C,22.927
9/2/23 8:01:01 PM,C,21.363
9/2/23 10:01:01 PM,C,19.736
10/2/23 12:01:01 AM,C,19.298
10/2/23 2:01:01 AM,C,18.421
10/2/23 4:01:01 AM,C,16.919
10/2/23 6:01:01 AM,C,15.791
10/2/23 8:01:01 AM,C,17.482
10/2/23 10:01:01 AM,C,19.924
10/2/23 12:01:01 PM,C,23.427
10/2/23 2:01:01 PM,C,26.678
10/2/23 4:01:01 PM,C,27.115
10/2/23 6:01:01 PM,C,24.865
10/2/23 8:01:01 PM,C,21.801
10/2/23 10:01:01 PM,C,20.424
11/2/23 12:01:01 AM,C,20.863
11/2/23 2:01:01 AM,C,19.799
11/2/23 4:01:01 AM,C,16.23
11/2/23 6:01:01 AM,C,15.352
11/2/23 8:01:01 AM,C,16.292
11/2/23 10:01:01 AM,C,20.237
11/2/23 12:01:01 PM,C,25.365
11/2/23 2:01:01 PM,C,27.677
11/2/23 4:01:01 PM,C,27.115
11/2/23 6:01:01 PM,C,26.178
11/2/23 8:01:01 PM,C,21.738
11/2/23 10:01:01 PM,C,19.048
12/2/23 12:01:01 AM,C,19.986
12/2/23 2:01:01 AM,C,20.737
12/2/23 4:01:01 AM,C,17.42
12/2/23 6:01:01 AM,C,15.227
12/2/23 8:01:01 AM,C,15.227
12/2/23 10:01:01 AM,C,20.737
12/2/23 12:01:01 PM,C,25.928
12/2/23 2:01:01 PM,C,28.364
12/2/23 4:01:01 PM,C,28.926
12/2/23 6:01:01 PM,C,25.178
12/2/23 8:01:01 PM,C,21.926
12/2/23 10:01:01 PM,C,19.486
13/2/23 12:01:01 AM,C,20.237
13/2/23 2:01:01 AM,C,19.861
13/2/23 4:01:01 AM,C,15.603
13/2/23 6:01:01 AM,C,14.914
13/2/23 8:01:01 AM,C,17.733
13/2/23 10:01:01 AM,C,21.05
13/2/23 12:01:01 PM,C,26.365
13/2/23 2:01:01 PM,C,27.865
13/2/23 4:01:01 PM,C,27.677
13/2/23 6:01:01 PM,C,25.303
13/2/23 8:01:01 PM,C,21.551
13/2/23 10:01:01 PM,C,18.985
14/2/23 12:01:01 AM,C,17.921
14/2/23 2:01:01 AM,C,18.359
14/2/23 4:01:01 AM,C,16.668
14/2/23 6:01:01 AM,C,15.29
14/2/23 8:01:01 AM,C,15.415
14/2/23 10:01:01 AM,C,20.174
14/2/23 12:01:01 PM,C,24.24
14/2/23 2:01:01 PM,C,26.428
14/2/23 4:01:01 PM,C,25.74
14/2/23 6:01:01 PM,C,23.552
14/2/23 8:01:01 PM,C,20.8
14/2/23 10:01:01 PM,C,19.298
15/2/23 12:01:01 AM,C,17.67
15/2/23 2:01:01 AM,C,19.048
15/2/23 4:01:01 AM,C,18.296
15/2/23 6:01:01 AM,C,17.921
15/2/23 8:01:01 AM,C,18.296
15/2/23 10:01:01 AM,C,22.927
15/2/23 12:01:01 PM,C,26.428
15/2/23 2:01:01 PM,C,27.927
15/2/23 4:01:01 PM,C,28.177
15/2/23 6:01:01 PM,C,25.553
15/2/23 8:01:01 PM,C,21.551
15/2/23 10:01:01 PM,C,18.985
16/2/23 12:01:01 AM,C,19.548
16/2/23 2:01:01 AM,C,19.423
16/2/23 4:01:01 AM,C,18.609
