1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9F0000007DAB0E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:01:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:01:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  9642
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:01:01 PM,%RH,78.997
25/1/23 8:01:01 PM,%RH,77.898
25/1/23 10:01:01 PM,%RH,78.448
26/1/23 12:01:01 AM,%RH,79.271
26/1/23 2:01:01 AM,%RH,76.238
26/1/23 4:01:01 AM,%RH,72.451
26/1/23 6:01:01 AM,%RH,69.313
26/1/23 8:01:01 AM,%RH,71.884
26/1/23 10:01:01 AM,%RH,74.983
26/1/23 12:01:01 PM,%RH,48.404
26/1/23 2:01:01 PM,%RH,27.153
26/1/23 4:01:01 PM,%RH,33.867
26/1/23 6:01:01 PM,%RH,50.751
26/1/23 8:01:01 PM,%RH,64.666
26/1/23 10:01:01 PM,%RH,66.857
27/1/23 12:01:01 AM,%RH,68.161
27/1/23 2:01:01 AM,%RH,72.592
27/1/23 4:01:01 AM,%RH,63.636
27/1/23 6:01:01 AM,%RH,60.816
27/1/23 8:01:01 AM,%RH,67.292
27/1/23 10:01:01 AM,%RH,64.666
27/1/23 12:01:01 PM,%RH,50.751
27/1/23 2:01:01 PM,%RH,46.828
27/1/23 4:01:01 PM,%RH,50.283
27/1/23 6:01:01 PM,%RH,60.518
27/1/23 8:01:01 PM,%RH,65.106
27/1/23 10:01:01 PM,%RH,68.016
28/1/23 12:01:01 AM,%RH,67.002
28/1/23 2:01:01 AM,%RH,68.305
28/1/23 4:01:01 AM,%RH,68.016
28/1/23 6:01:01 AM,%RH,65.252
28/1/23 8:01:01 AM,%RH,67.292
28/1/23 10:01:01 AM,%RH,59.469
28/1/23 12:01:01 PM,%RH,34.364
28/1/23 2:01:01 PM,%RH,35.191
28/1/23 4:01:01 PM,%RH,34.695
28/1/23 6:01:01 PM,%RH,50.439
28/1/23 8:01:01 PM,%RH,57.811
28/1/23 10:01:01 PM,%RH,60.966
29/1/23 12:01:01 AM,%RH,63.636
29/1/23 2:01:01 AM,%RH,61.115
29/1/23 4:01:01 AM,%RH,61.264
29/1/23 6:01:01 AM,%RH,60.368
29/1/23 8:01:01 AM,%RH,60.667
29/1/23 10:01:01 AM,%RH,65.545
29/1/23 12:01:01 PM,%RH,57.659
29/1/23 2:01:01 PM,%RH,55.073
29/1/23 4:01:01 PM,%RH,50.283
29/1/23 6:01:01 PM,%RH,59.018
29/1/23 8:01:01 PM,%RH,62.749
29/1/23 10:01:01 PM,%RH,65.106
30/1/23 12:01:01 AM,%RH,66.711
30/1/23 2:01:01 AM,%RH,64.666
30/1/23 4:01:01 AM,%RH,63.488
30/1/23 6:01:01 AM,%RH,62.749
30/1/23 8:01:01 AM,%RH,64.519
30/1/23 10:01:01 AM,%RH,65.106
30/1/23 12:01:01 PM,%RH,66.129
30/1/23 2:01:01 PM,%RH,63.636
30/1/23 4:01:01 PM,%RH,29.689
30/1/23 6:01:01 PM,%RH,70.031
30/1/23 8:01:01 PM,%RH,71.458
30/1/23 10:01:01 PM,%RH,79.544
31/1/23 12:01:01 AM,%RH,84.798
31/1/23 2:01:01 AM,%RH,87.042
31/1/23 4:01:01 AM,%RH,88.869
