1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9F0000007DAB0E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:01:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:01:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  9642
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:01:01 PM,C,24.58
25/1/23 8:01:01 PM,C,24.267
25/1/23 10:01:01 PM,C,23.705
26/1/23 12:01:01 AM,C,24.205
26/1/23 2:01:01 AM,C,23.955
26/1/23 4:01:01 AM,C,23.267
26/1/23 6:01:01 AM,C,22.579
26/1/23 8:01:01 AM,C,18.075
26/1/23 10:01:01 AM,C,18.889
26/1/23 12:01:01 PM,C,29.641
26/1/23 2:01:01 PM,C,32.451
26/1/23 4:01:01 PM,C,33.012
26/1/23 6:01:01 PM,C,28.392
26/1/23 8:01:01 PM,C,24.518
26/1/23 10:01:01 PM,C,23.392
27/1/23 12:01:01 AM,C,23.33
27/1/23 2:01:01 AM,C,23.33
27/1/23 4:01:01 AM,C,22.454
27/1/23 6:01:01 AM,C,21.829
27/1/23 8:01:01 AM,C,21.454
27/1/23 10:01:01 AM,C,24.205
27/1/23 12:01:01 PM,C,25.643
27/1/23 2:01:01 PM,C,26.018
27/1/23 4:01:01 PM,C,25.455
27/1/23 6:01:01 PM,C,24.83
27/1/23 8:01:01 PM,C,23.517
27/1/23 10:01:01 PM,C,23.517
28/1/23 12:01:01 AM,C,23.017
28/1/23 2:01:01 AM,C,22.517
28/1/23 4:01:01 AM,C,22.142
28/1/23 6:01:01 AM,C,21.579
28/1/23 8:01:01 AM,C,21.766
28/1/23 10:01:01 AM,C,24.017
28/1/23 12:01:01 PM,C,25.518
28/1/23 2:01:01 PM,C,25.955
28/1/23 4:01:01 PM,C,25.33
28/1/23 6:01:01 PM,C,24.017
28/1/23 8:01:01 PM,C,24.142
28/1/23 10:01:01 PM,C,24.017
29/1/23 12:01:01 AM,C,23.83
29/1/23 2:01:01 AM,C,23.58
29/1/23 4:01:01 AM,C,23.267
29/1/23 6:01:01 AM,C,22.892
29/1/23 8:01:01 AM,C,22.579
29/1/23 10:01:01 AM,C,22.142
29/1/23 12:01:01 PM,C,22.454
29/1/23 2:01:01 PM,C,22.829
29/1/23 4:01:01 PM,C,23.455
29/1/23 6:01:01 PM,C,24.267
29/1/23 8:01:01 PM,C,24.205
29/1/23 10:01:01 PM,C,24.142
30/1/23 12:01:01 AM,C,23.955
30/1/23 2:01:01 AM,C,23.705
30/1/23 4:01:01 AM,C,23.455
30/1/23 6:01:01 AM,C,23.017
30/1/23 8:01:01 AM,C,22.704
30/1/23 10:01:01 AM,C,22.704
30/1/23 12:01:01 PM,C,22.954
30/1/23 2:01:01 PM,C,24.392
30/1/23 4:01:01 PM,C,38.939
30/1/23 6:01:01 PM,C,24.643
30/1/23 8:01:01 PM,C,23.267
30/1/23 10:01:01 PM,C,20.328
31/1/23 12:01:01 AM,C,19.201
31/1/23 2:01:01 AM,C,18.826
31/1/23 4:01:01 AM,C,18.138
31/1/23 6:01:01 AM,C,17.387
31/1/23 8:01:01 AM,C,18.951
31/1/23 10:01:01 AM,C,28.704
31/1/23 12:01:01 PM,C,41.619
31/1/23 2:01:01 PM,C,57.051
31/1/23 4:01:01 PM,C,53.384
31/1/23 6:01:01 PM,C,33.012
31/1/23 8:01:01 PM,C,22.704
31/1/23 10:01:01 PM,C,19.201
1/2/23 12:01:01 AM,C,17.324
