1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 710000007DAAB141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  9648
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,83.886
25/1/23 8:00:01 PM,%RH,73.836
25/1/23 10:00:01 PM,%RH,77.191
26/1/23 12:00:01 AM,%RH,77.913
26/1/23 2:00:01 AM,%RH,75.155
26/1/23 4:00:01 AM,%RH,70.876
26/1/23 6:00:01 AM,%RH,67.121
26/1/23 8:00:01 AM,%RH,71.471
26/1/23 10:00:01 AM,%RH,80.066
26/1/23 12:00:01 PM,%RH,37.432
26/1/23 2:00:01 PM,%RH,25.5
26/1/23 4:00:01 PM,%RH,34.021
26/1/23 6:00:01 PM,%RH,49.385
26/1/23 8:00:01 PM,%RH,65.754
26/1/23 10:00:01 PM,%RH,67.575
27/1/23 12:00:01 AM,%RH,68.329
27/1/23 2:00:01 AM,%RH,71.916
27/1/23 4:00:01 AM,%RH,66.211
27/1/23 6:00:01 AM,%RH,62.38
27/1/23 8:00:01 AM,%RH,68.178
27/1/23 10:00:01 AM,%RH,64.226
27/1/23 12:00:01 PM,%RH,50.52
27/1/23 2:00:01 PM,%RH,46.444
27/1/23 4:00:01 PM,%RH,49.547
27/1/23 6:00:01 PM,%RH,58.958
27/1/23 8:00:01 PM,%RH,64.991
27/1/23 10:00:01 PM,%RH,68.028
28/1/23 12:00:01 AM,%RH,67.877
28/1/23 2:00:01 AM,%RH,69.381
28/1/23 4:00:01 AM,%RH,69.98
28/1/23 6:00:01 AM,%RH,68.329
28/1/23 8:00:01 AM,%RH,67.726
28/1/23 10:00:01 AM,%RH,58.017
28/1/23 12:00:01 PM,%RH,35.902
28/1/23 2:00:01 PM,%RH,32.99
28/1/23 4:00:01 PM,%RH,32.301
28/1/23 6:00:01 PM,%RH,48.245
