1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 710000007DAAB141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  9648
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.693
25/1/23 8:00:01 PM,C,25.193
25/1/23 10:00:01 PM,C,23.693
26/1/23 12:00:01 AM,C,24.318
26/1/23 2:00:01 AM,C,24.318
26/1/23 4:00:01 AM,C,23.756
26/1/23 6:00:01 AM,C,23.193
26/1/23 8:00:01 AM,C,18.187
26/1/23 10:00:01 AM,C,18.75
26/1/23 12:00:01 PM,C,35.618
26/1/23 2:00:01 PM,C,32.188
26/1/23 4:00:01 PM,C,32.999
26/1/23 6:00:01 PM,C,28.505
26/1/23 8:00:01 PM,C,24.131
26/1/23 10:00:01 PM,C,23.13
27/1/23 12:00:01 AM,C,23.13
27/1/23 2:00:01 AM,C,23.193
27/1/23 4:00:01 AM,C,22.067
27/1/23 6:00:01 AM,C,21.379
27/1/23 8:00:01 AM,C,21.066
27/1/23 10:00:01 AM,C,24.256
27/1/23 12:00:01 PM,C,25.818
27/1/23 2:00:01 PM,C,26.068
27/1/23 4:00:01 PM,C,25.568
27/1/23 6:00:01 PM,C,24.818
27/1/23 8:00:01 PM,C,23.255
27/1/23 10:00:01 PM,C,23.193
28/1/23 12:00:01 AM,C,22.63
28/1/23 2:00:01 AM,C,22.129
28/1/23 4:00:01 AM,C,21.629
28/1/23 6:00:01 AM,C,20.878
28/1/23 8:00:01 AM,C,21.504
28/1/23 10:00:01 AM,C,24.318
28/1/23 12:00:01 PM,C,25.881
