1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1F0000007DAAB341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  8234
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,77.381
25/1/23 8:00:01 PM,%RH,76.126
25/1/23 10:00:01 PM,%RH,76.685
26/1/23 12:00:01 AM,%RH,78.351
26/1/23 2:00:01 AM,%RH,76.406
26/1/23 4:00:01 AM,%RH,72.312
26/1/23 6:00:01 AM,%RH,68.858
26/1/23 8:00:01 AM,%RH,70.16
26/1/23 10:00:01 AM,%RH,78.489
26/1/23 12:00:01 PM,%RH,25.406
26/1/23 2:00:01 PM,%RH,30.045
26/1/23 4:00:01 PM,%RH,34.441
26/1/23 6:00:01 PM,%RH,45.289
26/1/23 8:00:01 PM,%RH,65.493
26/1/23 10:00:01 PM,%RH,66.67
27/1/23 12:00:01 AM,%RH,67.985
27/1/23 2:00:01 AM,%RH,73.166
27/1/23 4:00:01 AM,%RH,66.376
27/1/23 6:00:01 AM,%RH,63.12
27/1/23 8:00:01 AM,%RH,68.422
27/1/23 10:00:01 AM,%RH,64.458
27/1/23 12:00:01 PM,%RH,51.331
27/1/23 2:00:01 PM,%RH,46.253
27/1/23 4:00:01 PM,%RH,49.281
27/1/23 6:00:01 PM,%RH,59.814
27/1/23 8:00:01 PM,%RH,65.05
27/1/23 10:00:01 PM,%RH,67.548
28/1/23 12:00:01 AM,%RH,67.694
28/1/23 2:00:01 AM,%RH,68.131
28/1/23 4:00:01 AM,%RH,69.003
28/1/23 6:00:01 AM,%RH,66.963
28/1/23 8:00:01 AM,%RH,67.694
28/1/23 10:00:01 AM,%RH,57.531
28/1/23 12:00:01 PM,%RH,33.77
28/1/23 2:00:01 PM,%RH,33.601
28/1/23 4:00:01 PM,%RH,32.927
28/1/23 6:00:01 PM,%RH,48.646
28/1/23 8:00:01 PM,%RH,56.458
28/1/23 10:00:01 PM,%RH,60.57
29/1/23 12:00:01 AM,%RH,63.716
29/1/23 2:00:01 AM,%RH,60.871
29/1/23 4:00:01 AM,%RH,60.116
29/1/23 6:00:01 AM,%RH,59.662
29/1/23 8:00:01 AM,%RH,59.359
29/1/23 10:00:01 AM,%RH,63.269
29/1/23 12:00:01 PM,%RH,57.378
29/1/23 2:00:01 PM,%RH,55.225
29/1/23 4:00:01 PM,%RH,51.488
29/1/23 6:00:01 PM,%RH,58.599
29/1/23 8:00:01 PM,%RH,62.672
29/1/23 10:00:01 PM,%RH,64.902
30/1/23 12:00:01 AM,%RH,67.985
30/1/23 2:00:01 AM,%RH,64.754
30/1/23 4:00:01 AM,%RH,63.12
30/1/23 6:00:01 AM,%RH,62.821
30/1/23 8:00:01 AM,%RH,63.12
30/1/23 10:00:01 AM,%RH,63.864
30/1/23 12:00:01 PM,%RH,65.64
30/1/23 2:00:01 PM,%RH,65.345
30/1/23 4:00:01 PM,%RH,31.575
30/1/23 6:00:01 PM,%RH,66.523
30/1/23 8:00:01 PM,%RH,69.583
30/1/23 10:00:01 PM,%RH,77.52
31/1/23 12:00:01 AM,%RH,83.53
31/1/23 2:00:01 AM,%RH,85.135
31/1/23 4:00:01 AM,%RH,86.988
31/1/23 6:00:01 AM,%RH,88.038
31/1/23 8:00:01 AM,%RH,87.252
31/1/23 10:00:01 AM,%RH,66.963
31/1/23 12:00:01 PM,%RH,38.107
31/1/23 2:00:01 PM,%RH,24.191
31/1/23 4:00:01 PM,%RH,19.988
31/1/23 6:00:01 PM,%RH,38.272
31/1/23 8:00:01 PM,%RH,61.172
31/1/23 10:00:01 PM,%RH,71.597
1/2/23 12:00:01 AM,%RH,76.685
1/2/23 2:00:01 AM,%RH,79.179
1/2/23 4:00:01 AM,%RH,80.14
1/2/23 6:00:01 AM,%RH,82.587
1/2/23 8:00:01 AM,%RH,84.335
1/2/23 10:00:01 AM,%RH,55.071
1/2/23 12:00:01 PM,%RH,51.959
1/2/23 2:00:01 PM,%RH,45.128
1/2/23 4:00:01 PM,%RH,42.863
1/2/23 6:00:01 PM,%RH,55.071
1/2/23 8:00:01 PM,%RH,59.662
1/2/23 10:00:01 PM,%RH,66.376
2/2/23 12:00:01 AM,%RH,70.736
2/2/23 2:00:01 AM,%RH,76.824
2/2/23 4:00:01 AM,%RH,81.504
2/2/23 6:00:01 AM,%RH,86.329
2/2/23 8:00:01 AM,%RH,85.932
2/2/23 10:00:01 AM,%RH,74.016
2/2/23 12:00:01 PM,%RH,48.329
2/2/23 2:00:01 PM,%RH,48.964
2/2/23 4:00:01 PM,%RH,44.967
2/2/23 6:00:01 PM,%RH,51.488
2/2/23 8:00:01 PM,%RH,62.971
2/2/23 10:00:01 PM,%RH,65.05
3/2/23 12:00:01 AM,%RH,68.858
3/2/23 2:00:01 AM,%RH,75.144
3/2/23 4:00:01 AM,%RH,73.875
3/2/23 6:00:01 AM,%RH,73.024
3/2/23 8:00:01 AM,%RH,74.581
3/2/23 10:00:01 AM,%RH,59.965
3/2/23 12:00:01 PM,%RH,44.967
3/2/23 2:00:01 PM,%RH,53.364
3/2/23 4:00:01 PM,%RH,59.965
3/2/23 6:00:01 PM,%RH,70.16
3/2/23 8:00:01 PM,%RH,73.308
3/2/23 10:00:01 PM,%RH,80.277
4/2/23 12:00:01 AM,%RH,84.468
4/2/23 2:00:01 AM,%RH,75.566
4/2/23 4:00:01 AM,%RH,77.381
4/2/23 6:00:01 AM,%RH,81.775
4/2/23 8:00:01 AM,%RH,84.735
4/2/23 10:00:01 AM,%RH,72.454
4/2/23 12:00:01 PM,%RH,61.172
4/2/23 2:00:01 PM,%RH,55.997
4/2/23 4:00:01 PM,%RH,56.304
4/2/23 6:00:01 PM,%RH,67.548
4/2/23 8:00:01 PM,%RH,83.53
4/2/23 10:00:01 PM,%RH,91.534
5/2/23 12:00:01 AM,%RH,95.33
5/2/23 2:00:01 AM,%RH,84.201
5/2/23 4:00:01 AM,%RH,83.665
5/2/23 6:00:01 AM,%RH,86.197
5/2/23 8:00:01 AM,%RH,85.135
5/2/23 10:00:01 AM,%RH,80.687
5/2/23 12:00:01 PM,%RH,66.376
5/2/23 2:00:01 PM,%RH,56.151
5/2/23 4:00:01 PM,%RH,64.754
5/2/23 6:00:01 PM,%RH,76.126
5/2/23 8:00:01 PM,%RH,82.046
5/2/23 10:00:01 PM,%RH,89.472
6/2/23 12:00:01 AM,%RH,92.682
6/2/23 2:00:01 AM,%RH,91.406
6/2/23 4:00:01 AM,%RH,84.468
6/2/23 6:00:01 AM,%RH,81.368
6/2/23 8:00:01 AM,%RH,79.729
6/2/23 10:00:01 AM,%RH,73.875
6/2/23 12:00:01 PM,%RH,61.773
6/2/23 2:00:01 PM,%RH,59.207
6/2/23 4:00:01 PM,%RH,49.597
6/2/23 6:00:01 PM,%RH,63.567
6/2/23 8:00:01 PM,%RH,88.038
6/2/23 10:00:01 PM,%RH,91.662
7/2/23 12:00:01 AM,%RH,93.317
7/2/23 2:00:01 AM,%RH,94.452
7/2/23 4:00:01 AM,%RH,84.468
7/2/23 6:00:01 AM,%RH,84.468
7/2/23 8:00:01 AM,%RH,83.127
7/2/23 10:00:01 AM,%RH,86.461
7/2/23 12:00:01 PM,%RH,73.45
7/2/23 2:00:01 PM,%RH,68.131
7/2/23 4:00:01 PM,%RH,69.003
7/2/23 6:00:01 PM,%RH,76.126
7/2/23 8:00:01 PM,%RH,91.79
7/2/23 10:00:01 PM,%RH,93.949
8/2/23 12:00:01 AM,%RH,95.205
8/2/23 2:00:01 AM,%RH,95.205
8/2/23 4:00:01 AM,%RH,86.593
8/2/23 6:00:01 AM,%RH,85.667
8/2/23 8:00:01 AM,%RH,88.952
8/2/23 10:00:01 AM,%RH,82.317
8/2/23 12:00:01 PM,%RH,69.003
8/2/23 2:00:01 PM,%RH,60.268
8/2/23 4:00:01 PM,%RH,61.773
8/2/23 6:00:01 PM,%RH,72.597
8/2/23 8:00:01 PM,%RH,84.468
