1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 1F0000007DAAB341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  8234
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.785
25/1/23 8:00:01 PM,C,24.41
25/1/23 10:00:01 PM,C,23.66
26/1/23 12:00:01 AM,C,24.098
26/1/23 2:00:01 AM,C,24.035
26/1/23 4:00:01 AM,C,23.285
26/1/23 6:00:01 AM,C,22.66
26/1/23 8:00:01 AM,C,18.095
26/1/23 10:00:01 AM,C,18.658
26/1/23 12:00:01 PM,C,45.446
26/1/23 2:00:01 PM,C,32.469
26/1/23 4:00:01 PM,C,32.781
26/1/23 6:00:01 PM,C,28.659
26/1/23 8:00:01 PM,C,24.285
26/1/23 10:00:01 PM,C,23.16
27/1/23 12:00:01 AM,C,23.035
27/1/23 2:00:01 AM,C,23.035
27/1/23 4:00:01 AM,C,21.91
27/1/23 6:00:01 AM,C,21.159
27/1/23 8:00:01 AM,C,20.909
27/1/23 10:00:01 AM,C,24.098
27/1/23 12:00:01 PM,C,25.598
27/1/23 2:00:01 PM,C,25.973
27/1/23 4:00:01 PM,C,25.41
27/1/23 6:00:01 PM,C,24.723
27/1/23 8:00:01 PM,C,23.16
27/1/23 10:00:01 PM,C,23.16
28/1/23 12:00:01 AM,C,22.597
28/1/23 2:00:01 AM,C,22.097
28/1/23 4:00:01 AM,C,21.597
28/1/23 6:00:01 AM,C,21.034
28/1/23 8:00:01 AM,C,21.284
28/1/23 10:00:01 AM,C,24.16
28/1/23 12:00:01 PM,C,25.785
28/1/23 2:00:01 PM,C,26.41
28/1/23 4:00:01 PM,C,25.535
28/1/23 6:00:01 PM,C,23.785
28/1/23 8:00:01 PM,C,23.848
28/1/23 10:00:01 PM,C,23.785
29/1/23 12:00:01 AM,C,23.66
29/1/23 2:00:01 AM,C,23.473
29/1/23 4:00:01 AM,C,23.222
29/1/23 6:00:01 AM,C,22.972
29/1/23 8:00:01 AM,C,22.722
