1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5B0000007DAAC741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  10588
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,79.626
25/1/23 8:00:01 PM,%RH,75.533
25/1/23 10:00:01 PM,%RH,77.003
26/1/23 12:00:01 AM,%RH,77.003
26/1/23 2:00:01 AM,%RH,75.237
26/1/23 4:00:01 AM,%RH,71.218
26/1/23 6:00:01 AM,%RH,66.981
26/1/23 8:00:01 AM,%RH,68.35
26/1/23 10:00:01 AM,%RH,77.88
26/1/23 12:00:01 PM,%RH,60.96
26/1/23 2:00:01 PM,%RH,32.428
26/1/23 4:00:01 PM,%RH,38.049
26/1/23 6:00:01 PM,%RH,43.904
26/1/23 8:00:01 PM,%RH,65.296
26/1/23 10:00:01 PM,%RH,66.981
27/1/23 12:00:01 AM,%RH,70.316
27/1/23 2:00:01 AM,%RH,74.942
27/1/23 4:00:01 AM,%RH,69.259
27/1/23 6:00:01 AM,%RH,65.757
27/1/23 8:00:01 AM,%RH,71.967
27/1/23 10:00:01 AM,%RH,65.296
27/1/23 12:00:01 PM,%RH,50.459
27/1/23 2:00:01 PM,%RH,46.379
27/1/23 4:00:01 PM,%RH,49.973
27/1/23 6:00:01 PM,%RH,59.708
27/1/23 8:00:01 PM,%RH,65.603
27/1/23 10:00:01 PM,%RH,68.654
28/1/23 12:00:01 AM,%RH,68.805
28/1/23 2:00:01 AM,%RH,70.165
28/1/23 4:00:01 AM,%RH,70.918
28/1/23 6:00:01 AM,%RH,69.411
28/1/23 8:00:01 AM,%RH,69.259
28/1/23 10:00:01 AM,%RH,58.451
28/1/23 12:00:01 PM,%RH,32.428
28/1/23 2:00:01 PM,%RH,32.428
28/1/23 4:00:01 PM,%RH,32.085
28/1/23 6:00:01 PM,%RH,46.215
28/1/23 8:00:01 PM,%RH,54.323
28/1/23 10:00:01 PM,%RH,58.608
29/1/23 12:00:01 AM,%RH,60.335
29/1/23 2:00:01 AM,%RH,60.178
29/1/23 4:00:01 AM,%RH,60.648
29/1/23 6:00:01 AM,%RH,60.491
29/1/23 8:00:01 AM,%RH,60.96
29/1/23 10:00:01 AM,%RH,65.296
29/1/23 12:00:01 PM,%RH,57.504
29/1/23 2:00:01 PM,%RH,54.483
29/1/23 4:00:01 PM,%RH,50.945
29/1/23 6:00:01 PM,%RH,57.504
29/1/23 8:00:01 PM,%RH,60.335
29/1/23 10:00:01 PM,%RH,63.137
30/1/23 12:00:01 AM,%RH,65.603
30/1/23 2:00:01 AM,%RH,63.91
30/1/23 4:00:01 AM,%RH,62.827
30/1/23 6:00:01 AM,%RH,63.292
30/1/23 8:00:01 AM,%RH,63.91
30/1/23 10:00:01 AM,%RH,65.45
30/1/23 12:00:01 PM,%RH,65.757
30/1/23 2:00:01 PM,%RH,62.827
30/1/23 4:00:01 PM,%RH,37.035
30/1/23 6:00:01 PM,%RH,65.757
30/1/23 8:00:01 PM,%RH,70.768
30/1/23 10:00:01 PM,%RH,79.916
31/1/23 12:00:01 AM,%RH,85.493
31/1/23 2:00:01 AM,%RH,86.62
31/1/23 4:00:01 AM,%RH,89.412
31/1/23 6:00:01 AM,%RH,90.243
31/1/23 8:00:01 AM,%RH,87.461
31/1/23 10:00:01 AM,%RH,63.292
31/1/23 12:00:01 PM,%RH,34.313
31/1/23 2:00:01 PM,%RH,11.525
31/1/23 4:00:01 PM,%RH,15.337
31/1/23 6:00:01 PM,%RH,36.356
31/1/23 8:00:01 PM,%RH,63.447
31/1/23 10:00:01 PM,%RH,73.756
1/2/23 12:00:01 AM,%RH,78.755
1/2/23 2:00:01 AM,%RH,80.35
1/2/23 4:00:01 AM,%RH,81.79
1/2/23 6:00:01 AM,%RH,84.502
1/2/23 8:00:01 AM,%RH,84.927
1/2/23 10:00:01 AM,%RH,53.041
1/2/23 12:00:01 PM,%RH,43.074
1/2/23 2:00:01 PM,%RH,44.731
1/2/23 4:00:01 PM,%RH,44.235
1/2/23 6:00:01 PM,%RH,52.237
1/2/23 8:00:01 PM,%RH,64.219
1/2/23 10:00:01 PM,%RH,69.713
2/2/23 12:00:01 AM,%RH,71.818
2/2/23 2:00:01 AM,%RH,73.905
2/2/23 4:00:01 AM,%RH,79.771
2/2/23 6:00:01 AM,%RH,82.65
2/2/23 8:00:01 AM,%RH,82.507
2/2/23 10:00:01 AM,%RH,70.165
2/2/23 12:00:01 PM,%RH,45.556
2/2/23 2:00:01 PM,%RH,40.237
2/2/23 4:00:01 PM,%RH,42.243
2/2/23 6:00:01 PM,%RH,55.441
2/2/23 8:00:01 PM,%RH,60.178
2/2/23 10:00:01 PM,%RH,68.957
3/2/23 12:00:01 AM,%RH,69.562
3/2/23 2:00:01 AM,%RH,69.108
3/2/23 4:00:01 AM,%RH,73.162
3/2/23 6:00:01 AM,%RH,73.162
3/2/23 8:00:01 AM,%RH,68.198
3/2/23 10:00:01 AM,%RH,52.72
3/2/23 12:00:01 PM,%RH,42.576
3/2/23 2:00:01 PM,%RH,51.43
3/2/23 4:00:01 PM,%RH,63.292
3/2/23 6:00:01 PM,%RH,68.35
3/2/23 8:00:01 PM,%RH,74.053
3/2/23 10:00:01 PM,%RH,80.639
