1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5B0000007DAAC741
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  10588
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.824
25/1/23 8:00:01 PM,C,24.262
25/1/23 10:00:01 PM,C,23.574
26/1/23 12:00:01 AM,C,24.262
26/1/23 2:00:01 AM,C,24.199
26/1/23 4:00:01 AM,C,23.824
26/1/23 6:00:01 AM,C,23.387
26/1/23 8:00:01 AM,C,18.134
26/1/23 10:00:01 AM,C,18.51
26/1/23 12:00:01 PM,C,29.449
26/1/23 2:00:01 PM,C,30.885
26/1/23 4:00:01 PM,C,32.385
26/1/23 6:00:01 PM,C,28.636
26/1/23 8:00:01 PM,C,24.262
26/1/23 10:00:01 PM,C,23.074
27/1/23 12:00:01 AM,C,22.699
27/1/23 2:00:01 AM,C,22.761
27/1/23 4:00:01 AM,C,21.136
27/1/23 6:00:01 AM,C,20.261
27/1/23 8:00:01 AM,C,20.136
27/1/23 10:00:01 AM,C,23.949
27/1/23 12:00:01 PM,C,25.762
27/1/23 2:00:01 PM,C,26.137
27/1/23 4:00:01 PM,C,25.449
27/1/23 6:00:01 PM,C,24.762
27/1/23 8:00:01 PM,C,23.011
27/1/23 10:00:01 PM,C,23.011
28/1/23 12:00:01 AM,C,22.261
28/1/23 2:00:01 AM,C,21.636
28/1/23 4:00:01 AM,C,21.073
28/1/23 6:00:01 AM,C,20.323
28/1/23 8:00:01 AM,C,21.011
28/1/23 10:00:01 AM,C,24.074
28/1/23 12:00:01 PM,C,25.887
28/1/23 2:00:01 PM,C,26.574
28/1/23 4:00:01 PM,C,25.762
28/1/23 6:00:01 PM,C,24.199
28/1/23 8:00:01 PM,C,24.199
28/1/23 10:00:01 PM,C,24.074
29/1/23 12:00:01 AM,C,23.887
29/1/23 2:00:01 AM,C,23.449
29/1/23 4:00:01 AM,C,22.949
29/1/23 6:00:01 AM,C,22.449
29/1/23 8:00:01 AM,C,21.949
29/1/23 10:00:01 AM,C,21.824
29/1/23 12:00:01 PM,C,22.136
29/1/23 2:00:01 PM,C,22.699
29/1/23 4:00:01 PM,C,23.387
29/1/23 6:00:01 PM,C,24.262
29/1/23 8:00:01 PM,C,24.199
29/1/23 10:00:01 PM,C,24.137
30/1/23 12:00:01 AM,C,23.887
30/1/23 2:00:01 AM,C,23.512
30/1/23 4:00:01 AM,C,23.136
30/1/23 6:00:01 AM,C,22.699
30/1/23 8:00:01 AM,C,22.324
30/1/23 10:00:01 AM,C,22.386
30/1/23 12:00:01 PM,C,22.636
30/1/23 2:00:01 PM,C,24.074
30/1/23 4:00:01 PM,C,35.945
30/1/23 6:00:01 PM,C,25.262
30/1/23 8:00:01 PM,C,23.136
30/1/23 10:00:01 PM,C,20.01
31/1/23 12:00:01 AM,C,18.947
31/1/23 2:00:01 AM,C,18.572
31/1/23 4:00:01 AM,C,17.947
31/1/23 6:00:01 AM,C,17.196
31/1/23 8:00:01 AM,C,18.697
31/1/23 10:00:01 AM,C,28.386
31/1/23 12:00:01 PM,C,43.498
31/1/23 2:00:01 PM,C,58.403
31/1/23 4:00:01 PM,C,52.792
31/1/23 6:00:01 PM,C,32.635
31/1/23 8:00:01 PM,C,22.261
31/1/23 10:00:01 PM,C,18.885
1/2/23 12:00:01 AM,C,17.071
1/2/23 2:00:01 AM,C,16.383
1/2/23 4:00:01 AM,C,15.508
1/2/23 6:00:01 AM,C,14.819
1/2/23 8:00:01 AM,C,16.383
1/2/23 10:00:01 AM,C,27.324
1/2/23 12:00:01 PM,C,24.262
1/2/23 2:00:01 PM,C,25.449
1/2/23 4:00:01 PM,C,25.449
1/2/23 6:00:01 PM,C,22.886
1/2/23 8:00:01 PM,C,20.198
1/2/23 10:00:01 PM,C,20.136
2/2/23 12:00:01 AM,C,19.823
2/2/23 2:00:01 AM,C,19.323
2/2/23 4:00:01 AM,C,18.697
2/2/23 6:00:01 AM,C,18.072
2/2/23 8:00:01 AM,C,18.072
2/2/23 10:00:01 AM,C,20.886
2/2/23 12:00:01 PM,C,24.262
2/2/23 2:00:01 PM,C,25.512
2/2/23 4:00:01 PM,C,25.637
2/2/23 6:00:01 PM,C,22.449
2/2/23 8:00:01 PM,C,19.76
2/2/23 10:00:01 PM,C,18.26
3/2/23 12:00:01 AM,C,19.385
3/2/23 2:00:01 AM,C,18.635
