1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B00000007DAAC241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8940
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,78.782
25/1/23 8:00:01 PM,%RH,76.727
25/1/23 10:00:01 PM,%RH,76.727
26/1/23 12:00:01 AM,%RH,77.463
26/1/23 2:00:01 AM,%RH,76.137
26/1/23 4:00:01 AM,%RH,72.569
26/1/23 6:00:01 AM,%RH,68.346
26/1/23 8:00:01 AM,%RH,64.981
26/1/23 10:00:01 AM,%RH,76.432
26/1/23 12:00:01 PM,%RH,60.797
26/1/23 2:00:01 PM,%RH,28.601
26/1/23 4:00:01 PM,%RH,35.601
26/1/23 6:00:01 PM,%RH,47.391
26/1/23 8:00:01 PM,%RH,65.135
26/1/23 10:00:01 PM,%RH,65.596
27/1/23 12:00:01 AM,%RH,67.432
27/1/23 2:00:01 AM,%RH,70.918
27/1/23 4:00:01 AM,%RH,66.363
27/1/23 6:00:01 AM,%RH,61.732
27/1/23 8:00:01 AM,%RH,64.981
27/1/23 10:00:01 AM,%RH,64.057
27/1/23 12:00:01 PM,%RH,53.849
27/1/23 2:00:01 PM,%RH,46.411
27/1/23 4:00:01 PM,%RH,48.531
27/1/23 6:00:01 PM,%RH,57.027
27/1/23 8:00:01 PM,%RH,63.903
27/1/23 10:00:01 PM,%RH,66.209
28/1/23 12:00:01 AM,%RH,67.28
28/1/23 2:00:01 AM,%RH,67.28
28/1/23 4:00:01 AM,%RH,67.737
28/1/23 6:00:01 AM,%RH,65.75
28/1/23 8:00:01 AM,%RH,65.903
28/1/23 10:00:01 AM,%RH,58.918
28/1/23 12:00:01 PM,%RH,36.613
28/1/23 2:00:01 PM,%RH,32.715
28/1/23 4:00:01 PM,%RH,33.226
28/1/23 6:00:01 PM,%RH,47.228
28/1/23 8:00:01 PM,%RH,55.124
28/1/23 10:00:01 PM,%RH,58.918
29/1/23 12:00:01 AM,%RH,60.797
29/1/23 2:00:01 AM,%RH,60.329
29/1/23 4:00:01 AM,%RH,61.265
29/1/23 6:00:01 AM,%RH,61.265
29/1/23 8:00:01 AM,%RH,62.819
29/1/23 10:00:01 AM,%RH,66.974
29/1/23 12:00:01 PM,%RH,55.918
29/1/23 2:00:01 PM,%RH,53.369
29/1/23 4:00:01 PM,%RH,49.342
29/1/23 6:00:01 PM,%RH,55.918
29/1/23 8:00:01 PM,%RH,60.641
29/1/23 10:00:01 PM,%RH,63.284
30/1/23 12:00:01 AM,%RH,64.52
30/1/23 2:00:01 AM,%RH,64.52
30/1/23 4:00:01 AM,%RH,63.439
30/1/23 6:00:01 AM,%RH,63.439
30/1/23 8:00:01 AM,%RH,64.674
30/1/23 10:00:01 AM,%RH,66.056
30/1/23 12:00:01 PM,%RH,66.821
30/1/23 2:00:01 PM,%RH,63.593
30/1/23 4:00:01 PM,%RH,38.63
30/1/23 6:00:01 PM,%RH,63.903
30/1/23 8:00:01 PM,%RH,68.498
30/1/23 10:00:01 PM,%RH,77.316
31/1/23 12:00:01 AM,%RH,83.416
31/1/23 2:00:01 AM,%RH,85.274
31/1/23 4:00:01 AM,%RH,87.119
31/1/23 6:00:01 AM,%RH,88.528
31/1/23 8:00:01 AM,%RH,87.824
31/1/23 10:00:01 AM,%RH,71.219
31/1/23 12:00:01 PM,%RH,39.8
31/1/23 2:00:01 PM,%RH,17.215
31/1/23 4:00:01 PM,%RH,16.681
31/1/23 6:00:01 PM,%RH,33.906
31/1/23 8:00:01 PM,%RH,59.859
31/1/23 10:00:01 PM,%RH,70.466
1/2/23 12:00:01 AM,%RH,76.137
1/2/23 2:00:01 AM,%RH,77.756
1/2/23 4:00:01 AM,%RH,79.803
1/2/23 6:00:01 AM,%RH,81.977
1/2/23 8:00:01 AM,%RH,84.276
1/2/23 10:00:01 AM,%RH,64.365
1/2/23 12:00:01 PM,%RH,46.247
1/2/23 2:00:01 PM,%RH,44.935
1/2/23 4:00:01 PM,%RH,46.247
1/2/23 6:00:01 PM,%RH,57.185
