1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B00000007DAAC241
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  970
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  970
Total Device Samples:  8940
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.592
25/1/23 8:00:01 PM,C,24.342
25/1/23 10:00:01 PM,C,23.592
26/1/23 12:00:01 AM,C,24.154
26/1/23 2:00:01 AM,C,24.029
26/1/23 4:00:01 AM,C,23.404
26/1/23 6:00:01 AM,C,22.904
26/1/23 8:00:01 AM,C,18.965
26/1/23 10:00:01 AM,C,18.715
26/1/23 12:00:01 PM,C,28.654
26/1/23 2:00:01 PM,C,31.527
26/1/23 4:00:01 PM,C,32.339
26/1/23 6:00:01 PM,C,28.654
26/1/23 8:00:01 PM,C,24.029
26/1/23 10:00:01 PM,C,23.404
27/1/23 12:00:01 AM,C,23.154
27/1/23 2:00:01 AM,C,23.154
27/1/23 4:00:01 AM,C,22.216
27/1/23 6:00:01 AM,C,21.591
27/1/23 8:00:01 AM,C,21.278
27/1/23 10:00:01 AM,C,23.967
27/1/23 12:00:01 PM,C,25.592
27/1/23 2:00:01 PM,C,26.029
27/1/23 4:00:01 PM,C,25.529
27/1/23 6:00:01 PM,C,24.779
27/1/23 8:00:01 PM,C,23.404
27/1/23 10:00:01 PM,C,23.342
28/1/23 12:00:01 AM,C,22.779
28/1/23 2:00:01 AM,C,22.279
28/1/23 4:00:01 AM,C,21.904
28/1/23 6:00:01 AM,C,21.278
28/1/23 8:00:01 AM,C,21.529
28/1/23 10:00:01 AM,C,24.154
28/1/23 12:00:01 PM,C,25.592
28/1/23 2:00:01 PM,C,26.279
28/1/23 4:00:01 PM,C,25.467
28/1/23 6:00:01 PM,C,24.342
28/1/23 8:00:01 PM,C,24.279
28/1/23 10:00:01 PM,C,24.092
29/1/23 12:00:01 AM,C,23.842
29/1/23 2:00:01 AM,C,23.342
29/1/23 4:00:01 AM,C,22.779
29/1/23 6:00:01 AM,C,22.216
29/1/23 8:00:01 AM,C,21.779
29/1/23 10:00:01 AM,C,21.529
29/1/23 12:00:01 PM,C,22.091
29/1/23 2:00:01 PM,C,22.716
29/1/23 4:00:01 PM,C,23.654
29/1/23 6:00:01 PM,C,24.467
29/1/23 8:00:01 PM,C,24.342
29/1/23 10:00:01 PM,C,24.217
30/1/23 12:00:01 AM,C,23.904
30/1/23 2:00:01 AM,C,23.467
30/1/23 4:00:01 AM,C,23.029
30/1/23 6:00:01 AM,C,22.529
30/1/23 8:00:01 AM,C,22.154
30/1/23 10:00:01 AM,C,22.216
30/1/23 12:00:01 PM,C,22.591
30/1/23 2:00:01 PM,C,24.092
30/1/23 4:00:01 PM,C,35.712
30/1/23 6:00:01 PM,C,26.029
30/1/23 8:00:01 PM,C,23.592
30/1/23 10:00:01 PM,C,20.591
31/1/23 12:00:01 AM,C,19.34
31/1/23 2:00:01 AM,C,18.84
31/1/23 4:00:01 AM,C,18.214
31/1/23 6:00:01 AM,C,17.276
31/1/23 8:00:01 AM,C,18.277
31/1/23 10:00:01 AM,C,26.842
31/1/23 12:00:01 PM,C,36.523
31/1/23 2:00:01 PM,C,49.501
31/1/23 4:00:01 PM,C,47.692
31/1/23 6:00:01 PM,C,33.838
31/1/23 8:00:01 PM,C,23.217
31/1/23 10:00:01 PM,C,19.465
1/2/23 12:00:01 AM,C,17.464
1/2/23 2:00:01 AM,C,16.651
1/2/23 4:00:01 AM,C,15.837
1/2/23 6:00:01 AM,C,15.149
1/2/23 8:00:01 AM,C,16.025
1/2/23 10:00:01 AM,C,26.217
1/2/23 12:00:01 PM,C,23.592
1/2/23 2:00:01 PM,C,25.029
1/2/23 4:00:01 PM,C,24.529
1/2/23 6:00:01 PM,C,22.591
1/2/23 8:00:01 PM,C,20.09
1/2/23 10:00:01 PM,C,20.778
2/2/23 12:00:01 AM,C,19.778
2/2/23 2:00:01 AM,C,19.152
2/2/23 4:00:01 AM,C,18.715
2/2/23 6:00:01 AM,C,18.152
2/2/23 8:00:01 AM,C,18.027
2/2/23 10:00:01 AM,C,20.09
2/2/23 12:00:01 PM,C,23.217
2/2/23 2:00:01 PM,C,25.154
2/2/23 4:00:01 PM,C,25.342
2/2/23 6:00:01 PM,C,22.591
2/2/23 8:00:01 PM,C,19.653
2/2/23 10:00:01 PM,C,18.464
3/2/23 12:00:01 AM,C,19.34
3/2/23 2:00:01 AM,C,18.59
3/2/23 4:00:01 AM,C,17.902
3/2/23 6:00:01 AM,C,17.026
3/2/23 8:00:01 AM,C,17.088
3/2/23 10:00:01 AM,C,20.216
3/2/23 12:00:01 PM,C,23.279
3/2/23 2:00:01 PM,C,23.779
3/2/23 4:00:01 PM,C,23.154
3/2/23 6:00:01 PM,C,22.216
3/2/23 8:00:01 PM,C,21.341
