1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9C0000007D8DC541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  9031
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,78.626
25/1/23 8:00:01 PM,%RH,76.236
25/1/23 10:00:01 PM,%RH,76.942
26/1/23 12:00:01 AM,%RH,80.018
26/1/23 2:00:01 AM,%RH,77.786
26/1/23 4:00:01 AM,%RH,74.531
26/1/23 6:00:01 AM,%RH,71.078
26/1/23 8:00:01 AM,%RH,70.787
26/1/23 10:00:01 AM,%RH,75.527
26/1/23 12:00:01 PM,%RH,68.008
26/1/23 2:00:01 PM,%RH,35.038
26/1/23 4:00:01 PM,%RH,36.214
26/1/23 6:00:01 PM,%RH,47.055
26/1/23 8:00:01 PM,%RH,66.531
26/1/23 10:00:01 PM,%RH,67.419
27/1/23 12:00:01 AM,%RH,68.743
27/1/23 2:00:01 AM,%RH,73.673
27/1/23 4:00:01 AM,%RH,68.008
27/1/23 6:00:01 AM,%RH,63.547
27/1/23 8:00:01 AM,%RH,69.329
27/1/23 10:00:01 AM,%RH,64.895
27/1/23 12:00:01 PM,%RH,51.837
27/1/23 2:00:01 PM,%RH,46.572
27/1/23 4:00:01 PM,%RH,49.298
27/1/23 6:00:01 PM,%RH,58.994
27/1/23 8:00:01 PM,%RH,66.828
27/1/23 10:00:01 PM,%RH,69.183
28/1/23 12:00:01 AM,%RH,68.597
28/1/23 2:00:01 AM,%RH,69.329
28/1/23 4:00:01 AM,%RH,69.622
28/1/23 6:00:01 AM,%RH,67.271
28/1/23 8:00:01 AM,%RH,68.89
28/1/23 10:00:01 AM,%RH,58.073
28/1/23 12:00:01 PM,%RH,34.87
28/1/23 2:00:01 PM,%RH,31.823
28/1/23 4:00:01 PM,%RH,32.163
28/1/23 6:00:01 PM,%RH,50.253
28/1/23 8:00:01 PM,%RH,56.839
28/1/23 10:00:01 PM,%RH,60.522
29/1/23 12:00:01 AM,%RH,61.737
29/1/23 2:00:01 AM,%RH,60.674
29/1/23 4:00:01 AM,%RH,60.217
29/1/23 6:00:01 AM,%RH,60.978
29/1/23 8:00:01 AM,%RH,62.191
29/1/23 10:00:01 AM,%RH,65.789
29/1/23 12:00:01 PM,%RH,58.073
29/1/23 2:00:01 PM,%RH,55.443
29/1/23 4:00:01 PM,%RH,50.253
29/1/23 6:00:01 PM,%RH,58.534
29/1/23 8:00:01 PM,%RH,62.039
29/1/23 10:00:01 PM,%RH,64.297
30/1/23 12:00:01 AM,%RH,64.596
30/1/23 2:00:01 AM,%RH,64.446
30/1/23 4:00:01 AM,%RH,64.147
30/1/23 6:00:01 AM,%RH,62.945
30/1/23 8:00:01 AM,%RH,62.945
30/1/23 10:00:01 AM,%RH,67.566
30/1/23 12:00:01 PM,%RH,66.235
30/1/23 2:00:01 PM,%RH,64.596
30/1/23 4:00:01 PM,%RH,35.543
30/1/23 6:00:01 PM,%RH,65.938
30/1/23 8:00:01 PM,%RH,71.223
30/1/23 10:00:01 PM,%RH,78.766
31/1/23 12:00:01 AM,%RH,84.406
31/1/23 2:00:01 AM,%RH,85.083
31/1/23 4:00:01 AM,%RH,87.895
31/1/23 6:00:01 AM,%RH,89.087
31/1/23 8:00:01 AM,%RH,87.23
31/1/23 10:00:01 AM,%RH,63.547
31/1/23 12:00:01 PM,%RH,34.027
31/1/23 2:00:01 PM,%RH,12.852
31/1/23 4:00:01 PM,%RH,16.812
31/1/23 6:00:01 PM,%RH,36.382
31/1/23 8:00:01 PM,%RH,61.888
31/1/23 10:00:01 PM,%RH,72.668
1/2/23 12:00:01 AM,%RH,77.645
1/2/23 2:00:01 AM,%RH,79.323
1/2/23 4:00:01 AM,%RH,81.125
1/2/23 6:00:01 AM,%RH,83.999
1/2/23 8:00:01 AM,%RH,84.271
1/2/23 10:00:01 AM,%RH,52.626
1/2/23 12:00:01 PM,%RH,46.41
1/2/23 2:00:01 PM,%RH,42.673
1/2/23 4:00:01 PM,%RH,40.207
1/2/23 6:00:01 PM,%RH,54.507
1/2/23 8:00:01 PM,%RH,61.737
1/2/23 10:00:01 PM,%RH,65.044
2/2/23 12:00:01 AM,%RH,71.078
2/2/23 2:00:01 AM,%RH,77.505
2/2/23 4:00:01 AM,%RH,82.225
2/2/23 6:00:01 AM,%RH,86.695
2/2/23 8:00:01 AM,%RH,83.999
2/2/23 10:00:01 AM,%RH,75.527
2/2/23 12:00:01 PM,%RH,48.339
2/2/23 2:00:01 PM,%RH,41.854
2/2/23 4:00:01 PM,%RH,42.018
2/2/23 6:00:01 PM,%RH,56.219
2/2/23 8:00:01 PM,%RH,60.217
2/2/23 10:00:01 PM,%RH,66.976
3/2/23 12:00:01 AM,%RH,67.714
3/2/23 2:00:01 AM,%RH,71.802
3/2/23 4:00:01 AM,%RH,74.102
3/2/23 6:00:01 AM,%RH,75.669
3/2/23 8:00:01 AM,%RH,74.388
3/2/23 10:00:01 AM,%RH,54.351
3/2/23 12:00:01 PM,%RH,39.048
3/2/23 2:00:01 PM,%RH,48.979
3/2/23 4:00:01 PM,%RH,63.396
3/2/23 6:00:01 PM,%RH,69.329
