1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9C0000007D8DC541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  9031
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,24.781
25/1/23 8:00:01 PM,C,24.469
25/1/23 10:00:01 PM,C,23.719
26/1/23 12:00:01 AM,C,24.031
26/1/23 2:00:01 AM,C,23.844
26/1/23 4:00:01 AM,C,23.219
26/1/23 6:00:01 AM,C,22.531
26/1/23 8:00:01 AM,C,18.027
26/1/23 10:00:01 AM,C,18.716
26/1/23 12:00:01 PM,C,29.28
26/1/23 2:00:01 PM,C,31.278
26/1/23 4:00:01 PM,C,32.527
26/1/23 6:00:01 PM,C,28.718
26/1/23 8:00:01 PM,C,24.281
26/1/23 10:00:01 PM,C,23.281
27/1/23 12:00:01 AM,C,23.156
27/1/23 2:00:01 AM,C,23.219
27/1/23 4:00:01 AM,C,21.906
27/1/23 6:00:01 AM,C,21.155
27/1/23 8:00:01 AM,C,20.905
27/1/23 10:00:01 AM,C,24.219
27/1/23 12:00:01 PM,C,25.781
27/1/23 2:00:01 PM,C,26.156
27/1/23 4:00:01 PM,C,25.656
27/1/23 6:00:01 PM,C,24.906
27/1/23 8:00:01 PM,C,23.031
27/1/23 10:00:01 PM,C,23.156
28/1/23 12:00:01 AM,C,22.593
28/1/23 2:00:01 AM,C,22.156
28/1/23 4:00:01 AM,C,21.655
28/1/23 6:00:01 AM,C,21.03
28/1/23 8:00:01 AM,C,21.405
28/1/23 10:00:01 AM,C,24.531
28/1/23 12:00:01 PM,C,26.406
28/1/23 2:00:01 PM,C,27.093
28/1/23 4:00:01 PM,C,25.969
28/1/23 6:00:01 PM,C,24.031
28/1/23 8:00:01 PM,C,24.156
28/1/23 10:00:01 PM,C,24.094
29/1/23 12:00:01 AM,C,23.969
29/1/23 2:00:01 AM,C,23.656
29/1/23 4:00:01 AM,C,23.219
29/1/23 6:00:01 AM,C,22.718
29/1/23 8:00:01 AM,C,22.218
29/1/23 10:00:01 AM,C,21.968
29/1/23 12:00:01 PM,C,22.343
29/1/23 2:00:01 PM,C,22.781
29/1/23 4:00:01 PM,C,23.469
29/1/23 6:00:01 PM,C,24.344
29/1/23 8:00:01 PM,C,24.281
29/1/23 10:00:01 PM,C,24.156
30/1/23 12:00:01 AM,C,23.969
30/1/23 2:00:01 AM,C,23.656
30/1/23 4:00:01 AM,C,23.344
30/1/23 6:00:01 AM,C,22.906
30/1/23 8:00:01 AM,C,22.531
30/1/23 10:00:01 AM,C,22.531
30/1/23 12:00:01 PM,C,22.781
30/1/23 2:00:01 PM,C,24.219
30/1/23 4:00:01 PM,C,36.52
30/1/23 6:00:01 PM,C,25.969
30/1/23 8:00:01 PM,C,23.219
30/1/23 10:00:01 PM,C,20.342
31/1/23 12:00:01 AM,C,19.154
31/1/23 2:00:01 AM,C,18.778
31/1/23 4:00:01 AM,C,18.09
31/1/23 6:00:01 AM,C,17.339
31/1/23 8:00:01 AM,C,18.841
31/1/23 10:00:01 AM,C,28.53
31/1/23 12:00:01 PM,C,39.327
31/1/23 2:00:01 PM,C,54.46
31/1/23 4:00:01 PM,C,46.929
31/1/23 6:00:01 PM,C,32.964
31/1/23 8:00:01 PM,C,22.781
31/1/23 10:00:01 PM,C,19.216
1/2/23 12:00:01 AM,C,17.339
1/2/23 2:00:01 AM,C,16.526
1/2/23 4:00:01 AM,C,15.649
1/2/23 6:00:01 AM,C,14.961
1/2/23 8:00:01 AM,C,16.651
1/2/23 10:00:01 AM,C,28.03
1/2/23 12:00:01 PM,C,23.531
1/2/23 2:00:01 PM,C,24.906
1/2/23 4:00:01 PM,C,24.906
1/2/23 6:00:01 PM,C,22.781
1/2/23 8:00:01 PM,C,20.78
1/2/23 10:00:01 PM,C,21.093
2/2/23 12:00:01 AM,C,19.904
2/2/23 2:00:01 AM,C,19.216
2/2/23 4:00:01 AM,C,18.716
2/2/23 6:00:01 AM,C,18.027
2/2/23 8:00:01 AM,C,17.777
2/2/23 10:00:01 AM,C,19.779
2/2/23 12:00:01 PM,C,23.031
2/2/23 2:00:01 PM,C,25.281
2/2/23 4:00:01 PM,C,25.781
2/2/23 6:00:01 PM,C,22.968
2/2/23 8:00:01 PM,C,20.154
2/2/23 10:00:01 PM,C,18.903
3/2/23 12:00:01 AM,C,19.529
3/2/23 2:00:01 AM,C,18.591
3/2/23 4:00:01 AM,C,17.84
3/2/23 6:00:01 AM,C,17.026
3/2/23 8:00:01 AM,C,17.151
3/2/23 10:00:01 AM,C,20.28
3/2/23 12:00:01 PM,C,23.594
3/2/23 2:00:01 PM,C,24.469
3/2/23 4:00:01 PM,C,23.656
3/2/23 6:00:01 PM,C,22.531
3/2/23 8:00:01 PM,C,21.655
3/2/23 10:00:01 PM,C,20.592
4/2/23 12:00:01 AM,C,20.029
4/2/23 2:00:01 AM,C,19.654
4/2/23 4:00:01 AM,C,19.029
4/2/23 6:00:01 AM,C,19.029
4/2/23 8:00:01 AM,C,18.403
4/2/23 10:00:01 AM,C,20.905
4/2/23 12:00:01 PM,C,24.594
4/2/23 2:00:01 PM,C,26.406
4/2/23 4:00:01 PM,C,26.344
4/2/23 6:00:01 PM,C,24.281
4/2/23 8:00:01 PM,C,22.218
4/2/23 10:00:01 PM,C,20.405
5/2/23 12:00:01 AM,C,19.029
5/2/23 2:00:01 AM,C,19.029
5/2/23 4:00:01 AM,C,17.589
5/2/23 6:00:01 AM,C,17.026
5/2/23 8:00:01 AM,C,17.214
5/2/23 10:00:01 AM,C,20.342
5/2/23 12:00:01 PM,C,24.531
5/2/23 2:00:01 PM,C,26.094
5/2/23 4:00:01 PM,C,25.844
5/2/23 6:00:01 PM,C,24.344
5/2/23 8:00:01 PM,C,22.343
5/2/23 10:00:01 PM,C,20.53
6/2/23 12:00:01 AM,C,20.154
6/2/23 2:00:01 AM,C,18.653
6/2/23 4:00:01 AM,C,16.526
6/2/23 6:00:01 AM,C,15.962
6/2/23 8:00:01 AM,C,17.214
6/2/23 10:00:01 AM,C,20.592
6/2/23 12:00:01 PM,C,23.031
6/2/23 2:00:01 PM,C,24.594
6/2/23 4:00:01 PM,C,25.031
6/2/23 6:00:01 PM,C,23.594
6/2/23 8:00:01 PM,C,21.718
6/2/23 10:00:01 PM,C,20.905
7/2/23 12:00:01 AM,C,19.779
7/2/23 2:00:01 AM,C,18.653
7/2/23 4:00:01 AM,C,19.154
7/2/23 6:00:01 AM,C,18.591
7/2/23 8:00:01 AM,C,18.465
7/2/23 10:00:01 AM,C,20.717
7/2/23 12:00:01 PM,C,23.719
7/2/23 2:00:01 PM,C,25.031
7/2/23 4:00:01 PM,C,24.469
7/2/23 6:00:01 PM,C,23.156
7/2/23 8:00:01 PM,C,21.906
7/2/23 10:00:01 PM,C,20.53
8/2/23 12:00:01 AM,C,19.842
8/2/23 2:00:01 AM,C,19.404
8/2/23 4:00:01 AM,C,18.653
8/2/23 6:00:01 AM,C,19.341
8/2/23 8:00:01 AM,C,19.592
8/2/23 10:00:01 AM,C,20.968
8/2/23 12:00:01 PM,C,24.344
8/2/23 2:00:01 PM,C,25.906
8/2/23 4:00:01 PM,C,26.094
8/2/23 6:00:01 PM,C,24.031
8/2/23 8:00:01 PM,C,22.031
8/2/23 10:00:01 PM,C,20.405
9/2/23 12:00:01 AM,C,19.341
9/2/23 2:00:01 AM,C,18.716
9/2/23 4:00:01 AM,C,18.528
9/2/23 6:00:01 AM,C,16.964
9/2/23 8:00:01 AM,C,16.964
9/2/23 10:00:01 AM,C,20.217
9/2/23 12:00:01 PM,C,23.844
9/2/23 2:00:01 PM,C,25.906
9/2/23 4:00:01 PM,C,24.969
9/2/23 6:00:01 PM,C,23.156
9/2/23 8:00:01 PM,C,21.53
9/2/23 10:00:01 PM,C,20.28
10/2/23 12:00:01 AM,C,19.717
10/2/23 2:00:01 AM,C,18.903
10/2/23 4:00:01 AM,C,17.026
10/2/23 6:00:01 AM,C,16.338
10/2/23 8:00:01 AM,C,17.652
10/2/23 10:00:01 AM,C,19.529
10/2/23 12:00:01 PM,C,23.031
10/2/23 2:00:01 PM,C,26.219
10/2/23 4:00:01 PM,C,25.906
10/2/23 6:00:01 PM,C,24.031
10/2/23 8:00:01 PM,C,21.343
10/2/23 10:00:01 PM,C,19.717
11/2/23 12:00:01 AM,C,19.592
11/2/23 2:00:01 AM,C,19.404
11/2/23 4:00:01 AM,C,16.901
11/2/23 6:00:01 AM,C,16.025
11/2/23 8:00:01 AM,C,16.338
11/2/23 10:00:01 AM,C,20.842
11/2/23 12:00:01 PM,C,24.656
11/2/23 2:00:01 PM,C,26.219
11/2/23 4:00:01 PM,C,26.781
11/2/23 6:00:01 PM,C,24.656
11/2/23 8:00:01 PM,C,22.156
11/2/23 10:00:01 PM,C,18.653
12/2/23 12:00:01 AM,C,19.216
12/2/23 2:00:01 AM,C,20.029
12/2/23 4:00:01 AM,C,19.529
12/2/23 6:00:01 AM,C,16.213
12/2/23 8:00:01 AM,C,15.649
12/2/23 10:00:01 AM,C,20.78
12/2/23 12:00:01 PM,C,25.531
12/2/23 2:00:01 PM,C,28.218
12/2/23 4:00:01 PM,C,28.03
12/2/23 6:00:01 PM,C,25.469
12/2/23 8:00:01 PM,C,22.468
12/2/23 10:00:01 PM,C,19.466
13/2/23 12:00:01 AM,C,19.279
13/2/23 2:00:01 AM,C,19.717
13/2/23 4:00:01 AM,C,18.903
13/2/23 6:00:01 AM,C,18.09
13/2/23 8:00:01 AM,C,18.215
13/2/23 10:00:01 AM,C,20.655
13/2/23 12:00:01 PM,C,25.469
13/2/23 2:00:01 PM,C,27.343
13/2/23 4:00:01 PM,C,27.656
13/2/23 6:00:01 PM,C,25.219
13/2/23 8:00:01 PM,C,21.968
13/2/23 10:00:01 PM,C,19.091
14/2/23 12:00:01 AM,C,18.34
14/2/23 2:00:01 AM,C,20.029
14/2/23 4:00:01 AM,C,17.589
14/2/23 6:00:01 AM,C,16.713
14/2/23 8:00:01 AM,C,15.837
