1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C60000007D8D5041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  8290
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,%RH,76.894
25/1/23 8:00:01 PM,%RH,75.919
25/1/23 10:00:01 PM,%RH,77.449
26/1/23 12:00:01 AM,%RH,78.415
26/1/23 2:00:01 AM,%RH,75.78
26/1/23 4:00:01 AM,%RH,71.683
26/1/23 6:00:01 AM,%RH,67.06
26/1/23 8:00:01 AM,%RH,69.241
26/1/23 10:00:01 AM,%RH,78.553
26/1/23 12:00:01 PM,%RH,49.235
26/1/23 2:00:01 PM,%RH,33.697
26/1/23 4:00:01 PM,%RH,37.546
26/1/23 6:00:01 PM,%RH,44.27
26/1/23 8:00:01 PM,%RH,66.768
26/1/23 10:00:01 PM,%RH,69.241
27/1/23 12:00:01 AM,%RH,70.538
27/1/23 2:00:01 AM,%RH,74.799
27/1/23 4:00:01 AM,%RH,69.53
27/1/23 6:00:01 AM,%RH,67.79
27/1/23 8:00:01 AM,%RH,73.954
27/1/23 10:00:01 AM,%RH,63.967
27/1/23 12:00:01 PM,%RH,49.552
27/1/23 2:00:01 PM,%RH,44.593
27/1/23 4:00:01 PM,%RH,48.282
27/1/23 6:00:01 PM,%RH,59.165
27/1/23 8:00:01 PM,%RH,68.081
27/1/23 10:00:01 PM,%RH,69.962
28/1/23 12:00:01 AM,%RH,70.394
28/1/23 2:00:01 AM,%RH,71.111
28/1/23 4:00:01 AM,%RH,72.396
28/1/23 6:00:01 AM,%RH,70.681
28/1/23 8:00:01 AM,%RH,71.111
28/1/23 10:00:01 AM,%RH,58.252
28/1/23 12:00:01 PM,%RH,32.006
28/1/23 2:00:01 PM,%RH,33.697
28/1/23 4:00:01 PM,%RH,32.176
28/1/23 6:00:01 PM,%RH,50.5
28/1/23 8:00:01 PM,%RH,57.336
28/1/23 10:00:01 PM,%RH,61.129
29/1/23 12:00:01 AM,%RH,62.329
29/1/23 2:00:01 AM,%RH,61.279
29/1/23 4:00:01 AM,%RH,60.526
29/1/23 6:00:01 AM,%RH,60.074
29/1/23 8:00:01 AM,%RH,60.978
29/1/23 10:00:01 AM,%RH,66.621
29/1/23 12:00:01 PM,%RH,58.405
29/1/23 2:00:01 PM,%RH,55.954
29/1/23 4:00:01 PM,%RH,49.393
29/1/23 6:00:01 PM,%RH,57.795
29/1/23 8:00:01 PM,%RH,61.58
29/1/23 10:00:01 PM,%RH,64.412
30/1/23 12:00:01 AM,%RH,66.475
30/1/23 2:00:01 AM,%RH,66.181
30/1/23 4:00:01 AM,%RH,63.373
30/1/23 6:00:01 AM,%RH,63.967
30/1/23 8:00:01 AM,%RH,63.819
30/1/23 10:00:01 AM,%RH,66.475
30/1/23 12:00:01 PM,%RH,66.181
30/1/23 2:00:01 PM,%RH,65.446
30/1/23 4:00:01 PM,%RH,33.191
30/1/23 6:00:01 PM,%RH,63.967
30/1/23 8:00:01 PM,%RH,67.935
30/1/23 10:00:01 PM,%RH,75.22
31/1/23 12:00:01 AM,%RH,81.96
31/1/23 2:00:01 AM,%RH,84.771
31/1/23 4:00:01 AM,%RH,86.75
31/1/23 6:00:01 AM,%RH,86.488
31/1/23 8:00:01 AM,%RH,87.926
31/1/23 10:00:01 AM,%RH,71.111
31/1/23 12:00:01 PM,%RH,41.503
31/1/23 2:00:01 PM,%RH,20.756
31/1/23 4:00:01 PM,%RH,17.205
31/1/23 6:00:01 PM,%RH,36.047
31/1/23 8:00:01 PM,%RH,58.252
31/1/23 10:00:01 PM,%RH,69.674
1/2/23 12:00:01 AM,%RH,76.198
1/2/23 2:00:01 AM,%RH,76.894
