1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C60000007D8D5041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Wed Jan 25 18:00:01 IST 2023
Mission Sample Count:  969
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Jan 25 18:00:01 IST 2023
Total Mission Samples:  969
Total Device Samples:  8290
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
25/1/23 6:00:01 PM,C,25.449
25/1/23 8:00:01 PM,C,24.699
25/1/23 10:00:01 PM,C,23.761
26/1/23 12:00:01 AM,C,24.262
26/1/23 2:00:01 AM,C,24.262
26/1/23 4:00:01 AM,C,23.761
26/1/23 6:00:01 AM,C,23.261
26/1/23 8:00:01 AM,C,17.818
26/1/23 10:00:01 AM,C,18.632
26/1/23 12:00:01 PM,C,33.443
26/1/23 2:00:01 PM,C,31.508
26/1/23 4:00:01 PM,C,32.694
26/1/23 6:00:01 PM,C,28.761
26/1/23 8:00:01 PM,C,24.011
26/1/23 10:00:01 PM,C,22.823
27/1/23 12:00:01 AM,C,22.823
27/1/23 2:00:01 AM,C,22.886
27/1/23 4:00:01 AM,C,21.322
27/1/23 6:00:01 AM,C,20.321
27/1/23 8:00:01 AM,C,20.008
27/1/23 10:00:01 AM,C,24.512
27/1/23 12:00:01 PM,C,26.574
27/1/23 2:00:01 PM,C,27.012
27/1/23 4:00:01 PM,C,26.324
27/1/23 6:00:01 PM,C,25.137
27/1/23 8:00:01 PM,C,22.698
27/1/23 10:00:01 PM,C,22.948
28/1/23 12:00:01 AM,C,22.261
28/1/23 2:00:01 AM,C,21.635
28/1/23 4:00:01 AM,C,21.072
28/1/23 6:00:01 AM,C,20.321
28/1/23 8:00:01 AM,C,20.884
28/1/23 10:00:01 AM,C,24.699
28/1/23 12:00:01 PM,C,26.449
28/1/23 2:00:01 PM,C,27.199
28/1/23 4:00:01 PM,C,26.137
28/1/23 6:00:01 PM,C,24.074
28/1/23 8:00:01 PM,C,24.136
28/1/23 10:00:01 PM,C,24.074
29/1/23 12:00:01 AM,C,23.886
29/1/23 2:00:01 AM,C,23.636
29/1/23 4:00:01 AM,C,23.261
29/1/23 6:00:01 AM,C,22.761
29/1/23 8:00:01 AM,C,22.386
29/1/23 10:00:01 AM,C,22.01
29/1/23 12:00:01 PM,C,22.323
29/1/23 2:00:01 PM,C,22.823
29/1/23 4:00:01 PM,C,23.574
29/1/23 6:00:01 PM,C,24.449
29/1/23 8:00:01 PM,C,24.262
29/1/23 10:00:01 PM,C,24.199
30/1/23 12:00:01 AM,C,23.949
30/1/23 2:00:01 AM,C,23.636
30/1/23 4:00:01 AM,C,23.324
30/1/23 6:00:01 AM,C,22.886
30/1/23 8:00:01 AM,C,22.511
30/1/23 10:00:01 AM,C,22.573
30/1/23 12:00:01 PM,C,22.823
30/1/23 2:00:01 PM,C,24.136
30/1/23 4:00:01 PM,C,37.747
30/1/23 6:00:01 PM,C,26.199
30/1/23 8:00:01 PM,C,23.886
30/1/23 10:00:01 PM,C,20.947
31/1/23 12:00:01 AM,C,19.57
31/1/23 2:00:01 AM,C,19.007
31/1/23 4:00:01 AM,C,18.381
31/1/23 6:00:01 AM,C,17.505
31/1/23 8:00:01 AM,C,18.507
31/1/23 10:00:01 AM,C,26.637
31/1/23 12:00:01 PM,C,35.876
31/1/23 2:00:01 PM,C,47.152
31/1/23 4:00:01 PM,C,46.965
31/1/23 6:00:01 PM,C,33.568
31/1/23 8:00:01 PM,C,23.699
31/1/23 10:00:01 PM,C,19.821
1/2/23 12:00:01 AM,C,17.818
1/2/23 2:00:01 AM,C,16.942
1/2/23 4:00:01 AM,C,16.128
1/2/23 6:00:01 AM,C,15.439
1/2/23 8:00:01 AM,C,16.253
1/2/23 10:00:01 AM,C,25.949
1/2/23 12:00:01 PM,C,23.199
1/2/23 2:00:01 PM,C,24.574
1/2/23 4:00:01 PM,C,25.199
1/2/23 6:00:01 PM,C,23.011
1/2/23 8:00:01 PM,C,21.322
1/2/23 10:00:01 PM,C,21.197
2/2/23 12:00:01 AM,C,20.134
2/2/23 2:00:01 AM,C,19.258
2/2/23 4:00:01 AM,C,18.819
2/2/23 6:00:01 AM,C,17.881
2/2/23 8:00:01 AM,C,17.63
2/2/23 10:00:01 AM,C,19.883
2/2/23 12:00:01 PM,C,22.698
2/2/23 2:00:01 PM,C,24.762
2/2/23 4:00:01 PM,C,25.762
2/2/23 6:00:01 PM,C,23.261
2/2/23 8:00:01 PM,C,20.634
2/2/23 10:00:01 PM,C,19.383
3/2/23 12:00:01 AM,C,19.633
3/2/23 2:00:01 AM,C,18.507
3/2/23 4:00:01 AM,C,17.881
3/2/23 6:00:01 AM,C,17.129
3/2/23 8:00:01 AM,C,17.067
3/2/23 10:00:01 AM,C,19.758
3/2/23 12:00:01 PM,C,23.324
3/2/23 2:00:01 PM,C,24.324
3/2/23 4:00:01 PM,C,23.824
3/2/23 6:00:01 PM,C,22.698
3/2/23 8:00:01 PM,C,21.948
3/2/23 10:00:01 PM,C,20.884
4/2/23 12:00:01 AM,C,20.321
4/2/23 2:00:01 AM,C,19.946
4/2/23 4:00:01 AM,C,18.882
4/2/23 6:00:01 AM,C,18.319
4/2/23 8:00:01 AM,C,18.256
4/2/23 10:00:01 AM,C,20.384
4/2/23 12:00:01 PM,C,24.074
4/2/23 2:00:01 PM,C,26.137
4/2/23 4:00:01 PM,C,26.262
4/2/23 6:00:01 PM,C,24.449
4/2/23 8:00:01 PM,C,22.448
4/2/23 10:00:01 PM,C,20.697
5/2/23 12:00:01 AM,C,19.195
5/2/23 2:00:01 AM,C,19.57
5/2/23 4:00:01 AM,C,18.006
5/2/23 6:00:01 AM,C,17.442
5/2/23 8:00:01 AM,C,17.755
5/2/23 10:00:01 AM,C,20.384
5/2/23 12:00:01 PM,C,24.011
5/2/23 2:00:01 PM,C,26.012
5/2/23 4:00:01 PM,C,26.074
5/2/23 6:00:01 PM,C,24.637
5/2/23 8:00:01 PM,C,22.573
5/2/23 10:00:01 PM,C,20.884
6/2/23 12:00:01 AM,C,19.383
6/2/23 2:00:01 AM,C,19.57
