1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DF0000007D8F3341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  9809
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,67.48
26/1/23 10:00:01 PM,%RH,68.21
27/1/23 12:00:01 AM,%RH,69.518
27/1/23 2:00:01 AM,%RH,73.685
27/1/23 4:00:01 AM,%RH,67.626
27/1/23 6:00:01 AM,%RH,63.499
27/1/23 8:00:01 AM,%RH,70.675
27/1/23 10:00:01 AM,%RH,66.013
27/1/23 12:00:01 PM,%RH,52.722
27/1/23 2:00:01 PM,%RH,48.348
27/1/23 4:00:01 PM,%RH,53.032
27/1/23 6:00:01 PM,%RH,63.796
27/1/23 8:00:01 PM,%RH,71.107
27/1/23 10:00:01 PM,%RH,73.4
28/1/23 12:00:01 AM,%RH,68.937
28/1/23 2:00:01 AM,%RH,68.792
28/1/23 4:00:01 AM,%RH,69.083
28/1/23 6:00:01 AM,%RH,67.626
28/1/23 8:00:01 AM,%RH,65.276
28/1/23 10:00:01 AM,%RH,60.208
28/1/23 12:00:01 PM,%RH,32.656
28/1/23 2:00:01 PM,%RH,34.312
28/1/23 4:00:01 PM,%RH,34.807
28/1/23 6:00:01 PM,%RH,47.244
28/1/23 8:00:01 PM,%RH,56.11
28/1/23 10:00:01 PM,%RH,59.756
29/1/23 12:00:01 AM,%RH,61.709
29/1/23 2:00:01 AM,%RH,61.56
29/1/23 4:00:01 AM,%RH,62.009
29/1/23 6:00:01 AM,%RH,61.859
29/1/23 8:00:01 AM,%RH,62.457
29/1/23 10:00:01 AM,%RH,56.874
29/1/23 12:00:01 PM,%RH,56.568
29/1/23 2:00:01 PM,%RH,43.745
29/1/23 4:00:01 PM,%RH,62.755
29/1/23 6:00:01 PM,%RH,72.829
29/1/23 8:00:01 PM,%RH,86.54
29/1/23 10:00:01 PM,%RH,95.323
30/1/23 12:00:01 AM,%RH,93.78
30/1/23 2:00:01 AM,%RH,91.832
30/1/23 4:00:01 AM,%RH,91.309
30/1/23 6:00:01 AM,%RH,94.296
30/1/23 8:00:01 AM,%RH,96.981
30/1/23 10:00:01 AM,%RH,94.682
30/1/23 12:00:01 PM,%RH,77.076
30/1/23 2:00:01 PM,%RH,78.195
30/1/23 4:00:01 PM,%RH,84.383
30/1/23 6:00:01 PM,%RH,89.6
30/1/23 8:00:01 PM,%RH,93.78
30/1/23 10:00:01 PM,%RH,97.488
31/1/23 12:00:01 AM,%RH,98.12
31/1/23 2:00:01 AM,%RH,97.994
31/1/23 4:00:01 AM,%RH,96.345
31/1/23 6:00:01 AM,%RH,95.323
31/1/23 8:00:01 AM,%RH,96.345
31/1/23 10:00:01 AM,%RH,94.682
31/1/23 12:00:01 PM,%RH,86.674
31/1/23 2:00:01 PM,%RH,71.395
31/1/23 4:00:01 PM,%RH,74.821
31/1/23 6:00:01 PM,%RH,77.916
31/1/23 8:00:01 PM,%RH,83.296
31/1/23 10:00:01 PM,%RH,80.14
1/2/23 12:00:01 AM,%RH,76.374
1/2/23 2:00:01 AM,%RH,76.655
1/2/23 4:00:01 AM,%RH,80.001
1/2/23 6:00:01 AM,%RH,84.519
1/2/23 8:00:01 AM,%RH,87.209
1/2/23 10:00:01 AM,%RH,80.001
1/2/23 12:00:01 PM,%RH,59.756
1/2/23 2:00:01 PM,%RH,56.416
1/2/23 4:00:01 PM,%RH,53.65
1/2/23 6:00:01 PM,%RH,55.344
1/2/23 8:00:01 PM,%RH,66.748
1/2/23 10:00:01 PM,%RH,71.826
2/2/23 12:00:01 AM,%RH,72.399
2/2/23 2:00:01 AM,%RH,76.655
2/2/23 4:00:01 AM,%RH,82.887
2/2/23 6:00:01 AM,%RH,85.869
2/2/23 8:00:01 AM,%RH,82.614
2/2/23 10:00:01 AM,%RH,75.669
2/2/23 12:00:01 PM,%RH,53.341
2/2/23 2:00:01 PM,%RH,45.022
2/2/23 4:00:01 PM,%RH,51.946
2/2/23 6:00:01 PM,%RH,57.331
2/2/23 8:00:01 PM,%RH,63.053
2/2/23 10:00:01 PM,%RH,67.626
3/2/23 12:00:01 AM,%RH,72.686
3/2/23 2:00:01 AM,%RH,71.97
3/2/23 4:00:01 AM,%RH,72.686
3/2/23 6:00:01 AM,%RH,75.245
3/2/23 8:00:01 AM,%RH,72.113
3/2/23 10:00:01 AM,%RH,60.659
3/2/23 12:00:01 PM,%RH,51.324
3/2/23 2:00:01 PM,%RH,59.152
3/2/23 4:00:01 PM,%RH,67.772
3/2/23 6:00:01 PM,%RH,71.251
3/2/23 8:00:01 PM,%RH,77.636
3/2/23 10:00:01 PM,%RH,84.248
4/2/23 12:00:01 AM,%RH,86.54
4/2/23 2:00:01 AM,%RH,75.951
4/2/23 4:00:01 AM,%RH,74.537
4/2/23 6:00:01 AM,%RH,76.374
4/2/23 8:00:01 AM,%RH,81.105
