1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: DF0000007D8F3341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  9809
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,C,24.189
26/1/23 10:00:01 PM,C,23.189
27/1/23 12:00:01 AM,C,23.189
27/1/23 2:00:01 AM,C,23.314
27/1/23 4:00:01 AM,C,22.063
27/1/23 6:00:01 AM,C,21.25
27/1/23 8:00:01 AM,C,20.875
27/1/23 10:00:01 AM,C,24.064
27/1/23 12:00:01 PM,C,25.314
27/1/23 2:00:01 PM,C,25.377
27/1/23 4:00:01 PM,C,24.689
27/1/23 6:00:01 PM,C,24.752
27/1/23 8:00:01 PM,C,21.938
27/1/23 10:00:01 PM,C,22.376
28/1/23 12:00:01 AM,C,22.689
28/1/23 2:00:01 AM,C,22.439
28/1/23 4:00:01 AM,C,22.001
28/1/23 6:00:01 AM,C,21.313
28/1/23 8:00:01 AM,C,21.438
28/1/23 10:00:01 AM,C,23.814
28/1/23 12:00:01 PM,C,25.627
28/1/23 2:00:01 PM,C,25.939
28/1/23 4:00:01 PM,C,25.189
28/1/23 6:00:01 PM,C,24.314
28/1/23 8:00:01 PM,C,24.252
28/1/23 10:00:01 PM,C,24.127
29/1/23 12:00:01 AM,C,23.877
29/1/23 2:00:01 AM,C,23.439
29/1/23 4:00:01 AM,C,22.939
29/1/23 6:00:01 AM,C,22.439
29/1/23 8:00:01 AM,C,22.001
29/1/23 10:00:01 AM,C,24.814
29/1/23 12:00:01 PM,C,25.127
29/1/23 2:00:01 PM,C,25.127
29/1/23 4:00:01 PM,C,23.314
29/1/23 6:00:01 PM,C,21.313
29/1/23 8:00:01 PM,C,19.061
29/1/23 10:00:01 PM,C,18.56
30/1/23 12:00:01 AM,C,17.935
30/1/23 2:00:01 AM,C,16.933
30/1/23 4:00:01 AM,C,16.996
30/1/23 6:00:01 AM,C,16.37
30/1/23 8:00:01 AM,C,16.558
30/1/23 10:00:01 AM,C,19.124
30/1/23 12:00:01 PM,C,21.876
30/1/23 2:00:01 PM,C,23.001
30/1/23 4:00:01 PM,C,22.189
30/1/23 6:00:01 PM,C,21.25
30/1/23 8:00:01 PM,C,19.937
30/1/23 10:00:01 PM,C,18.936
31/1/23 12:00:01 AM,C,18.686
31/1/23 2:00:01 AM,C,19.124
31/1/23 4:00:01 AM,C,17.935
31/1/23 6:00:01 AM,C,18.936
31/1/23 8:00:01 AM,C,18.998
31/1/23 10:00:01 AM,C,20.125
31/1/23 12:00:01 PM,C,22.063
31/1/23 2:00:01 PM,C,23.564
31/1/23 4:00:01 PM,C,23.314
31/1/23 6:00:01 PM,C,22.376
31/1/23 8:00:01 PM,C,21.125
31/1/23 10:00:01 PM,C,20.562
1/2/23 12:00:01 AM,C,20.125
1/2/23 2:00:01 AM,C,19.687
1/2/23 4:00:01 AM,C,18.873
1/2/23 6:00:01 AM,C,18.185
1/2/23 8:00:01 AM,C,17.747
1/2/23 10:00:01 AM,C,19.436
1/2/23 12:00:01 PM,C,22.439
1/2/23 2:00:01 PM,C,23.752
1/2/23 4:00:01 PM,C,23.939
1/2/23 6:00:01 PM,C,22.876
1/2/23 8:00:01 PM,C,21.438
1/2/23 10:00:01 PM,C,21.125
2/2/23 12:00:01 AM,C,20.5
2/2/23 2:00:01 AM,C,19.374
2/2/23 4:00:01 AM,C,18.936
2/2/23 6:00:01 AM,C,18.373
2/2/23 8:00:01 AM,C,18.623
2/2/23 10:00:01 AM,C,20.375
2/2/23 12:00:01 PM,C,23.126
2/2/23 2:00:01 PM,C,24.627
2/2/23 4:00:01 PM,C,24.377
2/2/23 6:00:01 PM,C,22.689
2/2/23 8:00:01 PM,C,21.188
2/2/23 10:00:01 PM,C,19.812
3/2/23 12:00:01 AM,C,19.624
3/2/23 2:00:01 AM,C,18.936
3/2/23 4:00:01 AM,C,18.435
3/2/23 6:00:01 AM,C,17.309
3/2/23 8:00:01 AM,C,17.997
3/2/23 10:00:01 AM,C,20.25
3/2/23 12:00:01 PM,C,22.876
3/2/23 2:00:01 PM,C,23.752
3/2/23 4:00:01 PM,C,23.001
3/2/23 6:00:01 PM,C,22.501
3/2/23 8:00:01 PM,C,21.813
3/2/23 10:00:01 PM,C,20.5
4/2/23 12:00:01 AM,C,20.375
4/2/23 2:00:01 AM,C,19.937
4/2/23 4:00:01 AM,C,19.624
4/2/23 6:00:01 AM,C,19.436
4/2/23 8:00:01 AM,C,18.873
4/2/23 10:00:01 AM,C,20.5
4/2/23 12:00:01 PM,C,23.752
4/2/23 2:00:01 PM,C,25.002
4/2/23 4:00:01 PM,C,24.877
4/2/23 6:00:01 PM,C,23.689
4/2/23 8:00:01 PM,C,21.813
4/2/23 10:00:01 PM,C,20.125
5/2/23 12:00:01 AM,C,18.811
5/2/23 2:00:01 AM,C,19.374
5/2/23 4:00:01 AM,C,18.936
5/2/23 6:00:01 AM,C,17.872
5/2/23 8:00:01 AM,C,17.81
5/2/23 10:00:01 AM,C,20.562
