1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BF0000007DAC6841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 7200 second(s)
Mission Start Time:  Thu Jan 26 20:00:01 IST 2023
Mission Sample Count:  931
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Thu Jan 26 20:00:01 IST 2023
Total Mission Samples:  931
Total Device Samples:  8236
Temperature Logging:  0.0625 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.04 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
26/1/23 8:00:01 PM,%RH,66.19
26/1/23 10:00:01 PM,%RH,70.232
27/1/23 12:00:01 AM,%RH,72.365
27/1/23 2:00:01 AM,%RH,75.313
27/1/23 4:00:01 AM,%RH,70.946
27/1/23 6:00:01 AM,%RH,67.498
27/1/23 8:00:01 AM,%RH,75.174
27/1/23 10:00:01 AM,%RH,64.14
27/1/23 12:00:01 PM,%RH,48.287
27/1/23 2:00:01 PM,%RH,47.498
27/1/23 4:00:01 PM,%RH,53.127
27/1/23 6:00:01 PM,%RH,63.698
27/1/23 8:00:01 PM,%RH,72.648
27/1/23 10:00:01 PM,%RH,73.774
28/1/23 12:00:01 AM,%RH,69.803
28/1/23 2:00:01 AM,%RH,70.375
28/1/23 4:00:01 AM,%RH,70.946
28/1/23 6:00:01 AM,%RH,69.085
28/1/23 8:00:01 AM,%RH,67.498
28/1/23 10:00:01 AM,%RH,58.474
28/1/23 12:00:01 PM,%RH,29.489
28/1/23 2:00:01 PM,%RH,32.519
28/1/23 4:00:01 PM,%RH,32.854
28/1/23 6:00:01 PM,%RH,46.706
28/1/23 8:00:01 PM,%RH,55.433
28/1/23 10:00:01 PM,%RH,59.378
29/1/23 12:00:01 AM,%RH,61.176
29/1/23 2:00:01 AM,%RH,61.176
29/1/23 4:00:01 AM,%RH,62.069
29/1/23 6:00:01 AM,%RH,62.069
29/1/23 8:00:01 AM,%RH,62.811
29/1/23 10:00:01 AM,%RH,56.654
29/1/23 12:00:01 PM,%RH,56.502
29/1/23 2:00:01 PM,%RH,43.029
29/1/23 4:00:01 PM,%RH,59.077
29/1/23 6:00:01 PM,%RH,71.088
29/1/23 8:00:01 PM,%RH,86.135
29/1/23 10:00:01 PM,%RH,94.952
30/1/23 12:00:01 AM,%RH,94.827
30/1/23 2:00:01 AM,%RH,92.319
30/1/23 4:00:01 AM,%RH,91.432
30/1/23 6:00:01 AM,%RH,93.453
30/1/23 8:00:01 AM,%RH,97.784
30/1/23 10:00:01 AM,%RH,95.819
30/1/23 12:00:01 PM,%RH,79.583
30/1/23 2:00:01 PM,%RH,79.447
